cbbe51d03e01c3a3bb307f96bbeec9c35823aa73cc1e4e80bb2c3f48e5a26bde,29fefa0eb6e2f41c21d8a389754a9e03f1c02011910693f03024d7fa7fc5e164,57fcb5138f706faba6d71868fc382f5248ced64c363e738af4bfc86908cbd2d7,3ead664e8583dc52390a29a6ccc97d2f21cc7a7639d6874cb9ade7f68744e406,bb3f44c683066c822d2b9a70a9c3d9d0635b00dbe7ade777bfd329b0cd7deb54,bb0ecf6e0d8011ceb06f8f47c77d1bfde59f349e63a29fc56343c6867e13fd24,bbf8a83689b7112302bcb0d586a05150d2cceaeec692c0df55ff19a4707dc4df,9312ed64d6fc8c009781a788eeebb5bc3968b1820c43916d18f8dd7cd75a0a3a,d668d8fdd1b4898f08d452d15468060ea9dda3ed56a17077981448ba9fce8851
"2","0","-45","2","320030410","140","0","85","0.43"
"1","0","11","1","320030506","141","502003502","43.5","0.7"
"2","0","67","2","320030506","142","502003503","13","0.65"
"3","0","49","3","320030506","143","0","-74","0.65"
"1","0","13","1","320030507","144","502003508","-49","0.7"
"3","0","62","2","320030507","145","502003509","-4","0.85"
"2","0","50","3","320030507","146","0","59","0.65"
"1","0","-10","1","320030508","147","0","0","1.05"
"1","0","-10","1","320030509","148","0","-15","1.05"
"1","0","-45","1","320030510","149","0","-85","0.43"
"2","0","-45","2","320030510","150","0","85","0.43"
"1","0","49","1","320040106","151","502004103","-74","0.7"
"3","0","67","2","320040106","152","502004104","13","0.85"
"2","0","11","3","320040106","153","0","43.5","0.65"
"1","0","50","1","320040107","154","502004107","59","0.7"
"3","0","62","2","320040107","155","502004109","-4","0.85"
"2","0","13","3","320040107","156","0","-49","0.65"
"1","0","-10","1","320040108","157","0","0","0.8"
"1","0","20","1","320040109","158","0","30","0.9"
"1","0","-25","1","320040110","159","0","20","1"
"1","0","49","1","320040206","160","502004203","-74","0.7"
"3","0","67","2","320040206","161","502004204","13","0.85"
"2","0","11","3","320040206","162","0","43.5","0.65"
"1","0","50","1","320040207","163","502004207","59","0.7"
"3","0","62","2","320040207","164","502004209","-4","0.85"
"2","0","13","3","320040207","165","0","-49","0.65"
"1","0","-10","1","320040208","166","0","0","0.8"
"1","0","20","1","320040209","167","0","30","0.9"
"1","0","-25","1","320040210","168","0","20","1"
"1","0","49","1","320040306","169","502004303","-74","0.7"
"3","0","67","2","320040306","170","502004304","13","0.85"
"2","0","11","3","320040306","171","0","43.5","0.65"
"1","0","50","1","320040307","172","502004307","59","0.7"
"3","0","62","2","320040307","173","502004309","-4","0.85"
"2","0","13","3","320040307","174","0","-49","0.65"
"1","0","-10","1","320040308","175","0","0","0.8"
"1","0","20","1","320040309","176","0","30","0.9"
"1","0","-25","1","320040310","177","0","20","1"
"1","0","49","1","320040406","178","502004403","-74","0.7"
"3","0","67","2","320040406","179","502004404","13","0.85"
"2","0","11","3","320040406","180","0","43.5","0.65"
"1","0","50","1","320040407","181","502004407","59","0.7"
"3","0","62","2","320040407","182","502004409","-4","0.85"
"2","0","13","3","320040407","183","0","-49","0.65"
"1","0","-10","1","320040408","184","0","0","0.8"
"1","0","20","1","320040409","185","0","30","0.9"
"1","0","-25","1","320040410","186","0","20","1"
"1","0","49","1","320040506","187","502004503","-74","0.7"
"3","0","67","2","320040506","188","502004504","13","0.85"
"2","0","11","3","320040506","189","0","43.5","0.65"
"1","0","50","1","320040507","190","502004507","59","0.7"
"3","0","62","2","320040507","191","502004509","-4","0.85"
"2","0","13","3","320040507","192","0","-49","0.65"
"1","0","-10","1","320040508","193","0","0","0.8"
"1","0","20","1","320040509","194","0","30","0.9"
"1","0","-25","1","320040510","195","0","20","1"
"2","0","40","1","320050106","196","502005101","-74","0.7"
"3","0","67","2","320050106","197","502005103","13","1"
"1","0","11","3","320050106","198","0","43.5","0.65"
"2","0","50","1","320050107","199","502005106","59","0.7"
"3","0","62","2","320050107","200","502005108","30","0.9"
"1","0","13","3","320050107","201","0","-49","0.65"
"1","0","10","1","320050108","202","0","5","0.75"
"1","0","10","1","320050109","203","0","-10","0.75"
"1","0","-25","1","320050110","204","0","20","1"
"2","0","40","1","320050206","205","502005201","-74","0.7"
"3","0","67","2","320050206","206","502005203","13","1"
"1","0","11","3","320050206","207","0","43.5","0.65"
"2","0","50","1","320050207","208","502005206","59","0.7"
"3","0","62","2","320050207","209","502005208","30","0.9"
"1","0","13","3","320050207","210","0","-49","0.65"
"1","0","10","1","320050208","211","0","5","0.75"
"1","0","10","1","320050209","212","0","-10","0.75"
"1","0","-25","1","320050210","213","0","20","1"
"2","0","40","1","320050306","214","502005301","-74","0.7"
"3","0","67","2","320050306","215","502005303","13","1"
"1","0","11","3","320050306","216","0","43.5","0.65"
"2","0","50","1","320050307","217","502005306","59","0.7"
"3","0","62","2","320050307","218","502005308","30","0.9"
"1","0","13","3","320050307","219","0","-49","0.65"
"1","0","10","1","320050308","220","0","5","0.75"
"1","0","10","1","320050309","221","0","-10","0.75"
"1","0","-25","1","320050310","222","0","20","1"
"2","0","40","1","320050406","223","502005401","-74","0.7"
"3","0","67","2","320050406","224","502005403","13","1"
"1","0","11","3","320050406","225","0","43.5","0.65"
"2","0","50","1","320050407","226","502005406","59","0.7"
"3","0","62","2","320050407","227","502005408","30","0.9"
"1","0","13","3","320050407","228","0","-49","0.65"
"1","0","10","1","320050408","229","0","5","0.75"
"1","0","10","1","320050409","230","0","-10","0.75"
"1","0","-25","1","320050410","231","0","20","1"
"2","0","40","1","320050506","232","502005501","-74","0.7"
"3","0","67","2","320050506","233","502005503","13","1"
"1","0","11","3","320050506","234","0","43.5","0.65"
"2","0","50","1","320050507","235","502005506","59","0.7"
"3","0","62","2","320050507","236","502005508","30","0.9"
"1","0","13","3","320050507","237","0","-49","0.65"
"1","0","10","1","320050508","238","0","5","0.75"
"1","0","10","1","320050509","239","0","-10","0.75"
"1","0","-25","1","320050510","240","0","20","1"
"2","0","40","1","320060106","241","502006101","-74","0.7"
"3","0","67","2","320060106","242","502006103","13","0.7"
"1","0","11","3","320060106","243","0","43.5","0.65"
"2","0","50","1","320060107","244","502006106","59","0.7"
"3","0","62","2","320060107","245","502006108","30","0.9"
"1","0","13","3","320060107","246","0","-49","0.65"
"1","0","10","1","320060108","247","0","5","1"
"1","0","10","1","320060109","248","0","-10","1.2"
"1","0","-25","1","320060110","249","0","20","1"
"2","0","40","1","320060206","250","502006201","-74","0.7"
"3","0","67","2","320060206","251","502006203","13","0.7"
"1","0","11","3","320060206","252","0","43.5","0.65"
"2","0","50","1","320060207","253","502006206","59","0.7"
"3","0","62","2","320060207","254","502006208","30","0.9"
"1","0","13","3","320060207","255","0","-49","0.65"
"1","0","10","1","320060208","256","0","5","1"
"1","0","10","1","320060209","257","0","-10","1.2"
"1","0","-25","1","320060210","258","0","20","1"
"2","0","40","1","320060306","259","502006301","-74","0.7"
"3","0","67","2","320060306","260","502006303","13","0.7"
"1","0","11","3","320060306","261","0","43.5","0.65"
"2","0","50","1","320060307","262","502006306","59","0.7"
"3","0","62","2","320060307","263","502006308","30","0.9"
"1","0","13","3","320060307","264","0","-49","0.65"
"1","0","10","1","320060308","265","0","5","1"
"1","0","10","1","320060309","266","0","-10","1.2"
"1","0","-25","1","320060310","267","0","20","1"
"2","0","40","1","320060406","268","502006401","-74","0.7"
"3","0","67","2","320060406","269","502006403","13","0.7"
"1","0","11","3","320060406","270","0","43.5","0.65"
"2","0","50","1","320060407","271","502006406","59","0.7"
"3","0","62","2","320060407","272","502006408","30","0.9"
"1","0","13","3","320060407","273","0","-49","0.65"
"1","0","10","1","320060408","274","0","5","1"
"1","0","10","1","320060409","275","0","-10","1.2"
"1","0","-25","1","320060410","276","0","20","1"
"2","0","40","1","320060506","277","502006501","-74","0.7"
"3","0","67","2","320060506","278","502006503","13","0.7"
"1","0","11","3","320060506","279","0","43.5","0.65"
"2","0","50","1","320060507","280","502006506","59","0.7"
"3","0","62","2","320060507","281","502006508","30","0.9"
"1","0","13","3","320060507","282","0","-49","0.65"
"1","0","10","1","320060508","283","0","5","1"
"1","0","10","1","320060509","284","0","-10","1.2"
"1","0","-25","1","320060510","285","0","20","1"
"2","0","40","1","320070106","286","502007101","-74","0.7"
"3","0","67","2","320070106","287","502007103","43","0.7"
"1","0","11","3","320070106","288","0","43.5","0.65"
"2","0","50","1","320070107","289","502007106","59","0.7"
"3","0","62","2","320070107","290","502007108","30","0.9"
"1","0","13","3","320070107","291","0","-49","0.65"
"1","0","20","1","320070108","292","0","5","0.9"
"1","0","20","1","320070109","293","0","0","0.9"
"1","0","-20","1","320070110","294","0","-20","1"
"2","0","40","1","320070206","295","502007201","-74","0.7"
"3","0","67","2","320070206","296","502007203","43","0.7"
"1","0","11","3","320070206","297","0","43.5","0.65"
"2","0","50","1","320070207","298","502007206","59","0.7"
"3","0","62","2","320070207","299","502007208","30","0.9"
"1","0","13","3","320070207","300","0","-49","0.65"
"1","0","20","1","320070208","301","0","5","0.9"
"1","0","20","1","320070209","302","0","0","0.9"
"1","0","-20","1","320070210","303","0","-20","1"
"2","0","40","1","320070306","304","502007301","-74","0.7"
"3","0","67","2","320070306","305","502007303","43","0.7"
"1","0","11","3","320070306","306","0","43.5","0.65"
"2","0","50","1","320070307","307","502007306","59","0.7"
"3","0","62","2","320070307","308","502007308","30","0.9"
"1","0","13","3","320070307","309","0","-49","0.65"
"1","0","20","1","320070308","310","0","5","0.9"
"1","0","20","1","320070309","311","0","0","0.9"
"1","0","-20","1","320070310","312","0","-20","1"
"2","0","40","1","320070406","313","502007401","-74","0.7"
"3","0","67","2","320070406","314","502007403","43","0.7"
"1","0","11","3","320070406","315","0","43.5","0.65"
"2","0","50","1","320070407","316","502007406","59","0.7"
"3","0","62","2","320070407","317","502007408","30","0.9"
"1","0","13","3","320070407","318","0","-49","0.65"
"1","0","20","1","320070408","319","0","5","0.9"
"1","0","20","1","320070409","320","0","0","0.9"
"1","0","-20","1","320070410","321","0","-20","1"
"2","0","40","1","320070506","322","502007501","-74","0.7"
"3","0","67","2","320070506","323","502007503","43","0.7"
"1","0","11","3","320070506","324","0","43.5","0.65"
"2","0","50","1","320070507","325","502007506","59","0.7"
"3","0","62","2","320070507","326","502007508","30","0.9"
"1","0","13","3","320070507","327","0","-49","0.65"
"1","0","20","1","320070508","328","0","5","0.9"
"1","0","20","1","320070509","329","0","0","0.9"
"1","0","-20","1","320070510","330","0","-20","1"
"2","0","40","1","320080106","331","502008101","-74","0.7"
"3","0","67","2","320080106","332","502008103","43","0.9"
"1","0","11","3","320080106","333","0","43.5","0.65"
"2","0","50","1","320080107","334","502008106","59","0.7"
"3","0","62","2","320080107","335","502008108","30","0.9"
"1","0","13","3","320080107","336","0","-49","0.65"
"1","0","20","1","320080108","337","0","5","0.8"
"1","0","20","1","320080109","338","0","0","1.1"
"1","0","-20","1","320080110","339","0","-20","1"
"2","0","40","1","320080206","340","502008201","-74","0.7"
"3","0","67","2","320080206","341","502008203","43","0.9"
"1","0","11","3","320080206","342","0","43.5","0.65"
"2","0","50","1","320080207","343","502008206","59","0.7"
"3","0","62","2","320080207","344","502008208","30","0.9"
"1","0","13","3","320080207","345","0","-49","0.65"
"1","0","20","1","320080208","346","0","5","0.8"
"1","0","20","1","320080209","347","0","0","1.1"
"1","0","-20","1","320080210","348","0","-20","1"
"2","0","40","1","320080306","349","502008301","-74","0.7"
"3","0","67","2","320080306","350","502008303","43","0.9"
"1","0","11","3","320080306","351","0","43.5","0.65"
"2","0","50","1","320080307","352","502008306","59","0.7"
"3","0","62","2","320080307","353","502008308","30","0.9"
"1","0","13","3","320080307","354","0","-49","0.65"
"1","0","20","1","320080308","355","0","5","0.8"
"1","0","20","1","320080309","356","0","0","1.1"
"1","0","-20","1","320080310","357","0","-20","1"
"2","0","40","1","320080406","358","502008401","-74","0.7"
"3","0","67","2","320080406","359","502008403","43","0.9"
"1","0","11","3","320080406","360","0","43.5","0.65"
"2","0","50","1","320080407","361","502008406","59","0.7"
"3","0","62","2","320080407","362","502008408","30","0.9"
"1","0","13","3","320080407","363","0","-49","0.65"
"1","0","20","1","320080408","364","0","5","0.8"
"1","0","20","1","320080409","365","0","0","1.1"
"1","0","-20","1","320080410","366","0","-20","1"
"2","0","40","1","320080506","367","502008501","-74","0.7"
"3","0","67","2","320080506","368","502008503","43","0.9"
"1","0","11","3","320080506","369","0","43.5","0.65"
"2","0","50","1","320080507","370","502008506","59","0.7"
"3","0","62","2","320080507","371","502008508","30","0.9"
"1","0","13","3","320080507","372","0","-49","0.65"
"1","0","20","1","320080508","373","0","5","0.8"
"1","0","20","1","320080509","374","0","0","1.1"
"1","0","-20","1","320080510","375","0","-20","1"
"2","0","40","1","320090106","376","502009101","-74","0.7"
"3","0","67","2","320090106","377","502009103","13","1"
"1","0","11","3","320090106","378","0","43.5","0.65"
"2","0","50","1","320090107","379","502009106","-68","0.7"
"3","0","62","2","320090107","380","502009108","30","0.9"
"1","0","13","3","320090107","381","0","29","0.65"
"1","0","10","1","320090108","382","0","5","0.75"
"1","0","10","1","320090109","383","0","0","1"
"1","0","-20","1","320090110","384","0","-20","1"
"2","0","40","1","320090206","385","502009201","-74","0.7"
"3","0","67","2","320090206","386","502009203","13","1"
"1","0","11","3","320090206","387","0","43.5","0.65"
"2","0","50","1","320090207","388","502009206","-68","0.7"
"3","0","62","2","320090207","389","502009208","30","0.9"
"1","0","13","3","320090207","390","0","29","0.65"
"1","0","10","1","320090208","391","0","5","0.75"
"1","0","10","1","320090209","392","0","0","1"
"1","0","-20","1","320090210","393","0","-20","1"
"2","0","40","1","320090306","394","502009301","-74","0.7"
"3","0","67","2","320090306","395","502009303","13","1"
"1","0","11","3","320090306","396","0","43.5","0.65"
"2","0","50","1","320090307","397","502009306","-68","0.7"
"3","0","62","2","320090307","398","502009308","30","0.9"
"1","0","13","3","320090307","399","0","29","0.65"
"1","0","10","1","320090308","400","0","5","0.75"
"1","0","10","1","320090309","401","0","0","1"
"1","0","-20","1","320090310","402","0","-20","1"
"2","0","40","1","320090406","403","502009401","-74","0.7"
"3","0","67","2","320090406","404","502009403","13","1"
"1","0","11","3","320090406","405","0","43.5","0.65"
"2","0","50","1","320090407","406","502009406","-68","0.7"
"3","0","62","2","320090407","407","502009408","30","0.9"
"1","0","13","3","320090407","408","0","29","0.65"
"1","0","10","1","320090408","409","0","5","0.75"
"1","0","10","1","320090409","410","0","0","1"
"1","0","-20","1","320090410","411","0","-20","1"
"2","0","40","1","320090506","412","502009501","-74","0.7"
"3","0","67","2","320090506","413","502009503","13","1"
"1","0","11","3","320090506","414","0","43.5","0.65"
"2","0","50","1","320090507","415","502009506","-68","0.7"
"3","0","62","2","320090507","416","502009508","30","0.9"
"1","0","13","3","320090507","417","0","29","0.65"
"1","0","10","1","320090508","418","0","5","0.75"
"1","0","10","1","320090509","419","0","0","1"
"1","0","-20","1","320090510","420","0","-20","1"
"2","0","40","1","320100106","421","502010101","-74","0.7"
"3","0","67","2","320100106","422","502010103","13","1"
"1","0","11","3","320100106","423","0","43.5","0.65"
"2","0","50","1","320100107","424","502010106","-68","0.7"
"3","0","62","2","320100107","425","502010108","30","0.9"
"1","0","13","3","320100107","426","0","29","0.65"
"1","0","60","1","320100108","427","0","40","0.9"
"1","0","10","1","320100109","428","0","0","1"
"1","0","-35","1","320100110","429","0","-20","1"
"2","0","40","1","320100206","430","502010201","-74","0.7"
"3","0","67","2","320100206","431","502010203","13","1"
"1","0","11","3","320100206","432","0","43.5","0.65"
"2","0","50","1","320100207","433","502010206","-68","0.7"
"3","0","62","2","320100207","434","502010208","30","0.9"
"1","0","13","3","320100207","435","0","29","0.65"
"1","0","60","1","320100208","436","0","40","0.9"
"1","0","10","1","320100209","437","0","0","1"
"1","0","-35","1","320100210","438","0","-20","1"
"2","0","40","1","320100306","439","502010301","-74","0.7"
"3","0","67","2","320100306","440","502010303","13","1"
"1","0","11","3","320100306","441","0","43.5","0.65"
"2","0","50","1","320100307","442","502010306","-68","0.7"
"3","0","62","2","320100307","443","502010308","30","0.9"
"1","0","13","3","320100307","444","0","29","0.65"
"1","0","60","1","320100308","445","0","40","0.9"
"1","0","10","1","320100309","446","0","0","1"
"1","0","-35","1","320100310","447","0","-20","1"
"2","0","40","1","320100406","448","502010401","-74","0.7"
"3","0","67","2","320100406","449","502010403","13","1"
"1","0","11","3","320100406","450","0","43.5","0.65"
"2","0","50","1","320100407","451","502010406","-68","0.7"
"3","0","62","2","320100407","452","502010408","30","0.9"
"1","0","13","3","320100407","453","0","29","0.65"
"1","0","60","1","320100408","454","0","40","0.9"
"1","0","10","1","320100409","455","0","0","1"
"1","0","-35","1","320100410","456","0","-20","1"
"2","0","40","1","320100506","457","502010501","-74","0.7"
"3","0","67","2","320100506","458","502010503","13","1"
"1","0","11","3","320100506","459","0","43.5","0.65"
"2","0","50","1","320100507","460","502010506","-68","0.7"
"3","0","62","2","320100507","461","502010508","30","0.9"
"1","0","13","3","320100507","462","0","29","0.65"
"1","0","60","1","320100508","463","0","40","0.9"
"1","0","10","1","320100509","464","0","0","1"
"1","0","-35","1","320100510","465","0","-20","1"
