dfdcd8b8066a91856178b3aecd6deb5cb1c57d5a86b38d1004fc52d64173a670,009b54e3997bf7ee9191205aa65bff261f8c27fcf13f837671302dc18bf2c4c9,04e04dfafde47c715123c102dc1f5e09bfc896bf977c13641a0590b8e3e1a0ed,6717c7c2f3182b7cb9eee1888a30dd0aff26a72ca1ed23942f8e314e81a762a0,6c5deddf9e983ebc5a25b9b2c239cc67f4fe6fcb0b7020e3c185a233f97ebd55,7b3e9943d77ba37e7617457b04907c798e869940fe4de773ae80d51051b0b282,8a1411b6a5b76a26c7688b41845bf233f41e2c5b6b4747e6a12726e11d92f0d9,139aa616bd5f7196cf01cca7a264f190641afbdf560a7e6a463991dbda212b68,032719b2fed0b6a4af7493e0a90f48584432c782c9ec88cc9691ef8e016cd851,54ebed5db4c9ce123d52d6fdb16fa215d0b54af68055dbc7ef3e4dc848176827,c6bf67a97428e05c0d657add832ad60b2f38b846a9fa0c05fb5c51faf9939044,c3dadbcb99e92fdd833224a732f7cddbfe0d9f5336a5f2d5400e010a11011845,326a755a36db54ffd3a745fb9e77f89bfc1d235a58cd9a2cd6189446f7b85a7f,89d6449c81db344716fea774f0955ca7c071c35851e40e8a7a58edcef10086c0,90ebaa774db069f9d9c74e2c01492eb39591e314d8df7140339e9dcffc992beb,a5db8112e1ed6a2e7665e768fe1c270ddb27ffd988175cf727d5ff967a96189e,1ec39db58a37bd369ff2b5ac899c21fd65f83a7a0ce5f289e89d5fa0f5d37e03,3b0da393a82a5ca4fa3afe4dffb43e59717c0095e97f5ac813f12d8ce1660807,640930193d8c6cbf050293bd0c41258c229cb6e54fe70b9a49cc6f7d4d63b3c7,c36c0a0c7310a769e77532d107b21c99e926152fab0a7cc2fc2f94fde1458a93,81324d89dbbea438a01ba67411180d87e58b3ddfcece0f9968883685aea393b9,4ad1bd6bfa8dc48b0aa7c06f8c6d943469ff377458f3da13e4bdc10b5ee9ada0,f189db352bde53b17d5c9d42122dabe0218e387d34f49a8abc2a7046fd2ee80b,9c568318ed947e5d223e5f9ec4094d289c51fa990f6d78050d0d7814c9b516ec
"15064005","1","11064","在背面世界野餐？","570","58","300010","8","91002","30","2","31028","5","2","31021","5","2","31023","5","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15064006","2","11064","《EX》危險暗影與怪鳥獸","905","-18","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15065001","1","11065","妹妹們的照顧之戰","-442","-123","300010","8","91002","30","2","31006","5","2","31022","5","2","31011","5","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15065002","1","11065","背面世界開拓記","-289","117","300010","8","91002","30","2","31052","5","2","31033","5","2","31026","5","2","51011","1","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15065003","2","11065","《EX》成群的危險暗影","-150","-162","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15065004","1","11065","令人興奮的森林野餐！","141","-109","300010","8","91002","30","2","31037","5","2","31049","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15065005","1","11065","在甘海高舉大漁旗","332","-34","300010","8","91002","30","2","31030","5","2","31055","5","2","51012","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15065006","2","11065","《EX》危險的魔物‧狂熊與翼龍","640","77","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066001","1","11066","支援背面世界復興總部","-701","-56","300010","8","91002","30","2","31180","5","2","31185","5","2","51013","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066002","1","11066","公主們的泡澡外交","-427","109","300010","8","91002","30","2","31010","5","2","31017","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066003","2","11066","《EX》天才發明家三女，襲來","-573","-180","300020","8","91002","150","18","4102402","1","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066004","1","11066","背面世界安全講習會","-165","-25","300010","8","91002","30","2","31015","5","2","31012","5","2","31040","5","2","51016","1","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066005","1","11066","背面世界登台！","110","-88","300010","8","91002","30","2","31029","5","2","31054","5","2","31042","5","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066006","1","11066","龍族姊妹的請求","135","97","300010","8","91002","30","2","90005","10","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15066007","2","11066","《EX》危險暗影與魔物‧雷雷傲M","443","42","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15067001","1","11067","甜蜜又美味的美容法","-208","-32","300010","8","91002","30","2","31258","5","2","31008","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15067002","1","11067","確保被虐狂與正太","-58","44","300010","8","91002","30","2","31233","5","2","31045","5","2","51017","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15067003","2","11067","《EX》受難體質的次女，遇難","-84","-165","300020","8","91002","150","18","4105402","1","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15067004","1","11067","寵溺的人是誰","425","90","300010","8","91002","30","2","31181","5","2","31034","5","2","31059","5","2","51018","1","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15067005","1","11067","餓肚子咕嚕咕嚕二重奏","551","36","300010","8","91002","30","2","90005","10","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15067006","2","11067","《EX》危險的魔物‧大鬼與雷鳥","602","-120","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15068001","1","11068","背面世界也有發生事件的預感","-40","-20","300010","8","91002","30","2","31093","5","2","31014","5","2","51021","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15068002","1","11068","如煉獄中盛開的花朵般","90","-179","300010","8","91002","30","2","31027","5","2","31051","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15068003","2","11068","《EX》心胸開闊的長女，狂醉","245","-171","300020","8","91002","150","18","4101403","1","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15068004","1","11068","當心泡昏頭","643","44","300010","8","91002","30","2","31032","5","2","31033","5","2","51022","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15068005","1","11068","在吉歐‧格黑納追兔子","768","-93","300010","8","91002","30","2","90005","10","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15068006","2","11068","《EX》成群的危險暗影","814","91","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15069001","1","11069","背面世界的走失兒童","-324","0","300010","8","91002","30","2","31047","5","2","31020","5","2","51023","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15069002","1","11069","吉歐‧格黑納的魔法研究","-175","-78","300010","8","91002","30","2","31016","5","2","31060","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15069003","2","11069","《EX》成群的危險暗影","0","-136","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15069004","1","11069","活躍於吉歐‧格黑納的忍者們","411","-9","300010","8","91002","30","2","31096","5","2","31055","5","2","51024","1","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15069005","1","11069","特別讓你成為眷屬！","522","-167","300010","8","91002","30","2","31223","5","2","31063","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15069006","2","11069","《EX》成群的危險暗影","859","-39","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15070001","1","11070","在吉歐‧格黑納採集植物","-291","128","300010","8","91002","30","2","31040","5","2","51025","1","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15070002","1","11070","灼熱的打架時間","-143","38","300010","8","91002","30","2","31066","5","2","31065","5","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15070003","2","11070","《EX》成群的危險暗影‧偶像","0","-14","300020","8","91002","150","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15070004","1","11070","分支冒險3","434","38","300010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15070005","1","11070","分支冒險4","575","22","300010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
"15070006","2","11070","《EX》EX冒險2","546","-180","300020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2015/12/17 15:00:00","在戰鬥中獲得勝利。"
