8a2dfc1eeedf63f4e6ec7151e126cfd9bf65b0d62652658afda2083aba17cbea,633331f64e516552b5c53a387462cd85b9a888cc2a5d7f3795d1305adca90f0d,1d6d0b5702880b751fc49c92787a304a4a34dbfb1e9cf31f2f8dd1f83ed7d48a,46340017304f58b924d5f33136176b2af3f4dde521144f4fd5679461981481bd,5f0b7c00e7aa77bb9263425283f6e745f84e14ae975eb9af125caf99fa031e4a,00862cb7238f6c416966cca01edecd7033a8eb902c8bcdd7476059e09811e9b6,54e68504def043ef77501ce680781cf34dab13231dc4e7becf63e04fa4fe2cc2,403bdcdc2759a7c5a3c2c9c5e24417c9e2a798fbed045ccf4ceebdfe1e1735b8,4f80fda421e096cf4b63aa7126b638f8d26aff1fec986b84d7f995516b7fb21b,62430869cc1c21f5ba847921cb06128e5276ddd891e4cf16125cc3cfb3c43e03,5bbdf8990e04b755a40145588db6dfa992bb2aa52f7bbe4cea7efb68732daab9,ab96e4fb338e2aaab3f5ec25004f99829f56d8164267bc5ace6477a3b663fb9e
"7005","31","3003","2023/04/24 15:59:59","31001312","1001","1","31001312","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對幻影男爵造成500萬傷害"
"7004","40","3004","2023/04/24 15:59:59","31001401","1001","5000000","31001401","0","3","2023/04/17 16:00:00","對天塔帕斯造成500萬累積傷害"
"7004","40","3004","2023/04/24 15:59:59","31001402","1001","7500000","31001402","0","3","2023/04/17 16:00:00","對天塔帕斯造成750萬累積傷害"
"7004","40","3004","2023/04/24 15:59:59","31001403","1001","10000000","31001403","0","3","2023/04/17 16:00:00","對天塔帕斯造成1000萬累積傷害"
"7005","41","3004","2023/04/24 15:59:59","31001411","1001","1","31001411","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對天塔帕斯造成250萬傷害"
"7005","41","3004","2023/04/24 15:59:59","31001412","1001","1","31001412","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對天塔帕斯造成500萬傷害"
"7004","10","3005","2023/04/24 15:59:59","31002101","1002","5000000","31002101","0","3","2023/04/17 16:00:00","對豪紳造成500萬累積傷害"
"7004","10","3005","2023/04/24 15:59:59","31002102","1002","7500000","31002102","0","3","2023/04/17 16:00:00","對豪紳造成750萬累積傷害"
"7004","10","3005","2023/04/24 15:59:59","31002103","1002","10000000","31002103","0","3","2023/04/17 16:00:00","對豪紳造成1000萬累積傷害"
"7004","10","3005","2023/04/24 15:59:59","31002104","1002","110000000","31002104","0","3","2023/04/17 16:00:00","對豪紳造成1億1000萬累積傷害"
"7005","11","3005","2023/04/24 15:59:59","31002111","1002","1","31002111","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對豪紳造成250萬傷害"
"7005","11","3005","2023/04/24 15:59:59","31002112","1002","1","31002112","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對豪紳造成500萬傷害"
"7005","11","3005","2023/04/24 15:59:59","31002113","1002","1","31002113","22000000","3","2023/04/17 16:00:00","在1場戰鬥中對豪紳造成2200萬傷害"
"7004","10","3006","2023/04/24 15:59:59","31003101","1003","5000000","31003101","0","3","2023/04/17 16:00:00","對阿爾瑪＆奧拉姆造成500萬累積傷害"
"7004","10","3006","2023/04/24 15:59:59","31003102","1003","7500000","31003102","0","3","2023/04/17 16:00:00","對阿爾瑪＆奧拉姆造成750萬累積傷害"
"7004","10","3006","2023/04/24 15:59:59","31003103","1003","10000000","31003103","0","3","2023/04/17 16:00:00","對阿爾瑪＆奧拉姆造成1000萬累積傷害"
"7004","10","3006","2023/04/24 15:59:59","31003104","1003","100000000","31003104","0","3","2023/04/17 16:00:00","對阿爾瑪＆奧拉姆造成1億累積傷害"
"7005","11","3006","2023/04/24 15:59:59","31003111","1003","1","31003111","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對阿爾瑪＆奧拉姆造成250萬傷害"
"7005","11","3006","2023/04/24 15:59:59","31003112","1003","1","31003112","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對阿爾瑪＆奧拉姆造成500萬傷害"
"7005","11","3006","2023/04/24 15:59:59","31003113","1003","1","31003113","20000000","3","2023/04/17 16:00:00","在1場戰鬥中對阿爾瑪＆奧拉姆造成2000萬傷害"
"7004","20","3007","2023/04/24 15:59:59","31003201","1003","5000000","31003201","0","3","2023/04/17 16:00:00","對好朋友X＆無名的藝術造成500萬累積傷害"
"7004","20","3007","2023/04/24 15:59:59","31003202","1003","7500000","31003202","0","3","2023/04/17 16:00:00","對好朋友X＆無名的藝術造成750萬累積傷害"
"7004","20","3007","2023/04/24 15:59:59","31003203","1003","10000000","31003203","0","3","2023/04/17 16:00:00","對好朋友X＆無名的藝術造成1000萬累積傷害"
"7004","20","3007","2023/04/24 15:59:59","31003204","1003","120000000","31003204","0","3","2023/04/17 16:00:00","對好朋友X＆無名的藝術造成1億2000萬累積傷害"
"7005","21","3007","2023/04/24 15:59:59","31003211","1003","1","31003211","2500000","3","2023/04/17 16:00:00","在1場戰鬥中對好朋友X＆無名的藝術造成250萬傷害"
"7005","21","3007","2023/04/24 15:59:59","31003212","1003","1","31003212","5000000","3","2023/04/17 16:00:00","在1場戰鬥中對好朋友X＆無名的藝術造成500萬傷害"
"7005","21","3007","2023/04/24 15:59:59","31003213","1003","1","31003213","24000000","3","2023/04/17 16:00:00","在1場戰鬥中對好朋友X＆無名的藝術造成2400萬傷害"
