ce2f15130507c7f626537f8826087c9d58939a7b40c66facfa7b336e72793462,1133b7fa781b1884a02241501bff524bf1d23997661c89e94549efbdeb94e689,fe489d23c3ed090eb9911b19c71b46d7d0daf5160387e647ad82ec4457061cb0,d7e1184363d2d505fb0b78e5170881cbf1b69095810a07931096dcb1f286268f
"305","204","110","113701"
"304","204","109","113801"
"303","201","103","113901"
"301","202","101","114001"
"303","201","107","114101"
"303","201","101","114201"
"301","201","101","114301"
"301","202","102","114401"
"302","202","108","114501"
"303","202","102","114601"
"302","201","103","114701"
"304","204","109","115001"
"301","201","103","115501"
"305","203","110","115601"
"305","203","110","115701"
"301","202","102","115801"
"301","202","102","115901"
"305","203","110","116001"
"301","201","103","116201"
"301","201","107","116301"
"305","203","110","116401"
"303","202","105","116501"
"301","201","107","116601"
"303","201","106","116701"
"301","201","103","116801"
"301","202","104","116901"
"301","201","105","117001"
"303","202","102","117101"
"301","202","101","117201"
"305","203","110","117301"
"303","201","107","117401"
"303","201","102","117501"
"305","203","110","117601"
"301","201","107","117701"
"303","202","102","117801"
"301","201","106","117901"
"301","201","103","118001"
"305","204","109","118101"
"305","204","109","118201"
"305","203","110","118501"
"305","203","110","118601"
"305","204","110","119001"
"304","204","109","119101"
"303","202","104","119201"
"301","201","106","119301"
"303","201","107","119901"
"303","202","102","120001"
"301","201","101","120701"
"301","201","101","120801"
"304","204","109","120901"
"301","202","102","121001"
"304","204","109","121101"
"301","202","101","121201"
"302","201","105","121301"
"305","203","110","121401"
"301","201","104","121501"
"301","201","105","121601"
"304","204","109","121901"
"301","201","105","122001"
"301","201","106","122101"
"301","201","101","122201"
"304","204","109","122301"
"303","201","107","122401"
"301","201","101","122501"
"305","203","109","122601"
"304","204","109","122701"
"303","201","107","122801"
"301","201","102","122901"
"305","203","110","123001"
"305","203","110","123101"
"301","201","105","123201"
"301","201","107","123301"
"303","202","104","123501"
"301","201","101","123601"
"305","204","110","123701"
"301","202","107","123801"
"301","201","103","123901"
"304","204","109","124001"
"304","204","109","124101"
"302","202","102","124201"
"305","203","109","124501"
"305","203","109","124601"
"303","201","102","124701"
"301","202","101","124801"
"301","201","107","124901"
"301","201","103","125001"
"301","201","103","125101"
"301","202","101","125201"
"303","201","104","125301"
"301","201","106","125401"
"304","204","109","125501"
"303","201","105","125601"
"305","203","110","125701"
"301","201","105","125801"
"301","201","101","126001"
"305","203","110","126101"
"304","204","109","126201"
"305","203","110","126301"
"301","201","107","126401"
"304","204","109","126501"
"304","204","109","126601"
"301","202","102","126701"
"302","202","102","126801"
"305","204","109","126901"
"302","202","103","127001"
"303","201","102","127101"
"305","203","109","127201"
"301","201","106","127301"
"301","202","101","127501"
"302","201","108","127601"
"305","203","110","127701"
"304","204","109","127801"
"302","203","108","127901"
"301","201","103","128001"
"303","202","105","128301"
"304","204","109","128401"
"305","204","109","128501"
"303","201","107","128701"
"301","201","101","128801"
"304","204","109","128901"
"305","203","109","129001"
"302","201","105","129301"
"301","201","103","129401"
"303","201","107","129501"
"301","201","103","129601"
"303","201","104","129701"
"301","202","102","129801"
"301","201","105","129901"
"303","201","101","130001"
"302","201","105","130101"
"301","201","102","130201"
"304","204","109","130701"
"305","203","110","130801"
"305","203","109","130901"
"305","203","110","131001"
"301","201","103","131101"
"304","204","109","131201"
"301","202","102","131601"
"305","203","110","131701"
"305","204","109","131801"
"304","203","109","131901"
"305","204","109","132001"
"303","201","105","132101"
"304","204","109","132201"
"305","203","109","132301"
"301","202","102","132401"
"305","204","110","132501"
"305","204","109","132801"
"305","203","109","132901"
"303","201","104","133001"
"302","201","108","133101"
"303","201","101","133201"
"304","204","109","133501"
"303","201","107","133601"
"305","204","109","133701"
"305","204","109","133801"
"303","201","104","133901"
"305","203","110","134001"
"305","204","109","134301"
"305","203","109","134401"
"305","203","109","134501"
"303","201","107","134601"
"303","201","103","134701"
"303","201","107","134801"
"303","201","101","134901"
"304","203","109","135001"
"302","201","101","135101"
"304","203","109","135201"
"301","201","106","135301"
"305","203","109","135401"
"301","201","107","135501"
"301","202","101","135601"
"303","201","107","135701"
"305","204","110","135801"
"302","201","105","135901"
"302","202","107","136001"
"301","201","103","136101"
"303","201","105","136201"
"305","203","109","136301"
"302","203","108","136401"
"303","202","102","136501"
"305","204","109","137101"
"305","204","109","137401"
"305","204","109","137601"
"301","201","107","180101"
"304","204","109","180201"
"301","202","101","180301"
"302","202","102","180401"
"303","201","104","180501"
"304","204","109","180601"
"301","201","106","180701"
"303","201","102","180801"
"301","202","102","180901"
"305","204","109","181001"
"301","202","102","181101"
"301","201","101","181201"
