ec917786461fb3ed96f3be7af2c68b4a1440a79e02a3920ae5c8aebe7d337baf,bee8126e4f752d77f987a4cdee83b6434b87b6a17cfa9389164e2869ec2c8b4c,f061e584b84a07dd23f4bcc5121c5a34c4dce0498e7b0ec4b168b9687e0771e6,bfaea96e4e4f01cb9916fe7a611067d9e9679df21f70aa94159e7b8b2be12eb9,105f33992ca8198b025bb3afb06eaed60707f60873409783a0d1d18ead2b27d2,f7ab3ad553aed6ace0b32e9e02ded71d9d472f82319d078c7de918d3f45e24c1,9164e371bfbde53cc88478d655fdd759286d4f998407fa5127ead8d9863ed018,a5ddb276b442d50c74d01c1e49f3e45bc541664f17e3647ce552e689c5712fa7,e7f05dfacb5a699d42baaffab41974f7b1809ad0b3adb667ccdd70e9c4bcc618,c6540dbcee850c9ee836a7e3f0f8fb342beb3f5d8963a819c53f95984311bf73,5bf429cdebca9c5e2f2d357c101a254db465f5864238b32ceef26e861e714717
"3","cgg_idle_reaction3","1","1","0.2","103023","cgg_joy","103","0","","0.2"
"3","","100111","","0.2","103024","cgg_talk_joy2","103","1","",""
"91","","103017","","","103025","","103","","",""
"93","","0.7","","","103026","0","103","","",""
"3","","1","","0.2","103027","cgg_idle_normal","103","1","",""
"3","","100111","","0.2","103028","cgg_idle_def","103","1","",""
"3","","100211","","0.2","103029","cgg_idle_bitter3","103","1","",""
"12","","100211","","0.2","103030","1","103","1.4","",""
"93","","3","","","103031","0","103","","",""
"3","","100211","","0.2","103032","cgg_idle_def","103","1","",""
"3","cgg_idle_reaction1","1","1","0.2","103033","cgg_talk_handsup","103","0","","0.2"
"12","","1","","0.2","103034","10","103","1.4","",""
"93","","3","","","103035","0","103","","",""
"3","","1","","0.2","103036","cgg_idle_normal","103","1","",""
"3","","100111","","0.2","103037","cgg_idle_joy3","103","1","",""
"12","","100111","","0.2","103038","6","103","1.4","",""
"93","","3","","","103039","0","103","","",""
"101","","103028","","","103040","0","103","","",""
"22","","0","","","103041","0.5","103","","",""
"6","1","1","0","0.1","103042","1","103","1","","0"
"6","1","100211","0","0.1","103043","1","103","1","","0"
"6","1","100111","0","0.1","103044","1","103","1","","0"
"93","","0.1","","","103045","0","103","","",""
"3","","1","","0","103046","cgg_idle_normal","103","1","",""
"3","","100211","","0","103047","cgg_idle_def","103","1","",""
"3","","100111","","0","103048","cgg_idle_def","103","1","",""
"5","-420","1","-230","160","104001","1","104","100","cgg_idle_normal","0"
"1","375","1","-230","1.6","104002","100111","104","100","cgg_idle_def","1"
"1","490","1","-230","1.6","104003","100311","104","101","cgg_idle_def","1"
"6","1","1","1","0.1","104004","1","104","1","","0"
"6","1","100111","1","0.1","104005","1","104","1","","0"
"6","1","100311","1","0.1","104006","1","104","1","","0"
"93","","0.2","","","104007","0","104","","",""
"21","0","vo_minigame_1007","","","104008","vo_minigame_1007_top_talk_4_007","104","0","",""
"11","0","100111","0","0","104009","那個那個～怜，\n我可以再抽一次嗎？","104","4","0","0"
"3","","1","","0.2","104010","cgg_idle_reaction2","104","1","",""
"3","","100111","","0.2","104011","cgg_talk_joy3_dere","104","1","",""
"93","","2.7","","","104012","0","104","","",""
"3","cgg_idle_guts2","1","1","0.2","104013","cgg_talk_guts2","104","0","","0"
"3","","100111","","0.2","104014","cgg_talk_normal_dere2","104","1","",""
"91","","104009","","","104015","","104","","",""
"21","0","vo_minigame_1007","","","104016","vo_minigame_1007_top_talk_4_008","104","0","",""
"11","0","100311","0","0","104017","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。","104","5","0","0"
"3","","1","","0.2","104018","cgg_idle_reaction2","104","1","",""
"3","cgg_idle_def","100311","1","0.2","104019","cgg_No","104","0","","0"
"93","","0.8","","","104020","0","104","","",""
"3","","100111","","0.2","104021","cgg_idle_surprise2","104","1","",""
"93","","0.9","","","104022","0","104","","",""
"3","cgg_idle_surprise2","1","1","0.2","104023","cgg_surprise2","104","0","","0"
"3","cgg_idle_arm_crossed2","100311","1","0.2","104024","cgg_talk_arm_crossed2","104","0","","0"
"93","","2.5","","","104025","0","104","","",""
"3","","100311","","0.2","104026","cgg_idle_bitter","104","1","",""
"93","","2","","","104027","0","104","","",""
"3","cgg_idle_nod","1","1","0.2","104028","cgg_talk_nod","104","0","","0"
"91","","104017","","","104029","","104","","",""
"93","","0.5","","","104030","0","104","","",""
"3","","100311","","0.2","104031","cgg_idle_def","104","1","",""
"3","","1","","0.2","104032","cgg_idle_normal","104","1","",""
"3","","100111","","0.2","104033","cgg_idle_anger","104","1","",""
"12","","100111","","0.2","104034","17","104","1.4","",""
"93","","3","","","104035","0","104","","",""
"3","","100111","","0.2","104036","cgg_idle_def","104","1","",""
"3","","100311","","0.2","104037","cgg_idle_bitter4","104","1","",""
"12","","100311","","0.2","104038","2","104","1.4","",""
"93","","3","","","104039","0","104","","",""
"3","","100311","","0.2","104040","cgg_idle_def","104","1","",""
"3","","1","","0.2","104041","cgg_idle_surprise2","104","1","",""
"12","","1","","0.2","104042","1","104","1.4","",""
"93","","3","","","104043","0","104","","",""
"101","","104032","","","104044","0","104","","",""
"22","","0","","","104045","0.5","104","","",""
"6","1","1","0","0.1","104046","1","104","1","","0"
"6","1","100111","0","0.1","104047","1","104","1","","0"
"6","1","100311","0","0.1","104048","1","104","1","","0"
"93","","0.1","","","104049","0","104","","",""
"3","","1","","0","104050","cgg_idle_normal","104","1","",""
"3","","100111","","0","104051","cgg_idle_def","104","1","",""
"3","","100311","","0","104052","cgg_idle_def","104","1","",""
"5","-420","1","-230","160","105001","1","105","100","cgg_idle_normal","0"
"1","375","1","-230","1.6","105002","100211","105","100","cgg_idle_def","1"
"1","490","1","-230","1.6","105003","105811","105","101","cgg_idle_def","1"
"6","1","1","1","0.1","105004","1","105","1","","0"
"6","1","100211","1","0.1","105005","1","105","1","","0"
"6","1","105811","1","0.1","105006","1","105","1","","0"
"93","","0.2","","","105007","0","105","","",""
"21","0","vo_minigame_1007","","","105008","vo_minigame_1007_top_talk_5_009","105","0","",""
"11","0","100211","0","0","105009","因為周邊有很多種類，\n在集齊所有種類之前，\n我們要加油喔！","105","6","0","0"
"3","","1","","0.2","105010","cgg_idle_reaction1","105","1","",""
"3","","100211","","0.2","105011","cgg_talk_normal","105","1","",""
"93","","2.4","","","105012","0","105","","",""
"3","","100211","","0.2","105013","cgg_talk_joy3","105","1","",""
"93","","1.1","","","105014","0","105","","",""
"3","cgg_idle_reaction1","1","1","0.2","105015","cgg_talk_handsup","105","0","","0.2"
"91","","105009","","","105016","","105","","",""
"3","","100211","","0.2","105017","cgg_idle_def","105","1","",""
"21","0","vo_minigame_1007","","","105018","vo_minigame_1007_top_talk_5_010","105","0","",""
"11","0","105811","0","0","105019","蒐集到的周邊能裝飾\n在櫃子上，之後再來\n仔細鑑賞喔♪\n太讚了吧☆","105","6","0","0"
"3","cgg_idle_arm_crossed","1","0","0.2","105020","cgg_talk_arm_crossed","105","0","","0"
"3","","105811","","0.2","105021","cgg_talk_joy1","105","1","",""
"93","","5","","","105022","0","105","","",""
"3","cgg_idle_guts2","1","1","0.2","105023","cgg_talk_guts2","105","0","","0"
"3","cgg_idle_def","105811","1","0.2","105024","cgg_jump_def_N","105","0","","0.2"
"91","","105019","","","105025","","105","","",""
"93","","0.5","","","105026","0","105","","",""
"3","","1","","0.2","105027","cgg_idle_normal","105","1","",""
"3","","100211","","0.2","105028","cgg_talk_joy3","105","1","",""
"12","","100211","","0.2","105029","10","105","1.4","",""
"93","","3","","","105030","0","105","","",""
"3","","100211","","0.2","105031","cgg_idle_def","105","1","",""
"3","cgg_idle_guts_anger","105811","1","0.2","105032","cgg_talk_guts_anger","105","0","","0"
"12","","105811","","0.2","105033","4","105","1.4","",""
"93","","3","","","105034","0","105","","",""
"3","","105811","","0.2","105035","cgg_idle_def","105","1","",""
"3","cgg_idle_guts2","1","1","0.2","105036","cgg_talk_guts2","105","0","","0"
"12","","1","","0.2","105037","7","105","1.4","",""
"93","","3","","","105038","0","105","","",""
"101","","105027","","","105039","0","105","","",""
"22","","0","","","105040","0.5","105","","",""
"6","1","1","0","0.1","105041","1","105","1","","0"
"6","1","100211","0","0.1","105042","1","105","1","","0"
"6","1","105811","0","0.1","105043","1","105","1","","0"
"93","","0.1","","","105044","0","105","","",""
"3","","1","","0","105045","cgg_idle_normal","105","1","",""
"3","","100211","","0","105046","cgg_idle_def","105","1","",""
"3","","105811","","0","105047","cgg_idle_def","105","1","",""
"5","-420","1","-230","160","106001","1","106","100","cgg_idle_normal","0"
"1","420","1","-230","1.6","106002","110911","106","100","cgg_idle_def","1"
"6","1","1","1","0.1","106003","1","106","1","","0"
"6","1","110911","1","0.1","106004","1","106","1","","0"
"93","","0.2","","","106005","0","106","","",""
"21","0","vo_minigame_1007","","","106006","vo_minigame_1007_top_talk_6_011","106","0","",""
"11","0","110911","0","0","106007","咦……騙人的吧，\n學長……你居然還沒\n完全收齊慈樂之音的\n周邊，太扯了吧。","106","5","0","0"
"3","","1","","0.2","106008","cgg_idle_reaction2","106","1","",""
"3","","110911","","0.2","106009","cgg_shock","106","0","",""
"93","","1","","","106010","0","106","","",""
"3","","110911","","0.2","106011","cgg_idle_bitter2","106","1","",""
"93","","4.2","","","106012","0","106","","",""
"3","cgg_idle_shock","1","1","0.2","106013","cgg_shock","106","0","","0"
"91","","106007","","","106014","","106","","",""
"21","0","vo_minigame_1007","","","106015","vo_minigame_1007_top_talk_6_012","106","0","",""
"11","0","110911","0","0","106016","請你差不多一點，\n既然有空悠哉地和\n一般美少女聊天，\n還不趕快繼續抽啊！","106","5","0","0"
"3","","110911","1","0.2","106017","cgg_talk_tsun_pain","106","1","","0"
"93","","0.7","","","106018","0","106","","",""
"3","cgg_idle_surprise2","1","1","0.2","106019","cgg_surprise2","106","0","","0"
"93","","1.3","","","106020","0","106","","",""
"3","","110911","1","0.2","106021","cgg_talk_joy1_sad","106","1","","0"
"93","","3","","","106022","0","106","","",""
"3","cgg_idle_guts_anger","110911","1","0.2","106023","cgg_talk_guts_anger","106","0","",""
"93","","0.7","","","106024","0","106","","",""
"3","cgg_idle_guts2","1","1","0.2","106025","cgg_talk_guts2","106","0","","0"
"91","","106016","","","106026","","106","","",""
"93","","0.5","","","106027","0","106","","",""
"3","","110911","","0.2","106028","cgg_idle_def","106","1","",""
"3","cgg_idle_doya","1","1","0.2","106029","cgg_talk_doya","106","0","","0"
"12","","1","","0.2","106030","6","106","1.4","",""
"93","","3","","","106031","0","106","","",""
"3","","1","","0.2","106032","cgg_idle_normal","106","1","",""
"3","cgg_idle_guts_anger","110911","1","0.2","106033","cgg_talk_guts_anger","106","0","","0"
"12","","110911","","0.2","106034","11","106","1.4","",""
"93","","3","","","106035","0","106","","",""
"3","","110911","","0.2","106036","cgg_idle_def","106","1","",""
"3","cgg_idle_surprise1","1","1","0.2","106037","cgg_surprise1","106","0","","0"
"12","","1","","0.2","106038","4","106","1.4","",""
"93","","3","","","106039","0","106","","",""
"3","","1","","0.2","106040","cgg_idle_normal","106","1","",""
"3","","110911","","0.2","106041","cgg_talk_joy3_blink","106","1","",""
"12","","110911","","0.2","106042","10","106","1.4","",""
"93","","3","","","106043","0","106","","",""
"101","","106028","","","106044","0","106","","",""
"22","","0","","","106045","0.5","106","","",""
"6","1","1","0","0.1","106046","1","106","1","","0"
"6","1","110911","0","0.1","106047","1","106","1","","0"
"93","","0.1","","","106048","0","106","","",""
"3","","1","","0","106049","cgg_idle_normal","106","1","",""
"3","","110911","","0","106050","cgg_idle_def","106","1","",""
"5","-420","1","-230","160","201001","1","201","100","cgg_idle_normal","0"
"1","420","1","-230","1.6","201002","100411","201","100","cgg_idle_def","1"
"6","1","1","1","0.1","201003","1","201","1","","0"
"6","1","100411","1","0.1","201004","1","201","1","","0"
"93","","0.2","","","201005","0","201","","",""
"21","0","vo_minigame_1007","","","201006","vo_minigame_1007_top_talk_7_013","201","0","",""
"11","0","100411","0","0","201007","那個那個，哥哥！\n你蒐集到差不多\n一半的周邊囉！\n只差一點了呢！","201","6","0","0"
"3","","1","","0.2","201008","cgg_idle_reaction2","201","1","",""
"3","","100411","","0.2","201009","cgg_talk_joy1_normal","201","1","",""
"93","","1.3","","","201010","0","201","","",""
"3","cgg_idle_doya","1","1","0.2","201011","cgg_talk_doya","201","0","","0"
"3","","100411","","0.2","201012","cgg_talk_surprise_kira","201","1","",""
"93","","2.7","","","201013","0","201","","",""
"3","cgg_idle_reaction1","1","1","0.2","201014","cgg_talk_handsup","201","0","","0.2"
"3","cgg_idle_guts","100411","1","0.2","201015","cgg_talk_guts","201","0","","0"
"91","","201007","","","201016","","201","","",""
"93","","0.5","","","201017","0","201","","",""
"3","","100411","","0.2","201018","cgg_idle_def","201","1","",""
"3","","1","","0.2","201019","cgg_idle_surprise3","201","1","",""
"12","","1","","0.2","201020","6","201","1.4","",""
"93","","3","","","201021","0","201","","",""
"3","","1","","0.2","201022","cgg_idle_normal","201","1","",""
"3","","100411","","0.2","201023","cgg_talk_surprise_kira","201","1","",""
"12","","100411","","0.2","201024","7","201","1.4","",""
"93","","3","","","201025","0","201","","",""
"3","","100411","","0.2","201026","cgg_idle_def","201","1","",""
"3","cgg_idle_reaction1","1","1","0.2","201027","cgg_talk_handsup","201","0","","0"
"12","","1","","0.2","201028","11","201","1.4","",""
"93","","3","","","201029","0","201","","",""
"3","","1","","0.2","201030","cgg_idle_normal","201","1","",""
"3","","100411","","0.2","201031","cgg_talk_joy1","201","1","",""
"12","","100411","","0.2","201032","10","201","1.4","",""
"93","","3","","","201033","0","201","","",""
"101","","201018","","","201034","0","201","","",""
"22","","0","","","201035","0.5","201","","",""
"6","1","1","0","0.1","201036","1","201","1","","0"
"6","1","100411","0","0.1","201037","1","201","1","","0"
"93","","0.1","","","201038","0","201","","",""
"3","","1","","0","201039","cgg_idle_normal","201","1","",""
"3","","100411","","0","201040","cgg_idle_def","201","1","",""
"5","-420","1","-230","160","202001","1","202","100","cgg_idle_normal","0"
"1","420","1","-230","1.6","202002","102011","202","100","cgg_idle_def","1"
"6","1","1","1","0.1","202003","1","202","1","","0"
"6","1","102011","1","0.1","202004","1","202","1","","0"
"93","","0.2","","","202005","0","202","","",""
"21","0","vo_minigame_1007","","","202006","vo_minigame_1007_top_talk_8_014","202","0","",""
"11","0","102011","0","0","202007","好厲害喔～♪\n真想看看\n全部收齊的樣子～♪","202","4","0","0"
"3","","1","","0.2","202008","cgg_idle_reaction1","202","1","",""
"3","","102011","","0.2","202009","cgg_talk_joy3","202","1","",""
"93","","2","","","202010","0","202","","",""
"3","","1","","0.2","202011","cgg_idle_nod","202","1","",""
"3","","102011","","0.2","202012","cgg_talk_wish","202","1","",""
"91","","202007","","","202013","","202","","",""
"93","","0.5","","","202014","0","202","","",""
"3","","102011","","0.2","202015","cgg_idle_def","202","1","",""
"3","","1","","0.2","202016","cgg_idle_reaction3","202","1","",""
"12","","1","","0.2","202017","6","202","1.4","",""
"93","","3","","","202018","0","202","","",""
"3","","1","","0.2","202019","cgg_idle_normal","202","1","",""
"3","","102011","","0.2","202020","cgg_talk_joy1_normal","202","1","",""
"12","","102011","","0.2","202021","11","202","1.4","",""
"93","","3","","","202022","0","202","","",""
"3","","102011","","0.2","202023","cgg_idle_def","202","1","",""
"3","cgg_idle_guts2","1","1","0.2","202024","cgg_talk_guts2","202","0","","0"
"12","","1","","0.2","202025","11","202","1.4","",""
"93","","3","","","202026","0","202","","",""
"3","","1","","0.2","202027","cgg_idle_normal","202","1","",""
"3","","102011","","0.2","202028","cgg_talk_joy3","202","1","",""
"12","","102011","","0.2","202029","7","202","1.4","",""
"93","","3","","","202030","0","202","","",""
"101","","202015","","","202031","0","202","","",""
"22","","0","","","202032","0.5","202","","",""
"6","1","1","0","0.1","202033","1","202","1","","0"
"6","1","102011","0","0.1","202034","1","202","1","","0"
"93","","0.1","","","202035","0","202","","",""
"3","","1","","0","202036","cgg_idle_normal","202","1","",""
"3","","102011","","0","202037","cgg_idle_def","202","1","",""
"5","-420","1","-230","160","203001","1","203","100","cgg_idle_normal","0"
"1","420","1","-230","1.6","203002","103611","203","100","cgg_idle_def","1"
"6","1","1","1","0.1","203003","1","203","1","","0"
"6","1","103611","1","0.1","203004","1","203","1","","0"
"93","","0.2","","","203005","0","203","","",""
"21","0","vo_minigame_1007","","","203006","vo_minigame_1007_top_talk_9_015","203","0","",""
"11","0","103611","0","0","203007","只差一點了呢。\n要是全部集齊，\n我會誇獎你的。\n……請你加油。","203","6","0","0"
"3","cgg_idle_arm_crossed","1","1","0.2","203008","cgg_talk_arm_crossed","203","0","","0"
"3","","103611","","0.2","203009","cgg_talk_normal","203","1","",""
"93","","1.9","","","203010","0","203","","",""
"3","","1","","0.2","203011","cgg_idle_surprise1","203","1","",""
"3","","103611","","0.2","203012","cgg_talk_joy3_blink","203","1","",""
"93","","3.1","","","203013","0","203","","",""
"3","cgg_idle_guts2","1","1","0.2","203014","cgg_talk_guts2","203","0","","0"
"3","","103611","","0.2","203015","cgg_talk_surprise_dere","203","1","",""
"91","","203007","","","203016","","203","","",""
"93","","0.5","","","203017","0","203","","",""
"3","","103611","","0.2","203018","cgg_idle_def","203","1","",""
"3","cgg_idle_nod","1","1","0.2","203019","cgg_talk_nod","203","0","","0"
"12","","1","","0.2","203020","6","203","1.4","",""
"93","","3","","","203021","0","203","","",""
"3","","1","","0.2","203022","cgg_idle_normal","203","1","",""
"3","","103611","","0.2","203023","cgg_talk_joy1","203","1","",""
"12","","103611","","0.2","203024","10","203","1.4","",""
"93","","3","","","203025","0","203","","",""
"3","","103611","","0.2","203026","cgg_idle_def","203","1","",""
"3","cgg_idle_guts1","1","1","0.2","203027","cgg_talk_guts1","203","0","","0"
"12","","1","","0.2","203028","4","203","1.4","",""
"93","","3","","","203029","0","203","","",""
"3","","1","","0.2","203030","cgg_idle_normal","203","1","",""
"3","","103611","","0.2","203031","cgg_talk_joy3_dere","203","1","",""
"12","","103611","","0.2","203032","7","203","1.4","",""
"93","","3","","","203033","0","203","","",""
"101","","203018","","","203034","0","203","","",""
"22","","0","","","203035","0.5","203","","",""
"6","1","1","0","0.1","203036","1","203","1","","0"
"6","1","103611","0","0.1","203037","1","203","1","","0"
"93","","0.1","","","203038","0","203","","",""
"3","","1","","0","203039","cgg_idle_normal","203","1","",""
"3","","103611","","0","203040","cgg_idle_def","203","1","",""
"5","-420","1","-230","160","204001","1","204","100","cgg_idle_normal","0"
"1","420","1","-230","1.6","204002","102811","204","100","cgg_idle_def","1"
"6","1","1","1","0.1","204003","1","204","1","","0"
"6","1","102811","1","0.1","204004","1","204","1","","0"
"93","","0.2","","","204005","0","204","","",""
"21","0","vo_minigame_1007","","","204006","vo_minigame_1007_top_talk_10_016","204","0","",""
"11","0","102811","0","0","204007","你蒐集到這麼多\n周邊了？真厲害……\n我要不要\n也來試試呢？","204","6","0","0"
"3","cgg_idle_doya","1","1","0.2","204008","cgg_talk_doya","204","0","","0"
"3","cgg_talk_surprise1","102811","1","0.2","204009","cgg_surprise","204","0","","0"
"93","","2.5","","","204010","0","204","","",""
"3","","1","","0.2","204011","cgg_idle_reaction5","204","1","",""
"3","","102811","","0.2","204012","cgg_talk_bitter","204","1","",""
"91","","204007","","","204013","","204","","",""
"93","","0.5","","","204014","0","204","","",""
"3","","102811","","0.2","204015","cgg_idle_def","204","1","",""
"3","cgg_idle_doya","1","1","0.2","204016","cgg_talk_doya","204","0","","0"
"12","","1","","0.2","204017","6","204","1.4","",""
"93","","3","","","204018","0","204","","",""
