afe2af88dc27da05cac1f72b754bde33a0ad4960883070821d02e1113e2e23c5,213d8e0dabf1353d4e9c0bd9d95ea8b5558a71fd35d18f3bdb3ca8485631d345,8df24c389135da60425a5ac5f262a060f0410d97f1af5a4b3e37a7075ca181a5,53bd03d2cf8a0cacc5dd23d63ff7a0bf780fc9ee450cf771709fece2370a711d,c5bf8f5d5ad08fc0020f1f7f71ccc797ddd6f168b5123e7967605655f809755b,491e89a1d344bb49cd270f0b4c8dea20f387d484d795245cf5c4036706c3c915,b4c78a1c7ba240d6509baede47b9b34b39502f6f3733a403da3b1723c253bbbf,f3306fdba3f453ba2e896bb8316c4651245dc9f9e71ab6beb737b1d2e5503d2c,8d3705117debe4461b70467d15ad72bf0c8ee17983a2c74e866c4ef22a087b94,fd1b26f5a6470a3dba121ac1a3fbc8ad925ab698a0b918379774ea21229a9f8e
"6088","2300030","6089","7","575","3","34","6090","10590","2"
"7001","3100001","7002","1","340","1","39","7003","14280","3"
"7004","3100002","7005","1","340","1","39","7006","14280","3"
"7007","3100003","7008","1","340","1","39","7009","14280","3"
"7010","3100004","7011","1","340","1","39","7012","14280","3"
"7013","3100005","7014","1","340","1","39","7015","14280","3"
"7016","3100006","7017","1","340","1","39","7018","14280","3"
"7019","3100007","7020","1","375","1","36","7021","13050","3"
"7022","3100008","7023","1","375","1","36","7024","13050","3"
"7025","3100009","7026","1","375","1","36","7027","13050","3"
"7028","3100010","7029","1","375","1","36","7030","13050","3"
"8001","3200001","8002","1","340","2","41","8003","14280","3"
"8004","3200002","8005","1","340","2","41","8006","14280","3"
"8007","3200003","8008","1","340","2","41","8009","14280","3"
"8010","3200004","8011","1","340","2","41","8012","14280","3"
"8013","3200005","8014","1","340","2","41","8015","14280","3"
"8016","3200006","8017","1","340","2","41","8018","14280","3"
"8019","3200007","8020","1","340","2","41","8021","14280","3"
"8022","3200008","8023","1","340","2","41","8024","14280","3"
"8025","3200009","8026","1","340","2","41","8027","14280","3"
"8028","3200010","8029","1","340","2","41","8030","14280","3"
"8031","3200011","8032","1","340","2","41","8033","14280","3"
"8034","3200012","8035","1","340","2","41","8036","14280","3"
"8037","3200013","8038","1","375","2","38","8039","13050","3"
"8040","3200014","8041","1","375","2","38","8042","13050","3"
"8043","3200015","8044","1","375","2","38","8045","13050","3"
"8046","3200016","8047","1","375","2","38","8048","13050","3"
"8049","3200017","8050","1","375","2","38","8051","13050","3"
"8052","3200018","8053","1","375","2","38","8054","13050","3"
"8055","3200019","8056","1","375","2","38","8057","13050","3"
"8058","3200020","8059","1","375","2","38","8060","13050","3"
"9001","3300001","9002","1","340","3","40","9003","14280","3"
"9004","3300002","9005","1","340","3","40","9006","14280","3"
"9007","3300003","9008","1","340","3","40","9009","14280","3"
"9010","3300004","9011","1","340","3","40","9012","14280","3"
"9013","3300005","9014","1","340","3","40","9015","14280","3"
"9016","3300006","9017","1","340","3","40","9018","14280","3"
"9019","3300007","9020","1","340","3","40","9021","14280","3"
"9022","3300008","9023","1","340","3","40","9024","14280","3"
"9025","3300009","9026","1","340","3","40","9027","14280","3"
"9028","3300010","9029","1","340","3","40","9030","14280","3"
"9031","3300011","9032","1","340","3","40","9033","14280","3"
"9034","3300012","9035","1","340","3","40","9036","14280","3"
"9037","3300013","9038","1","340","3","40","9039","14280","3"
"9040","3300014","9041","1","340","3","40","9042","14280","3"
"9043","3300015","9044","1","340","3","40","9045","14280","3"
"9046","3300016","9047","1","340","3","40","9048","14280","3"
"9049","3300017","9050","1","340","3","40","9051","14280","3"
"9052","3300018","9053","1","340","3","40","9054","14280","3"
"9055","3300019","9056","1","375","3","39","9057","13050","3"
"9058","3300020","9059","1","375","3","39","9060","13050","3"
"9061","3300021","9062","1","375","3","39","9063","13050","3"
"9064","3300022","9065","1","375","3","39","9066","13050","3"
"9067","3300023","9068","1","375","3","39","9069","13050","3"
"9070","3300024","9071","1","375","3","39","9072","13050","3"
"9073","3300025","9074","1","375","3","39","9075","13050","3"
"9076","3300026","9077","1","375","3","39","9078","13050","3"
"9079","3300027","9080","1","375","3","39","9081","13050","3"
"9082","3300028","9083","1","375","3","39","9084","13050","3"
"9085","3300029","9086","1","375","3","39","9087","13050","3"
"9088","3300030","9089","1","375","3","39","9090","13050","3"
