9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8
"天真浪漫的人氣超級名模","O","月光學院","14","時尚","0","魔族","4","10","鈴奈","167","上坂すみれ","101601","48","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","18"
"隨時都「船到橋頭自然直」的天真少女","A","哞哞自衛隊","10","跳舞、空手道","0","獸人族","7","7","香織","158","高森奈津美","101701","53","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","19"
"魅惑眾多男性的純潔女老師","B","月光學院","14","看戀愛小說、戀愛劇、戀愛漫畫","0","魔族","8","14","伊緒","162","伊藤静","101801","52","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","23"
"唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","O","小小甜心","5","蒐集可愛的東西","0","獸人族","4","3","美美","117","日高里菜","102001","21","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","10"
"愛哭又膽小，令人想去保護的女孩","B","咲戀育幼院","9","看戲、扮家家酒","0","人族","6","9","胡桃","150","植田佳奈","102101","40","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","12"
"怕生的任性女孩","O","惡魔偽王國軍","7","所有遊戲","0","魔族","11","22","依里","150","原紗友里","102201","40","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","13"
"永遠跟噗吉在一起！","B","咲戀育幼院","9","能在房間裡玩的遊戲","0","人族","5","10","綾音","148","芹澤優","102301","38","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","14"
"為了大小姐而努力的冒失女僕","O","咲戀育幼院","9","服侍","0","人族","12","12","鈴莓","154","悠木碧","102501","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","15"
"視玩樂與睡眠為第一的懶惰少女","B","伊麗莎白牧場","11","紅豆麵包","0","獸人族","1","1","鈴","144","小岩井ことり","102601","42","test","17"
"專情於命中注定對象的少女","B","暮光流星群","13","實驗、裁縫、料理","0","魔族","7","30","惠理子","154","橋本ちなみ","102701","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","16"
"經營育幼院的庶民派溫柔大小姐","A","咲戀育幼院","9","經營、茶會","0","精靈族","10","4","咲戀","156","堀江由衣","102801","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","17"
"能歌善舞的超人氣偶像","B","慈樂之音","4","看舞台劇，跳舞","0","人族","1","24","望","157","日笠陽子","102901","40","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","17"
"東國的神祕，請告訴我！","O","純白之翼 蘭德索爾分部","15","忍法開發","0","人族","8","31","妮諾","163","佐藤聡美","103001","51","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","16"
"擅長占卜的靈能少女","AB","惡魔偽王國軍","7","占卜","0","魔族","12","22","忍","157","大坪由佳","103101","42","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","18"
"目標成為頂尖商人的元氣大小姐","AB","墨丘利財團","12","慈善事業","0","人族","3","12","秋乃","157","松嵜麗","103201","45","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","18"
"令大家歡笑的歡樂牧場主人","B","伊麗莎白牧場","11","相聲","0","人族","3","3","真陽","142","新田恵海","103301","35","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","20"
"既純情又放心不下的成熟女性","A","墨丘利財團","12","隨意逛街","0","精靈族","3","16","優花梨","164","今井麻美","103401","55","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","22"
"端莊正直的嬌小優等生","A","小小甜心","5","讀書","0","精靈族","2","2","鏡華","118","小倉唯","103601","21","test","8"
"重情義愛捉弄人的劍術少女","A","王宮騎士團","8","劍術、戲弄長輩","0","人族","8","11","智","149","茅原実里","103701","43","test","13"
"喜愛讀書的體弱少女","A","伊麗莎白牧場","11","讀書、散步","0","獸人族","11","3","栞","153","小清水亜美","103801","40","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","14"
"嚮往「朋友」的精靈之森女孩","AB","森林守衛","6","交朋友的想像訓練","0","精靈族","6","6","碧","158","花澤香菜","104001","44","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","13"
"守護人們而歌唱的唱喚士少女","O","慈樂之音","4","各種樂器","0","人族","6","3","千歌","163","福原綾香","104201","46","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","17"
"不輸男人的狂野義氣少女","O","哞哞自衛隊","10","做點心","0","獸人族","8","9","真琴","168","小松未可子","104301","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","17"
"曾經支配黑夜的最強吸血鬼","A","惡魔偽王國軍","7","征服世界","0","魔族","5","5","伊莉亞","172","丹下桜","104401","50","test","??"
"最愛妄想！其實是個害羞少女","AB","純白之翼 蘭德索爾分部","15","閱讀小說","0","人族","11","19","空花","157","長妻樹里","104501","49","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","18"
"鋤強扶弱的貓娘","AB","墨丘利財團","12","與貓咪玩耍","0","獸人族","3","1","珠希","158","沼倉愛美","104601","48","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","18"
"看不見面容的沉著女騎士","A","王宮騎士團","8","格鬥技、入浴","0","人族","10","25","純","171","川澄綾子","104701","50","？？？","25"
"公事私事都效率至上的傭兵少女","O","墨丘利財團","12","傭兵等等的打工","0","人族","11","11","美冬","163","田所あずさ","104801","49","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","20"
"姐姐會照顧你的呦！","O","拉比林斯","3","所有家事","0","人族","10","24","靜流","168","生天目仁美","104901","54","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","18"
"稍微有點差距的少女戀情","A","月光學院","14","閱讀流行雜誌、蒐集化妝品","0","魔族","1","3","美咲","120","久野美咲","105001","22","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","11"
"興趣是實驗的危險科學家","A","暮光流星群","13","研究、實驗","0","人族","3","7","深月","166","三石琴乃","105101","53","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","27"
"少女心的毛茸茸生物","A","伊麗莎白牧場","11","理毛、聊天","0","獸人族","3","14","莉瑪","150","徳井青空","105201","100","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","18"
"外表與內心都是孩子的異國軍人","A","純白之翼 蘭德索爾分部","15","逛點心店","0","人族","7","28","莫妮卡","140","辻あゆみ","105301","33","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","18"
"最愛時尚的可愛女孩","AB","慈樂之音","4","裁縫","0","人族","9","7","紡希","153","木戸衣吹","105401","45","test","14"
"何時都會一見鍾情，純情少女","O","純白之翼 蘭德索爾分部","15","觀察","0","精靈族","4","7","步未","155","大関英里","105501","43","test","16"
"散發人情味的帥氣「大姐頭」","B","暮光流星群","13","釣魚","0","人族","7","11","流夏","167","佐藤利奈","105601","54","test","25"
"夢想前往天空冒險的騎空士少女","O","？？？","","冒險、聊天","0","人族","3","10","吉塔","156","金元寿子","105701","45","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","17"
"元氣滿點的空腹少女","O","美食殿堂","1","邊走邊吃、料理","0","人族","3","31","貪吃佩可","156","M・A・O","105801","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","17"
"仰慕主人，小小嚮導","B","美食殿堂","1","冥想、養育動植物","0","精靈族","5","11","可可蘿","140","伊藤美来","105901","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"倒在路旁的謎之貓耳魔法師","A","美食殿堂","1","和貓咪玩耍","0","獸人族","9","2","凱留","152","立花理香","106001","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","14"
"徬徨的謎樣少女","O","？？？","","冒險、回憶故事","0","人族","8","11","矛依未","148","潘めぐみ","106101","40","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","16"
"目標成為森林守護者的精靈族少女","O","？？？","","蒐集漂亮的葉子","0","精靈族","6","17","亞里莎","155","優木かな","106301","42","","15"
"失去記憶的龍人族少女","B","美食殿堂","1","讀書、伸展運動","0","龍人族","12","14","雪菲","147","近藤玲奈","106401","???","","14"
"專門用拳頭來交朋友的打手龍少女","B","龍族巢穴","17","格鬥技","0","龍人族","6","25","嘉夜","156","小市眞琴","106501","???","","16"
"嘴上功夫一流的廢材龍娘","AB","龍族巢穴","17","遊戲","0","龍人族","9","29","祈梨","145","藤田茜","106601","???","","13"
"面帶詭譎的笑容看透一切的臥龍首領。","O","龍族巢穴","17","繪畫、讀書","0","龍人族","4","17","帆稀","168","大西沙織","106701","???","","25"
"祕密結社拉比林斯的「迷宮女王」","AB","拉比林斯","3","觀察人類","0","人族","7","25","拉比林斯達","160","沢城みゆき","106801","??","","25"
"謎團重重的蘭德索爾之主","AB","？？？","","占卜、支配","0","獸人族","7","1","霸瞳皇帝","166","蒼井翔太","106901","??","","29"
"隱居在研究所，相當文靜的大姊姊","O","？？？","","模仿、藝術欣賞","0","精靈族","3","24","似似花","149","井口裕香","107001","??","","24"
"自視甚高的王宮騎士團副團長","O","王宮騎士團","8","和強敵之間的競爭","0","人族","2","7","克莉絲提娜","165","たかはし智秋","107101","??","","27"
"元氣滿點的空腹少女","O","美食殿堂","1","邊走邊吃、料理","0","人族","3","31","貪吃佩可（夏日）","156","M・A・O","107501","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","17"
"仰慕主人，小小嚮導","B","美食殿堂","1","冥想、養育動植物","0","精靈族","5","11","可可蘿（夏日）","140","伊藤美来","107601","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"為了大小姐而努力的冒失女僕","O","咲戀育幼院","9","服侍","0","人族","12","12","鈴莓（夏日）","154","悠木碧","107701","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","15"
"倒在路旁的謎之貓耳魔法師","A","美食殿堂","1","和貓咪玩耍","0","獸人族","9","2","凱留（夏日）","152","立花理香","107801","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","14"
"鋤強扶弱的貓娘","AB","墨丘利財團","12","與貓咪玩耍","0","獸人族","3","1","珠希（夏日）","158","沼倉愛美","107901","48","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","18"
"公事私事都效率至上的傭兵少女","O","墨丘利財團","12","傭兵等等的打工","0","人族","11","11","美冬（夏日）","163","田所あずさ","108001","49","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","20"
"擅長占卜的靈能少女","AB","惡魔偽王國軍","7","占卜","0","魔族","12","22","忍（萬聖節）","157","大坪由佳","108101","42","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","18"
"最愛布丁的幽靈少女","B","惡魔偽王國軍","7","吃布丁","0","魔族","1","23","宮子（萬聖節）","130","雨宮天","108201","32","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","14"
"稍微有點差距的少女戀情","A","月光學院","14","閱讀流行雜誌、蒐集化妝品","0","魔族","1","3","美咲（萬聖節）","120","久野美咲","108301","22","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","11"
"守護人們而歌唱的唱喚士少女","O","慈樂之音","4","各種樂器","0","人族","6","3","千歌（聖誕節）","163","福原綾香","108401","46","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","17"
"愛哭又膽小，令人想去保護的女孩","B","咲戀育幼院","9","看戲、扮家家酒","0","人族","6","9","胡桃（聖誕節）","150","植田佳奈","108501","40","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","12"
"永遠跟噗吉在一起！","B","咲戀育幼院","9","能在房間裡玩的遊戲","0","人族","5","10","綾音（聖誕節）","148","芹澤優","108601","38","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","14"
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和（新年）","155","東山奈央","108701","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"擅長支援戰鬥，心地善良的少女","O","破曉之星","2","料理、觀察人類","0","人族","4","5","優衣（新年）","158","種田梨沙","108801","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","17"
"冷酷又率直的劍士","B","破曉之星","2","讀書、騎馬、茶","0","魔族","1","12","怜（新年）","163","早見沙織","108901","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
"專情於命中注定對象的少女","B","暮光流星群","13","實驗、裁縫、料理","0","魔族","7","30","惠理子（情人節）","154","橋本ちなみ","109001","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","16"
"姐姐會照顧你的呦！","O","拉比林斯","3","所有家事","0","人族","10","24","靜流（情人節）","168","生天目仁美","109101","54","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","18"
"和英靈締結契約的馬納歷亞天才公主","AB","？？？","","讀書","0","人族","12","1","安","156","日笠陽子","109201","55","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","17"
"馬納歷亞魔法學院新生","O","？？？","","吃飯，睡覺","0","人族","2","4","露","144","こやまきみこ","109301","45","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","15"
"擁有超越人類力量的善良龍人公主","B","？？？","","鋼琴","0","半人半龍","11","3","古蕾婭","167","福原綾香","109401","67","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","17"
"最愛妄想！其實是個害羞少女","AB","純白之翼 蘭德索爾分部","15","閱讀小說","0","人族","11","19","空花（大江戶）","157","長妻樹里","109501","49","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","18"
"東國的神祕，請告訴我！","O","純白之翼 蘭德索爾分部","15","忍法開發","0","人族","8","31","妮諾（大江戶）","163","佐藤聡美","109601","51","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","16"
"有如鬼助的萬能妹妹女僕","?","？？？","","戲劇欣賞、詩和散文","0","鬼族","2","2","雷姆","154","水瀬いのり","109701","??","","17"
"毒舌系魔鬼姐姐女僕","?","？？？","","讀書","0","鬼族","2","2","拉姆","154","村川梨衣","109801","??","","17"
"穩重成熟的銀髮半妖精","?","？？？","","幫帕克梳理毛髮、念書","0","半妖精族","9","23","愛蜜莉雅","164","高橋李依","109901","??","","114"
"天真浪漫的人氣超級名模","O","月光學院","14","時尚","0","魔族","4","10","鈴奈（夏日）","167","上坂すみれ","110001","48","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","18"
"魅惑眾多男性的純潔女老師","B","月光學院","14","看戀愛小說、戀愛劇、戀愛漫畫","0","魔族","8","14","伊緒（夏日）","162","伊藤静","110101","52","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","23"
"稍微有點差距的少女戀情","A","月光學院","14","閱讀流行雜誌、蒐集化妝品","0","魔族","1","3","美咲（夏日）","120","久野美咲","110201","22","","11"
"經營育幼院的庶民派溫柔大小姐","A","咲戀育幼院","9","經營、茶會","0","精靈族","10","4","咲戀（夏日）","156","堀江由衣","110301","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","17"
"不輸男人的狂野義氣少女","O","哞哞自衛隊","10","做點心","0","獸人族","8","9","真琴（夏日）","168","小松未可子","110401","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","17"
"隨時都「船到橋頭自然直」的天真少女","A","哞哞自衛隊","10","跳舞、空手道","0","獸人族","7","7","香織（夏日）","158","高森奈津美","110501","53","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","19"
"真步真步王國的公主","O","哞哞自衛隊","10","幻想、蒐集玩偶","0","獸人族","9","22","真步（夏日）","155","内田真礼","110601","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","16"
"嚮往「朋友」的精靈之森女孩","AB","森林守衛","6","交朋友的想像訓練","0","精靈族","6","6","碧（插班生）","158","花澤香菜","110701","44","","13"
"生長在市區的陰暗系精靈族","O","聖德蕾莎女子學院（好朋友社）","16","飛鏢","0","精靈族","8","7","克蘿依","154","種﨑敦美","110801","42","","17"
"天生自由奔放的失禮現代小孩","O","聖德蕾莎女子學院（好朋友社）","16","跳舞、卡拉OK","0","人族","9","15","琪愛兒","156","佐倉綾音","110901","46","","16"
"沉睡於書庫的小小賢人","O","聖德蕾莎女子學院（好朋友社）","16","讀書","0","人族","2","28","優妮","142","小原好美","111001","36","","18"
"端莊正直的嬌小優等生","A","小小甜心","5","讀書","0","精靈族","2","2","鏡華（萬聖節）","118","小倉唯","111101","21","","8"
"愛好冒險的搗蛋鬼","O","小小甜心","5","惡作劇、探險","0","人族","8","10","禊（萬聖節）","128","諸星すみれ","111201","27","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","9"
"唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","O","小小甜心","5","蒐集可愛的東西","0","獸人族","4","3","美美（萬聖節）","117","日高里菜","111301","21","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","10"
"到處找人做朋友的死靈術師少女","?","？？？","","找「朋友」之事","0","人族","1","8","露娜","142","小倉唯","111401","28","","??"
"自視甚高的王宮騎士團副團長","O","王宮騎士團","8","和強敵之間的競爭","0","人族","2","7","克莉絲提娜（聖誕節）","165","たかはし智秋","111501","??","","27"
"能歌善舞的超人氣偶像","B","慈樂之音","4","看舞台劇，跳舞","0","人族","1","24","望（聖誕節）","157","日笠陽子","111601","40","","17"
"曾經支配黑夜的最強吸血鬼","A","惡魔偽王國軍","7","征服世界","0","魔族","5","5","伊莉亞（聖誕節）","172","丹下桜","111701","50","","??"
"元氣滿點的空腹少女","O","美食殿堂","1","邊走邊吃、料理","0","人族","3","31","貪吃佩可（新年）","156","M・A・O","111801","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","17"
"仰慕主人，小小嚮導","B","美食殿堂","1","冥想、養育動植物","0","精靈族","5","11","可可蘿（新年）","140","伊藤美来","111901","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"倒在路旁的謎之貓耳魔法師","A","美食殿堂","1","和貓咪玩耍","0","獸人族","9","2","凱留（新年）","152","立花理香","112001","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","14"
"為了大小姐而努力的冒失女僕","O","咲戀育幼院","9","服侍","0","人族","12","12","鈴莓（新年）","154","悠木碧","112101","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","15"
"頭腦聰明的美少女名偵探","AB","哞哞自衛隊","10","讀書、推理","0","獸人族","11","3","霞（魔法少女）","152","水瀬いのり","112201","41","","15"
"喜愛讀書的體弱少女","A","伊麗莎白牧場","11","讀書、散步","0","獸人族","11","3","栞（魔法少女）","153","小清水亜美","112301","40","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","14"
"燦爛的笑容！　夢想成為偶像的女孩","O","new generations","100","與好友長談","0","人族","4","24","卯月（NGs）","159","大橋彩香","112401","45","","17"
"冷酷又美麗的「蒼藍劍士」","B","new generations","100","遛狗","0","人族","8","10","凜（NGs）","165","福原綾香","112501","44","","15"
"目標成為超級巨星的活力女孩☆☆★","B","new generations","100","購物","0","人族","12","1","未央（NGs）","161","原紗友里","112601","46","","15"
"視玩樂與睡眠為第一的懶惰少女","B","伊麗莎白牧場","11","紅豆麵包","0","獸人族","1","1","鈴（遊俠）","144","小岩井ことり","112701","42","","17"
"令大家歡笑的歡樂牧場主人","B","伊麗莎白牧場","11","相聲","0","人族","3","3","真陽（遊俠）","142","新田恵海","112801","35","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","20"
