1295758c4e6398851d7daba9f8e76d02a6ce7232166c97ea71ed79e53dee74c9,2265e30e11de8df684fe4213f3957cea4fdd1a7b21643830dccb8e133e98a3cb,72485a97a59da77a945d217e3694eec8c3d42071ef90f1d0f04e09af81b31ac1,52e1933057b7ea21ababc4386c9b61ab88ae7c3b69998484684957c59c71b8f9,79c390670751093fa863a3fb664732a832177c0fae45cdf74bdfe3d2dd6c3df8,72da13909d40e517932ccf80b482ff4987e7e27bdf13fdbdf5c22beadfe3b774,933461273f61041f7ace188e15e86bbf6d81c6ac55da278a20eee41ef3f65e58,0bfa6b24c75bf5513b66e6f592ded7574f54fc0777ad80226e304da4c8d1dec3,f6ad0f3199ce76192371fbdc3bbaa440b7569e22f2db813663c897e07c8e656c,ed36b693fd696daef59fffba73950bddc7314e6c827adc7e86b3c150457868f2,42d830f7336ee80d76f712617001f7367a6a6693b522ef671c1d2b32e028475d,a363c17b5fcd5814d2583b49f7d0a4ae858c29628e7cb79a274e74cb6275d3aa,9b2fae92465ba08f1f57c43298cd4783785067643b43706429d7a655f6d71d95,50cebb89d8fc508665c2ad31e37c46f5dcdc1436f4eda540cc664ece8bd42011
"大地","10046","24016","1","0","6.11","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","2","611","看來練習得還不夠啊，\n我甚至沒有\n拿出真本事投呢，\n再練一次！","192401"
"大地","10046","24017","1","0","6.75","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","2","612","哼，這是理所當然的結果。\n我的球才不會讓任何人打到！\n要是還想繼續打，\n我就奉陪到底！","192401"
"大地","10046","24018","2","0","0","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","2","613","很好！\n就以這股氣勢，朝全國前進吧！\n看我用三振解決掉所有對手！","192401"
"初音","10046","24019","2","0","4.52","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","1","211","閃亮亮☆\n初音大勝利喲～！\n為了讓大家能更加進步，\n我也會繼續努力下去的！","113401"
"初音","10046","24020","2","0","3.89","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","1","212","好耶！我贏了！\n不管是啦啦隊還是投手，\n都交給我初音吧！","113401"
"初音","10046","24021","1","0","13.49","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","2","213","很好～就像這樣繼續\n努力吧……雖然是這麼想，\n但因為用了超能力……\n我開始想睡了……呼嚕……","113401"
"嘉夜","10046","24022","1","0","3.17","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","2","311","真是場好比賽！\n我太熱血沸騰，\n不小心就用全力丟球了。","106501"
"嘉夜","10046","24023","1","0","4.42","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","2","312","如何？\n老娘的球很熾熱吧！\n不過，你們的鬥志\n也是挺不錯的喔。","106501"
"嘉夜","10046","24024","6","0","2.89","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","1","313","什麼嘛，就這點程度而已嗎？\n我還完全沒投個夠呢，\n再繼續比下去吧！","106501"
"綾音","10046","24025","4","0","3.71","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","3","421","差一點點了說～！\n下次我一定會跟噗吉一起\n贏給你們看的！","102301"
"旭","10046","24026","2","0","5.1","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","1","721","真是一場好比賽呢！\n不過果然還是好不甘心……\n我會再多做練習，\n下次絕對會是我贏！","192201"
"社員3","10046","24027","1","0","4.34","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","3","821","嘖……還差一步啊。\n下次我一定會贏的，\n做好心理準備吧。","192301"
"","10046","24028","1","0","0","2020/07/31 12:00:00","0","24","2030/12/17 14:59:59","1","521","真是一場好比賽，\n下次再比一次吧。","192501"
"美里","10046","24029","1","0","5.62","2020/07/31 12:00:00","-360","24","2030/12/17 14:59:59","2","101","做得非常好喔～♪\n看你這麼努力，老師很開心，\n今後也為了比賽，\n一起繼續練習下去吧～","113501"
"美里","10046","24030","1","0","9.58","2020/07/31 12:00:00","-360","24","2030/12/17 14:59:59","2","102","這是你努力的成果呢～！\n照這樣繼續練習下去，\n應該會獲得更棒的成績吧。\n我很期待喔～！","113501"
"美里","10046","24031","2","0","0","2020/07/31 12:00:00","-360","24","2030/12/17 14:59:59","2","103","好孩子，好孩子～♪\n你這麼認真努力，\n我要好～好誇獎一番。","113501"
"美里","10046","24032","2","0","9.13","2020/07/31 12:00:00","-360","24","2030/12/17 14:59:59","1","104","朝著夢想前進了一步呢。\n照這個步調，一起實現夢想吧。\n目標是全國大賽～！","113501"
"美里","10046","24033","1","0","8.27","2020/07/31 12:00:00","-360","24","2030/12/17 14:59:59","2","105","狀態很好呢～♪\n你比賽時一定也會\n大有活躍的。\n我很期待喔～！","113501"
