240835c7f2672b555156eadea79c46d059ca262feae2e6230ea0ea8330fc9534,398777fc22d1d929bb4e997e9d313576fd96410b5cb38237d2709d98c45f62a5,ae610bee849e1c19fab7557c9898aef6a3de383c830e1f80e325253246bbe2d2,3d176413b1ca483fe7dc4e478e09bed3f981d1b0bf544bbf0b0144e84c64072f,16cdf464c9d04c370893dda88f513a640627f97c48895fde0072645d82fede99,e9ff56e097e1b19af70d4d7cda7b6bbd6a906ca7d3f8c2f9ed3579dff1cc6146,b49540e2ca12396ae272ec6933a451a97820503a01c1840dc668093ab8b5ff7b
"67","bgm_M222","00:38","角色歌曲\n\n時間 / 01:22\n歌　 / 真琴（小松未可子）\n　　　霞（水瀨いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","01:22","未解明的心意","bgm_M222"
"68","bgm_M219_juke","00:00","愚人節活動\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:27","機械莉瑪來襲！王都毀滅前的倒數","bgm_M219"
"69","bgm_M220_juke","00:00","愚人節活動\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:38","機械莉瑪","bgm_M220"
"70","bgm_M221_juke","00:00","愚人節活動\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:12","機械莉瑪~終焉~","bgm_M221"
"71","bgm_M215_juke","00:00","故事劇情主題曲\n-｢Crossing Destiny｣編曲-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","00:55","在阿斯特朗盛開的雙輪之花","bgm_M215"
"72","bgm_M218_juke","00:00","故事劇情頭目戰\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","01:45","元核‧巨靈","bgm_M218"
"73","bgm_M235","00:54","角色歌曲\n\n時間 / 01:30\n歌　 / 安（日笠陽子）\n　　　古蕾婭（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","01:30","Crossing Destiny","bgm_M235"
"74","bgm_M232_juke","00:00","主線冒險\n\n\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","00:55","潛入岩峰","bgm_M232"
"75","bgm_M223_juke","00:00","故事劇情主題曲\n-「白翼的榮耀」編曲-\n\n\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","00:59","將軍道中記　白翼的武士","bgm_M223"
"76","bgm_M226_juke","00:00","故事劇情頭目戰\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:58","惡代官","bgm_M226"
"77","bgm_M236","00:42","角色歌曲\n\n時間 / 01:13\n歌　 / 莫妮卡（辻あゆみ）\n　　　雪（大空直美）\n　　　妮諾（佐藤聡美）\n　　　空花（長妻樹里）\n　　　步未（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","01:13","白翼的榮耀","bgm_M236"
"78","bgm_M95_juke","00:00","主線冒險\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:20","火山山麓","bgm_M95"
"79","bgm_M96_juke","00:00","主線冒險\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:02","險惡荒地","bgm_M96"
"80","bgm_M231_juke","00:00","故事劇情頭目戰\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","2:33","怠惰的狂人","bgm_M231"
"81","bgm_M233_juke","00:00","主線冒險\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:08","鼓聲響動的森林","bgm_M233"
"82","bgm_M237_juke","00:00","故事劇情主題曲\n-｢踮腳尖的First Kiss｣編曲-\n\n時間 / 00:52\n作曲 / 設樂哲也\n\n編曲 / 庄司真吾（Cygames）","0:52","鈴奈的彩虹舞臺！","bgm_M237"
"83","bgm_M240_juke","00:00","故事劇情頭目戰\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:47","雨神大人","bgm_M240"
"84","bgm_M252","00:45","角色歌曲\n\n時間 / 01:19\n演唱　 / 伊緒（伊藤静）\n　　　鈴奈（上坂すみれ）\n　　　美咲（久野美咲）\n作詞 / 野村イクミ&瀧沢和也（Cygames）\n作曲 / 設樂哲也\n\n編曲 / 設樂哲也\n","1:19","踮腳尖的First Kiss","bgm_M252"
"85","bgm_M199_juke","00:00","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","00:31","哥哥爭奪戰！　幫忙靜流","bgm_M199"
"86","bgm_M198_juke","00:00","小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","00:34","哥哥爭奪戰！　幫忙惠理子","bgm_M198"
"87","bgm_M245_juke","00:00","故事劇情主題曲\n-｢We Are Golden｣編曲-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","00:57","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","bgm_M245"
"88","bgm_M248_juke","00:00","故事劇情頭目戰\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:03","奄美魔物","bgm_M248"
"89","bgm_M263","00:44","角色歌曲\n\n時間 / 01:18\n演唱　 / 真步（内田真礼）\n　　　真琴（小松未可子）\n　　　香織（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","01:18","We Are Golden","bgm_M263"
"90","bgm_M227_juke","0:00","小遊戲\n-｢白翼的榮耀｣編曲-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","0:30","空花大迴轉","bgm_M227"
"91","bgm_M254_juke","0:00","故事劇情主題曲\n-｢好朋友新感覺｣編曲-\n\n時間 / 00:57\n作曲 / 大久保薰\n編曲 / 中村早織（Cygames）","0:57","森林的膽小鬼與神聖學院的問題兒童","bgm_M254"
"92","bgm_M257_juke","0:00","故事劇情頭目戰\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:45","劇毒曼德拉草","bgm_M257"
"93","bgm_M272","00:47","角色歌曲\n\n時間 / 01:20\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薰\n編曲 / 大久保薰","01:20","好朋友新感覺","bgm_M272"
"94","bgm_M260_juke","0:00","主線冒險\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","1:00","跨越危險之根","bgm_M260"
"95","bgm_M249_juke","0:00","小遊戲\n-｢We Are Golden｣編曲-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","0:34","香織的靈魂式空手道場","bgm_M249"
"96","bgm_M265_juke","0:00","故事劇情主題曲\n-｢惡作劇狂熱｣編曲-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","0:52","小小勇敢的萬聖節之夜！","bgm_M265"
"97","bgm_M268_juke","0:00","故事劇情頭目戰\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","2:50","幻影男爵","bgm_M268"
"98","bgm_M280","0:46","角色歌曲\n\n時間 / 01:24\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","1:24","惡作劇狂熱","bgm_M280"
"99","bgm_M278_juke","0:00","主線冒險\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:14","泥濘森林的前方","bgm_M278"
"100","bgm_M277_juke","0:00","小遊戲\n-｢in flames｣編曲-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","0:48","大激戰！龍人們的接龍競賽","bgm_M277"
"101","bgm_M273_juke","0:00","故事劇情主題曲\n-｢in flames｣編曲-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","1:07","龍的探索者們","bgm_M273"
"102","bgm_M276_juke","0:00","故事劇情頭目戰\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","2:29","似龍生物","bgm_M276"
"103","bgm_M291","0:56","角色歌曲\n\n時間 / 01:28\n歌　 / 祈梨（藤田茜）\n　　　嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","1:28","in flames","bgm_M291"
"104","bgm_M259_juke","0:00","解放冒險\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","1:13","獲得全新力量的試煉","bgm_M259"
"105","bgm_M281_juke","0:00","故事劇情主題曲\n-｢Call Me Darling！｣編曲\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","0:58","禮物大恐慌！　蘭德索爾的聖誕老人們","bgm_M281"
"106","bgm_M284_juke","0:00","故事劇情頭目戰\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","1:48","復仇者馴鹿","bgm_M284"
"107","bgm_M285","0:54","角色歌曲\n\n時間 / 01:30\n歌　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","1:30","Call Me Darling！","bgm_M285"
"108","bgm_M300_juke","0:00","王都終末決戰\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","1:45","王都終末決戰","bgm_M300"
"109","bgm_M301_juke","0:00","王都終末決戰Boss戰\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","2:15","與侍奉皇帝之徒的戰鬥","bgm_M301"
"110","bgm_M299_juke","0:00","王都終末決戰Boss戰\n-｢Lost Princess｣「真正的皇帝」編曲-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","2:45","與神的決戰","bgm_M299"
"111","bgm_M294_juke","0:00","故事劇情主題曲\n-｢SAI＊KOU起跑衝刺｣編曲-\n\n時間 / 01:08\n作曲 / 奧井康介\n編曲 / 伊禮完（Cygames）","1:08","狂奔！　蘭德索爾的公會競速賽","bgm_M294"
"112","bgm_M297_juke","0:00","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","2:00","山神大人","bgm_M297"
"113","bgm_M327","1:00","角色歌曲\n\n時間 / 01:25\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n　　　可可蘿（伊藤美来）\n　　　鈴莓（悠木碧）\n作詞 / KOCHO\n作曲 / 奧井康介\n編曲 / 奧井康介","1:25","SAI＊KOU起跑衝刺","bgm_M327"
"114","bgm_M293_juke","0:00","主線冒險\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","1:25","遙望著大海","bgm_M293"
"115","bgm_M316_juke","0:00","故事劇情主題曲\n-｢枝葉流光下的蒙太奇｣編曲-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","1:06","魔法少女　兩人是Misty&Purely","bgm_M316"
"116","bgm_M319_juke","0:00","故事劇情Boss戰\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","1:28","反逆獸","bgm_M319"
"117","bgm_M340","0:50","角色歌曲\n\n時間 / 01:32\n演唱　 / 霞（水瀨いのり）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","1:32","枝葉流光下的蒙太奇","bgm_M340"
"118","bgm_M330_juke","0:00","故事劇情主題曲\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","0:51","目標成為偶像！","bgm_M330"
"119","bgm_M333_juke","0:00","回憶地圖\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:34","回憶的足跡","bgm_M333"
"120","bgm_M57_juke","0:00","主線劇情\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","2:24","公主騎士","bgm_M57"
"121","bgm_M343_juke","0:00","故事劇情主題曲\n-｢青春翻轉家｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","1:07","恩賜的財團與神聖學院的問題兒童","bgm_M343"
"122","bgm_M346_juke","0:00","故事劇情BOSS戰\n\n時間 / 02:43\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","2:43","好朋友X","bgm_M346"
"123","bgm_M359","0:51","角色歌曲\n\n時間 / 01:20\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","1:20","青春翻轉家","bgm_M359"
"124","bgm_M339_juke","0:00","主線冒險\n\n時間 / 02:00\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","2:00","密林暗處潛伏者","bgm_M339"
