bf5956116eb0ca063abba2680b46cd03e56287027f91a181e0f5ba313595254d,901ca49cc723ac46e4e255c0685d34a73ae71fe90d4c11687de4c1825c9d9e92,596030aa460abc26b38729598ebf435aefb0008501dc899e94e211765176088a,81402571c24e7b0d91d6371f153a56dc9691078442e4d05d974e7ffe11f3f4b7,bcb618cccd42068a6522219214f6da5b8d4cc7c5e3963af13499f746b2cc8a70,0879b8419fa959790d0a74c28f268a2028f773ae908790c381a265b49a08b077,804e98d80f07d15b823b29513749f11104962a2213b0ebb59ee9e6aba1f56e18,2567b0bbee13300e1fd705949dbf532e52ef5e17394d5e659832183269562ac8,c7959de53e8345f239a4910ac81155741972dba9992f6c5eceb74ce83512865f,07f9bf27f74fec26d28389b1e8cf80d14b2518fec5775643e800ae36514a6851,8932594d9365895349bbb0085fb61d4574c06ebff25fce852d7066e5bfb9ddbd
"-140","1","1210003","106031","1","0","-35","01_uek_cmn_idol_def_N","21","1.3","100"
"0","105931","1210004","風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","11","","0","","21","","10"
"","0","1210005","","91","","","","21","",""
"0","112531","1210006","說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","11","","0","","21","","10"
"","0","1210007","","91","","","","21","",""
"01_uek_cmn_idol_def_N","106031","1210008","01_uek_21_kyaru","3","","1","","21","","0"
"0","106031","1210009","……妳們好像\n在奇妙的地方\n同步了呢。","11","","0","","21","","10"
"","0","1210010","","91","","","","21","",""
"180","1","1220001","105831","1","0","40","01_uek_cmn_idol_def_N","22","1.3","100"
"250","4","1220002","4","31","","1.3","","22","1","420"
"","105831","1220003","01_uek_cmn_pose03","3","","","","22","0.2","1"
"0","105831","1220004","像飯糰的雲\n會是什麼味道呢\n……流口水☆","11","","0","","22","","10"
"","0","1220005","","91","","","","22","",""
"33","1","1230001","105231","1","0","5","03_uek_cmn_idol_def_N","23","1.3","100"
"200","1","1230002","102631","1","0","40","03_uek_23_rin","23","1.3","1010"
"-110","1","1230003","103331","1","0","-25","03_uek_cmn_idol_def_N","23","1.3","100"
"32","5","1230004","5","31","","1","","23","1","220"
"","102631","1230005","03_uek_23_rin","3","","","","23","0.2","1"
"0","102631","1230006","這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","11","","0","","23","","10"
"","0","1230007","","91","","","","23","",""
"45","102631","1230008","1100","2","","0","","23","","40"
"45","5","1230009","1120","33","","0","","23","","32"
"","105231","1230010","03_uek_cmn_pose04","3","","","","23","0.2","1"
"","103331","1230011","03_uek_talk_surprise2","3","","","","23","0.2","1"
"0","105231","1230012","鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","11","","0","","23","","10"
"","0","1230013","","91","","","","23","",""
"0","103331","1230014","乾草比這\n更軟的啦！\n快點回來啦！","11","","0","","23","","10"
"","0","1230015","","91","","","","23","",""
"-240","1","1240001","105531","1","0","-45","03_uek_24_ayumi","24","1.3","10"
"","105531","1240002","03_uek_24_ayumi","3","","0","","24","","1"
"0","105531","1240003","啊，\n前輩在那裡，\n盯……………","11","","0","","24","","10"
"175","1","1250001","103631","1","1","15","03_uek_cmn_idol_def_N","25","1.3","100"
"-36","1","1250002","100431","1","0","-10","03_uek_cmn_idol_def_N","25","1.3","100"
"-158","1","1250003","102031","1","0","-45","03_uek_cmn_idol_def_N","25","1.3","100"
"","102031","1250004","03_uek_cmn_pose06","3","","0","","25","","1"
"0","102031","1250005","在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","11","","0","","25","","10"
"","0","1250006","","91","","","","25","",""
"03_uek_25_misogi_loop","100431","1250007","03_uek_25_misogi","3","","1","","25","","0"
"0","100431","1250008","對啊！鏡華也\n這樣覺得吧？\n……哇！","11","","0","","25","","10"
"03_uek_25_kyouka_loop","103631","1250009","03_uek_25_kyouka","3","","0","","25","","1"
"","0","1250010","","91","","","","25","",""
"0","103631","1250011","慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","11","","0","","25","","10"
"","0","1250012","","91","","","","25","",""
"-179","1","1270001","104831","1","0","-43","01_uek_cmn_idol_def_N","27","1.3","100"
"0","1","1270002","104631","1","0","-14","01_uek_27_tamaki_loop","27","1.3","100"
"200","1","1270003","103231","1","1","24","01_uek_cmn_idol_def_N","27","1.3","100"
"0","104631","1270004","呼呼……\n到、到極限了喵……\n我想回去喵……","11","","0","","27","","10"
"","0","1270005","","91","","","","27","",""
"01_uek_talk_normal","104831","1270006","01_uek_cmn_pose02","3","","1","","27","","0"
"0","104831","1270007","步行只要有效率地\n分配體力，\n這點程度不算什麼。","11","","0","","27","","10"
"","0","1270008","","91","","","","27","",""
"","104831","1270009","01_uek_cmn_idol_def_N","3","","0","","27","0.3","1"
"","103231","1270010","01_uek_27_akino_loop","3","","0","","27","","1"
"0","103231","1270011","喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","11","","0","","27","","10"
"0","1","1280001","102931","1","0","-10","04_uek_cmn_idol_def_N","28","1.3","110"
"-120","1","1280002","104231","1","0","-30","04_uek_cmn_idol_def_N","28","1.3","120"
"120","1","1280003","105431","1","0","10","04_uek_cmn_idol_def_N","28","1.3","100"
"10","6","1280004","6","31","","1.3","","28","0","35"
"-10","6","1280005","9","31","","1.3","","28","0","-85"
"30","6","1280006","10","31","","1.3","","28","0","155"
"","102931","1280007","04_uek_28_nozomi","3","","","","28","0.2","1"
"","104231","1280008","04_uek_28_chika","3","","","","28","0.2","1"
"","105431","1280009","04_uek_28_tsumugi","3","","","","28","0.2","1"
"","6","1280010","1","32","","","","28","",""
"","9","1280011","1","32","","","","28","",""
"","10","1280012","1","32","","","","28","",""
"0","102931","1280013","就算在天空上\n慈樂之音也要…\n站上舞台！","11","","0","","28","","10"
"","0","1280014","","91","","","","28","",""
"0","104231","1280015","風吹得真舒服……！\n精靈們好像\n也很開心！","11","","0","","28","","10"
"","0","1280016","","91","","","","28","",""
"0","105431","1280017","太棒了呢！\n就一路嗨到\n安可吧！","11","","0","","28","","10"
"","0","1280018","","91","","","","28","",""
"-40","1","1290001","101531","1","0","-10","03_uek_cmn_idol_def_N","29","1.3","100"
"95","1","1290002","101831","1","1","10","03_uek_cmn_idol_def_N","29","1.3","100"
"","101831","1290003","03_uek_talk_joy1","3","","0","","29","","1"
"0","101831","1290004","真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","11","","0","","29","","10"
"","0","1290005","","91","","","","29","",""
"","101831","1290006","03_uek_cmn_idol_def_N","3","","0","","29","0.3","1"
"","101531","1290007","03_uek_talk_joy1","3","","0","","29","0.3","1"
"0","101531","1290008","哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","11","","0","","29","","10"
"","0","1290009","","91","","","","29","",""
"","101531","1290010","03_uek_cmn_idol_def_N","3","","0","","29","0.3","1"
"-195","2","1300001","105831","1","0","-35","05_idle","30","0.9","100"
"150","2","1300002","307505","1","0","-50","307505_idle","30","1.5","1000"
"50","102","1300003","19","31","","1","","30","1","150"
"400","103","1300004","20","31","","1","","30","1","150"
"307505_idle","307505","1300005","307505_awake","3","","1","","30","0","0"
"140","1","1310001","105831","1","0","10","01_uek_cmn_idol_def_N","31","1.3","110"
"20","1","1310002","105931","1","0","0","01_uek_cmn_idol_def_N","31","1.3","110"
"-200","1","1310003","106031","1","0","-55","01_uek_26_kyaru_loop","31","1.3","110"
"","1","1310004","","93","","","","31","",""
"","105831","1310005","1","4","","","","31","",""
"","105831","1310006","01_uek_cmn_pose04","3","","","","31","0","1"
"","105831","1310007","妳們快看！\n是星星的世界！\n好棒的景色呢☆","11","","","","31","","10"
"","2.3","1310008","","93","","","","31","",""
"","105831","1310009","01_uek_cmn_idol_def_N","3","","0","","31","0.2","0"
"","1310007","1310010","","91","","","","31","",""
"","105831","1310011","01_uek_cmn_idol_def_N","3","","0","","31","0.2","1"
"","105931","1310012","01_uek_talk_normal","3","","","","31","","1"
"","105931","1310013","真的是\n很棒的地方呢，\n我們好好享受吧。","11","","","","31","","10"
"","0","1310014","","91","","","","31","",""
"","105931","1310015","01_uek_cmn_idol_def_N","3","","","","31","0.2","1"
"","106031","1310016","妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","11","","","","31","","10"
"255","1","1320001","104531","1","1","91","02_uek_32_kuka_loop","32","1.3","100"
"-97","1","1320002","105331","1","0","-29","02_uek_cmn_idol_def_N","32","1.3","100"
"50","1","1320003","103031","1","0","0","02_uek_cmn_idol_def_N","32","1.3","100"
"","104531","1320004","02_uek_32_kuka","3","","0","","32","0.5","0"
"02_uek_talk_surprise2","105331","1320005","02_uek_cmn_shock_def_N","3","","1","","32","0.5","0"
"02_uek_talk_surprise2","103031","1320006","02_uek_cmn_shock_def_N","3","","1","","32","0.5","0"
"","0","1320007","","91","","","","32","",""
"","103031","1320008","02_uek_talk_surprise2","3","","0","","32","0.5","1"
"0","103031","1320009","好不容易找到的\n空花\n又要飛走了！","11","","0","","32","","10"
"","0","1320010","","91","","","","32","",""
"","105331","1320011","02_uek_talk_surprise2","3","","0","","32","0.5","1"
"0","105331","1320012","她果然\n很開心的樣子！？","11","","0","","32","","10"
"0","1","1330001","100831","1","1","0","02_uek_cmn_idol_def_N","33","1.3","100"
"130","7","1330002","7","31","","1.3","","33","1","-120"
"02_uek_33_yuki_loop","100831","1330003","02_uek_33_yuki","3","","1","","33","0.2","0"
"0","100831","1330004","沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","11","","0","","33","","10"
"","0","1330005","","91","","","","33","",""
"10","1","1340001","100931","1","1","0","02_uek_cmn_idol_def_N","34","1.3","110"
"180","1","1340002","101331","1","1","10","02_uek_cmn_idol_def_N","34","1.3","110"
"","1","1340003","","93","","","","34","",""
"02_uek_cmn_idol_def_N","101331","1340004","02_uek_cmn_pose01","3","0.2","1","","34","0.2","1"
"0","101331","1340005","來到宇宙啦！\n人家超嗨\n爆嗨的啦！","11","","0","","34","","10"
"","0","1340006","","91","","","","34","",""
"02_uek_34_anna_loop","100931","1340007","02_uek_34_anna","3","0","1","","34","0.2","0"
"0","100931","1340008","呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","11","","0","","34","","10"
"-200","1","1350001","100231","1","1","-60","01_uek_cmn_idol_def_N","35","1.3","100"
"0","1","1350002","100331","1","1","10","01_uek_cmn_idol_def_N","35","1.3","100"
"200","1","1350003","100131","1","1","20","01_uek_cmn_idol_def_N","35","1.3","100"
"270","8","1350004","8","31","","1","","35","1","0"
"01_uek_35_yui_loop","100231","1350005","01_uek_35_yui","3","0.2","1","","35","0.2","0"
"01_uek_35_rei_loop","100331","1350006","01_uek_35_rei","3","0.2","1","","35","0.2","0"
"","100131","1350007","01_uek_cmn_pose03","3","","","","35","0.2","1"
"0","100231","1350008","快看，是流星…！\n大家一起\n許願吧！","11","","0","","35","","10"
"","0","1350009","","91","","","","35","",""
"0","100331","1350010","嗯，是呀。\n這個情境\n很適合我們呢。","11","","0","","35","","10"
"","0","1350011","","91","","","","35","",""
"0","100131","1350012","贊成！\n那麼我要許……\n嗯、嗯……！","11","","0","","35","","10"
"","0","1350013","","91","","","","35","",""
"105","1","1360001","102531","1","0","5","03_uek_cmn_idol_def_N","36","1.3","110"
"10","1","1360002","102831","1","0","10","03_uek_cmn_idol_def_N","36","1.3","100"
"","1","1360003","","93","","","","36","",""
