1741db1c718e9f96f899653f7bbba67ff901930f0b55a275a13c57a7991b8cd0,543b771a2feee9d8f4ca180116228963fbdbd4b05e29f22acb3e619317379700,1fa85ae63e4cd8a7209cb53e64f2890fa8eff27986502d8ec6a898f9a4410e27,91d1d5d452876a4643d3bfbc42d939d2f899beded6a2a3d3eae96d6ea9626199,43a3bd1ef32704547b108e65362acb72d2d2fc2413cd2a375f2a3b17c69e8f39,99d497db48a7236c9f6d7993c3732905f00403713cda7e57f5495300e9a89a5e,66fc924fcdd8ca98f61f49600f6c7df26e62710aed45266eeead5bbc50ba352d,6184c2a753557e831fadef38606b911b7528aa69ba928e5a8952f883cacf0e3d,de8ab571e004254d814da6410f188f5d59a09ddd1c46cf453414c60611ec5541,ec8630e00e0317fc09b233f09e8d3d5192656a859e8c3e24d2887c27dc8290fd,7f10cf02c2888d6fce412ffdd42eb82b36cf5a762952ddc7d617d402dfd39c06
"0","122811","1009801","0","咦──蛞蝓～？\n感覺不怎麼帥氣……\n那還是不要讓牠接近鹽好了？","1009801112","10","1","0","1","11"
"","0","1009801","","","1009801113","","","","","91"
"","1009801129","1009801","","","1009801114","","","","","101"
"0.2","122711","1009801","0","lsv_choice","1009801115","0","1","","lsv_idle_normal","3"
"0.2","122811","1009801","0","lsv_choice","1009801116","0","1","","lsv_idle_normal","3"
"0.2","122911","1009801","0","lsv_choice","1009801117","0","1","","lsv_idle_normal","3"
"","0.1","1009801","","0","1009801118","","","","","93"
"0.2","122711","1009801","","-200","1009801119","-235","2","","0.33","2"
"0.2","122811","1009801","","100","1009801120","-220","2","","0.33","2"
"0.2","122911","1009801","","270","1009801121","-250","2","","0.33","2"
"","0.7","1009801","","0","1009801122","","","","","93"
"","122711","1009801","0.2","lsv_talk_normal_worry","1009801123","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0134","1009801124","0","","","0","21"
"0","122711","1009801","0","大家都一起摸過牠了，\n這不可能啦。\n更何況……牠那麼可愛。","1009801125","10","1","0","1","11"
"","0","1009801","","","1009801126","","","","","91"
"","122711","1009801","0.2","lsv_idle_normal","1009801127","1","","","","3"
"","1009801129","1009801","","","1009801128","","","","","101"
"","0","1009801","","","1009801129","","","","","91"
"0.2","122811","1009801","0","lsv_talk_arm_crossed_joy","1009801130","0","1","","lsv_talk_arm_crossed_loop_joy","3"
"","vo_lsv","1009801","","vo_lsv_0135","1009801131","0","","","0","21"
"0","122811","1009801","0","哎，不管怎麼樣，\n養養看就知道啦！\n那麼，一起加油吧──！","1009801132","10","1","0","1","11"
"","0","1009801","","","1009801133","","","","","91"
"0.2","122811","1009801","0","lsv_handsup_joy","1009801134","0","1","","lsv_idle_normal_joy","3"
"0.2","122911","1009801","0","lsv_handsup_joy","1009801135","0","1","","lsv_idle_normal_joy","3"
"0.2","122711","1009801","0","lsv_handsup_joy2","1009801136","0","1","","lsv_idle_normal_joy","3"
"","vo_lsv","1009801","","vo_lsv_0136","1009801137","0","","","0","21"
"0","122811","1009801","0","喔──！","1009801138","10","1","0","1","11"
"0","122911","1009801","0","喔──！","1009801139","10","1","0","1","11"
"0","122711","1009801","0","喔──！","1009801140","10","1","0","1","11"
"","0","1009801","","","1009801141","","","","","91"
"","0","1009801","","0.2","1009801142","","","","","22"
"","0.2","1009801","","","1009801143","","","","","93"
"","","1009801","","","1009801144","","","","","102"
"0","122911","1009801","0","7","1009801145","1","0","0","0","12"
"","122911","1009801","0.2","lsv_talk_joy3","1009801146","1","","","","3"
"","3","1009801","","0","1009801147","","","","","93"
"","122911","1009801","0.2","lsv_idle_normal_joyR","1009801148","1","","","","3"
"0","122811","1009801","0","6","1009801149","1","0","0","0","12"
"0.2","122811","1009801","0","lsv_talk_guts1","1009801150","0","1","","lsv_talk_guts1_loop","3"
"","3","1009801","","0","1009801151","","","","","93"
"","122811","1009801","0.2","lsv_idle_joy","1009801152","1","","","","3"
"0","122711","1009801","0","10","1009801153","1","0","0","0","12"
"","122711","1009801","0.2","lsv_talk_joy1_normal","1009801154","1","","","","3"
"","3","1009801","","0","1009801155","","","","","93"
"","122711","1009801","0.2","lsv_idle_normal_joy","1009801156","1","","","","3"
"","1009801145","1009801","","","1009801157","","","","","101"
"0","333","1009801","1","1","1009801158","1","0","","1","6"
"","122711","1009801","","1","1009801159","","","","","4"
"","122711","1009801","0.2","lsv_run","1009801160","1","","","","3"
"","122711","1009801","","-750","1009801161","-235","0","","0.8","2"
"","122811","1009801","","0","1009801162","","","","","4"
"","122811","1009801","0.2","lsv_run","1009801163","1","","","","3"
"","122811","1009801","","750","1009801164","-220","0","","0.8","2"
"","122911","1009801","","0","1009801165","","","","","4"
"","122911","1009801","0.2","lsv_run","1009801166","1","","","","3"
"","122911","1009801","","850","1009801167","-250","0","","0.8","2"
"","0.6","1009801","","","1009801168","","","","","93"
"0","122711","1009801","0.2","1","1009801169","1","0","","1","6"
"0","122811","1009801","0.2","1","1009801170","1","0","","1","6"
"0","122911","1009801","0.2","1","1009801171","1","0","","1","6"
"","0","1009801","","","1009801172","","","","","91"
"0","1","1009802","1.95","122911","1009802001","102","-235","lsv_idle_normal","-650","1"
"1","1","1009802","1.95","122811","1009802002","100","-220","lsv_idle_normal","650","1"
"1","1","1009802","1.95","122711","1009802003","101","-250","lsv_idle_normal","750","1"
"0","1","1009802","1","333","1009802004","0","0","lsv_white_loop","0","5"
"0","333","1009802","0","1","1009802005","1","0","","1","6"
"0","122911","1009802","0","1","1009802006","1","0","","1","6"
"0","122811","1009802","0","1","1009802007","1","0","","1","6"
"0","122711","1009802","0","1","1009802008","1","0","","1","6"
"","1","1009802","","0","1009802009","","","","","93"
"0","333","1009802","0.8","1","1009802010","1","0.4","","1","6"
"","122911","1009802","0.2","lsv_walk","1009802011","1","","","","3"
"","122911","1009802","","-200","1009802012","-235","0","","2","2"
"0","122911","1009802","0.4","1","1009802013","1","1","","1","6"
"","122811","1009802","0.2","lsv_walk","1009802014","1","","","","3"
"","122811","1009802","","100","1009802015","-220","0","","2","2"
"0","122811","1009802","0.4","1","1009802016","1","1","","1","6"
"","122711","1009802","0.2","lsv_walk","1009802017","1","","","","3"
"","122711","1009802","","270","1009802018","-250","0","","2","2"
"0","122711","1009802","0.4","1","1009802019","1","1","","1","6"
"","2","1009802","","0","1009802020","","","","","93"
"","122911","1009802","0.2","lsv_idle_normal","1009802021","1","","","","3"
"","122811","1009802","0.2","lsv_idle_normal","1009802022","1","","","","3"
"","122711","1009802","0.2","lsv_idle_normal","1009802023","1","","","","3"
"","0.6","1009802","","0","1009802024","","","","","93"
"","122811","1009802","0.2","lsv_talk_sad_dead","1009802025","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0221","1009802026","0","","","0","21"
"0","122811","1009802","0","雖然又去了一次海邊，\n還是找不到\n小繆的家人耶。","1009802027","10","1","0","1","11"
"","0","1009802","","","1009802028","","","","","91"
"","122811","1009802","0.2","lsv_idle_sad_talk1","1009802029","1","","","","3"
"","122711","1009802","0.2","lsv_talk_thinking_sadR","1009802030","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0222","1009802031","0","","","0","21"
"0","122711","1009802","0","嗯，不僅如此，\n搞不懂的事\n又更多了呢。","1009802032","10","1","0","1","11"
"","0","1009802","","","1009802033","","","","","91"
"","122711","1009802","0.2","lsv_idle_normal_suprise1","1009802034","1","","","","3"
"","122811","1009802","0.2","lsv_idle_normal","1009802035","1","","","","3"
"","122911","1009802","0.2","lsv_talk_normal","1009802036","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0223","1009802037","0","","","0","21"
"0","122911","1009802","0","但知道小繆\n會吃什麼了呢～\n跟我們吃一樣的就行了♪","1009802038","10","1","0","1","11"
"","0","1009802","","","1009802039","","","","","91"
"","122911","1009802","0.2","lsv_idle_normal_joyR","1009802040","1","","","","3"
"","122711","1009802","0.2","lsv_talk_normal","1009802041","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0224","1009802042","0","","","0","21"
"0","122711","1009802","0","啊，確實如此。\n這件事有搞清楚\n真是太好了。","1009802043","10","1","0","1","11"
"","0","1009802","","","1009802044","","","","","91"
"","122711","1009802","0.2","lsv_idle_normal","1009802045","1","","","","3"
"","122911","1009802","0.2","lsv_talk_surprise","1009802046","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0225","1009802047","0","","","0","21"
"0","122911","1009802","0","小繆會喜歡\n哪種食物呢～？\n哥哥知道嗎？","1009802048","10","1","0","1","11"
"","0","1009802","","","1009802049","","","","","91"
"","122911","1009802","0.2","lsv_idle_surprise_talkjoy","1009802050","1","","","","3"
"0.2","122911","1009802","0","lsv_choice","1009802051","0","1","","lsv_look_idle_normal","3"
"0.2","122811","1009802","0","lsv_choice","1009802052","0","1","","lsv_look_idle_normal","3"
"0.2","122711","1009802","0","lsv_choice","1009802053","0","1","","lsv_look_idle_normal","3"
"","0.1","1009802","","0","1009802054","","","","","93"
"0.2","122911","1009802","","-452","1009802055","-235","2","","0.33","2"
"0.2","122811","1009802","","420","1009802056","-220","2","","0.33","2"
"0.2","122711","1009802","","545","1009802057","-250","2","","0.33","2"
"","0","1009802","0.2","0","1009802058","1","","","","22"
"","蛋糕。","1009802","","1009802062","1009802059","0","","","","103"
"","蘋果。","1009802","","1009802086","1009802060","0","","","","103"
"","麵包。","1009802","","1009802109","1009802061","0","","","","103"
"0.2","122911","1009802","0","lsv_choice","1009802062","0","1","","lsv_idle_normal","3"
"0.2","122811","1009802","0","lsv_choice","1009802063","0","1","","lsv_idle_normal","3"
"0.2","122711","1009802","0","lsv_choice","1009802064","0","1","","lsv_idle_normal","3"
"","0.1","1009802","","0","1009802065","","","","","93"
"0.2","122911","1009802","","-200","1009802066","-235","2","","0.33","2"
"0.2","122811","1009802","","100","1009802067","-220","2","","0.33","2"
"0.2","122711","1009802","","270","1009802068","-250","2","","0.33","2"
"","0.7","1009802","","0","1009802069","","","","","93"
"","122911","1009802","0.2","lsv_talk_joy3","1009802070","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0226","1009802071","0","","","0","21"
"0","122911","1009802","0","蛋糕很好吃嘛～\n美美也最～喜歡了♪","1009802072","10","1","0","1","11"
"","0","1009802","","","1009802073","","","","","91"
"","122911","1009802","0.2","lsv_idle_normal_joy","1009802074","1","","","","3"
"","122811","1009802","0.2","lsv_talk_wish_joy","1009802075","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0227","1009802076","0","","","0","21"
"0","122811","1009802","0","蛋糕……既然如此，\n也來調查牠喜歡哪種蛋糕吧！\n這樣一定更好！","1009802077","10","1","0","1","11"
"","0","1009802","","","1009802078","","","","","91"
"","122811","1009802","0.2","lsv_idle_wish_joy","1009802079","1","","","","3"
"0.2","122711","1009802","0","lsv_talk_doya_shy","1009802080","0","1","","lsv_talk_doya_shy_loop","3"
"","vo_lsv","1009802","","vo_lsv_0228","1009802081","0","","","0","21"
"0","122711","1009802","0","說是這麼說，其實只是\n妳自己想吃各種蛋糕吧……\n不過我也贊成♪","1009802082","10","1","0","1","11"
"","0","1009802","","","1009802083","","","","","91"
"","122711","1009802","0.2","lsv_idle_doya","1009802084","1","","","","3"
"","1009802133","1009802","","","1009802085","","","","","101"
"0.2","122911","1009802","0","lsv_choice","1009802086","0","1","","lsv_idle_normal","3"
"0.2","122811","1009802","0","lsv_choice","1009802087","0","1","","lsv_idle_normal","3"
"0.2","122711","1009802","0","lsv_choice","1009802088","0","1","","lsv_idle_normal","3"
"","0.1","1009802","","0","1009802089","","","","","93"
"0.2","122911","1009802","","-200","1009802090","-235","2","","0.33","2"
"0.2","122811","1009802","","100","1009802091","-220","2","","0.33","2"
"0.2","122711","1009802","","270","1009802092","-250","2","","0.33","2"
"","0.7","1009802","","0","1009802093","","","","","93"
"","122711","1009802","0.2","lsv_talk_thinking_joyR","1009802094","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0229","1009802095","0","","","0","21"
"0","122711","1009802","0","蘋果……水果啊。\n很健康，我覺得很不錯。","1009802096","10","1","0","1","11"
"","0","1009802","","","1009802097","","","","","91"
"","122711","1009802","0.2","lsv_idle_normal_joy","1009802098","1","","","","3"
"0.2","122911","1009802","0","lsv_talk_guts2_joy","1009802099","0","1","","lsv_talk_guts2_joy_loop","3"
"","vo_lsv","1009802","","vo_lsv_0230","1009802100","0","","","0","21"
"0","122911","1009802","0","美美喜歡切成\n兔子形狀的蘋果～♪","1009802101","10","1","0","1","11"
"","0","1009802","","","1009802102","","","","","91"
"","122911","1009802","0.2","lsv_idle_normal_joyR","1009802103","1","","","","3"
"0.2","122811","1009802","0","lsv_talk_guts2","1009802104","0","1","","lsv_talk_guts2_loop","3"
"","vo_lsv","1009802","","vo_lsv_0231","1009802105","0","","","0","21"
"0","122811","1009802","0","我們也切給牠吃吧！\n雖然好像很難，\n但總會有辦法的！","1009802106","10","1","0","1","11"
"","0","1009802","","","1009802107","","","","","91"
"","1009802133","1009802","","","1009802108","","","","","101"
"0.2","122911","1009802","0","lsv_choice","1009802109","0","1","","lsv_idle_normal","3"
"0.2","122811","1009802","0","lsv_choice","1009802110","0","1","","lsv_idle_normal","3"
"0.2","122711","1009802","0","lsv_choice","1009802111","0","1","","lsv_idle_normal","3"
"","0.1","1009802","","0","1009802112","","","","","93"
"0.2","122911","1009802","","-200","1009802113","-235","2","","0.33","2"
"0.2","122811","1009802","","100","1009802114","-220","2","","0.33","2"
"0.2","122711","1009802","","270","1009802115","-250","2","","0.33","2"
"","0.7","1009802","","0","1009802116","","","","","93"
"","122811","1009802","0.2","lsv_talk_normal_worry","1009802117","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0232","1009802118","0","","","0","21"
"0","122811","1009802","0","麵包啊……感覺好普通喔──\n我們也每天都在吃。","1009802119","10","1","0","1","11"
"","0","1009802","","","1009802120","","","","","91"
"","122811","1009802","0.2","lsv_idle_normal_suprise1","1009802121","1","","","","3"
"","122711","1009802","0.2","lsv_talk_normal","1009802122","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0233","1009802123","0","","","0","21"
"0","122711","1009802","0","不過，如果真的討厭\n是沒辦法每天吃的。\n而且也能換換口味。","1009802124","10","1","0","1","11"
"","0","1009802","","","1009802125","","","","","91"
"","122711","1009802","0.2","lsv_idle_normal","1009802126","1","","","","3"
"","122911","1009802","0.2","lsv_talk_wish_joy","1009802127","1","","","","3"
"","vo_lsv","1009802","","vo_lsv_0234","1009802128","0","","","0","21"
"0","122911","1009802","0","如果是三明治，\n我們或許也做得出來！\n來做做看吧～♪","1009802129","10","1","0","1","11"
"","0","1009802","","","1009802130","","","","","91"
"","122911","1009802","0.2","lsv_idle_wish_joyR","1009802131","1","","","","3"
"","1009802133","1009802","","","1009802132","","","","","101"
"","0","1009802","","","1009802133","","","","","91"
"","","1009802","","","1009802134","","","","","102"
"","0","1009802","","0.2","1009802135","","","","","22"
"","0.2","1009802","","","1009802136","","","","","93"
"0","122811","1009802","0","11","1009802137","1","0","0","0","12"
"0.2","122811","1009802","0.2","lsv_surprise3_kira","1009802138","0","1","","lsv_surprise3_kira_loop","3"
"","3","1009802","","0","1009802139","","","","","93"
"","122811","1009802","0.2","lsv_idle_normal_joy","1009802140","1","","","","3"
"0","122711","1009802","0","10","1009802141","1","0","0","0","12"
"","122711","1009802","0.2","lsv_talk_joy3_dere","1009802142","1","","","","3"
"","3","1009802","","0","1009802143","","","","","93"
"","122711","1009802","0.2","lsv_idle_normal_joy","1009802144","1","","","","3"
"0","122911","1009802","0","7","1009802145","1","0","0","0","12"
"","122911","1009802","0.2","lsv_talk_memory","1009802146","1","","","","3"
"","3","1009802","","0","1009802147","","","","","93"
"","122911","1009802","0.2","lsv_idle_normal_joyR","1009802148","1","","","","3"
"","1009802137","1009802","","","1009802149","","","","","101"
"0","333","1009802","1","1","1009802150","1","0","","1","6"
"","122911","1009802","","1","1009802151","","","","","4"
"","122911","1009802","0.2","lsv_run","1009802152","1","","","","3"
"","122911","1009802","","-750","1009802153","-235","0","","0.8","2"
"","122811","1009802","","0","1009802154","","","","","4"
"","122811","1009802","0.2","lsv_run","1009802155","1","","","","3"
"","122811","1009802","","750","1009802156","-220","0","","0.8","2"
"","122711","1009802","","0","1009802157","","","","","4"
"","122711","1009802","0.2","lsv_run","1009802158","1","","","","3"
"","122711","1009802","","850","1009802159","-250","0","","0.8","2"
"","0.6","1009802","","","1009802160","","","","","93"
"0","122911","1009802","0.2","1","1009802161","1","0","","1","6"
"0","122811","1009802","0.2","1","1009802162","1","0","","1","6"
"0","122711","1009802","0.2","1","1009802163","1","0","","1","6"
"","0","1009802","","","1009802164","","","","","91"
"0","1","1009803","1.95","100411","1009803001","101","-220","lsv_idle_normal","-700","1"
"0","1","1009803","1.95","103611","1009803002","100","-235","lsv_idle_normal","-550","1"
"0","1","1009803","1.95","102011","1009803003","102","-250","lsv_idle_normal","-800","1"
"0","1","1009803","1","333","1009803004","0","0","lsv_white_loop","0","5"
"0","333","1009803","0","1","1009803005","1","0","","1","6"
"","3","1009803","0","13","1009803006","-630","1.3","","110","31"
"0","100411","1009803","0","1","1009803007","1","0","","1","6"
"0","103611","1009803","0","1","1009803008","1","0","","1","6"
"0","102011","1009803","0","1","1009803009","1","0","","1","6"
"","1","1009803","","0","1009803010","","","","","93"
"0","333","1009803","0.8","1","1009803011","1","0.4","","1","6"
"","100411","1009803","0.2","lsv_walk_glad","1009803012","1","","","","3"
"","100411","1009803","","-100","1009803013","-220","0","","2","2"
"0","100411","1009803","0.4","1","1009803014","1","1","","1","6"
"","103611","1009803","0.2","lsv_walk_glad2","1009803015","1","","","","3"
"","103611","1009803","","100","1009803016","-235","0","","2.2","2"
"0","103611","1009803","0.4","1","1009803017","1","1","","1","6"
"","102011","1009803","0.2","lsv_walk_glad","1009803018","1","","","","3"
"","102011","1009803","","-270","1009803019","-250","0","","2","2"
"0","102011","1009803","0.4","1","1009803020","1","1","","1","6"
"","13","1009803","","1","1009803021","","","","","32"
"","13","1009803","","-180","1009803022","110","0","","2","33"
"","2","1009803","","","1009803023","","","","","93"
"","13","1009803","","0","1009803024","","","","","32"
"","100411","1009803","0.2","lsv_idle_normal","1009803025","1","","","","3"
"","102011","1009803","0.2","lsv_idle_normal","1009803026","1","","","","3"
"","0.2","1009803","","","1009803027","","","","","93"
"","103611","1009803","","1","1009803028","","","","","4"
"","103611","1009803","0.2","lsv_idle_normal","1009803029","1","","","","3"
"","0.5","1009803","","","1009803030","","","","","93"
"0","100411","1009803","0","10","1009803031","0.5","","","","12"
"0.2","100411","1009803","0","lsv_smile2","1009803032","0","1","","lsv_idle_normal","3"
