c04d30e4d33b46f49a4d257ce9a8bf02a292a23b94f4a2f3593658c6cab853b9,6fbf1ad5be00e6bc34b60ead04b5dd26e955f2dbbb1049b1c7db8cee3c1b0247,76fcb877f7e4cbd068a3bdc8ed28942098fcff2745f4bb52b30df2cc38fd1bcd,6c2716378f20780916fd606e537b02a0284f1a8acb0b03cca1f0af63610a4b4a,41d993325b43a1e4fe1425a3bd49ca240190f762b95488c95276f3c799ff5429,382f1dbab741bb36893703917206bf7e493740446e188d7e8d4cfa3efb2cd017,5ac215acf241079207f37956512461b66c790e846c3ad3cd48e760febcc0729d,c5fc5c3f2a1c08d9f6f149089f6fef27ed2d4fb355834c2659397c3ade82870b,077c123b2803da935088f07ef987c213a328315d62bfe7124fcaef7a17a94274,292404a1ed74dd8013af6de2b467312cdfa7bdbc44b8d634f27865fe04f540c7,d05ee88139f43f93582e65c3486fc4f78253a59d4d336d9ef98315b4a847d32d
"1","13","","3","","0.2","","","13058","clear_talk2_look","2"
"0","13","","21","","","","0","13059","vo_asb_1528","vo_asb"
"10","13","0","11","0","0","1","1","13060","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","2"
"0","13","","91","","","","0","13061","","0"
"1","13","","3","","0.2","","","13062","wish_talk_Ex3","1"
"1","13","","3","","0.3","","","13063","joy_idle_look_shy_precia","3"
"0","13","0","3","","0.2","1","clear_wish_talk_joy_look","13064","talk2ToWish_look","2"
"0","13","","21","","","","0","13065","vo_asb_1529","vo_asb"
"10","13","0","11","0","0","1","1","13066","……謝謝！","1"
"0","13","","91","","","","0","13067","","0"
"1","13","","3","","0.2","","","13068","idle_look_shy_riri","1"
"1","13","","3","","0.2","","","13069","idle_look_shy","2"
"0","13","0","3","","0.2","1","doya_talk_precia","13070","doya_in_precia","3"
"0","13","","21","","","","0","13071","vo_asb_1530","vo_asb"
"10","13","0","11","0","0","1","1","13072","自信滿滿的，\n冒險記。","3"
"0","13","","91","","","","0","13073","","0"
"1","13","","3","","0.4","","","13074","idle_look_normal_precia","3"
"1","13","","3","","0.2","","","13075","riri_talk_look_shy","1"
"0","13","","21","","","","0","13076","vo_asb_1531","vo_asb"
"10","13","0","11","0","0","1","1","13077","誠如您看到的，\n我們還是如此的笨拙不成熟……","1"
"0","13","","91","","","","0","13078","","0"
"1","13","","3","","0.2","","","13079","riri_idle_look_normal_shy","1"
"1","13","","3","","0.2","","","13080","clear_talk3_look","2"
"0","13","","21","","","","0","13081","vo_asb_1532","vo_asb"
"10","13","0","11","0","0","1","1","13082","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","2"
"0","13","","91","","","","0","13083","","0"
"1","13","","3","","0.2","","","13084","clear_wish_talk_joy_look","2"
"0","13","","21","","","","0","13085","vo_asb_1533","vo_asb"
"10","13","0","11","0","0","1","1","13086","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","2"
"0","13","","91","","","","0","13087","","0"
"1","13","","3","","0.2","","","13088","clear_wish_idle_look","2"
"0","13","0.2","3","","0.1","1","joy_idle_look_shy_precia2","13089","agree","3"
"0","13","","21","","","","0","13090","vo_asb_1534","vo_asb"
"10","13","0","11","0","0","1","1","13091","請多指教。","3"
"0","13","","91","","","","0","13092","","0"
"0","13","0.2","3","","0.2","1","idle_look_shy_riri","13093","bow_riri","1"
"0","13","","21","","","","0","13094","vo_asb_1535","vo_asb"
"10","13","0","11","0","0","1","1","13095","請多多指教……！","1"
"0","13","","91","","","","0","13096","","0"
"","13","","101","","","","","13097","","13098"
"1","13","0","6","","0.3","0","1","13098","1","1"
"1","13","0","6","","0.3","0","1","13099","1","2"
"1","13","0","6","","0.3","0","1","13100","1","3"
"1","13","0","6","","0.3","0","1","13101","1","0"
"-230","13","","2","","","1","0.3","13102","-130","1"
"-255","13","","2","","","1","0.3","13103","-290","2"
"-245","13","","2","","","1","0.3","13104","120","3"
"0","13","","2","","","1","0.3","13105","-100","0"
"","13","","22","","","","","13106","0","0"
"","13","","35","","","","","13107","1","100"
"0","13","","33","","","1","0.3","13108","-100","100"
"","13","","93","","","","","13109","0","0.4"
"","13","","32","","","","","13110","0","100"
"52","22","0","5","surprise_idle_normal2_precia","2.2","-250","30","22001","1","3"
"1","22","0","6","","0","0","1","22002","1","1"
"29","22","0","5","black","1","0","50","22003","0","0"
"1","22","0","6","","0","0","1","22004","1","0"
"","22","","91","","","","","22005","","0"
"1","22","0","6","","0.2","1","1","22006","1","1"
"1","22","0","6","","0.2","1","1","22007","1","0"
"-250","22","","2","","","2","0.3","22008","-20","1"
"0","22","","2","","","2","0.3","22009","0","0"
"","22","","93","","","","","22010","0","0.6"
"0","22","","21","","","","0","22011","vo_asb_0221","vo_asb"
"10","22","0","11","0","0","1","1","22012","坐墊。\n餅乾。\n吃了好多。","1"
"0","22","","91","","","","0","22013","","0"
"1","22","","3","","0.3","","","22014","talk_surprise_precia","1"
"0","22","","21","","","","0","22015","vo_asb_0222","vo_asb"
"10","22","0","11","0","0","1","1","22016","鈴莓。\n好像，\n會做各式各樣。","1"
"0","22","","91","","","","0","22017","","0"
"1","22","","3","","0.3","","","22018","think_idle_precia","1"
"0","22","","21","","","","0","22019","vo_asb_0223","vo_asb"
"10","22","0","11","0","0","1","1","22020","像是，坐墊鬆餅。\n之類的？","1"
"0","22","","91","","","","0","22021","","0"
"1","22","","3","","0.3","","","22022","think_idle_dere_precia","1"
"0","22","","21","","","","0","22023","vo_asb_0224","vo_asb"
"10","22","0","11","0","0","1","1","22024","像是，坐墊馬芬蛋糕。\n之類的？","1"
"0","22","","91","","","","0","22025","","0"
"1","22","","3","","0.3","","","22026","think_idle_angerR","1"
"0","22","","21","","","","0","22027","vo_asb_0225","vo_asb"
"10","22","0","11","0","0","1","1","22028","像是，坐墊肉包子……\n之類的……（吞口水)","1"
"0","22","","91","","","","0","22029","","0"
"0","22","0","3","","0.1","1","speak1_light_precia","22030","thinkToSpeak_precia","1"
"0","22","","21","","","","0","22031","vo_asb_0226","vo_asb"
"10","22","0","11","0","0","1","1","22032","鈴莓。\n我要挖角她。\n來幻變少女。","1"
"0","22","","91","","","","0","22033","","0"
"","22","","101","","","","","22034","","22035"
"1","22","0","6","","0.3","0","1","22035","1","1"
"1","22","0","6","","0.3","0","1","22036","1","0"
"-250","22","","2","","","1","0.3","22037","-120","1"
"0","22","","2","","","1","0.3","22038","-100","0"
"","22","","22","","","","","22039","0","0"
"","22","","93","","","","","22040","0","0.4"
"52","32","0","5","riri_idle_look","2.2","-230","20","32001","1","1"
"58","32","0","5","clear_book_read","2.2","-255","-140","32002","2","2"
"55","32","1","5","joy_idle_precia","2.2","-245","270","32003","3","3"
"1","32","0","6","","0","0","1","32004","1","1"
"1","32","0","6","","0","0","1","32005","1","2"
"1","32","0","6","","0","0","1","32006","1","3"
"29","32","0","5","black","1","0","50","32007","0","0"
"1","32","0","6","","0","0","1","32008","1","0"
"","32","","91","","","","","32009","","0"
"1","32","0","6","","0.2","1","1","32010","1","1"
"1","32","0","6","","0.2","1","1","32011","1","2"
"1","32","0","6","","0.2","1","1","32012","1","3"
"1","32","0","6","","0.2","1","1","32013","1","0"
"-230","32","","2","","","2","0.3","32014","-30","1"
"-255","32","","2","","","2","0.3","32015","-190","2"
"-245","32","","2","","","2","0.3","32016","220","3"
"0","32","","2","","","2","0.3","32017","0","0"
"","32","","93","","","","","32018","0","0.6"
"1","32","","3","","0.2","","","32019","clear_book_talk","2"
"0","32","","21","","","","0","32020","vo_asb_0321","vo_asb"
"10","32","0","11","0","0","1","1","32021","這幅牛的畫，\n未免畫得太好了吧！？","2"
"0","32","","91","","","","0","32022","","0"
"1","32","","3","","0.4","","","32023","clear_book_idle","2"
"1","32","","3","","0.2","","","32024","riri_talk_look","1"
"0","32","","21","","","","0","32025","vo_asb_0322","vo_asb"
"10","32","0","11","0","0","1","1","32026","這是普蕾西亞畫的。\n因為她是天才呢。","1"
"0","32","","91","","","","0","32027","","0"
"1","32","","3","","0.2","","","32028","riri_idle_look","1"
"0","32","0","3","","0.1","1","clear_talk2_noShy","32029","clear_bookToTalk2","2"
"0","32","","21","","","","0","32030","vo_asb_0323","vo_asb"
"10","32","0","11","0","0","1","1","32031","話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","2"
"0","32","","91","","","","0","32032","","0"
"0","32","0","3","","0.1","1","idle_talkjoy2","32033","talk2ToIdle_talkjoy2","2"
"1","32","","3","","0.2","","","32034","sad_talk_joy2R","1"
"0","32","","21","","","","0","32035","vo_asb_0324","vo_asb"
"10","32","0","11","0","0","1","1","32036","是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","1"
"0","32","","91","","","","0","32037","","0"
"1","32","","3","","0.2","","","32038","sad_idle_normal_riri","1"
"1","32","","3","","0.2","","","32039","idle","2"
"1","32","","3","","0.3","","","32040","talk_precia","3"
"0","32","","21","","","","0","32041","vo_asb_0325","vo_asb"
"10","32","0","11","0","0","1","1","32042","想看嗎？","3"
"0","32","","91","","","","0","32043","","0"
"1","32","","3","","0.3","","","32044","joy_idle_precia","3"
"1","32","","3","","0.2","","","32045","guts2_talk_riri","1"
"1","32","","3","","0.2","","","32046","clear_hope_talk","2"
"0","32","","21","","","","0","32047","vo_asb_0326","vo_asb"
"10","32","0","11","0","0","1","1","32048","當然的。","1"
"0","32","","91","","","","0","32049","","0"
"1","32","","3","","0.2","","","32050","guts2_idle_riri","1"
"1","32","","3","","0.2","","","32051","clear_hope_idle","2"
"0","32","0","3","","0.2","1","cool_idle","32052","cool_in","3"
"0","32","","21","","","","0","32053","vo_asb_0327","vo_asb"
"10","32","0","11","0","0","1","1","32054","插腰。","3"
"0","32","","91","","","","0","32055","","0"
"0","32","0.1","3","","0.2","1","cool_idle_doya","32056","cool_idle_doya_in","3"
"1","32","","3","","0.2","","","32057","guts2_idle_joy_riri","1"
"1","32","","3","","0.2","","","32058","clear_hope_joy","2"
"0","32","","21","","","","0","32059","vo_asb_0328","vo_asb"
"10","32","-22","11","0","-85","1","1","32060","哇～♪","1"
"0","32","","91","","","","0","32061","","0"
"","32","","101","","","","","32062","","32063"
"1","32","0","6","","0.3","0","1","32063","1","1"
"1","32","0","6","","0.3","0","1","32064","1","2"
"1","32","0","6","","0.3","0","1","32065","1","3"
"1","32","0","6","","0.3","0","1","32066","1","0"
"-230","32","","2","","","1","0.3","32067","-130","1"
"-255","32","","2","","","1","0.3","32068","-290","2"
"-245","32","","2","","","1","0.3","32069","120","3"
"0","32","","2","","","1","0.3","32070","-100","0"
"","32","","22","","","","","32071","0","0"
"","32","","93","","","","","32072","0","0.4"
"52","42","0","5","clear_wish_talk_joy_noShy","2.2","-250","30","42001","1","2"
"1","42","0","6","","0","0","1","42002","1","1"
"29","42","0","5","black","1","0","50","42003","0","0"
"1","42","0","6","","0","0","1","42004","1","0"
"","42","","91","","","","","42005","","0"
"1","42","0","6","","0.2","1","1","42006","1","1"
"1","42","0","6","","0.2","1","1","42007","1","0"
"-250","42","","2","","","2","0.3","42008","-20","1"
"0","42","","2","","","2","0.3","42009","0","0"
"","42","","93","","","","","42010","0","0.6"
"0","42","","21","","","","0","42011","vo_asb_0421","vo_asb"
"10","42","0","11","0","0","1","1","42012","鈴小姐模仿真陽小姐，\n模仿得非常到位。","1"
"0","42","","91","","","","0","42013","","0"
"1","42","","3","","0.1","","","42014","clear_talk_normal","1"
"0","42","","21","","","","0","42015","vo_asb_0422","vo_asb"
"10","42","0","11","0","0","1","1","42016","在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","1"
"0","42","","91","","","","0","42017","","0"
"0","42","0","3","","0.2","1","clear_kohon_loop","42018","clear_kohon_in","1"
"0","42","","21","","","","0","42019","vo_asb_0423","vo_asb"
"10","42","0","11","0","0","1","1","42020","…………\n……咳咳。","1"
"0","42","","91","","","","0","42021","","0"
"0","42","0","3","","0.2","1","clear_speak2_talk","42022","clear_imitation_in","1"
"0","42","","21","","","","0","42023","vo_asb_0424","vo_asb"
"10","42","0","11","0","0","1","1","42024","兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","1"
"0","42","","91","","","","0","42025","","0"
"0","42","0","3","","0.3","1","clear_surprise_talk_red","42026","clear_surprise_in_red","1"
"0","42","","21","","","","0","42027","vo_asb_0425","vo_asb"
"10","42","0","11","0","0","1","1","42028","……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","1"
"0","42","","91","","","","0","42029","","0"
"1","42","","3","","0.2","","","42030","clear_wish_talk_pain_red","1"
"0","42","","21","","","","0","42031","vo_asb_0426","vo_asb"
"10","42","0","11","0","0","1","1","42032","從各方面來說，我都還差得遠呢……！","1"
"0","42","","91","","","","0","42033","","0"
"","42","","101","","","","","42034","","42035"
"1","42","0","6","","0.3","0","1","42035","1","1"
"1","42","0","6","","0.3","0","1","42036","1","0"
"-250","42","","2","","","1","0.3","42037","-120","1"
"0","42","","2","","","1","0.3","42038","-100","0"
"","42","","22","","","","","42039","0","0"
"","42","","93","","","","","42040","0","0.4"
"55","52","0","5","dance_riri","2.2","-243","70","52001","1","1"
"52","52","1","5","dance_clear","2.2","-245","320","52002","2","2"
"58","52","0","5","dance_precia","2.2","-255","-90","52003","3","3"
"1","52","0","6","","0","0","1","52004","1","1"
"1","52","0","6","","0","0","1","52005","1","2"
"1","52","0","6","","0","0","1","52006","1","3"
"29","52","0","5","black","1","0","50","52007","0","0"
"1","52","0","6","","0","0","1","52008","1","0"
"","52","","91","","","","","52009","","0"
"0","52","","3","","0.1","","","52010","dance_riri","1"
"0","52","0","3","","0.1","1","idle","52011","dance_clear","2"
"0","52","0","3","","0.1","1","idle_precia","52012","dance_precia","3"
"1","52","0","6","","0.2","1","1","52013","1","1"
"1","52","0","6","","0.2","1","1","52014","1","2"
"1","52","0","6","","0.2","1","1","52015","1","3"
"1","52","0","6","","0.2","1","1","52016","1","0"
"-243","52","","2","","","2","0.3","52017","-30","1"
"-245","52","","2","","","2","0.3","52018","220","2"
"-255","52","","2","","","2","0.3","52019","-190","3"
"0","52","","2","","","2","0.3","52020","0","0"
"","52","","93","","","","","52021","0","0.6"
"0","52","","21","","","","0","52022","vo_asb_0521","vo_asb"
"11","52","0","11","0.15","0","0","0","52023","快、快、慢。","3"
"0","52","","91","","","","0","52024","","0"
"0","52","","21","","","","0","52025","vo_asb_0522","vo_asb"
"10","52","0","11","0.75","0","0","0","52026","旋轉、停，旋轉、停，\n快、快、慢！","1"
"","52","","91","","","","","52027","","52010"
"1","52","","3","","0.1","","","52028","idle","1"
"","52","","93","","","","","52029","0","0.2"
"0","52","0.2","3","","0.1","1","talk_joy","52030","smile_riri","1"
"0","52","","21","","","","0","52031","vo_asb_0523","vo_asb"
"10","52","0","11","0","0","1","1","52032","……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","1"
"","52","","91","","","","","52033","","0"
"1","52","","3","","0.2","","","52034","riri_idle","1"
"1","52","","3","","0.2","","","52035","clear_talk2_noShy","2"
"0","52","","21","","","","0","52036","vo_asb_0524","vo_asb"
"10","52","0","11","0","0","1","1","52037","是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","2"
"0","52","","91","","","","0","52038","","0"
"0","52","0","3","","0.2","1","idle","52039","talk2ToIdle","2"
"1","52","","3","","0.2","","","52040","riri_talk","1"
"0","52","","21","","","","0","52041","vo_asb_0525","vo_asb"
"10","52","0","11","0","0","1","1","52042","其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","1"
"0","52","","91","","","","0","52043","","0"
"1","52","","3","","0.2","","","52044","riri_idle_look","1"
"1","52","","3","","0.2","","","52045","idle_talkjoy2","2"
"1","52","","3","","0.3","","","52046","talk_precia","3"
"0","52","","21","","","","0","52047","vo_asb_0526","vo_asb"
"10","52","0","11","0","0","1","1","52048","實用性，\n太高了。","3"
"0","52","","91","","","","0","52049","","0"
"","52","","101","","","","","52050","","52051"
"1","52","0","6","","0.3","0","1","52051","1","1"
"1","52","0","6","","0.3","0","1","52052","1","2"
"1","52","0","6","","0.3","0","1","52053","1","3"
"1","52","0","6","","0.3","0","1","52054","1","0"
"-230","52","","2","","","1","0.3","52055","-130","1"
"-245","52","","2","","","1","0.3","52056","120","2"
"-255","52","","2","","","1","0.3","52057","-290","3"
"0","52","","2","","","1","0.3","52058","-100","0"
"","52","","22","","","","","52059","0","0"
"","52","","93","","","","","52060","0","0.4"
"52","62","0","5","talk_joy","2.2","-250","30","62001","1","1"
"1","62","0","6","","0","0","1","62002","1","1"
"29","62","0","5","black","1","0","50","62003","0","0"
"1","62","0","6","","0","0","1","62004","1","0"
"","62","","91","","","","","62005","","0"
"1","62","0","6","","0.2","1","1","62006","1","1"
"1","62","0","6","","0.2","1","1","62007","1","0"
"-250","62","","2","","","2","0.3","62008","-20","1"
"0","62","","2","","","2","0.3","62009","0","0"
"","62","","93","","","","","62010","0","0.6"
"0","62","","21","","","","0","62011","vo_asb_0621","vo_asb"
"10","62","0","11","0","0","1","1","62012","演唱會結束後，\n慈樂之音的成員們來拜訪了。","1"
"0","62","","91","","","","0","62013","","0"
"1","62","","3","","0.2","","","62014","wish_talk_joyR_riri","1"
"0","62","","21","","","","0","62015","vo_asb_0622","vo_asb"
"10","62","0","11","0","0","1","1","62016","她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","1"
"0","62","","91","","","","0","62017","","0"
"1","62","","3","","0.3","","","62018","memoly_talk_joy","1"
"0","62","","21","","","","0","62019","vo_asb_0623","vo_asb"
"10","62","0","11","0","0","1","1","62020","她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","1"
"0","62","","91","","","","0","62021","","0"
"1","62","","3","","0.2","","","62022","sad_talk2_dere","1"
"0","62","","21","","","","0","62023","vo_asb_0624","vo_asb"
"10","62","0","11","0","0","1","1","62024","其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","1"
"0","62","","91","","","","0","62025","","0"
"1","62","","3","","0.3","","","62026","wish_talk_nervous_riri","1"
"0","62","","21","","","","0","62027","vo_asb_0625","vo_asb"
"10","62","0","11","0","0","1","1","62028","雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","1"
"0","62","","91","","","","0","62029","","0"
"","62","","101","","","","","62030","","62031"
"1","62","0","6","","0.3","0","1","62031","1","1"
"1","62","0","6","","0.3","0","1","62032","1","0"
"-250","62","","2","","","1","0.3","62033","-120","1"
"0","62","","2","","","1","0.3","62034","-100","0"
"","62","","22","","","","","62035","0","0"
"","62","","93","","","","","62036","0","0.4"
"52","72","0","5","idle","2.2","-250","30","72001","1","2"
"1","72","0","6","","0","0","1","72002","1","1"
"29","72","0","5","black","1","0","50","72003","0","0"
"1","72","0","6","","0","0","1","72004","1","0"
"","72","","91","","","","","72005","","0"
"1","72","0","6","","0.2","1","1","72006","1","1"
"1","72","0","6","","0.2","1","1","72007","1","0"
"-250","72","","2","","","2","0.3","72008","-20","1"
"0","72","","2","","","2","0.3","72009","0","0"
"","72","","93","","","","","72010","0","0.6"
"1","72","","3","","0.2","","","72011","clear_talk_normal","1"
"0","72","","21","","","","0","72012","vo_asb_0721","vo_asb"
"10","72","0","11","0","0","1","1","72013","碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","1"
"0","72","","91","","","","0","72014","","0"
"1","72","","3","","0.2","","","72015","clear_kohon_talk_surprise","1"
"0","72","","21","","","","0","72016","vo_asb_0722","vo_asb"
"10","72","0","11","0","0","1","1","72017","我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","1"
"0","72","","91","","","","0","72018","","0"
"1","72","","3","","0.2","","","72019","clear_talk2_noShy","1"
"0","72","","21","","","","0","72020","vo_asb_0723","vo_asb"
"10","72","0","11","0","0","1","1","72021","所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","1"
"0","72","","91","","","","0","72022","","0"
"0","72","0","3","","0.2","1","clear_wish_talk_joy","72023","talk2ToWish","1"
"0","72","","21","","","","0","72024","vo_asb_0724","vo_asb"
"10","72","0","11","0","0","1","1","72025","然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","1"
"0","72","","91","","","","0","72026","","0"
"1","72","","3","","0.2","","","72027","clear_talk2_nervous","1"
"0","72","","21","","","","0","72028","vo_asb_0725","vo_asb"
"10","72","0","11","0","0","1","1","72029","……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","1"
"0","72","","91","","","","0","72030","","0"
"0","72","0","3","","0.2","1","clear_kohon_loop_shy","72031","talk2ToKohon","1"
"0","72","","21","","","","0","72032","vo_asb_0726","vo_asb"
