f03d3f91d909def7661cbb22a7f8a4dc71ee17ade8ea053428f46e065f5cbc76,f05542c539cc0b299202598baa54d3ed4800af3e78ee657bab84ecbf95f09ffd,a50c7a59007bed4a041f40cf7b13b85d4c395cc92575abbaaaf9a02d2fe3a136,a504f6c42b487564dc158f68b9d2e55b0f44dca30a2edd0a63be2e735d1401b2,da952b25ad6321add2a06456a6069cdcfab429d15e0f34ee71b898a13e156bf5,1e3a489dfc855f460d96b5ee7de7821aee6eb2f18813bf030556f8123f1fccbe,e2b7f67d3fb6e099153e877379c8921ae5b87381da78a5ed5156f54cf4f1d535,40063eefcf8b292e96d34a624e254f4790d1daf24fad38f5fdb30aa07cddf87a,bc14a4874cf1647f86035313d8153c2193d32a5cf59cdcb05db3b1da831dd4ae,b3500422a059b4e9538ea9e1b29353aff80a36090daf7c0c1fe4103ab8dd1229,453131d96cbb9b66c62cb2be6469250a00a56a1d5e27a9c5c890cb68d960bad4
"119931","","","1","psy_miyako_talk_joy2","","1043","","1","3","0.2"
"vo_minigame_1008","","","1","vo_minigame_1008_drama_0104","0","1044","","0","21",""
"119931","0","0.5","1","把所有人都\n變成好吃的布丁喲～♪","1","1045","0","4","11","0"
"4","","","1","1","","1046","","","93",""
"119931","0.2","","1","psy_miyako_fight_in","psy_miyako_fight_loop","1047","1","0","3","0.2"
"1","0.2","","1","psy_item00_handsup","psy_item00_handsup_loop","1048","1","0","3","0.2"
"1.5","","","1","","","1049","","","93",""
"1045","","","1","","","1050","","","91",""
"0","","","1","0","","1051","","","22",""
"1","0","psy_miyako_start","2","119931","-300","2001","-200","100","1","1.7"
"1","1","psy_walk","2","106011","300","2002","-220","100","1","1.7"
"1","","","2","11","0","2003","1","0","31","1"
"1","0","psy_smoke_start","2","1","-300","2004","-200","101","5","1.7"
"106011","","","2","185","2","2005","0","-220","2",""
"2","","","2","","","2006","","","93",""
"106011","0","","2","psy_kyaru_talk_arm_crossed","psy_kyaru_talk_arm_crossed_loop","2007","1","0","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0305","0","2008","","0","21",""
"106011","0","0.5","2","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","1","2009","0","5","11","0"
"0","","","2","","","2010","","","91",""
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0306","0","2011","","0","21",""
"106011","","","2","psy_talk_sad","","2012","","1","3","0.2"
"106011","0","0.5","2","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","1","2013","0","7","11","0"
"4","","","2","1","","2014","","","93",""
"106011","","","2","psy_talk_sad","","2015","","1","3","0.2"
"2013","","","2","","","2016","","","91",""
"106011","","","2","psy_idle_sad","","2017","","1","3","0.2"
"119931","0.2","","2","psy_miyako_appear","psy_miyako_thinking4","2018","1","0","3","0.2"
"1","0","","2","psy_smoke_appear","psy_smoke_start","2019","0","0","3","0"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0301","0","2020","","0","21",""
"119931","0","1","2","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","1","2021","0","4","11","0"
"1","","","2","1","","2022","","","93",""
"106011","0.2","","2","psy_surprise","psy_idle_surprise2","2023","1","0","3","0.2"
"2021","","","2","","","2024","","","91",""
"0","","","2","0","","2025","","","22",""
"119931","","","2","psy_miyako_idle_thinking","","2026","","1","3","0.2"
"106011","","","2","psy_talk_surprise2","","2027","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0307","0","2028","","0","21",""
"106011","0","0.5","2","呀啊！？\n妳突然冒出來是幹什麼呀！","1","2029","0","6","11","0"
"0","","","2","","","2030","","","91",""
"106011","","","2","psy_idle_surprise2","","2031","","1","3","0.2"
"119931","","","2","psy_miyako_anger1","","2032","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0302","0","2033","","0","21",""
"119931","0","1","2","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","1","2034","0","4","11","0"
"8","","","2","1","","2035","","","93",""
"119931","","","2","psy_miyako_thinking2","","2036","","1","3","0.2"
"2034","","","2","","","2037","","","91",""
"0","","","2","0","","2038","","","22",""
"106011","","","2","psy_talk_sad","","2039","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0308","0","2040","","0","21",""
"106011","0","0.5","2","幹、幹什麼……","1","2041","0","9","11","0"
"0","","","2","","","2042","","","91",""
"106011","","","2","psy_idle_sad","","2043","","1","3","0.2"
"119931","","","2","psy_miyako_run","","2044","","1","3","0.2"
"119931","","","2","0","2","2045","0","-200","2",""
"2","","","2","","","2046","","","93",""
"119931","","","2","psy_miyako_thinking2","","2047","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0303","0","2048","","0","21",""
"119931","0","1","2","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","1","2049","0","5","11","0"
"0","","","2","","","2050","","","91",""
"0","","","2","0","","2051","","","22",""
"0.5","","","2","","","2052","","","93",""
"106011","","","2","psy_talk_sad","","2053","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0309","0","2054","","0","21",""
"106011","0","0.5","2","啥？","1","2055","0","4","11","0"
"0","","","2","","","2056","","","91",""
"106011","","","2","psy_idle_sad","","2057","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0304","0","2058","","0","21",""
"119931","0","0.5","2","人家要把妳變成布丁喲～～！！","1","2059","0","5","11","0"
"0.5","","","2","1","","2060","","","93",""
"119931","0","","2","psy_miyako_attack_in","psy_miyako_attack_loop","2061","1","0","3","0.2"
"0.2","","","2","1","","2062","","","93",""
"106011","0.2","","2","psy_surprise","psy_idle_surprise2","2063","1","0","3","0.2"
"2059","","","2","","","2064","","","91",""
"0","","","2","0","","2065","","","22",""
"106011","","","2","psy_talk_surprise2","","2066","","1","3","0.2"
"vo_minigame_1008","","","2","vo_minigame_1008_drama_0310","0","2067","","0","21",""
"106011","0","0.5","2","搞、搞什麼呀這間店～～！！","1","2068","0","7","11","0"
"0","","","2","","","2069","","","91",""
"106011","","","2","0","","2070","","","4",""
"106011","","","2","psy_run_shy","","2071","","1","3","0.2"
"119931","","","2","psy_miyako_attack_loop_move","","2072","","1","3","0.2"
"106011","","","2","1000","3","2073","0","-220","2",""
"119931","","","2","1000","5","2074","0","-220","2",""
"3.5","","","2","","","2075","","","93",""
"0","","","2","0","","2076","","","22",""
"0","","","2","","","2077","","","91",""
"1","1","psy_miyako_gasagoso_B","3","119931","-250","3001","-150","100","1","1.65"
"1","1","psy_walk","3","105511","340","3002","-180","100","1","1.7"
"1","","","3","11","0","3003","1","0","31","1"
"1","0","psy_smoke_start","3","1","-300","3004","-220","101","5","1.7"
"105511","","","3","225","2","3005","0","-180","2",""
"2","","","3","","","3006","","","93",""
"105511","","","3","psy_talk_wish","","3007","","1","3","0.2"
"vo_minigame_1008","","","3","vo_minigame_1008_drama_0203","0","3008","","0","21",""
"105511","0","0.5","3","這、這裡就是前輩工作的地方吧？","1","3009","0","7","11","0"
"0","","","3","","","3010","","","91",""
"105511","0","","3","psy_ayumi_kyoro_in","psy_ayumi_kyoro_loop","3011","1","0","3","0.2"
"1.8","","","3","","","3012","","","93",""
"105511","","","3","psy_talk_joy1","","3013","","1","3","0.2"
"vo_minigame_1008","","","3","vo_minigame_1008_drama_0204","0","3014","","0","21",""
"105511","0","0.5","3","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","1","3015","0","6","11","0"
"0","","","3","","","3016","","","91",""
"105511","","","3","psy_talk_call","","3017","","1","3","0.2"
"vo_minigame_1008","","","3","vo_minigame_1008_drama_0205","0","3018","","0","21",""
"105511","0","0.5","3","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","1","3019","0","7","11","0"
"3","","","3","1","","3020","","","93",""
"119931","0","0","3","5","1","3021","0","0.8","12","0"
"119931","","","3","0","","3022","","","4",""
"119931","","","3","psy_miyako_idle_thinking","","3023","","1","3","0"
"1.5","","","3","1","","3024","","","93",""
"119931","","","3","1","","3025","","","4",""
"119931","","","3","psy_miyako_gasagoso_B","","3026","","1","3","0"
"0.5","","","3","1","","3027","","","93",""
"105511","","","3","psy_talk_sad","","3028","","1","3","0.2"
"3019","","","3","","","3029","","","91",""
"105511","","","3","psy_talk_wish","","3030","","1","3","0.2"
"vo_minigame_1008","","","3","vo_minigame_1008_drama_0206","0","3031","","0","21",""
"105511","0","0.5","3","總、總之我把錢放在這裡了，\n再見！","1","3032","0","6","11","0"
"2","","","3","1","","3033","","","93",""
"105511","","","3","psy_gasagoso_B2","","3034","","1","3","0.2"
"1","","","3","1","","3035","","","93",""
"105511","0.2","","3","psy_pekori","psy_idle_normal","3036","1","0","3","0.2"
"3032","","","3","","","3037","","","91",""
"105511","","","3","0","","3038","","","4",""
"105511","","","3","psy_run","","3039","","1","3","0.2"
"105511","","","3","1000","3","3040","0","-180","2",""
"3","","","3","","","3041","","","93",""
"0.5","","","3","","","3042","","","93",""
"119931","","","3","psy_miyako_idle_thinking","","3043","","1","3","0"
"2","","","3","","","3044","","","93",""
"119931","","","3","0","","3045","","","4",""
"119931","","","3","psy_miyako_run","","3046","","1","3","0.2"
"119931","","","3","0","2","3047","0","-165","2",""
"2","","","3","","","3048","","","93",""
"119931","","","3","psy_miyako_thinking4","","3049","","1","3","0.2"
"vo_minigame_1008","","","3","vo_minigame_1008_drama_0201","0","3050","","0","21",""
"119931","0","0.5","3","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","1","3051","0","4","11","0"
"4","","","3","1","","3052","","","93",""
"119931","","","3","psy_miyako_panic1","","3053","","1","3","0.2"
"3051","","","3","","","3054","","","91",""
"0","","","3","0","","3055","","","22",""
"119931","0","","3","psy_miyako_surprise2_in","psy_miyako_surprise2_loop","3056","1","0","3","0.2"
"vo_minigame_1008","","","3","vo_minigame_1008_drama_0202","0","3057","","0","21",""
"119931","0","1","3","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","1","3058","0","4","11","0"
"4","","","3","1","","3059","","","93",""
"119931","","","3","psy_miyako_thinking4","","3060","","1","3","0.2"
"3058","","","3","","","3061","","","91",""
"0","","","3","0","","3062","","","22",""
"1","","","3","","","3063","","","93",""
"0","","","3","","","3064","","","91",""
"1","0","psy_miyako_start","4","119931","-300","4001","-200","100","1","1.7"
"1","1","psy_walk","4","107131","300","4002","-220","100","1","1.7"
"1","","","4","11","0","4003","1","0","31","1"
"1","0","psy_smoke_start","4","1","-300","4004","-200","101","5","1.7"
"107131","","","4","185","2","4005","0","-220","2",""
"2","","","4","","","4006","","","93",""
"107131","0.2","","4","psy_talk_doya","psy_talk_doya_loop","4007","1","0","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0405","0","4008","","0","21",""
"107131","0","0.5","4","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","1","4009","0","6","11","0"
"0","","","4","","","4010","","","91",""
"107131","","","4","psy_idle_doya","","4011","","1","3","0.2"
"107131","","","4","psy_talk_sad","","4012","","1","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0406","0","4013","","0","21",""
"107131","0","0.5","4","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","1","4014","0","6","11","0"
"6","","","4","1","","4015","","","93",""
"107131","","","4","psy_talk_call","","4016","","1","3","0.2"
"4014","","","4","","","4017","","","91",""
"107131","","","4","psy_idle_arm_crossed","","4018","","1","3","0.2"
"119931","0.2","","4","psy_miyako_appear","psy_miyako_talk_joy1","4019","1","0","3","0"
"1","0","","4","psy_smoke_appear","psy_smoke_start","4020","0","0","3","0"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0401","0","4021","","0","21",""
"119931","0","0.5","4","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","1","4022","0","5","11","0"
"0","","","4","","","4023","","","91",""
"0","","","4","0","","4024","","","22",""
"119931","","","4","psy_miyako_idle","","4025","","1","3","0.2"
"107131","","","4","psy_talk_normal","","4026","","1","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0407","0","4027","","0","21",""
"107131","0","0.5","4","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","1","4028","0","6","11","0"
"0","","","4","","","4029","","","91",""
"107131","","","4","psy_idle_normal","","4030","","1","3","0.2"
"119931","","","4","psy_miyako_sad1","","4031","","1","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0402","0","4032","","0","21",""
"119931","0","0.5","4","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","1","4033","0","4","11","0"
"5","","","4","1","","4034","","","93",""
"119931","","","4","psy_miyako_talk4","","4035","","1","3","0.2"
"4033","","","4","","","4036","","","91",""
"0","","","4","0","","4037","","","22",""
"119931","","","4","psy_miyako_idle2","","4038","","1","3","0.2"
"107131","0.2","","4","psy_ahaha_in","psy_ahaha_loop","4039","1","0","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0408","0","4040","","0","21",""
"107131","0","0.5","4","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","1","4041","0","5","11","0"
"1.7","","","4","1","","4042","","","93",""
"107131","","","4","psy_talk_joy1","","4043","","1","3","0.2"
"4041","","","4","","","4044","","","91",""
"107131","0.2","","4","psy_talk_doya","psy_talk_doya_loop","4045","1","0","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0409","0","4046","","0","21",""
"107131","0","0.5","4","這下無論如何我都要\n買到妳的甜點了。","1","4047","0","6","11","0"
"0","","","4","","","4048","","","91",""
"107131","","","4","psy_idle_wish","","4049","","1","3","0.2"
"119931","","","4","psy_miyako_panic1","","4050","","1","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0403","0","4051","","0","21",""
"119931","0","0.5","4","為什麼會變成這樣！？\n趕快回去來的！","1","4052","0","5","11","0"
"0","","","4","","","4053","","","91",""
"0","","","4","0","","4054","","","22",""
"119931","","","4","psy_miyako_idle_panic","","4055","","1","3","0.2"
"107131","0","","4","psy_cris_approach_in","psy_cris_approach_loop","4056","1","0","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0410","0","4057","","0","21",""
"107131","0","0.5","4","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","1","4058","0","7","11","0"
"4","","","4","1","","4059","","","93",""
"107131","0","","4","psy_talk_arm_crossed","psy_talk_arm_crossed_loop","4060","1","0","3","0.2"
"4058","","","4","","","4061","","","91",""
"107131","","","4","psy_talk_joy1","","4062","","1","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0411","0","4063","","0","21",""
"107131","0","0.5","4","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","1","4064","0","5","11","0"
"0","","","4","","","4065","","","91",""
"107131","","","4","psy_idle_joy1","","4066","","1","3","0.2"
"119931","","","4","psy_miyako_anger2","","4067","","1","3","0.2"
"vo_minigame_1008","","","4","vo_minigame_1008_drama_0404","0","4068","","0","21",""
"119931","0","0.5","4","為、為什麼會變成那樣──！？","1","4069","0","6","11","0"
"4","","","4","","","4070","","","93",""
"0","","","4","","","4071","","","91",""
"1","0","psy_miyako_start","5","119931","-300","5001","-200","100","1","1.7"
"1","1","psy_walk","5","104931","300","5002","-220","100","1","1.7"
"1","","","5","11","0","5003","1","0","31","1"
"1","0","psy_smoke_start","5","1","-300","5004","-200","101","5","1.7"
"104931","","","5","185","2","5005","0","-220","2",""
"2","","","5","","","5006","","","93",""
"104931","","","5","psy_talk_wish","","5007","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0504","0","5008","","0","21",""
"104931","0","0.5","5","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","1","5009","0","5","11","0"
"4.3","","","5","1","","5010","","","93",""
"104931","","","5","psy_talk_joy1","","5011","","1","3","0.2"
"5009","","","5","","","5012","","","91",""
"104931","","","5","psy_idle_joy1","","5013","","1","3","0.2"
"119931","0.2","","5","psy_miyako_appear","psy_miyako_talk3","5014","1","0","3","0"
"1","0","","5","psy_smoke_appear","psy_smoke_start","5015","0","0","3","0"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0501","0","5016","","0","21",""
"119931","0","0.5","5","吵死了喲。\n突然喊什麼喊啊？","1","5017","0","5","11","0"
"0","","","5","","","5018","","","91",""
"0","","","5","0","","5019","","","22",""
"119931","","","5","psy_miyako_idle","","5020","","1","3","0.2"
"104931","","","5","psy_talk_joy1","","5021","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0505","0","5022","","0","21",""
"104931","0","0.5","5","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","1","5023","0","6","11","0"
"4","","","5","","","5024","","","93",""
"104931","","","5","psy_talk_wish","","5025","","1","3","0.2"
"5023","","","5","","","5026","","","91",""
"0","","","5","","","5027","","","91",""
"104931","","","5","psy_idle_wish","","5028","","1","3","0.2"
"119931","","","5","psy_miyako_anger3","","5029","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0502","0","5030","","0","21",""
"119931","0","0.5","5","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","1","5031","0","4","11","0"
"5","","","5","1","","5032","","","93",""
"119931","0","","5","psy_miyako_arm_crossed_in","psy_miyako_arm_crossed_loop","5033","1]","0","3","0.2"
"5031","","","5","","","5034","","","91",""
"0","","","5","0","","5035","","","22",""
"119931","","","5","psy_miyako_arm_crossed_idle","","5036","","1","3","0.2"
"104931","","","5","psy_talk_wish","","5037","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0506","0","5038","","0","21",""
"104931","0","0.5","5","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","1","5039","0","7","11","0"
"0","","","5","","","5040","","","91",""
"104931","","","5","psy_talk_joy2","","5041","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0507","0","5042","","0","21",""
"104931","0","0.5","5","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","1","5043","0","7","11","0"
"0","","","5","","","5044","","","91",""
"104931","","","5","psy_talk_memory","","5045","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0508","0","5046","","0","21",""
"104931","0","0.5","5","首先從命運的相遇聽我娓娓道來……","1","5047","0","8","11","0"
"0","","","5","","","5048","","","91",""
"104931","","","5","psy_idle_memory","","5049","","1","3","0.2"
"119931","","","5","psy_miyako_sad1","","5050","","1","3","0.2"
"vo_minigame_1008","","","5","vo_minigame_1008_drama_0503","0","5051","","0","21",""
"119931","0","0.5","5","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","1","5052","0","5","11","0"
"0","","","5","","","5053","","","91",""
"0","","","5","0","","5054","","","22",""
"119931","","","5","psy_miyako_hide","","5055","","0","3","0.2"
"1","0","","5","psy_smoke_hide","psy_smoke_start","5056","0","0","3","0"
"2","","","5","","","5057","","","93",""
"0","","","5","","","5058","","","91",""
"1","1","psy_miyako_idle_thinking","6","119931","-300","6001","-200","100","1","1.7"
"1","1","psy_walk","6","103131","300","6002","-220","100","1","1.7"
"1","","","6","11","0","6003","1","0","31","1"
"119931","0","0","6","17","0","6004","0","2","12","0"
"103131","","","6","185","2","6005","0","-220","2",""
"2","","","6","","","6006","","","93",""
"103131","","","6","psy_talk_wish","","6007","","1","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0605","0","6008","","0","21",""
"103131","0","0.5","6","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","1","6009","0","4","11","0"
"0","","","6","","","6010","","","91",""
"103131","","","6","psy_idle_wish","","6011","","1","3","0.2"
"119931","","","6","0","","6012","","","4",""
"119931","0.2","","6","psy_miyako_surprise2_in","psy_miyako_talk_joy2","6013","1","0","3","0.2"
"1","","","6","","","6014","","","93",""
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0601","0","6015","","0","21",""
"119931","0","0.5","6","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","1","6016","0","5","11","0"
"3","","","6","1","","6017","","","93",""
"119931","","","6","psy_miyako_talk2","","6018","","1","3","0.2"
"6016","","","6","","","6019","","","91",""
"0","","","6","0","","6020","","","22",""
"119931","","","6","psy_miyako_idle_sad","","6021","","1","3","0.2"
"103131","","","6","psy_talk_sad","","6022","","1","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0606","0","6023","","0","21",""
"103131","0","0.5","6","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","1","6024","0","6","11","0"
"0","","","6","","","6025","","","91",""
"103131","","","6","psy_idle_sad","","6026","","1","3","0.2"
"119931","","","6","psy_miyako_panic3","","6027","","1","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0602","0","6028","","0","21",""
"119931","0","0.5","6","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","1","6029","0","3","11","0"
"5.5","","","6","1","","6030","","","93",""
"119931","","","6","psy_miyako_sad2","","6031","","1","3","0.2"
"6029","","","6","","","6032","","","91",""
"0","","","6","0","","6033","","","22",""
"119931","","","6","psy_miyako_idle_sad","","6034","","1","3","0.2"
"103131","0.2","","6","psy_surprise","psy_talk_surprise1","6035","1","0","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0607","0","6036","","0","21",""
"103131","0","0.5","6","宮子……自己……\n做布丁……","1","6037","0","6","11","0"
"0","","","6","","","6038","","","91",""
"103131","","","6","psy_idle_surprise1","","6039","","1","3","0.2"
"119931","","","6","psy_miyako_talk2","","6040","","1","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0603","0","6041","","0","21",""
"119931","0","0.5","6","妳怎麼了？","1","6042","0","5","11","0"
"0","","","6","","","6043","","","91",""
"0","","","6","0","","6044","","","22",""
"119931","","","6","psy_miyako_idle","","6045","","1","3","0.2"
"103131","","","6","psy_talk_joy1","","6046","","1","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0608","0","6047","","0","21",""
"103131","0","0.5","6","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","1","6048","0","5","11","0"
"4","","","6","1","","6049","","","93",""
"103131","","","6","psy_talk_wish","","6050","","1","3","0.2"
"6048","","","6","","","6051","","","91",""
"103131","","","6","psy_idle_wish","","6052","","1","3","0.2"
"119931","","","6","psy_miyako_joy1","","6053","","1","3","0.2"
"vo_minigame_1008","","","6","vo_minigame_1008_drama_0604","0","6054","","0","21",""
"119931","0","0.5","6","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","1","6055","0","5","11","0"
"5","","","6","1","","6056","","","93",""
"119931","0","","6","psy_miyako_guts1_in","psy_miyako_guts1_loop","6057","1","0","3","0.2"
"6055","","","6","","","6058","","","91",""
"0","","","6","0","","6059","","","22",""
"1.5","","","6","","","6060","","","93",""
"0","","","6","","","6061","","","91",""
"1","0","psy_miyako_idle","7","119931","-200","7001","-200","100","1","1.7"
"1","0","psy_fairy_idle","7","1","125","7002","-220","100","5","1.7"
"1","","","7","11","0","7003","1","0","31","1"
"2","","","7","","","7004","","","93",""
"1","","","7","psy_fairy_talk","","7005","","1","3","0.2"
"vo_minigame_1008","","","7","vo_minigame_1008_drama_9902","0","7006","","0","21",""
"1","0","0.5","7","啾啾！","1","7007","0","3","11","0"
