25251d9edd091ff1ba5efaf437cb5e92e9e9ec93ee522bff28a0785d7e0c5405,7b5603fc8f13af32183dd9e13bd165badf8115857b8999330842ce4bcdae4781,69b4c79eae5ffb6ae5cdebb1f01a7367a0285fedbba1d5de54892af4e248cf72,1684989076bb7546a8cbb7915fb011371b1252bdf49f2285d699455e76bc5fa7,09f8598a40acc35a53dbfb103bebf438d3e4be5e036478c5450c3755b54f9722,3c99fa4de6076050591a94bfc3291d964b13cbd151643a776b1d5d0de08e0ab6,f951339cefe11389f5045d220a9a9b5103951952f36e3db64b169761e49b8508,2041cecd6ac0e732beca4c62b38a71a79da9fa87b986a2cba4a43756621b11a9,f54d0de2fddb49e0ce4a6e1ec1de05702bd19408c1d94aa88aa7e080b63316e9,12b760713a333dedf7174428bd54a5767cdcec35be635e675ce4ec91583c02f3,e7f2b085cf5a5ce3ab8a440b265dd049d78c965e19a0f0e5d7ba9faf6bf619df
"129811","","drama_talk_guts2_loop","3","drama_talk_guts2_in","0.2","2014","2","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_2_002","","2015","2","0","",""
"129811","0.3","1","11","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","0","2016","2","5","0","0"
"0","","","91","","","2017","2","","",""
"129811","","","3","drama_idle","0.2","2018","2","1","",""
"129911","","","3","drama_idle","0.2","2019","2","1","",""
"1","drama_idle","167","1","129811","1.65","3001","3","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","3002","3","100","-224","0"
"129811","","","3","drama_idle","0.2","3003","3","1","",""
"129911","","","3","drama_talk_thinking","0.2","3004","3","1","",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_3_000","","3005","3","0","",""
"129911","0.8","1","11","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","0","3006","3","5","0","0"
"0","","","91","","","3007","3","","",""
"129911","","","3","drama_idle_thinking","0.2","3008","3","1","",""
"129811","","drama_talk_sad_loop","3","drama_talk_sad_in","0.2","3009","3","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_3_001","","3010","3","0","",""
"129811","0.5","1","11","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","0","3011","3","6","0","0"
"0","","","91","","","3012","3","","",""
"129811","","","3","drama_idle_sad","0.2","3013","3","1","",""
"129911","","drama_talk_arm_crossed_loop","3","drama_talk_arm_crossed_in","0.2","3014","3","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_3_002","","3015","3","0","",""
"129911","0.3","1","11","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","0","3016","3","4","0","0"
"0","","","91","","","3017","3","","",""
"129811","","","3","drama_idle","0.2","3018","3","1","",""
"129911","","","3","drama_idle","0.2","3019","3","1","",""
"1","drama_idle","167","1","129811","1.65","4001","4","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","4002","4","100","-224","0"
"129911","","","3","drama_idle","0.2","4003","4","1","",""
"129811","","drama_talk_doya_loop_shy","3","drama_talk_doya_in_shy","0.2","4004","4","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_4_000","","4005","4","0","",""
"129811","0.3","1","11","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","0","4006","4","5","0","0"
"0","","","91","","","4007","4","","",""
"129811","","","3","drama_idle_doya_shy","0.2","4008","4","1","",""
"129911","","drama_talk_wish_loop","3","drama_talk_wish_in","0.2","4009","4","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_4_001","","4010","4","0","",""
"129911","0.5","1","11","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","0","4011","4","4","0","0"
"0","","","91","","","4012","4","","",""
"129911","","","3","drama_idle_wish","0.2","4013","4","1","",""
"129811","","","3","drama_idle_thinking_shy","0.2","4014","4","1","0",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_4_002","","4015","4","0","",""
"129811","0","1","11","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","0","4016","4","7","0","0"
"0","","","91","","","4017","4","","",""
"129911","","","3","drama_idle","0.2","4018","4","1","",""
"129811","","","3","drama_idle","0.2","4019","4","1","",""
"1","drama_idle","167","1","129811","1.65","5001","5","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","5002","5","100","-224","0"
"129811","","","3","drama_idle","0.2","5003","5","1","",""
"129911","","","3","drama_talk_thinking","0.2","5004","5","1","",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_5_000","","5005","5","0","",""
"129911","0.8","1","11","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","0","5006","5","5","0","0"
"0","","","91","","","5007","5","","",""
"129911","","","3","drama_idle_thinking","0.2","5008","5","1","",""
"129811","","drama_talk_wonder_loop","3","drama_talk_wonder_in","0.2","5009","5","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_5_001","","5010","5","0","",""
"129811","0.3","1","11","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","0","5011","5","5","0","0"
"0","","","91","","","5012","5","","",""
"129811","","","3","drama_idle_wonder","0.2","5013","5","1","",""
"129911","","","3","drama_talk_memory","0.2","5014","5","1","",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_5_002","","5015","5","0","",""
"129911","0.5","1","11","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","0","5016","5","4","0","0"
"0","","","91","","","5017","5","","",""
"129811","","","3","drama_idle","0.2","5018","5","1","",""
"129911","","","3","drama_idle","0.2","5019","5","1","",""
"1","drama_idle","167","1","129811","1.65","6001","6","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","6002","6","100","-224","0"
"129911","","","3","drama_idle","0.2","6003","6","1","",""
"129811","","","3","drama_talk_thinking_shy","0.2","6004","6","1","",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_6_000","","6005","6","0","",""
"129811","0.3","1","11","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","0","6006","6","6","0","0"
"0","","","91","","","6007","6","","",""
"129811","","","3","drama_idle_thinking_shy","0.2","6008","6","1","",""
"129911","","drama_talk_doubt_loop","3","drama_talk_doubt_in","0.2","6009","6","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_6_001","","6010","6","0","",""
"129911","0.8","1","11","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","0","6011","6","4","0","0"
"0","","","91","","","6012","6","","",""
"129911","","","3","drama_idle_doubt","0.2","6013","6","1","",""
"129811","","drama_talk_surprise_loop_shy","3","drama_talk_surprise_in_shy","0.2","6014","6","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_6_002","","6015","6","0","",""
"129811","0.3","1","11","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","0","6016","6","7","0","0"
"0","","","91","","","6017","6","","",""
"129911","","","3","drama_idle","0.2","6018","6","1","",""
"129811","","","3","drama_idle","0.2","6019","6","1","",""
"1","drama_idle","167","1","129811","1.65","7001","7","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","7002","7","100","-224","0"
"129811","","","3","drama_idle","0.2","7003","7","1","",""
"129911","","drama_talk_arm_crossed_loop","3","drama_talk_arm_crossed_in","0.2","7004","7","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_7_000","","7005","7","0","",""
"129911","0.3","1","11","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","0","7006","7","5","0","0"
"0","","","91","","","7007","7","","",""
"129911","","","3","drama_idle_arm_crossed","0.2","7008","7","1","",""
"129811","","drama_talk_guts2_loop","3","drama_talk_guts2_in","0.2","7009","7","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_7_001","","7010","7","0","",""
"129811","0","1","11","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","0","7011","7","5","0","0"
"0","","","91","","","7012","7","","",""
"129811","","","3","drama_idle_guts2","0.2","7013","7","1","",""
"129911","","","3","drama_talk_thinking","0.2","7014","7","1","",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_7_002","","7015","7","0","",""
"129911","0.5","1","11","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","0","7016","7","5","0","0"
"0","","","91","","","7017","7","","",""
"129811","","","3","drama_idle","0.2","7018","7","1","",""
"129911","","","3","drama_idle","0.2","7019","7","1","",""
"1","drama_idle","167","1","129811","1.65","8001","8","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","8002","8","100","-224","0"
"129911","","","3","drama_idle","0.2","8003","8","1","",""
"129811","","drama_talk_doya_loop_smile","3","drama_talk_doya_in_smile","0.2","8004","8","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_8_000","","8005","8","0","",""
"129811","0.3","1","11","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","0","8006","8","6","0","0"
"0","","","91","","","8007","8","","",""
"129811","","","3","drama_idle_doya_smile","0.2","8008","8","1","",""
"129911","","drama_talk_arm_crossed_loop","3","drama_talk_arm_crossed_in","0.2","8009","8","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_8_001","","8010","8","0","",""
"129911","0.8","1","11","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","0","8011","8","4","0","0"
"0","","","91","","","8012","8","","",""
"129911","","","3","drama_idle_arm_crossed","0.2","8013","8","1","",""
"129811","","","3","drama_talk_anger","0.2","8014","8","1","",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_8_002","","8015","8","0","",""
"129811","0.3","1","11","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","0","8016","8","7","0","0"
"0","","","91","","","8017","8","","",""
"129811","","","3","drama_idle","0.2","8018","8","1","",""
"129911","","","3","drama_idle","0.2","8019","8","1","",""
"1","drama_idle","167","1","129811","1.65","30001","30","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","30002","30","100","-224","0"
"129811","","","3","drama_idle","0.2","30003","30","1","",""
"129911","","","3","drama_idle","0.2","30004","30","1","",""
"0.5","","","93","0","","30005","30","","",""
"2","","","26","","","30006","30","","",""
"-80","","1.2","121","10","3","30007","30","1.2","0.9",""
"129911","","","3","drama_joy_eriko","0.2","30008","30","0","","0.2"
"1","","","140","1","","30009","30","0","",""
"1","drama_idle","167","1","129811","1.65","31001","31","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","31002","31","100","-224","0"
"129811","","","3","drama_idle","0.2","31003","31","1","",""
"129911","","","3","drama_idle","0.2","31004","31","1","",""
"0.5","","","93","0","","31005","31","","",""
"2","","","26","","","31006","31","","",""
"-80","","1.2","121","10","3","31007","31","1.2","0.9",""
"129811","","","3","drama_joy_makoto","0.2","31008","31","0","","0.2"
"1","","","140","2","","31009","31","0","",""
"0","drama_talk_1","320","5","1","0.28","32001","32","1","28","1"
"0","drama_talk_2","228","5","2","0.28","32002","32","0","28","0"
"0","drama_swing","45","5","3","0.26","32003","32","90","64","1"
"0","drama_streach","-187","5","4","0.3","32004","32","91","-23","0"
"1","","","93","0","","32005","32","","",""
"1","","","3","drama_joy","0.2","32006","32","0","",""
"2","","","3","drama_joy","0.2","32007","32","0","",""
"3","","","3","drama_joy","0.2","32008","32","0","",""
"4","","","3","drama_joy","0.2","32009","32","0","",""
"1.5","","","93","0","","32010","32","","",""
"0","drama_talk_1","320","5","1","0.28","33001","33","1","28","1"
"0","drama_talk_2","228","5","2","0.28","33002","33","0","28","0"
"0","drama_swing","45","5","3","0.26","33003","33","90","64","1"
"0","drama_streach","-187","5","4","0.3","33004","33","91","-23","0"
