c7dacdecb11deee759af263ca848bbfabbd8b20ae5ac57b6f2fe2b91f73656aa,125b5256df2faea60a49835d18003afc2e5dad223582991e865ca32582aee47d,d9a7f310c489588f71a2fb117dfaf724a0205ba3e2439df113dd36a47d650f40,51789e8d5804860fd1b5e0c9d23aa65e8740cd2b97549d160ffbad863e8e4e63,7ff8d49fd10a034251737594bafb8a3ac09847efb0d08dbe71d43d4f3b31476d,858a1318d356a3c459659a7246058952b889a5a85a57ce8b54fc27ae329b09f3,09d2fc09ed3bb490ba9aa51a93fc7660a2296d18bfa9aad1ed17b20f5dd58809,31c946e02a7e62dd489dfe393431a01de89445499d0e3da199dc132689da2c1c,56390297b44f3a03161c927e139e2f99ed28ac3ad751914f6e3e51d686e9d47c,023b2fbfe946658942c8d3aab49634acd259cdac5ac689a0dd8bbf091487de7b,70ef002ff57e5a8d82034cfcd59c2b65e40db1f72c8cb43e6ce3a363f8d7cb28
"122611","11","0","1","0","1","5","5004","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","6","0"
"0","91","","","","","5","5005","","",""
"122611","3","","","","","5","5006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","6","6001","122511","100","1.65"
"122511","3","0","sjr_talk_arm_crossed_look_loop","1","","6","6002","sjr_talk_arm_crossed_joy_look","0","0.2"
"vo_minigame_1010","21","","0","","","6","6003","vo_minigame_1010_top_talk_1_006","0",""
"122511","11","0","1","0","1","6","6004","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","5","0"
"0","91","","","","","6","6005","","",""
"122511","3","","","","","6","6006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","7","7001","122511","100","1.65"
"122511","3","","","","","7","7002","sjr_talk_mouth_hidden2_shy","1","0.2"
"vo_minigame_1010","21","","0","","","7","7003","vo_minigame_1010_top_talk_1_007","0",""
"122511","11","0","1","0","1","7","7004","穿這樣跑\n好羞恥啊……\n別盯著我看……","4","0"
"0","91","","","","","7","7005","","",""
"122511","3","","","","","7","7006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","8","8001","122511","100","1.65"
"122511","3","","","","","8","8002","sjr_talk_mouth_hidden","1","0.2"
"vo_minigame_1010","21","","0","","","8","8003","vo_minigame_1010_top_talk_1_008","0",""
"122511","11","0","1","0","1","8","8004","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","5","0"
"0","91","","","","","8","8005","","",""
"122511","3","","","","","8","8006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","9","9001","122511","100","1.65"
"122511","3","","","","","9","9002","sjr_talk_stepback_surprise","1","0.2"
"vo_minigame_1010","21","","0","","","9","9003","vo_minigame_1010_top_talk_1_009","0",""
"122511","11","0","1","0","1","9","9004","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","5","0"
"0","91","","","","","9","9005","","",""
"122511","3","","","","","9","9006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","10","10001","122511","100","1.65"
"122511","3","","","","","10","10002","sjr_talk_thinking_blink","1","0.2"
"vo_minigame_1010","21","","0","","","10","10003","vo_minigame_1010_top_talk_1_010","0",""
"122511","11","0","1","0","1","10","10004","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","4","0"
"0","91","","","","","10","10005","","",""
"122511","3","","","","","10","10006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","11","11001","122411","100","1.65"
"122411","3","0","sjr_talk_eieio_loop","1","","11","11002","sjr_talk_eieio","0","0.2"
"vo_minigame_1010","21","","0","","","11","11003","vo_minigame_1010_top_talk_1_011","0",""
"122411","11","0","1","0","1","11","11004","暖身運動也很完美！\n我會第一個\n搶到的──！","5","0"
"0","91","","","","","11","11005","","",""
"122411","3","","","","","11","11006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","12","12001","122411","100","1.65"
"122411","3","","","","","12","12002","sjr_talk_arm_opened_wink","1","0.2"
"vo_minigame_1010","21","","0","","","12","12003","vo_minigame_1010_top_talk_1_012","0",""
"122411","11","0","1","0","1","12","12004","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","6","0"
"0","91","","","","","12","12005","","",""
"122411","3","","","","","12","12006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","13","13001","122411","100","1.65"
"122411","3","0","sjr_talk_doya_loop","1","","13","13002","sjr_talk_doya","0","0.2"
"vo_minigame_1010","21","","0","","","13","13003","vo_minigame_1010_top_talk_1_013","0",""
"122411","11","0","1","0","1","13","13004","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","8","0"
"0","91","","","","","13","13005","","",""
"122411","3","","","","","13","13006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","14","14001","122411","100","1.65"
"122411","3","0","sjr_talk_swing_joy","1","","14","14002","sjr_talk_watch_arm_opened","0","0.2"
"vo_minigame_1010","21","","0","","","14","14003","vo_minigame_1010_top_talk_1_014","0",""
"122411","11","0","1","0","1","14","14004","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","6","0"
"0","91","","","","","14","14005","","",""
"122411","3","","","","","14","14006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","15","15001","122411","100","1.65"
"122411","3","","","","","15","15002","sjr_talk_wish_doya","1","0.2"
"vo_minigame_1010","21","","0","","","15","15003","vo_minigame_1010_top_talk_1_015","0",""
"122411","11","0","1","0","1","15","15004","好想和優衣與怜\n她們兩人一起\n競爭呢！","5","0"
"0","91","","","","","15","15005","","",""
"122411","3","","","","","15","15006","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","16","16001","122611","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","16","16002","122511","100","1.65"
"122611","3","","","","","16","16003","sjr_talk_wish_doya","1","0.2"
"vo_minigame_1010","21","","0","","","16","16004","vo_minigame_1010_top_talk_2_001","0",""
"122611","11","0","1","0","1","16","16005","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","4","0"
"0","91","","","","","16","16006","","",""
"122611","3","","","","","16","16007","sjr_talk_idle","1","0.2"
"122511","3","0","sjr_talk_arm_crossed_joy_loop","1","","16","16008","sjr_talk_arm_crossed_normal_joy","0","0.2"
"vo_minigame_1010","21","","0","","","16","16009","vo_minigame_1010_top_talk_2_002","0",""
"122511","11","0","1","0","0.5","16","16010","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","5","0"
"0","91","","","","","16","16011","","",""
"122511","3","","","","","16","16012","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","17","17001","122611","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","17","17002","122511","100","1.65"
"122511","3","","","","","17","17003","sjr_talk_worry_shy","1","0.2"
"vo_minigame_1010","21","","0","","","17","17004","vo_minigame_1010_top_talk_2_003","0",""
"122511","11","0","1","0","0.5","17","17005","我說優衣，\n要穿著泳裝跑步\n是不是有點……","7","0"
"0","91","","","","","17","17006","","",""
"122511","3","","","","","17","17007","sjr_talk_idle","1","0.2"
"122611","3","","","","","17","17008","sjr_talk_wish_shy","1","0.2"
"vo_minigame_1010","21","","0","","","17","17009","vo_minigame_1010_top_talk_2_004","0",""
"122611","11","0","1","0","0.5","17","17010","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","5","0"
"0","91","","","","","17","17011","","",""
"122611","3","","","","","17","17012","sjr_talk_idle","1","0.2"
"122511","3","0","sjr_talk_thinking_light","1","","17","17013","sjr_talk_thinking_blink_light","0","0.2"
"vo_minigame_1010","21","","0","","","17","17014","vo_minigame_1010_top_talk_2_005","0",""
"122511","11","0","1","0","0.5","17","17015","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","6","0"
"0","91","","","","","17","17016","","",""
"122511","3","","","","","17","17017","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","18","18001","122611","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","18","18002","122511","100","1.65"
"122611","3","","","","","18","18003","sjr_talk_wish_surprise","1","0.2"
"vo_minigame_1010","21","","0","","","18","18004","vo_minigame_1010_top_talk_2_006","0",""
"122611","11","0","1","0","0.5","18","18005","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","6","0"
"0","91","","","","","18","18006","","",""
"122611","3","","","","","18","18007","sjr_talk_idle","1","0.2"
"122511","3","0","sjr_talk_arm_crossed_normal2_loop","1","","18","18008","sjr_talk_arm_crossed_normal2","0","0.2"
"vo_minigame_1010","21","","0","","","18","18009","vo_minigame_1010_top_talk_2_007","0",""
"122511","11","0","1","0","0.5","18","18010","不能在意喔！\n這種時候坦率地\n享受是最好的！","6","0"
"0","91","","","","","18","18011","","",""
"122511","3","","","","","18","18012","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","19","19001","122611","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","19","19002","122411","100","1.65"
"122611","3","0","sjr_talk_idle_joy","1","","19","19003","sjr_talk_wave_hand","0","0.2"
"vo_minigame_1010","21","","0","","","19","19004","vo_minigame_1010_top_talk_2_008","0",""
"122611","11","0","1","0","0.5","19","19005","日和\n覺得享受嗎？","8","0"
"0","91","","","","","19","19006","","",""
"122611","3","","","","","19","19007","sjr_talk_idle","1","0.2"
"122411","3","0","sjr_talk_swing_joy2","1","","19","19008","sjr_talk_fun","0","0.2"
"vo_minigame_1010","21","","0","","","19","19009","vo_minigame_1010_top_talk_2_009","0",""
"122411","11","0","1","0","0.5","19","19010","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","7","0"
"0","91","","","","","19","19011","","",""
"122411","3","","","","","19","19012","sjr_talk_idle","1","0.2"
"122611","3","","","","","19","19013","sjr_talk_laugh","1","0.2"
"vo_minigame_1010","21","","0","","","19","19014","vo_minigame_1010_top_talk_2_010","0",""
"122611","11","0","1","0","0.5","19","19015","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","7","0"
"0","91","","","","","19","19016","","",""
"122611","3","","","","","19","19017","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","20","20001","122611","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","20","20002","122411","100","1.65"
"122411","3","0","sjr_talk_guts2_loop","1","","20","20003","sjr_talk_guts2","0","0.2"
"vo_minigame_1010","21","","0","","","20","20004","vo_minigame_1010_top_talk_2_011","0",""
"122411","11","0","1","0","0.5","20","20005","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","6","0"
"0","91","","","","","20","20006","","",""
"122411","3","","","","","20","20007","sjr_talk_idle","1","0.2"
"122611","3","0","sjr_talk_mouth_hidden_guru","1","","20","20008","sjr_talk_mouth_hidden_dere_guru","0","0.2"
"vo_minigame_1010","21","","0","","","20","20009","vo_minigame_1010_top_talk_2_012","0",""
"122611","11","0","1","0","0.5","20","20010","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","5","0"
"0","91","","","","","20","20011","","",""
"122411","3","0","sjr_talk_shock_loop","1","","20","20012","sjr_talk_shock","0","0.2"
"vo_minigame_1010","21","","0","","","20","20013","vo_minigame_1010_top_talk_2_013","0",""
"122411","11","0","1","0","0.5","20","20014","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","15","0"
"0","91","","","","","20","20015","","",""
"122611","3","","","","","20","20016","sjr_talk_idle","1","0.2"
"122411","3","","","","","20","20017","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","21","21001","122611","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","21","21002","122411","100","1.65"
"122611","3","","","","","21","21003","sjr_talk_worry_sad","1","0.2"
"vo_minigame_1010","21","","0","","","21","21004","vo_minigame_1010_top_talk_2_014","0",""
"122611","11","0","1","0","0.5","21","21005","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","6","0"
"0","91","","","","","21","21006","","",""
"122611","3","","","","","21","21007","sjr_talk_idle","1","0.2"
"122411","3","0","sjr_talk_guts2_joy_loop","0","","21","21008","sjr_talk_laugh_guts","0","0.2"
"vo_minigame_1010","21","","0","","","21","21009","vo_minigame_1010_top_talk_2_015","0",""
"122411","11","0","1","0","0.5","21","21010","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","5","0"
"0","91","","","","","21","21011","","",""
"122411","3","","","","","21","21012","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","22","22001","122511","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","22","22002","122411","100","1.65"
"122511","3","0","sjr_talk_arm_crossed_normal_loop","1","","22","22003","sjr_talk_arm_crossed_normal","0","0.2"
"vo_minigame_1010","21","","0","","","22","22004","vo_minigame_1010_top_talk_2_016","0",""
"122511","11","0","1","0","0.5","22","22005","就算對手是日和，\n我也沒打算輸喔。","5","0"
"0","91","","","","","22","22006","","",""
"122511","3","","","","","22","22007","sjr_talk_idle","1","0.2"
"122411","3","0","sjr_talk_guts_loop","1","","22","22008","sjr_talk_guts","0","0.2"
"vo_minigame_1010","21","","0","","","22","22009","vo_minigame_1010_top_talk_2_017","0",""
"122411","11","0","1","0","0.5","22","22010","對手是怜的話，\n我也會\n火力全開喔！","6","0"
"0","91","","","","","22","22011","","",""
"122411","3","","","","","22","22012","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","23","23001","122511","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","23","23002","122411","100","1.65"
"122411","3","0","sjr_talk_eieio_loop","1","","23","23003","sjr_talk_fun_eieio","0","0.2"
"vo_minigame_1010","21","","0","","","23","23004","vo_minigame_1010_top_talk_2_018","0",""
"122411","11","0","1","0","0.5","23","23005","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","5","0"
"0","91","","","","","23","23006","","",""
"122411","3","","","","","23","23007","sjr_talk_idle","1","0.2"
"122511","3","","","","","23","23008","sjr_talk_mouth_hidden_sad","1","0.2"
"vo_minigame_1010","21","","0","","","23","23009","vo_minigame_1010_top_talk_2_019","0",""
"122511","11","0","1","0","0.5","23","23010","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","6","0"
"0","91","","","","","23","23011","","",""
"122511","3","","","","","23","23012","sjr_talk_idle","1","0.2"
"122411","3","0","sjr_talk_arm_opened_guru","1","","23","23013","sjr_talk_arm_opened_joy_guru","0","0.2"
"vo_minigame_1010","21","","0","","","23","23014","vo_minigame_1010_top_talk_2_020","0",""
"122411","11","0","1","0","0.5","23","23015","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","4","0"
"0","91","","","","","23","23016","","",""
"122411","3","","","","","23","23017","sjr_talk_idle","1","0.2"
"1","1","1","72","-194","sjr_talk_idle","24","24001","122511","100","1.65"
"1","1","0","-72","-194","sjr_talk_idle","24","24002","122411","100","1.65"
"122411","3","","","","","24","24003","sjr_talk_mouth_hidden_sad","1","0.2"
"vo_minigame_1010","21","","0","","","24","24004","vo_minigame_1010_top_talk_2_021","0",""
"122411","11","0","1","0","1","24","24005","優衣不要緊吧～？\n希望她別跌倒\n就好了……","5","0"
"0","91","","","","","24","24006","","",""
"122411","3","","","","","24","24007","sjr_talk_idle","1","0.2"
"122511","3","0","sjr_talk_arm_crossed_joy_loop","0","","24","24008","sjr_talk_arm_crossed_normal_joy","0","0.2"
"vo_minigame_1010","21","","0","","","24","24009","vo_minigame_1010_top_talk_2_022","0",""
"122511","11","0","1","0","0.5","24","24010","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","4","0"
"0","91","","","","","24","24011","","",""
"122511","3","","","","","24","24012","sjr_talk_idle","1","0.2"
"122411","3","","","","","24","24013","sjr_talk_laugh","1","0.2"
"vo_minigame_1010","21","","0","","","24","24014","vo_minigame_1010_top_talk_2_023","0",""
"122411","11","0","1","0","0.5","24","24015","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","6","0"
"0","91","","","","","24","24016","","",""
"122411","3","","","","","24","24017","sjr_talk_idle","1","0.2"
