0d1a8c18370d5c20bc3875b00e5b6e44531cd3cb8a3b8c0698fcdec76d0dd027,c00c0e91c9db644170eab5c638367035955f71425149dec27f59e21ff31a3e28,af9b2c5367cf20adb8bf9220206cd5df40d840ec57dda558023d09cf3972a8d7,021c0170fdc5fc1560481cdbbe307ee9804be58ee176ae4236a053679c0980ba,7f63a40e744b1a2af94debb4231ee82d30a0271fe4b0099a57c399e0af18c330,57293f5e834f26f5e4d6749db78127574dc101c4e9aa0eec52bc452abb582810,96fced9c152906078f02eccd7b52406049d6dcc2785181e7aa7dbd5c75d280d2,e10d92021facf39da02ed66b3fcc59c2cc070ca012ee690baa6dc0eefe857f33,2ecfa488a815cbd8674ed47f8cea6aba0422928a8941f78e80904be0c911e0e6,41a8d14996e5f5e7fddf015f656583c8787a6a1ec493da222d5282f394ea5197,d50e8fbd51df3685b2da329f29785748a7424ec86a3c22955bd073fe5e0be610,fc11da7e5d54620dd9da63ac3c73efb7295a237ec59ab4b88d5a2846867eb42e,0cf2bd0ba0ee04266e4f1ba1b9380734cd45de41128db94e79c2b235564f8f9b,e6c4fbce7ebc15e43dde80d47711e2b0867bc3487ce8bf67cdecbaae8952a635
"0","13","0.022","105","110","1","200","108001","113","13","0","1.5","2","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。"
"0","14","0.031","108","110","1","160","110301","114","14","0","2.5","1","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。"
"1","15","0.036","105","110","0","130","107701","115","15","0","0.5","1","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。"
"0","16","0.048","95","110","0","350","113101","116","16","1","3.5","2","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。"
"1","17","0.043","105","105","0","130","113301","117","17","0","1.5","3","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。"
"1","18","0.018","95","105","0","130","113201","118","18","0","1.5","2","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。"
"0","19","0.021","108","110","1","160","117001","119","19","0","2.5","2","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。"
"0","20","0.036","105","110","0","255","113501","120","20","1","2.5","1","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。"
"0","21","0.02","105","105","0","350","113401","121","21","1","2.5","3","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。"
"1","22","0.018","105","110","0","130","110101","122","22","0","2.5","1","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。"
"0","23","0.03","111","105","1","160","110001","123","23","0","3.5","3","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。"
"1","24","0.027","103","110","0","130","117201","124","24","0","1.5","1","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。"
"0","25","0.02","108","105","1","160","117301","125","25","0","3.5","2","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。"
"0","26","0.04","105","110","0","350","117401","126","26","1","2.5","3","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。"
"0","27","0.009","105","110","0","350","117101","127","27","1","3.5","1","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。"
"0","28","0.022","105","120","0","255","122901","128","28","1","3.5","1","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。"
"1","29","0.028","105","110","0","130","122801","129","29","0","2.5","3","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？"
"0","30","0.023","108","105","1","130","122701","130","30","0","3.5","2","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。"
