2ce00d9bef90931803ac3ee5217365594f901b346fe4eb42a8f6f3b5075bc25e,4f6c11ce4ac25f2c2f93b5d83e52254e92061907cf3f6118ee7ffe920ccd40a8,843a33d1aa079325eff08302c8defcbf0aaa233df46c662596ec5e71e8c8f212,c5ce8c2906e1ce93ed4e5db2e108a6c10347fedf5a5806319e41289c7c05a24c,74e4920418f9daaf9267ce32c91e950d7803b22a08f04aa24cf1ee2fbe1820cd
"75000003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000306","boss_tp_down_cut","減少降低TP"
"75000004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000401","18","傷害值衰減"
"75000004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000402","17","賦予TP上升的上限"
"75000004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000403","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000404","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000405","9","降低HP吸收"
"75000004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000406","boss_tp_down_cut","減少降低TP"
"75000005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000501","18","傷害值衰減"
"75000005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000502","17","賦予TP上升的上限"
"75000005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000503","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000504","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000505","9","降低HP吸收"
"75000005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000506","boss_tp_down_cut","減少降低TP"
"75000006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000601","18","傷害值衰減"
"75000006","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000602","17","賦予TP上升的上限"
"75000006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000603","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000604","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000006","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000605","9","降低HP吸收"
"75000006","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000606","boss_tp_down_cut","減少降低TP"
"75000007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000701","18","傷害值衰減"
"75000007","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000702","17","賦予TP上升的上限"
"75000007","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000703","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000007","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000704","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000007","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000705","9","降低HP吸收"
"75000007","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000706","boss_tp_down_cut","減少降低TP"
"75000008","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000801","18","傷害值衰減"
"75000008","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000802","17","賦予TP上升的上限"
"75000008","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000803","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000008","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000804","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000008","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000805","9","降低HP吸收"
"75000008","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000806","boss_tp_down_cut","減少降低TP"
"75000009","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000901","18","傷害值衰減"
"75000009","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000902","17","賦予TP上升的上限"
"75000009","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000903","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000009","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000904","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000009","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000905","9","降低HP吸收"
"75000009","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000906","boss_tp_down_cut","減少降低TP"
"75000010","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500001001","18","傷害值衰減"
"75000010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500001002","17","賦予TP上升的上限"
"75000010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500001003","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500001004","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000010","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500001005","9","降低HP吸收"
"75000010","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500001006","boss_tp_down_cut","減少降低TP"
"75000011","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500001101","18","傷害值衰減"
"75000011","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500001102","17","賦予TP上升的上限"
"75000011","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500001103","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000011","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500001104","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000011","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500001105","9","降低HP吸收"
"75000011","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","500001106","boss_tp_down_cut","減少降低TP"
"75000012","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500001201","18","傷害值衰減"
"75000012","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500001202","17","賦予TP上升的上限"
"75000012","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500001203","boss_def_lower_limit","提升物理防禦力（不可降低）"
"75000012","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500001204","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"75000012","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500001205","9","降低HP吸收"
"75000012","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500001206","boss_tp_down_cut","減少降低TP"
"76010001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","601000101","18","傷害值衰減"
"76010001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","601000102","17","賦予TP上升的上限"
"76010001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","601000103","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76010001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","601000104","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76010001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","601000105","9","降低HP吸收"
"76010001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","601000106","boss_tp_down_cut","減少降低TP"
"76010002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","601000201","18","傷害值衰減"
"76010002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","601000202","17","賦予TP上升的上限"
"76010002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","601000203","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76010002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","601000204","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76010002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","601000205","9","降低HP吸收"
"76010002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","601000206","boss_tp_down_cut","減少降低TP"
"76010003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","601000301","18","傷害值衰減"
"76010003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","601000302","17","賦予TP上升的上限"
"76010003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","601000303","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76010003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","601000304","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76010003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","601000305","9","降低HP吸收"
"76010003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","601000306","boss_tp_down_cut","減少降低TP"
"76010004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","601000401","18","傷害值衰減"
"76010004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","601000402","17","賦予TP上升的上限"
"76010004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","601000403","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76010004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","601000404","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76010004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","601000405","9","降低HP吸收"
"76010004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","601000406","boss_tp_down_cut","減少降低TP"
"76010005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","601000501","18","傷害值衰減"
"76010005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","601000502","17","賦予TP上升的上限"
"76010005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","601000503","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76010005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","601000504","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76010005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","601000505","9","降低HP吸收"
"76010005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","601000506","boss_tp_down_cut","減少降低TP"
"76020001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","602000101","18","傷害值衰減"
"76020001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","602000102","17","賦予TP上升的上限"
"76020001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","602000103","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76020001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","602000104","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76020001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","602000105","9","降低HP吸收"
"76020001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","602000106","boss_tp_down_cut","減少降低TP"
"76020002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","602000201","18","傷害值衰減"
"76020002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","602000202","17","賦予TP上升的上限"
"76020002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","602000203","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76020002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","602000204","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76020002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","602000205","9","降低HP吸收"
"76020002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","602000206","boss_tp_down_cut","減少降低TP"
"76020003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","602000301","18","傷害值衰減"
"76020003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","602000302","17","賦予TP上升的上限"
"76020003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","602000303","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76020003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","602000304","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76020003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","602000305","9","降低HP吸收"
"76020003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","602000306","boss_tp_down_cut","減少降低TP"
"76020004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","602000401","18","傷害值衰減"
"76020004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","602000402","17","賦予TP上升的上限"
"76020004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","602000403","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76020004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","602000404","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76020004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","602000405","9","降低HP吸收"
"76020004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","602000406","boss_tp_down_cut","減少降低TP"
"76020005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","602000501","18","傷害值衰減"
"76020005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","602000502","17","賦予TP上升的上限"
"76020005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","602000503","boss_def_lower_limit","提升物理防禦力（不可降低）"
"76020005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","602000504","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"76020005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","602000505","9","降低HP吸收"
"76020005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","602000506","boss_tp_down_cut","減少降低TP"
