e10383402e2c736423aa1ee2f15463cf5e874fc403b6f4ab7460503d45b043c5,574ed92141ff44c245eeef6dc111a498b0102d0d46fa9d0136bdc46e67dcc3c6,a4ec9ebfbdc57821545ab3d860c301b0bc4b34d9fbfca19f967610a610033857,338e98f261d7c0cf9d1f0372c331c7ece7ec3972ecb079f923ff6bcd29bbaa37,508eaf8cdcc82f7c86040025d835a55ac60c8196205f5dfc88a66c32aedba39e,3bde756f5f304b35cc2f8fe8ed0f4ef947cac4b359ea978a06886ea3ffd86402,aa79ce30a13f1b14c14ca26bcaea517b5353732e3d597267d3a41647be559327,b4aedced68dd7c24ff05145d3bdede99ee844466f309de980947fea443a6c13d,b1e56d3eb9150d153f275d9cadcabb925dd04644a9d07add7afe72badc1984a6,40463604423137b83e6b05b54a38ec00be8a964e1da2d8fc774915419e6af99a
"哞哞","哇哇","0","2111004","咕咕","1","0","嗡嗡","0","0"
"綜合莓果蛋糕","大天使之淚","0","2111005","心型吉拿棒","1","0","蘋果派","0","0"
"Pillar","Pliers","0","2120002","Hammer","1","0","Screwdriver","0","0"
"Balustrate","Cottage","0","2120004","House","1","0","Building","0","0"
"PTSD","SARS","0","2120005","AIDS","1","0","ADSL","0","0"
"TD","TY","0","2120006","TS","1","0","STS","0","0"
"醜","酉","0","2120009","愧","1","0","酒","0","0"
"不知變通","無可奈何","0","2120011","因時制宜","1","0","委曲求全","0","0"
"電報","電燈","0","2120012","電車","1","0","電源","0","0"
"味醂","味噌","0","2120013","醬油","1","0","醋","0","0"
"itinerary","harmonious","0","2120014","refrigerator","1","0","bankrupt","0","0"
"勤奮求學","四季分明","0","2120016","節儉","1","0","風景秀麗","0","0"
"老年人精神煥發","老人生氣的樣子","0","2120017","老人顏貌俊美","1","0","老但樣貌年輕","0","0"
"Freeway","Railway","0","2120018","Long Way","1","0","Fly Away","0","0"
"吹糠見米","枉費心機","0","2120021","徒勞無功","1","0","無濟於事","0","0"
"地不愛寶","錙銖必較","0","2120022","瘠人肥己","1","0","葛屨履霜","0","0"
"口若懸河","白費口舌","0","2120023","對牛彈琴","1","0","雞同鴨講","0","0"
"魑魅魍魎","天方夜譚","0","2120025","海底撈月","1","0","鐵樹開花","0","0"
"恆河沙數","微乎其微","0","2120026","屈指可數","1","0","寥寥無幾","0","0"
"一朝一夕","一兆一億","0","2120027","一鳥一石","1","0","一長一短","0","0"
"４個","８個","0","2120028","２個","1","0","６個","0","0"
"Hello","Harro","0","2120029","Hallo","1","0","Herro","0","0"
"優柔寡斷","日新月異","0","2120031","埋頭苦幹","1","0","一進一退","0","0"
"星期五","星期一","0","2120033","星期四","1","0","星期日","0","0"
"星期三","星期二","0","2120034","星期五","1","0","星期四","0","0"
"Dying Message","Diving Message","0","2120035","Dubbing Message","1","0","Dancing Message","0","0"
"馬","虎","0","2120036","牛","1","0","狗","0","0"
"廁所","廚房","0","2120037","河川","1","0","衣櫃","0","0"
"奔","工","0","2120038","牛","1","0","烘","0","0"
"暄","宣","0","2120039","喧","1","0","渲","0","0"
"喧","宣","0","2120042","暄","1","0","渲","0","0"
"「朝」三暮四","「朝」野","0","2120045","「朝」天闕","1","0","「朝」向","0","0"
"「難」民","艱「難」","0","2120046","「難」過","1","0","「難」受","0","0"
"弊","硬","0","2120047","鈔","1","0","兌","0","0"
"九死一生","五顏六色","0","2120048","八面六臂","1","0","四分五裂","0","0"
"千載一遇","一網打盡","0","2120049","百發百中","1","0","八方受敵","0","0"
"謀求","測量","0","2120050","陰謀","1","0","計劃","0","0"
"從事","依附","0","2120051","抵達","1","0","靠近","0","0"
"青色","白色","0","2120053","紅色","1","0","黑色","0","0"
"不知死活","神仙難救","0","2120054","祭天拜地","1","0","中飽私囊","0","0"
"敵人","師徒","0","2120055","家人","1","0","情侶","0","0"
"竹筍","蘆筍","0","2120056","松茸","1","0","香菇","0","0"
"無法無天","頂上無光","0","2120057","阿彌陀佛","1","0","天女散花","0","0"
"高明","言不及義","0","2120058","一步登天","1","0","登高望遠","0","0"
"一場空","緊攔慢擋","0","2120059","足不出戶","1","0","覆水難收","0","0"
"龜","貓","0","2120060","鶴","1","0","狗","0","0"
"狐","兔","0","2120061","狸","1","0","貓","0","0"
"邊緣人掰掰團","一直打工團","0","2121001","跌倒冒險團","1","0","我們的防衛團","0","0"
"沉醉麥酒的快樂女孩","麥酒的想像訓練","0","2121002","最棒的一杯","1","0","麥酒最棒啦！","0","0"
"絕對妻君","兇猛女君","0","2121003","誓約女君","1","0","聖夜女君","0","0"
"暝","姬","0","2121004","風","1","0","疾","0","0"
"1000000","100000000","0","2121005","10000000","1","0","1000","0","0"
"Sophisticated","Senior","0","2130004","Outdated","1","0","Aged","0","0"
"Ostracize","Exonerate","0","2130005","Exempt","1","0","Outside","0","0"
"故國的哀思 ","飢荒的悲嘆","0","2130006","運蹇的無奈","1","0","喪子的悲痛","0","0"
"地「氈」／「饘」粥糊口","「鵪」鶉／「閹」然媚世","0","2130007","「佚」名／瓜「瓞」綿綿","1","0","「岈」然／驚「訝」不已","0","0"
"水果刀","鵝蛋臉","0","2130008","牛肉麵","1","0","老爺車","0","0"
"床","尾","0","2130009","病","1","0","原","0","0"
"南","北","0","2130011","東","1","0","西","0","0"
"廚房","儲物間","0","2130014","廁所","1","0","客廳","0","0"
"九","八","0","2130015","七","1","0","六","0","0"
"花生醬恐懼症","廁所恐懼症","0","2130016","香蕉恐懼症","1","0","衣服恐懼症","0","0"
"天衣無逢","馬耳東風","0","2130018","三番五次","1","0","千變萬化","0","0"
"詠絮之才／不櫛進士 ","折節下士／櫛風沐雨","0","2130019","絕妙好辭／鉤章棘句","1","0","虛與委蛇／緣木求魚","0","0"
"秋荼春「薺」／光風「霽」月","修「葺」補漏／擊「楫」中流","0","2130020","狼「嗥」鬼叫／「皋」魚之泣","1","0","不「悱」不發／「蜚」短流長","0","0"
"羊頭苦肉","洗刷汙名","0","2130021","泛而不精","1","0","光吃不做","0","0"
"Accent","Overwhelm","0","2130022","Consent","1","0","Overlook","0","0"
"Mediocre","Extreme","0","2130023","Superb","1","0","Occasion","0","0"
"Conference","Consumption","0","2130024","Conservation","1","0","Contention","0","0"
"Desirable","Attempt","0","2130025","Addiction","1","0","Obsession","0","0"
"木乃伊","乃伊木","0","2130026","伊乃木","1","0","木伊乃","0","0"
"Confine","Austere","0","2130027","Stern","1","0","Precise","0","0"
"啟發","讓其迎向光明","0","2130028","讓其發亮","1","0","讓其減輕","0","0"
"嬌小的","可憎的","0","2130029","漂亮的","1","0","舒服的","0","0"
"過於謹慎","平凡","0","2130030","大膽","1","0","疏失","0","0"
"圍棋","雙六棋","0","2130031","將棋","1","0","麻將","0","0"
"釣魚","女性","0","2130033","賭博","1","0","飲食","0","0"
"寬敞的","特別的","0","2130034","太空的","1","0","有嫌疑的","0","0"
"Straight","Stretch","0","2130035","Strength","1","0","Strict","0","0"
"蓮","百合","0","2130036","菊花","1","0","薔薇","0","0"
"Descent","Desiccant","0","2130037","Descant","1","0","Descend","0","0"
"Lessen","Lissen","0","2130039","Listen","1","0","Lesion","0","0"
"Waste","Wreck","0","2130041","Wrist","1","0","Write","0","0"
"Vain","Vent","0","2130044","Van","1","0","Vine","0","0"
"使頭髮蓬鬆","修剪","0","2130045","使髒亂","1","0","使分散","0","0"
"心如木石","堅定不移","0","2130046","欺霜傲雪","1","0","心如鐵石","0","0"
"標新立異","滌故更新","0","2130047","自我作古","1","0","破舊立新","0","0"
"苔","芽","0","2130048","黴","1","0","草","0","0"
"明哲保身","趁人之危","0","2130049","落井下石","1","0","暗箭傷人","0","0"
"翼","獅","0","2130050","刀","1","0","車","0","0"
"全身遠害","謹言慎行","0","2130052","如履薄冰","1","0","如臨深淵","0","0"
"火山矽肺症","嚴重急性呼吸道症候群","0","2130053","非典型肺炎","1","0","嚴重特殊傳染性肺炎","0","0"
"青陽","玄英","0","2130054","朱明","1","0","素節","0","0"
"詩人","寫詩","0","2130055","詩集","1","0","詩","0","0"
"高商","陽中","0","2130058","昊天","1","0","安寧","0","0"
"孫","父","0","2130059","子","1","0","兄","0","0"
"指鹿為馬","張牙舞爪","0","2130061","指天畫地","1","0","指手畫腳","0","0"
"藍","灰","0","2131001","紅","1","0","黃","0","0"
"666","999","0","2131002","777","1","0","888","0","0"
"公雞報喜","百人一首","0","2131003","互不來往","1","0","氣數已盡","0","0"
"本命任務","訴說愛意","0","2131004","絢爛煙火","1","0","勞動工作","0","0"
"露營","賽跑","0","2131005","巡遊","1","0","戰鬥","0","0"
"蝌蚪","日本大龍蝨","0","2210001","日本錦蛇","1","0","水蠆","0","0"
"角","耳","0","2210003","翼","1","0","尾巴","0","0"
"蚱蜢","蟬","0","2210004","蟋蟀","1","0","蜻蜓","0","0"
"烏鴉","鸚鵡","0","2210005","鵜鶘","1","0","東方白鸛","0","0"
"薑汁","薑黃","0","2210006","大蒜","1","0","洋蔥","0","0"
"酪梨","紅毛丹","0","2210007","芒果","1","0","榴槤","0","0"
"香菜","派西","0","2210008","三色堇","1","0","珍珠","0","0"
"紅蘿蔔","黃瓜","0","2210009","青椒","1","0","大白菜","0","0"
"魚類","爬蟲類","0","2210011","哺乳類","1","0","鳥類","0","0"
"免疫","自我防衛","0","2210012","罷免","1","0","習慣","0","0"
"耳朵","眼睛","0","2210013","鼻子","1","0","嘴","0","0"
"鼬科","貓科","0","2210015","松鼠科","1","0","犬科","0","0"
"媽媽","奶奶","0","2210016","爸爸","1","0","爺爺","0","0"
"鼻子","眼睛","0","2210018","嘴","1","0","耳朵","0","0"
"大馬哈魚","鯉魚","0","2210019","鯖魚","1","0","香魚","0","0"
"駱駝","猩猩","0","2210020","貓熊","1","0","綿羊","0","0"
"獵豹","老虎","0","2210021","鴕鳥","1","0","獅子","0","0"
"鸚鵡","貓頭鷹","0","2210022","大杜鵑","1","0","啄木鳥","0","0"
"智齒","虎牙","0","2210024","不懂感情","1","0","不知世事","0","0"
"孔雀","雷鳥","0","2210025","紅鸛","1","0","東方白鸛","0","0"
"鱈場蟹","日本絨螯蟹","0","2210026","松葉蟹","1","0","高腳蟹","0","0"
"葡萄糖","草莓糖","0","2210027","橘子糖","1","0","檸檬糖","0","0"
"袖長","舞菇","0","2210029","松茸","1","0","香菇","0","0"
"松露","肉豆蔻","0","2210030","肥肝","1","0","魚子醬","0","0"
"軟體動物","變體動物","0","2210032","剛體動物","1","0","解體動物","0","0"
"青椒","高麗菜","0","2210034","豆芽菜","1","0","萵苣","0","0"
"蠶豆","黑豆","0","2210035","豌豆","1","0","刀豆","0","0"
"上臂二頭肌","上臂五頭肌","0","2210037","上臂一頭肌","1","0","比目魚肌","0","0"
"紅色","綠色","0","2210040","藍色","1","0","黃色","0","0"
"一隻","十隻","0","2210041","二十隻","1","0","五隻","0","0"
"耳朵","尾巴","0","2210042","鼻子","1","0","前線","0","0"
"海","池塘","0","2210045","河川","1","0","湖","0","0"
"喙會膨脹","啄樹木來挖洞","0","2210046","在地表高速奔跑","1","0","頭會360度旋轉","0","0"
"貝殼","小石子","0","2210047","珊瑚","1","0","民宿","0","0"
"櫻花","菊花","0","2210048","牽牛花","1","0","茶梅","0","0"
"打呼","打哈欠","0","2210049","打嗝","1","0","打噴嚏","0","0"
"頭蓋骨","頭空骨","0","2210050","頭頭骨","1","0","頭挨骨","0","0"
"36℃左右","56℃左右","0","2210051","26℃左右","1","0","46℃左右","0","0"
"變色龍","日本虎甲蟲","0","2210052","螽斯","1","0","灶馬","0","0"
"山椒魚","七味辣椒魚","0","2210054","胡椒魚","1","0","塔巴斯科辣椒魚","0","0"
"黑啄木鳥","棕熊","0","2210056","北極熊","1","0","亞洲黑熊","0","0"
"燙","甜","0","2210057","苦","1","0","鹹","0","0"
"螢火蟲","蜜蜂","0","2210058","蟬","1","0","蜻蜓","0","0"
"Bulldog","Corn Dog","0","2210059","Salty Dog","1","0","Hot Dog","0","0"
"銀杏","野漆","0","2210060","日本紅楓","1","0","杜鵑花","0","0"
"優妮","美美","0","2211001","禊","1","0","鏡華","0","0"
"二","一","0","2211002","四","1","0","三","0","0"
"凱留","雪菲","0","2211003","貪吃佩可","1","0","可可蘿","0","0"
"小伊緒","伊緒大人","0","2211004","伊緒寶","1","0","伊緒老師","0","0"
"美空","普蕾西亞","0","2211005","莉莉","1","0","可璃亞","0","0"
"小丑魚","墨魚","0","2220001","木魚","1","0","儒艮","0","0"
"茶梅","牽牛花","0","2220002","蒲公英","1","0","繡球花","0","0"
"８隻","12隻","0","2220005","10隻","1","0","６隻","0","0"
"茄科","瓜科","0","2220006","薔薇科","1","0","芸香科","0","0"
"棱皮龜","婆婆龜","0","2220007","爺爺龜","1","0","殿下龜","0","0"
"奇異","芒果","0","2220008","木瓜","1","0","鳳梨","0","0"
"蘆葦","鼠尾草","0","2220009","蘆薈","1","0","龍舌蘭","0","0"
"沒有功用","解毒","0","2220010","消化食物","1","0","製造血液","0","0"
"日本獼猴","紅毛猩猩","0","2220012","猩猩","1","0","黑猩猩","0","0"
"鯡魚","鱸魚","0","2220015","鮭魚","1","0","鯖魚","0","0"
"赫克力士大兜蟲","柏修斯大兜蟲","0","2220016","阿基里斯大兜蟲","1","0","亞馬遜大兜蟲","0","0"
"４個","沒有區分","0","2220017","２個","1","0","３個","0","0"
"北極熊","美洲黑熊","0","2220018","亞洲黑熊","1","0","棕熊","0","0"
"螳螂","蟬","0","2220019","鍬形蟲","1","0","瓢蟲","0","0"
"頰囊","頰冠","0","2220020","肌頰","1","0","儲頰","0","0"
"蝴蝶蘭","牡丹金梅草","0","2220021","紅龍吐珠","1","0","鹿子百合","0","0"
"細胞","棍棒","0","2220022","脂肪","1","0","心房","0","0"
"蟋蟀","螞蟻","0","2220023","螽斯","1","0","蝗蟲","0","0"
"河豚","虎鯨","0","2220024","鮟鱇","1","0","鯊魚","0","0"
"疣","耳","0","2220025","手","1","0","眼","0","0"
"水母","章魚","0","2220026","海膽","1","0","烏賊","0","0"
"海膽","章魚","0","2220027","水母","1","0","烏賊","0","0"
"牛","駱駝","0","2220028","狗","1","0","羊","0","0"
"蛹","樹葉","0","2220030","卵","1","0","腐木","0","0"
"鱷魚","河馬","0","2220031","蛇","1","0","變色龍","0","0"
"阿拉伯狒狒","紅毛猩猩","0","2220033","猩猩","1","0","黑猩猩","0","0"
"鍬形蟲","螳螂","0","2220034","獨角仙","1","0","金龜子","0","0"
"七年後","七天後","0","2220038","七個月後","1","0","七週後","0","0"
"梅","波斯菊","0","2220040","向日葵","1","0","繡球花","0","0"
"腳","腰","0","2220042","手","1","0","頭部","0","0"
"學名","實名","0","2220043","本名","1","0","俗名","0","0"
"智人","直立人","0","2220044","猿人","1","0","巧人","0","0"
"蜻蜓","鈴蟲","0","2220046","蟬","1","0","獨角仙","0","0"
"種子植物","芥子植物","0","2220047","玻璃植物","1","0","束子植物","0","0"
"毛細血管","毛深血管","0","2220048","毛樣血管","1","0","毛頭血管","0","0"
"貝殼類","魚類","0","2220049","鳥類","1","0","兩生類","0","0"
"水母","藤壺","0","2220050","蝦子","1","0","螃蟹","0","0"
"犰狳","大食蟻獸","0","2220051","刺蝟","1","0","豪豬","0","0"
"水","碳水化合物","0","2220052","蛋白質","1","0","脂質","0","0"
"台灣野豬","鴛鴦","0","2220054","石虎","1","0","黑面琵鷺","0","0"
"皮膚","脂肪","0","2220056","毛","1","0","骨頭","0","0"
"呼吸系統","消化系統","0","2220057","循環系統","1","0","泌尿系統","0","0"
"海膽","蝦子","0","2220058","章魚","1","0","烏賊","0","0"
"孢子","豆子","0","2220059","莢子","1","0","種子","0","0"
"木質部","木栓層","0","2220060","韌皮部","1","0","綠皮層","0","0"
"美美","祈梨","0","2221001","鏡華","1","0","莉莉","0","0"
"虎虎","虎獅","0","2221002","鱈虎","1","0","三重岩","0","0"
"怪奇怪靈","怪其怪靈","0","2221003","怪奇怪零","1","0","怪奇怪鈴","0","0"
"宮子","胡桃","0","2221004","智","1","0","美咲","0","0"
"泥巴鱷","奉鱷","0","2221005","鱷魚龍","1","0","鱷魚泥巴巴","0","0"
"碳酸鈣粉","矽酸鈣粉","0","2230001","硫酸鈣粉","1","0","磷酸鈣粉","0","0"
"Shivering","Shirring","0","2230003","Idling","1","0","Traveling","0","0"
"胰臟","心臟","0","2230005","肝臟","1","0","腎臟","0","0"
"Peahen","Peach","0","2230007","Peeler","1","0","Peanut","0","0"
"紅血球","巨噬细胞","0","2230008","白血球","1","0","T細胞","0","0"
"鼠鯊科","真鯊科","0","2230010","虎鯊目","1","0","狗鯊科","0","0"
"迷迭香","迷蝶香","0","2230012","謎迭香","1","0","彌迭香","0","0"
"頰囊","硬頰","0","2230013","眉骨","1","0","顴骨","0","0"
"繡球花","枝垂櫻","0","2230014","菫","1","0","藤花","0","0"
"果實","莖","0","2230015","葉子","1","0","根","0","0"
"火龍果","山竹","0","2230016","奇異果","1","0","鳳梨","0","0"
"細胞壁","細胞質","0","2230017","細胞核","1","0","細胞膜","0","0"
"鱗片大","尾鰭深分叉","0","2230018","體側扁","1","0","橢圓形","0","0"
"一樣多","個體間有所差距","0","2230019","長頸鹿較多","1","0","人類較多","0","0"
"靈貓科","靈馬科","0","2230021","靈犬科","1","0","靈熊科","0","0"
"唇形科","禾本科","0","2230022","菊科","1","0","繖形科","0","0"
"白色","紅色","0","2230023","黑色","1","0","棕色","0","0"
"水豚","絨毛絲鼠","0","2230024","河狸","1","0","海狸鼠","0","0"
"皇帶魚","鮪魚","0","2230026","鰻魚","1","0","大西洋鯡魚","0","0"
"麝香貓","台灣黑熊","0","2230027","水獺","1","0","石虎","0","0"
"家蠶","鍬形","0","2230028","蜻蜓","1","0","獨角仙","0","0"
"鰻魚","鮪魚","0","2230029","櫻鱒","1","0","鰆魚","0","0"
"３顆","５顆","0","2230030","２顆","1","0","１顆","0","0"
"腔棘魚","擬態章魚","0","2230031","魔鬼魚","1","0","大白鯊","0","0"
"斜方肌","正圓肌","0","2230032","斜圓肌","1","0","正方肌","0","0"
"鱗片","嘴","0","2230033","眼睛","1","0","尾鰭","0","0"
"XY","XZ","0","2230034","XX","1","0","YY","0","0"
"０根","23根","0","2230036","15根","1","0","７根","0","0"
"象魚","鯉魚","0","2230037","鯊魚","1","0","鯨魚","0","0"
"鼬科","貓科","0","2230038","松鼠科","1","0","犬科","0","0"
"犬科","靈貓科","0","2230040","貓科","1","0","豬科","0","0"
"孑孓","蟻蛉","0","2230043","毛毛蟲","1","0","水蠆","0","0"
"螳螂","鍬形蟲","0","2230044","蜘蛛","1","0","獨角仙","0","0"
"抽筋","縮肌","0","2230045","拉筋","1","0","增肌","0","0"
"禾本科","百合科","0","2230046","杜鵑花科","1","0","堇菜科","0","0"
"落葉樹","常綠樹","0","2230048","針葉樹","1","0","闊葉樹","0","0"
"Chlorophyll","Lycopene","0","2230049","Lutein","1","0","Anthocyanidin","0","0"
"貓頭鷹","鴿子","0","2230050","大杜鵑","1","0","公雞","0","0"
"月見草","星夜草","0","2230051","月夜草","1","0","星見草","0","0"
"鸚鵡螺","麻雀螺","0","2230052","烏鴉螺","1","0","樹鶯螺","0","0"
"電鈴","煙火","0","2230053","動漫","1","0","電影","0","0"
"比目魚肌","鮪魚肌","0","2230055","蝗蟲肌","1","0","鰹魚肌","0","0"
"脂肪","夢","0","2230058","水","1","0","石油","0","0"
"貓","狐狸","0","2230059","狗","1","0","狸貓","0","0"
"刺山柑","山蘇","0","2230061","椪柑","1","0","過山貓","0","0"
"聖女假面","白銀面具","0","2231001","面具‧D‧純","1","0","聖誕淑女","0","0"
"碧","伊莉亞","0","2231002","綾音","1","0","可可蘿","0","0"
"鈴鼓","沙鈴","0","2231003","太鼓","1","0","響板","0","0"
"優妮","碧","0","2231004","琪愛兒","1","0","克蘿依","0","0"
"鈴奈","凱留","0","2231005","惠理子","1","0","妮諾","0","0"
"１","0.5","0","2310002","０","1","0","２","0","0"
"月球","水星","0","2310003","太陽","1","0","火星","0","0"
"土星","金星","0","2310005","水星","1","0","火星","0","0"
"紅寶石","珍珠","0","2310006","綠寶石","1","0","綠松石","0","0"
"熱帶低氣壓","乾燥帶低氣壓","0","2310009","溫帶低氣壓","1","0","寒帶低氣壓","0","0"
"分貝","公斤","0","2310010","百帕斯卡","1","0","毫巴","0","0"
"卡路里","公升","0","2310011","公尺","1","0","公斤","0","0"
"6","9","0","2310012","12","1","0","24","0","0"
"24小時","48小時","0","2310014","12小時","1","0","36小時","0","0"
"一樣重","1公斤的棉花","0","2310015","1公斤的鐵","1","0","1公斤的沙子","0","0"
"1440分鐘","1600分鐘","0","2310016","1360分鐘","1","0","1520分鐘","0","0"
"M","W","0","2310017","N","1","0","E","0","0"
"白晝","紅晝","0","2310018","黑晝","1","0","黃晝","0","0"
"黑色","粉紅色","0","2310019","紅色","1","0","白色","0","0"
"45度","90度","0","2310020","30度","1","0","60度","0","0"
"黑洞","白洞","0","2310021","紅洞","1","0","藍洞","0","0"
"720度","540度","0","2310023","180度","1","0","360度","0","0"
"21","23","0","2310024","20","1","0","22","0","0"
"天河","運河","0","2310025","熱河","1","0","泥河","0","0"
"樸素","碳","0","2310026","氮","1","0","氫","0","0"
"0.01公尺","100公尺","0","2310027","0.1公尺","1","0","10公尺","0","0"
"赫茲","哇茲","0","2310028","瓦茲","1","0","帕茲","0","0"
"颮","颱風","0","2310030","颶風","1","0","豪大雨","0","0"
"與隕石相撞","在地表發生的爆炸","0","2310031","與火箭相撞","1","0","與人工衛星相撞","0","0"
"365.24天","465.24天","0","2310032","265.24天","1","0","165.24天","0","0"
"約29.5天","約59.5天","0","2310034","約39.5天","1","0","約49.5天","0","0"
"斷層","高層","0","2310035","切層","1","0","割層","0","0"
"沸騰","液化","0","2310036","爆炸","1","0","氧化","0","0"
"冰點","冷點","0","2310037","固點","1","0","寒點","0","0"
"２公斤","８公斤","0","2310038","４公斤","1","0","６公斤","0","0"
"0","-500","0","2310039","50","1","0","5050","0","0"
"日全食","全日食","0","2310041","日偏食","1","0","日環食","0","0"
"電阻","對立","0","2310042","反抗","1","0","反推","0","0"
"線圈","美甲","0","2310043","金屬箔","1","0","英里","0","0"
"公釐","公秉","0","2310044","毫升","1","0","分升","0","0"
"200","155","0","2310045","160","1","0","150","0","0"
"３×２","２＋３","0","2310047","３＋２","1","0","３÷２","0","0"
"滿月","新月","0","2310049","半月","1","0","娥眉月","0","0"
"錢","鐵","0","2310051","銀","1","0","銅","0","0"
"半導體","中緣體","0","2310052","不導體","1","0","未絕體","0","0"
"P波","S波","0","2310053","Q波","1","0","R波","0","0"
"１公升的水","100萬日圓份量的１萬日圓鈔票","0","2310054","１日元硬幣100枚","1","0","１合的米","0","0"
"乾潮","滿潮","0","2310056","赤潮","1","0","黑潮","0","0"
"圓周率","２","0","2310059","底邊","1","0","高度","0","0"
"霜","冰雹","0","2310060","雷","1","0","霰","0","0"
"1200","1000","0","2311001","1480","1","0","1100","0","0"
"630","540","0","2311002","460","1","0","700","0","0"
"6400","7980","0","2311003","1600","1","0","5400","0","0"
"蘭德索爾","珊托魯斯","0","2311004","大間","1","0","東國","0","0"
"1100盧幣","950盧幣","0","2311005","1000盧幣","1","0","1150盧幣","0","0"
"90度","360度","0","2320001","０度","1","0","180度","0","0"
"５根","９根","0","2320004","２根","1","0","７根","0","0"
"心宿二","軒轅十四","0","2320005","畢宿五","1","0","南河三","0","0"
"魯米諾","二苯蒽","0","2320006","壬烯醛","1","0","石蕊","0","0"
"6000℃","60000℃","0","2320008","60℃","1","0","600℃","0","0"
