ab988b3e7782e33a91f6fabb61629b7105b70e3f403c6da66aae48a9bc23f245,c4c56180e5417e2d196fcf3f9d45dcea0cadb508277b8123fac32a068bc48fa8,553cb05cb781cc1e94a87b5cf8723aca656b93ca324503674619aab382e35b22,70de9088b87232839cf5791e18748d8b4c0c432c7c531ef3cb3548392067d1be,c3e9f2e7a08206f21c181279f14b5f7d804c15528941b26511a5eac50098ed34,b4323a442b4013578627cf53f7f8be8a8ce97656a62a4bac52d9c65d2daaefd4,33090e459c1efb16279320345a12db09b91ceaf579bbbfdf8c081a4cd524a83f,ee394152238efc78327918a25eb9d5b3d5c924d677012a514d5bea088b2eff2c,5da3f86cb287af442b4fcca7f1a148507246a1a247732850602c2a46a584b20e,817d69fb0bd9a76b05dae6bc61bdded0bfbaab1242763df3bf882e6b97a1806e,fcdf4ec59b4fe884b70dd6c7cbf533908aa358839188501c11230d9caba7cf0f
"1","1","11","1","0","1010801","祈梨……\n妳剛才說什麼？","1010801038","0","10","0.2"
"","","91","0","","1010801","","1010801039","","",""
"","","3","1","0.5","1010801","dsb_idle_normal","1010801040","","1",""
"dsb_talk_surprise1_2","1","3","2","0.2","1010801","dsb_surprise_inori","1010801041","0.5","0",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1005","1010801042","","0",""
"1","1","11","2","0","1010801","沒沒沒、沒有，我什麼都沒說喔～\n倒是這座溫泉！\n這熱度不尋常……\n裡頭肯定有危險的東西！","1010801043","0","10","0.2"
"","","91","0","","1010801","","1010801044","","",""
"","","3","2","0.5","1010801","dsb_idle_surprise1_normal","1010801045","","1",""
"","","3","1","0.5","1010801","dsb_talk_bitter","1010801046","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1006","1010801047","","0",""
"1","1","11","1","0","1010801","說得真難聽～\n裡面沒有危險的東西哦～\n……應該說這東西\n祈梨也很熟呀。","1010801048","0","10","0.2"
"","","91","0","","1010801","","1010801049","","",""
"","","3","1","0.5","1010801","dsb_idle_normal","1010801050","","1",""
"","","3","2","0.5","1010801","dsb_sniff","1010801051","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1007","1010801052","","0",""
"1","1","11","2","0","1010801","這麼說來……嗅嗅。\n我好像在哪裡聞過\n這泉水的味道。","1010801053","0","10","0.2"
"","","91","0","","1010801","","1010801054","","",""
"","","3","2","0.5","1010801","dsb_idle_normal","1010801055","","1",""
"","","3","1","0.5","1010801","dsb_talk_joy3","1010801056","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1008","1010801057","","0",""
"1","1","11","1","0","1010801","對吧～？\n正確答案是……\n吃了會噴火的樹果，\n我向似龍生物拿來的～☆","1010801058","0","10","0.2"
"","","91","0","","1010801","","1010801059","","",""
"","","3","1","0.5","1010801","dsb_idle_normal","1010801060","","1",""
"dsb_talk_guts2_loop","1","3","2","0.5","1010801","dsb_talk_guts2","1010801061","0.5","0",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1009","1010801062","","0",""
"1","1","11","2","0","1010801","喔喔！？\n是那個火焰果實啊！\n那水這麼熱也說得通了！\n那傢伙還好嗎？","1010801063","0","10","0.2"
"","","91","0","","1010801","","1010801064","","",""
"","","3","2","0.5","1010801","dsb_idle_guts2","1010801065","","1",""
"","","3","1","0.5","1010801","dsb_talk_normal","1010801066","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1010","1010801067","","0",""
"1","1","11","1","0","1010801","嗯☆\n牠好像還記得我呢？\n馬上就把果實分給我了～♪\n心甘情願～地喔？","1010801068","0","10","0.2"
"","","91","0","","1010801","","1010801069","","",""
"","","3","1","0.5","1010801","dsb_hot","1010801070","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1011","1010801071","","0",""
"1","1","11","1","0","1010801","不過……\n呼。\n是我果實加太多了嗎～？\n感覺有點發熱了～","1010801072","0","10","0.2"
"","","91","0","","1010801","","1010801073","","",""
"","","3","1","0.5","1010801","dsb_hot_loop","1010801074","","1",""
"","","3","2","0.3","1010801","dsb_talk_thinking_Ex9","1010801075","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1012","1010801076","","0",""
"1","1","11","2","0","1010801","（這、這是……好機會！\n如果老大比我先泡到頭昏，\n到時候老大就比我還遜了！\n就等於是我贏了！The‧以下犯上！）","1010801077","0","10","0.2"
"","","91","0","","1010801","","1010801078","","",""
"dsb_talk_arm_crossed_Ex10_loop","1","3","2","0.5","1010801","dsb_talk_arm_crossed_Ex10","1010801079","0.5","0",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1013","1010801080","","0",""
"1","1","11","2","0","1010801","呵呵呵……\n這場比賽我贏定了──！\n啊──哈哈哈哈！","1010801081","0","10","0.2"
"","","93","5.6","","1010801","1","1010801082","","",""
"dsb_ahaha_loop","1","3","2","0.5","1010801","dsb_ahaha_in","1010801083","0","0",""
"","","91","1010801081","","1010801","","1010801084","","",""
"","","32","40","","1010801","1","1010801085","","",""
"","","93","1.5","","1010801","0","1010801086","","",""
"","","3","2","0","1010801","dsb_inori_dizzy","1010801087","","1",""
"","","3","1","0","1010801","dsb_idle_normal","1010801088","","1",""
"","","93","0.5","","1010801","0","1010801089","","",""
"","","22","0","","1010801","0","1010801090","","",""
"","","93","1","","1010801","0","1010801091","","",""
"dsb_talk_joy3","1","3","1","0.5","1010801","dsb_smile4","1010801092","0.2","0",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1014","1010801093","","0",""
"1","1","11","1","0","1010801","嗯──♪\n終於暖和起來了～\n祈梨，對吧？","1010801094","0","10","0.2"
"","","91","0","","1010801","","1010801095","","",""
"","","3","1","0.5","1010801","dsb_idle_normal","1010801096","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1015","1010801097","","0",""
"1","1","11","2","0","1010801","噫……\n噫噫噫噫……\n我要變成水煮龍人族了～！","1010801098","0","10","0.2"
"","","91","0","","1010801","","1010801099","","",""
"","","22","0","","1010801","0","1010801100","","",""
"","","23","se_10044200","","1010801","se_10044200_get_out_water","1010801101","","0",""
"dsb_inori_stand_up_loop","1","3","2","0.2","1010801","dsb_inori_stand_up_in","1010801102","0.2","0",""
"dsb_idle_normal","1","3","1","0.3","1010801","dsb_smile2","1010801103","0.2","0",""
"","","93","0.3","","1010801","0","1010801104","","",""
"","","23","se_adv_emote_sweat_02","","1010801","se_adv_emote_sweat_02","1010801105","","0",""
"0","0","12","2","0","1010801","2","1010801106","0","1.4","0"
"0","0","12","1","0","1010801","10","1010801107","0","1.4","0"
"","","93","2.5","","1010801","0","1010801108","","",""
"-165","-345","5","12","2","1010802","1","1010802001","0","70","dsb_idle_normal"
"165","-345","5","6","2","1010802","2","1010802002","1","70","dsb_idle_normal"
"0","1","31","1","1","1010802","1","1010802003","","0",""
"0","1","31","3","1","1010802","3","1010802004","","0",""
"0","1","31","4","1","1010802","4","1010802005","","0",""
"0","1","31","16","1","1010802","10","1010802006","","0",""
"0","1","31","26","1","1010802","20","1010802007","","0",""
"-168","1","31","36","1","1010802","30","1010802008","","155",""
"-168","1","31","36","1","1010802","31","1010802009","","-155",""
"","","13","1","","1010802","170","1010802010","","",""
"","","13","2","","1010802","170","1010802011","","",""
"","","91","0","","1010802","","1010802012","","",""
"","","23","se_10044200","","1010802","se_10044200_cmn_amb","1010802013","","1",""
"","","23","se_10044200","","1010802","se_10044200_cmn_steam","1010802014","","0",""
"","","93","6","","1010802","0","1010802015","","",""
"","","23","se_10044200","","1010802","se_10044200_hotspring_06","1010802016","","1",""
"","","93","1.5","","1010802","0","1010802017","","",""
"dsb_talk_joy1","1","3","2","0.5","1010802","dsb_smile3_joy","1010802018","0.5","0",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2001","1010802019","","0",""
"1","1","11","2","0","1010802","太讚了──！浴池好寬敞～☆\n「泡溫泉感」真誇張！\n而且還能見到美里妳們，超好玩！\n好嗨喔～♪","1010802020","0","10","0.2"
"","","91","0","","1010802","","1010802021","","",""
"","","3","2","0.5","1010802","dsb_idle_joy1","1010802022","","1",""
"","","3","1","0.5","1010802","dsb_talk_normal_joy","1010802023","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2002","1010802024","","0",""
"1","1","11","1","0","1010802","好久不見～鈴奈♪\n今天我準備的溫泉\n是鮮花的香芬浴池。\n味道很香，對皮膚也很好喔～","1010802025","0","10","0.2"
"","","91","0","","1010802","","1010802026","","",""
"","","3","1","0.5","1010802","dsb_idle_normal","1010802027","","1",""
"dsb_talk_surprise1_2","1","3","2","0.5","1010802","dsb_surprise2","1010802028","0.5","0",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2003","1010802029","","0",""
"1","1","11","2","0","1010802","超讚，妳真是溫泉天才！\n泡了還有助於美容，嚇死了！\n要感謝小伊緒\n告訴我這個地方♪","1010802030","0","10","0.2"
"","","93","6.5","","1010802","1","1010802031","","",""
"","","3","2","0.5","1010802","dsb_talk_joy3","1010802032","","1",""
"","","91","1010802030","","1010802","","1010802033","","",""
"dsb_talk_guts2_doya_loop","1","3","2","0.3","1010802","dsb_talk_guts2_doya","1010802034","0.5","0",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2004","1010802035","","0",""
"1","1","11","2","0","1010802","好──！\n那我要盡～情泡──\n讓肌膚變得很光滑──\n叫秀才大吃一驚☆","1010802036","0","10","0.2"
"","","91","0","","1010802","","1010802037","","",""
"","","3","2","0.5","1010802","dsb_talk_worry_normal2","1010802038","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2005","1010802039","","0",""
"1","1","11","2","0","1010802","啊，對了！\n說到大吃一驚──\n讓這裡再多一些\n厲害感怎麼樣？","1010802040","0","10","0.2"
"","","91","0","","1010802","","1010802041","","",""
"","","3","2","0.5","1010802","dsb_idle_normal","1010802042","","1",""
"","","3","1","0.5","1010802","dsb_talk_surprise1","1010802043","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2006","1010802044","","0",""
"1","1","11","1","0","1010802","厲害感？","1010802045","0","10","0.2"
"","","91","0","","1010802","","1010802046","","",""
"","","3","1","0.2","1010802","dsb_idle_wish_normal","1010802047","","1",""
"","","3","2","0.5","1010802","dsb_talk_surprise1_normal2","1010802048","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2007","1010802049","","0",""
"1","1","11","2","0","1010802","對哇！\n要一眼就讓大家明白！\n這裡超讚！","1010802050","0","10","0.2"
"","","91","0","","1010802","","1010802051","","",""
"","","3","2","0.5","1010802","dsb_talk_surprise1_talkjoy2","1010802052","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2008","1010802053","","0",""
"1","1","11","2","0","1010802","只要氣氛調整一下搞不好就會爆紅！\n弄成超可愛的浴池，\n就會有一大堆客人唷！","1010802054","0","10","0.2"
"","","91","0","","1010802","","1010802055","","",""
"","","3","2","0.5","1010802","dsb_idle_joy1","1010802056","","1",""
"","","3","1","0.5","1010802","dsb_talk_joy3","1010802057","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2009","1010802058","","0",""
"1","1","11","1","0","1010802","可愛的浴池……\n真好奇～♪\n會是什麼樣的呢～？","1010802059","0","10","0.2"
"","","91","0","","1010802","","1010802060","","",""
"","","3","1","0.5","1010802","dsb_idle_sad_talkjoy2","1010802061","","1",""
"","","3","2","0.5","1010802","dsb_talk_worry_normal2","1010802062","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2010","1010802063","","0",""
"1","1","11","2","0","1010802","我想想──\n少不了要有更多花在水上漂漂吧！\n當然要有各式各樣的！\n如果變成彩色的看起來就超有feel♪","1010802064","0","10","0.2"
"","","91","0","","1010802","","1010802065","","",""
"","","3","2","0.5","1010802","dsb_idle_normal","1010802066","","1",""
"","","3","1","0.5","1010802","dsb_talk_memory","1010802067","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2011","1010802068","","0",""
"1","1","11","1","0","1010802","就像一片溫泉裡的花海呢～♪\n在五顏六色的花圍繞下\n泡溫泉……嗯呵呵♪\n光用想像的心情就很雀躍～","1010802069","0","10","0.2"
"","","91","0","","1010802","","1010802070","","",""
"","","3","1","0.5","1010802","dsb_talk_normal","1010802071","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2012","1010802072","","0",""
"1","1","11","1","0","1010802","對了，既然如此……\n花香的搭配也要講究一下。\n還有花語的意思。","1010802073","0","10","0.2"
"","","91","0","","1010802","","1010802074","","",""
"","","3","1","0.5","1010802","dsb_idle_normal","1010802075","","1",""
"dsb_talk_surprise1","1","3","2","0.5","1010802","dsb_surprise","1010802076","0.5","0",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2013","1010802077","","0",""
"1","1","11","2","0","1010802","咦？\n花語？","1010802078","0","10","0.2"
"","","91","0","","1010802","","1010802079","","",""
"","","3","2","0.5","1010802","dsb_idle_surprise1","1010802080","","1",""
"","","3","1","0.5","1010802","dsb_talk_worry_normal2","1010802081","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2014","1010802082","","0",""
"1","1","11","1","0","1010802","每種花都有\n它各自的含義。\n送花給別人時\n也能當作訊息傳遞給對方喔～","1010802083","0","10","0.2"
"","","91","0","","1010802","","1010802084","","",""
"","","3","1","0.3","1010802","dsb_talk_wish_dere","1010802085","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2015","1010802086","","0",""
"1","1","11","1","0","1010802","順便一提，今天的花的意義是……\n「為了我愛的你」，\n呵呵呵，很棒吧♪","1010802087","0","10","0.2"
"","","91","0","","1010802","","1010802088","","",""
"","","3","1","0.5","1010802","dsb_idle_wish_normal","1010802089","","1",""
"","","3","2","0.5","1010802","dsb_talk_anger_shy2","1010802090","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2016","1010802091","","0",""
"1","1","11","2","0","1010802","啊，愛……！\n等等，認真嗎……？\n這麼直接……\n好像有點…………太犯規了。","1010802092","0","10","0.2"
"","","91","0","","1010802","","1010802093","","",""
"","","3","2","0.5","1010802","dsb_talk_sad2_dead","1010802094","","1",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2017","1010802095","","0",""
"1","1","11","2","0","1010802","呃……\n爆紅計畫，當我沒說。\n……啊──好熱。","1010802096","0","10","0.2"
"","","91","0","","1010802","","1010802097","","",""
"","","3","2","0.2","1010802","dsb_hot_dead_loop","1010802098","","1",""
"dsb_talk_normal_dere2","1","3","1","0.5","1010802","dsb_smile2_dere2","1010802099","0.5","0",""
"0","","21","vo_dsb_1010802","","1010802","vo_dsb_2018","1010802100","","0",""
"1","1","11","1","0","1010802","嗯呵呵♪\n小心別泡過頭囉。","1010802101","0","10","0.2"
"","","91","0","","1010802","","1010802102","","",""
"","","93","0.3","","1010802","0","1010802103","","",""
"-165","-345","5","11","2","1010803","1","1010803001","0","70","dsb_idle_normal"
"165","-345","5","2","2","1010803","2","1010803002","1","70","dsb_idle_normal"
"0","1","31","1","1","1010803","1","1010803003","","0",""
"0","1","31","3","1","1010803","3","1010803004","","0",""
"0","1","31","4","1","1010803","4","1010803005","","0",""
"0","1","31","12","1","1010803","10","1010803006","","0",""
"0","1","31","22","1","1010803","20","1010803007","","0",""
"-168","1","31","32","1","1010803","30","1010803008","","155",""
"-168","1","31","32","1","1010803","31","1010803009","","-155",""
"","","13","1","","1010803","170","1010803010","","",""
"","","13","2","","1010803","170","1010803011","","",""
"","","91","0","","1010803","","1010803012","","",""
"","","23","se_10044200","","1010803","se_10044200_cmn_amb","1010803013","","1",""
"","","23","se_10044200","","1010803","se_10044200_cmn_steam","1010803014","","0",""
"","","93","6.2","","1010803","0","1010803015","","",""
"","","23","se_10044200","","1010803","se_10044200_hotspring_02","1010803016","","1",""
"","","93","1.3","","1010803","0","1010803017","","",""
"dsb_talk_anger_dere2","1","3","2","0.5","1010803","dsb_smile3_kyouka","1010803018","0.5","0",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3001","1010803019","","0",""
"1","1","11","2","0","1010803","哇哇……\n好厲害，水在冒泡泡……！\n好像真的在泡\n哈蜜瓜汽水……♪","1010803020","0","10","0.2"
"","","91","0","","1010803","","1010803021","","",""
"","","3","2","0.5","1010803","dsb_idle_joy1_Ex2","1010803022","","1",""
"","","3","1","0.5","1010803","dsb_talk_normal_dere","1010803023","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3002","1010803024","","0",""
"1","1","11","1","0","1010803","呵呵呵，很棒吧？\n我想要做出小孩們會喜歡的溫泉，\n所以特地打造的。","1010803025","0","10","0.2"
"","","91","0","","1010803","","1010803026","","",""
"","","3","1","0.5","1010803","dsb_idle_normal","1010803027","","1",""
"","","3","2","0.5","1010803","dsb_talk_surprise1","1010803028","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3003","1010803029","","0",""
"1","1","11","2","0","1010803","這樣啊……","1010803030","0","10","0.2"
"","","91","0","","1010803","","1010803031","","",""
"","","3","2","0.5","1010803","dsb_idle_surprise1_look","1010803032","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3004","1010803033","","0",""
"1","1","11","2","0","1010803","（本來以為她是個可疑的人，\n其實人很好嗎……）","1010803034","0","10","0.2"
"","","91","0","","1010803","","1010803035","","",""
"","","3","2","0.3","1010803","dsb_talk_thinking","1010803036","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3005","1010803037","","0",""
"1","1","11","2","0","1010803","小孩的確會很高興。\n……我、我也不禁\n重返童心了。","1010803038","0","10","0.2"
"","","91","0","","1010803","","1010803039","","",""
"","","3","2","0.5","1010803","dsb_idle_arm_crossed","1010803040","","1",""
"","","3","1","0.5","1010803","dsb_talk_thinking_normal2","1010803041","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3006","1010803042","","0",""
"1","1","11","1","0","1010803","童心……？\n啊，原來如此。\n那就好♪","1010803043","0","10","0.2"
"","","91","0","","1010803","","1010803044","","",""
"","","3","1","0.5","1010803","dsb_idle_arm_crossed","1010803045","","1",""
"","","3","2","0.5","1010803","dsb_talk_sad2_Ex5","1010803046","","1",""
"","","22","0","","1010803","0","1010803047","","",""
"0.9","","21","vo_dsb_1010803","","1010803","vo_dsb_3007","1010803048","","0",""
"1","1","11","2","0","1010803","……有什麼奇怪的嗎？","1010803049","0","10","0.2"
"","","91","0","","1010803","","1010803050","","",""
"","","3","2","0.5","1010803","dsb_idle_sad_blink","1010803051","","1",""
"","","3","1","0.5","1010803","dsb_talk_sad_dere","1010803052","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3008","1010803053","","0",""
"1","1","11","1","0","1010803","不，沒什麼♪","1010803054","0","10","0.2"
"","","91","0","","1010803","","1010803055","","",""
"","","3","2","0.5","1010803","dsb_idle_normal","1010803056","","1",""
"","","3","1","0.5","1010803","dsb_talk_normal_joy","1010803057","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3009","1010803058","","0",""
"1","1","11","1","0","1010803","對了……\n要是重返童心的話，\n應該會想在大浴池裡游泳吧？\n鏡華覺得如何？","1010803059","0","10","0.2"
"","","91","0","","1010803","","1010803060","","",""
"","","3","1","0.5","1010803","dsb_idle_normal","1010803061","","1",""
"","","3","2","0.5","1010803","dsb_talk_tsun_shy","1010803062","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3010","1010803063","","0",""
"1","1","11","2","0","1010803","游泳……！\n我才不做那種事！\n太不像話了……","1010803064","0","10","0.2"
"","","91","0","","1010803","","1010803065","","",""
"","","3","2","0.5","1010803","dsb_idle_anger","1010803066","","1",""
"","","3","1","0.5","1010803","dsb_talk_normal","1010803067","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3011","1010803068","","0",""
"1","1","11","1","0","1010803","怎麼會不像話……\n現在只有我們兩個人呀。\n我覺得在哈蜜瓜汽水裡游泳\n一定會很好玩的……","1010803069","0","10","0.2"
"","","91","0","","1010803","","1010803070","","",""
"","","3","1","0.5","1010803","dsb_idle_normal","1010803071","","1",""
"","","3","2","0.5","1010803","dsb_talk_surprise1_shy","1010803072","","1",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3012","1010803073","","0",""
"1","1","11","2","0","1010803","這、這個……\n雖然感覺很好玩……\n而且我現在也稍微會游了……\n可是就禮儀來說……唔……","1010803074","0","10","0.2"
"","","91","0","","1010803","","1010803075","","",""
"","","3","2","0.5","1010803","dsb_idle_surprise1_normal","1010803076","","1",""
"","","3","1","0.5","1010803","dsb_talk_thinking_joy","1010803077","","1",""
"","","22","0","","1010803","0","1010803078","","",""
"0.9","","21","vo_dsb_1010803","","1010803","vo_dsb_3013","1010803079","","0",""
"1","1","11","1","0","1010803","……呵呵呵。\n那我來游好了～？","1010803080","0","10","0.2"
"","","91","0","","1010803","","1010803081","","",""
"","","3","1","0.5","1010803","dsb_idle_joy1","1010803082","","1",""
"dsb_talk_surprise1_2","1","3","2","0.5","1010803","dsb_surprise2","1010803083","0.5","0",""
"0","","21","vo_dsb_1010803","","1010803","vo_dsb_3014","1010803084","","0",""
"1","1","11","2","0","1010803","咦咦！？\n說這種話太狡猾了。\n那……我、我也要游！","1010803085","0","10","0.2"
"","","93","3.5","","1010803","1","1010803086","","",""
"","","3","2","0.5","1010803","dsb_talk_anger_shy2","1010803087","","1",""
"","","91","1010803085","","1010803","","1010803088","","",""
"","","22","0","","1010803","0","1010803089","","",""
"","","3","2","0.2","1010803","dsb_surprise_kyouka","1010803090","","1",""
"","","3","1","0.2","1010803","dsb_surprise_mitsuki","1010803091","","1",""
"","","93","0.7","","1010803","0","1010803092","","",""
"dsb_idle_normal_Ex1","1","3","2","0.3","1010803","dsb_smile2_kyouka","1010803093","0.2","0",""
"dsb_idle_normal","1","3","1","0.3","1010803","dsb_smile2_mitsuki2","1010803094","0.2","0",""
"","","93","0.3","","1010803","0","1010803095","","",""
"","","23","se_adv_emote_common_01","","1010803","se_adv_emote_common_01","1010803096","","0",""
"0","0","12","2","0","1010803","10","1010803097","0","1.4","0"
"0","0","12","1","0","1010803","10","1010803098","0","1.4","0"
"","","93","2","","1010803","0","1010803099","","",""
"-475","-219","1","1","2","1010804","124531","1010804001","0","70","dsb_idle_normal"
"0","-360","5","7","2","1010804","2","1010804002","1","70","dsb_idle_relax_Ex2"
"-345","-219","5","10","2","1010804","99","1010804003","0","71","dsb_empty"
"0","1","31","1","1","1010804","1","1010804004","","0",""
"0","1","31","3","1","1010804","3","1010804005","","0",""
"0","1","31","4","1","1010804","4","1010804006","","0",""
"0","1","31","17","1","1010804","10","1010804007","","0",""
"0","1","31","27","1","1010804","20","1010804008","","0",""
"-183","1","31","37","1","1010804","30","1010804009","","-10",""
"0","1","31","43","1","1010804","43","1010804010","","0",""
"0","1","31","44","0","1010804","44","1010804011","","130",""
"-141","1","31","45","0","1010804","45","1010804012","","133",""
"0","1","31","46","0","1010804","46","1010804013","","130",""
"-212","1","31","47","0","1010804","47","1010804014","","142",""
"-212","1","31","48","0","1010804","48","1010804015","","142",""
"","","13","124531","","1010804","170","1010804016","","",""
"","","13","2","","1010804","170","1010804017","","",""
"","","91","0","","1010804","","1010804018","","",""
"","","23","se_10044200","","1010804","se_10044200_cmn_amb","1010804019","","1",""
"","","23","se_10044200","","1010804","se_10044200_cmn_steam","1010804020","","0",""
"","","93","6","","1010804","0","1010804021","","",""
"","","23","se_10044200","","1010804","se_10044200_hotspring_07","1010804022","","1",""
"","","93","1.5","","1010804","0","1010804023","","",""
"","","3","2","0.5","1010804","dsb_idle_relax_blink","1010804024","","1",""
"0","","21","vo_dsb_1010804","","1010804","vo_dsb_4001","1010804025","","0",""
"1","1","11","2","0","1010804","…………","1010804026","0","10","0.2"
"","","91","0","","1010804","","1010804027","","",""
"","","3","2","0.5","1010804","dsb_idle_relax_Ex2","1010804028","","1",""
"2","12","33","3","","1010804","130","1010804029","","0",""
"2","12","33","4","","1010804","130","1010804030","","0",""
"2","12","33","20","","1010804","130","1010804031","","0",""
"2","12","33","30","","1010804","120","1010804032","","-183",""
"2","12","33","43","","1010804","130","1010804033","","0",""
