23c38d2751f44eef01f03ceaf21e2ab6852fe4b91f8ebdee915513580f096df1,5d517eced234f3081a03e60808cd9d13f5db1d9d5eeaee867e3e36042eb55a79,238233365599d654f45af066e916944891a1fa2df97080a138c7aeb2adc7afdb,e3aab2d081be4444f43bce3b70142f19d9b1ff0d26e46c360aaf519946b35bc7,9eab5542623d8219a774652737018311312dcd5aeda550cc49dd352f33f9ce71,229137d8406ce4a13bf29a43c09c83450d773a85fc80892f8cf75439a4bf558d,18c5b48d806c2df403327bba09f9c1e8c11a80aced776c55093f8912c49b3d9b,602ad4db957b9b17b2a36c55389ff0fe7a2ebcce0f5a3f76d51b957e8ab8e0ef,888a03e72dc665e1e1c697cdbd687bbdd5b34aef9958e52a7a1c96e16244c989
"1","-10","0","2116001","30000","2","0","2","0"
"2","-10","0","2116002","30000","2","0","2","0"
"3","-50","0","2117001","1500","2","0","2","0"
"300","3301002","0","3301001","0","21","0","0","0"
"2","1","20","3301002","30","20","0","0","0"
"1","0","100","3301101","1","1","0","2","0"
"1","0","40","3302001","1","1","0","2","0"
"1","0","60","3302002","1","1","0","2","0"
"1","0","12","3303001","1","1","0","2","0"
"1","0","28","3303002","1","1","0","2","0"
"1","0","40","3304001","1","1","0","2","0"
"1","0","100","3304002","1","1","0","2","0"
"200","3305011","0","3305001","0","21","0","0","0"
"200","3305012","0","3305002","0","21","0","0","0"
"200","3305013","0","3305003","0","21","0","0","0"
"200","3305014","0","3305004","0","21","0","0","0"
"200","3305015","0","3305005","0","21","0","0","0"
"200","3305016","0","3305006","0","21","0","0","0"
"2","1","15","3305011","26","20","30","0","0"
"2","1","8","3305012","29","20","15","0","0"
"2","1","0","3305013","30","20","0","0","0"
"2","1","-8","3305014","29","20","-15","0","0"
"2","1","-15","3305015","26","20","-30","0","0"
"1","30000","0","3305016","180","10","0","1","0"
"1","0","20","3305101","1","1","0","2","0"
"2","1","29","3402001","274","20","0","0","0"
"2000","500000","0","3402101","0","11","0","3","0"
"200","3403002","0","3403001","0","21","0","0","0"
"1","200000","0","3403002","0","10","0","1","0"
"0","0","0","4001001","0","4","0","3","0"
"0","99999","0","4001002","0","1","0","3","0"
"9","99999","9","4002001","9","1","9","3","9"
