6b93e9c7bcd1bfc6ddf73537cc49e36806a14d8d14bdd9bf04faac6f0030584a,d50d485647548998acf442e687a727fc8b085262b0f92fb06d10d1163ca7aac8,9efb238c115e11d8aa5695a9d49912a4009985e718ade6a173443aa726ee13b1,b8cbc8b0d988ad6f563075417e238c01828e4cfe9f836f8dccbd22e0cc72c43b,d3185964b0cf73bdc612f33e83102e8c45542a850ecdc23370c7ecb8d08342d8,bcba65b0a7f4a6b510aed14a123cb98df41f71f2e3d3d19d0262c7745e8dee10,713af94fcdc0d04f022c6d9167e9263844bcecb9b6156165508b49665e7888a0,f9bb80eac1554cafda3d6d136e7a529aa2057931f37aaa21540a5741acabba23
"22","14","6","25203","25201","15","4","25205"
"6","8","7","25203","25201","1","5","25205"
"7","8","6","25203","25201","2","5","25205"
"7","8","7","25203","25201","3","5","25205"
"8","10","8","25203","25201","4","5","25205"
"8","10","9","25203","25201","5","5","25205"
"9","10","8","25203","25201","6","5","25205"
"10","11","10","25203","25201","7","5","25205"
"10","11","10","25203","25201","8","5","25205"
"10","11","10","25203","25201","9","5","25205"
"11","13","12","25203","25201","10","5","25205"
"12","13","11","25203","25201","11","5","25205"
"12","13","12","25203","25201","12","5","25205"
"13","15","13","25203","25201","13","5","25205"
"14","15","13","25203","25201","14","5","25205"
"13","15","14","25203","25201","15","5","25205"
"6","0","14","25205","25203","1","6","0"
"6","0","14","25205","25203","2","6","0"
"6","0","14","25205","25203","3","6","0"
"3","16","6","25203","25201","4","6","25205"
"3","16","6","25203","25201","5","6","25205"
"3","16","6","25203","25201","6","6","25205"
"4","18","8","25203","25201","7","6","25205"
"4","18","8","25203","25201","8","6","25205"
"4","18","8","25203","25201","9","6","25205"
"5","20","10","25203","25201","10","6","25205"
"5","20","10","25203","25201","11","6","25205"
"5","20","10","25203","25201","12","6","25205"
"6","22","12","25203","25201","13","6","25205"
"6","22","12","25203","25201","14","6","25205"
"6","22","12","25203","25201","15","6","25205"
"6","0","14","25205","25203","1","7","0"
"6","0","14","25205","25203","2","7","0"
"6","0","14","25205","25203","3","7","0"
"3","16","6","25203","25201","4","7","25205"
"3","16","6","25203","25201","5","7","25205"
"3","16","6","25203","25201","6","7","25205"
"4","18","8","25203","25201","7","7","25205"
"4","18","8","25203","25201","8","7","25205"
"4","18","8","25203","25201","9","7","25205"
"5","20","10","25203","25201","10","7","25205"
"5","20","10","25203","25201","11","7","25205"
"5","20","10","25203","25201","12","7","25205"
"6","22","12","25203","25201","13","7","25205"
"6","22","12","25203","25201","14","7","25205"
"6","22","12","25203","25201","15","7","25205"
"6","8","7","25203","25201","1","8","25205"
"7","8","6","25203","25201","2","8","25205"
"7","8","7","25203","25201","3","8","25205"
"8","10","8","25203","25201","4","8","25205"
"8","10","9","25203","25201","5","8","25205"
"9","10","8","25203","25201","6","8","25205"
"10","11","10","25203","25201","7","8","25205"
"10","11","10","25203","25201","8","8","25205"
"10","11","10","25203","25201","9","8","25205"
"11","13","12","25203","25201","10","8","25205"
"12","13","11","25203","25201","11","8","25205"
"12","13","12","25203","25201","12","8","25205"
"13","15","13","25203","25201","13","8","25205"
"14","15","13","25203","25201","14","8","25205"
"13","15","14","25203","25201","15","8","25205"
