4ab229fc2363733da65cd9a935f0720dbab3f07d7604887f5fd3f6dd5b7816e2,c9a0f7e4aafa3eb8f42af09019220a2560627b9ea080864dc5738a1c67bc5e08,e2f2a2803090bed7efea80adebed2f67d6531b7455890eeb7751a668b6c7e61c,58d0f9e788d63195c01164e60c92b3d0a31d108017fe4f3260f88948a84e901e,a61fa5f152ab0d7ab353eebffb85b7cb99bae604de2378c6355cfb641689fa41,deaa7c5fcde51763128181cfc280c792342d33b43d68f379628c49a2ef927ae8,b44a3e3d690c42c8d16449edd5316a263f88a7e246e768dd3fb2588a959d9f89,b46cb04cc8c704265c12d2d16859e147e2c2b7f66fde829a94933a21e8bce0b6
"1","4","12111","2","3","102","1","5"
"1","4","12211","2","3","103","1","5"
"2","4","12311","2","3","100","1","5"
"1","4","12411","2","3","102","1","5"
"200","4","12511","2","3","104","1","5"
"2","4","12611","2","3","101","1","5"
"1","4","12711","2","3","100","1","5"
"250","4","12811","2","3","2","1","5"
"250","4","12812","2","3","4","1","5"
"200","4","12911","2","3","104","1","5"
"1","4","13011","2","3","101","1","5"
"1","4","13111","2","3","103","1","5"
"200","4","13211","2","3","104","1","5"
"1","4","13311","2","3","102","1","5"
"1","4","13411","2","3","100","1","5"
"200","4","13511","2","3","104","1","5"
"200","4","13611","2","3","104","1","5"
"1","4","13711","2","3","101","1","5"
"1","4","13811","2","3","100","1","5"
"200","4","13911","2","3","104","1","5"
"1","4","14011","2","3","101","1","5"
"200","4","14111","2","3","104","1","5"
"150","4","14211","2","3","6","1","5"
"150","4","14212","2","3","7","1","5"
"1","4","14311","2","3","100","1","5"
"1","4","14411","2","3","103","1","5"
"200","4","14511","2","3","104","1","5"
"200","4","14611","2","3","104","1","5"
"1","4","14711","2","3","102","1","5"
"1","4","14811","2","3","103","1","5"
"200","4","14911","2","3","104","1","5"
"1","4","15011","2","3","102","1","5"
"1","4","15111","2","3","103","1","5"
"200","4","15211","2","3","104","1","5"
"1","4","15311","2","3","102","1","5"
"200","4","15411","2","3","104","1","5"
"1","4","15511","2","3","101","1","5"
"200","4","15611","2","3","104","1","5"
