92614989473cca7801420fedf0d7758a0422835091a4a58bafd795bbe6edc8dd,6cc687140683be89949d3cf538d2923f8eccdb77167c7f20c8f1d905347adb2b,29bc73daf7bac237c974c8de5e31c31f7e2768759a5137b1a7e7035ca9c0fece,e9c09d9b3b8e07cc28fb26571a44a3ac70bd19f12262b3f3414d469ab2c9eb45,307f97452e1c4b8606b8d2458c1cd48f0a7b2139c2250379adeb4eb84bb64329,4d01abe19b6d9a98aa3a1abd88ec57928903d0c0f2ac22e4d9516af4dd2438b7,4486eb24ecf96894eb9d675c30b24eb1e000c0f5680a7a446c655714dcb58ecb,0c7c582059591026d29a88248f75b2bde9104c8e6f2d5a229f769b92545509ec,cfed201d344b24d10d6b5219462e41f6c95f683b0aa726a0057210a386482cfe,807e52f62c907b166f65ab71ffee9a88d2c0479dc41556f5eabf1fd47716a05c,9e7b3dfef3d0f1d64ac23908219c3f5fbb04ded15800dcef8d583f41cb2b45ee
"1010016","","11","這樣啊，\n卯月妳好像無論何時都很開心呢。","10","1","","112511","","1","1"
"1010017","","91","","","","","0","","","1"
"1010018","","3","omp_idle_normal","1","","0","112511","","","1"
"1010019","","3","omp_talk_sad","1","","0","112411","","","1"
"1010020","","21","vo_omp_7001_003","0","0","","vo_omp_7001","","","1"
"1010021","","11","難道說……\n小凜妳不開心嗎？","10","1","","112411","","1","1"
"1010022","","91","","","","","0","","","1"
"1010023","","3","omp_idle_sad","1","","0","112411","","","1"
"1010024","","3","omp_surprise","0","omp_idle_surprise1","0","112511","0.1","1","1"
"1010025","","21","vo_omp_7001_004","0","0","","vo_omp_7001","","","1"
"1010026","","11","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。","10","1","","112511","","1","1"
"1010027","","93","1","","","","2.5","","","1"
"1010028","","3","omp_talk_normal","1","","0.2","112511","","","1"
"1010029","","91","","","","","1010026","","","1"
"1010030","","3","omp_idle_normal","1","","0","112511","","","1"
"1010031","","3","omp_talk_joy2","1","","0","112411","","","1"
"1010032","","21","vo_omp_7001_005","0","0","","vo_omp_7001","","","1"
"1010033","","11","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！","10","1","","112411","","1","1"
"1010034","","91","","","","","0","","","1"
"1010035","","4","0","1","","","112511","","","1"
"1010036","","3","omp_psn_20","1","","0","112411","","","1"
"1010037","","3","omp_idle_normal","1","","0","112511","","","1"
"1010038","","21","vo_omp_7001_006","0","0","","vo_omp_7001","","","1"
"1010039","","11","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……","10","1","","112511","","1","1"
"1010040","","91","","","","","0","","","1"
"1010041","","93","","","","","0.4","","","1"
"1020001","omp_idle_normal","1","112511","1600","-180","1.8","1","0","-195","2"
"1020002","omp_talk_normal","1","112411","1500","20","1.8","1","1","-190","2"
"1020003","omp_idle_normal","1","112611","1600","220","1.8","1","1","-205","2"
"1020004","","31","1","0","0","1","1","","1","2"
"1020005","","93","","","","","1","","","2"
"1020006","","21","vo_omp_7002_000","0","0","","vo_omp_7002","","","2"
"1020007","","11","貪吃佩可的魔物料理，\n真的很美味呢♪","10","1","","112411","","1","2"
"1020008","","91","","","","","0","","","2"
"1020009","","4","0","","","","112411","","","2"
"1020010","","3","omp_idle_normal","1","","0","112411","","","2"
"1020011","","3","omp_talk_joy1","1","","0","112611","","","2"
"1020012","","21","vo_omp_7002_001","0","0","","vo_omp_7002","","","2"
"1020013","","11","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！","10","1","","112611","","1","2"
"1020014","","91","","","","","0","","","2"
"1020015","","3","omp_idle_joy1","1","","0","112611","","","2"
"1020016","","3","omp_talk_surprise1","1","","0","112411","","","2"
"1020017","","21","vo_omp_7002_002","0","0","","vo_omp_7002","","","2"
"1020018","","11","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！","10","1","","112411","","1","2"
"1020019","","91","","","","","0","","","2"
"1020020","","4","1","","","","112411","","","2"
"1020021","","3","omp_idle_surprise1","1","","0","112411","","","2"
"1020022","","3","omp_talk_normal","1","","0","112511","","","2"
"1020023","","21","vo_omp_7002_003","0","0","","vo_omp_7002","","","2"
"1020024","","11","味道超乎想像呢，\n我是指好的方面。","10","1","","112511","","1","2"
"1020025","","91","","","","","0","","","2"
"1020026","","3","omp_talk_sad","1","","0","112511","","","2"
"1020027","","21","vo_omp_7002_004","0","0","","vo_omp_7002","","","2"
"1020028","","11","可是在料理魔物的時候，\n嗯，該怎麼說……","10","1","","112511","","1","2"
"1020029","","91","","","","","0","","","2"
"1020030","","3","omp_idle_sad","1","","0","112511","","","2"
"1020031","","3","omp_talk_bitter","1","","0","112411","","","2"
"1020032","","21","vo_omp_7002_005","0","0","","vo_omp_7002","","","2"
"1020033","","11","……很、很不得了呢！","10","1","","112411","","1","2"
"1020034","","91","","","","","0","","","2"
"1020035","","3","omp_idle_bitter","1","","0","112411","","","2"
"1020036","","3","omp_talk_joy1","1","","0","112611","","","2"
"1020037","","21","vo_omp_7002_006","0","0","","vo_omp_7002","","","2"
"1020038","","11","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","10","1","","112611","","1","2"
"1020039","","91","","","","","0","","","2"
"1020040","","3","omp_idle_joy1","1","","0","112611","","","2"
"1020041","","3","omp_talk_bitter","1","","0","112511","","","2"
"1020042","","21","vo_omp_7002_007","0","0","","vo_omp_7002","","","2"
"1020043","","11","冒險真是深奧呢……","10","1","","112511","","1","2"
"1020044","","91","","","","","0","","","2"
"1020045","","93","","","","","0.4","","","2"
"1030001","omp_talk_joy1","1","112411","1500","-140","1.8","1","0","-190","3"
"1030002","omp_idle_normal","1","112611","1500","140","1.8","1","1","-190","3"
"1030003","","31","1","0","0","1","1","","1","3"
"1030004","","93","","","","","1","","","3"
"1030005","","21","vo_omp_7003_000","0","0","","vo_omp_7003","","","3"
"1030006","","11","未央！\n這附近有各式各樣的魔物，\n好有趣呢！","10","1","","112411","","1","3"
"1030007","","91","","","","","0","","","3"
"1030008","","3","omp_psn_20","1","","0","112411","","","3"
"1030009","","3","omp_psn_19","1","","0","112611","","","3"
"1030010","","21","vo_omp_7003_001","0","0","","vo_omp_7003","","","3"
"1030011","","11","有、有趣嗎～？","10","1","","112611","","1","3"
"1030012","","91","","","","","0","","","3"
"1030013","","3","omp_psn_18","1","","0","112611","","","3"
"1030014","","3","omp_talk_joy1","1","","0","112411","","","3"
"1030015","","21","vo_omp_7003_002","0","0","","vo_omp_7003","","","3"
"1030016","","11","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！","10","1","","112411","","1","3"
"1030017","","91","","","","","0","","","3"
"1030018","","3","omp_psn_20","1","","0","112411","","","3"
"1030019","","3","omp_talk_joy1","1","","0","112611","","","3"
"1030020","","21","vo_omp_7003_003","0","0","","vo_omp_7003","","","3"
"1030021","","11","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？","10","1","","112611","","1","3"
"1030022","","93","1","","","","1.5","","","3"
"1030023","","3","omp_psn_19","1","","0.2","112611","","","3"
"1030024","","91","","","","","1030021","","","3"
"1030025","","3","omp_psn_18","1","","0","112611","","","3"
"1030026","","3","omp_talk_joy1","1","","0","112411","","","3"
"1030027","","21","vo_omp_7003_004","0","0","","vo_omp_7003","","","3"
"1030028","","11","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？","10","1","","112411","","1","3"
"1030029","","91","","","","","0","","","3"
"1030030","","3","omp_psn_20","1","","0","112411","","","3"
"1030031","","3","omp_psn_19","1","","0","112611","","","3"
"1030032","","21","vo_omp_7003_005","0","0","","vo_omp_7003","","","3"
"1030033","","11","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……","10","1","","112611","","1","3"
"1030034","","91","","","","","0","","","3"
"1030035","","3","omp_psn_18","1","","0","112611","","","3"
"1030036","","3","omp_talk_joy2","1","","0","112411","","","3"
"1030037","","21","vo_omp_7003_006","0","0","","vo_omp_7003","","","3"
"1030038","","11","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪","10","1","","112411","","1","3"
"1030039","","91","","","","","0","","","3"
"1030040","","3","omp_psn_20","1","","0","112411","","","3"
"1030041","","3","omp_talk_sad","1","","0","112611","","","3"
"1030042","","21","vo_omp_7003_007","0","0","","vo_omp_7003","","","3"
"1030043","","11","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！","10","1","","112611","","1","3"
"1030044","","93","1","","","","6","","","3"
"1030045","","3","omp_talk_joy2","1","","0.2","112611","","","3"
"1030046","","91","","","","","1030043","","","3"
"1030047","","3","omp_idle_joy2","1","","0","112611","","","3"
"1030048","","3","omp_talk_joy2","1","","0","112411","","","3"
"1030049","","21","vo_omp_7003_008","0","0","","vo_omp_7003","","","3"
"1030050","","11","好的！\n一起加油吧！","10","1","","112411","","1","3"
"1030051","","91","","","","","0","","","3"
"1030052","","93","","","","","0.4","","","3"
"1040001","omp_talk_normal","1","105831","1600","-180","1.8","1","0","-195","4"
"1040002","omp_idle_normal","1","105931","1500","20","1.8","1","1","-190","4"
"1040003","omp_idle_normal","1","106031","1600","220","1.8","1","1","-205","4"
"1040004","","31","1","0","0","1","1","","1","4"
"1040005","","93","","","","","1","","","4"
"1040006","","21","vo_omp_7004_000","0","0","","vo_omp_7004","","","4"
"1040007","","11","機會難得，\n我們要不要也來\n當當看偶像啊？","10","1","","105831","","1","4"
"1040008","","91","","","","","0","","","4"
"1040009","","3","omp_idle_normal","1","","0","105831","","","4"
"1040010","","3","omp_talk_normal","1","","0","105931","","","4"
"1040011","","21","vo_omp_7004_001","0","0","","vo_omp_7004","","","4"
"1040012","","11","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。","10","1","","105931","","1","4"
"1040013","","91","","","","","0","","","4"
"1040014","","4","0","","","","105931","","","4"
"1040015","","3","omp_idle_normal","1","","0","105931","","","4"
"1040016","","3","omp_surprise","0","omp_idle_surprise1","0","106031","","1","4"
"1040017","","21","vo_omp_7004_002","0","0","","vo_omp_7004","","","4"
"1040018","","11","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？","10","1","","106031","","1","4"
"1040019","","93","1","","","","2","","","4"
"1040020","","3","omp_talk_tsun","1","","0.1","106031","","","4"
"1040021","","91","","","","","1040018","","","4"
"1040022","","3","omp_talk_tsun","1","","0","106031","","","4"
"1040023","","21","vo_omp_7004_003","0","0","","vo_omp_7004","","","4"
"1040024","","11","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？","10","1","","106031","","1","4"
"1040025","","91","","","","","0","","","4"
"1040026","","3","omp_idle_tsun","1","","0","106031","","","4"
"1040027","","3","omp_talk_worry","1","","0","105931","","","4"
"1040028","","21","vo_omp_7004_004","0","0","","vo_omp_7004","","","4"
"1040029","","11","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。","10","1","","105931","","1","4"
"1040030","","91","","","","","0","","","4"
"1040031","","4","1","","","","105931","","","4"
"1040032","","3","omp_idle_worry","1","","0","105931","","","4"
"1040033","","3","omp_talk_joy1","1","","0","105831","","","4"
"1040034","","21","vo_omp_7004_005","0","0","","vo_omp_7004","","","4"
"1040035","","11","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！","10","1","","105831","","1","4"
"1040036","","93","1","","","","5.5","","","4"
"1040037","","3","omp_psn_11","0","","0.2","105831","","","4"
"1040038","","91","","","","","1040035","","","4"
"1040039","","3","omp_talk_normal","1","","0","105931","","","4"
"1040040","","21","vo_omp_7004_006","0","0","","vo_omp_7004","","","4"
"1040041","","11","好的♪\n如此這般，耶……！","10","1","","105931","","1","4"
"1040042","","93","1","","","","1.5","","","4"
"1040043","","3","omp_psn_11","0","","0.2","105931","","1","4"
"1040044","","91","","","","","1040041","","","4"
"1040045","","4","0","","","","105931","","","4"
"1040046","","3","omp_idle_normal","1","","0","105931","","","4"
"1040047","","3","omp_idle_joy1","1","","0.2","105831","","","4"
"1040048","","3","omp_idle_tsun","1","","0","106031","","","4"
"1040049","","21","vo_omp_7004_007","0","0","","vo_omp_7004","","","4"
"1040050","","11","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪","10","1","","106031","","1","4"
"1040051","","93","1","","","","7","","","4"
"1040052","","3","omp_psn_12","0","","0.1","106031","","","4"
"1040053","","93","","","","","1.5","","","4"
"1040054","","91","","","","","1040050","","","4"
"1040055","","3","omp_idle_normal","1","","0.2","106031","","","4"
"1040056","","3","omp_idle_surprise1","1","","0","105831","","","4"
"1040057","","21","vo_omp_7004_008","0","0","","vo_omp_7004","","","4"
"1040058","","11","小、小凱留……","10","1","","105831","","1","4"
"1040059","","91","","","","","0","","","4"
"1040060","","3","omp_idle_surprise1","1","","0","105831","","","4"
"1040061","","3","omp_talk_sad","1","","0","105931","","","4"
"1040062","","21","vo_omp_7004_009","0","0","","vo_omp_7004","","","4"
"1040063","","11","您做得非常專業呢。","10","1","","105931","","1","4"
"1040064","","91","","","","","0","","","4"
"1040065","","3","omp_idle_sad","1","","0","105931","","","4"
"1040066","","3","omp_surprise","0","omp_talk_surprise2","0","106031","0.1","1","4"
"1040067","","21","vo_omp_7004_010","0","0","","vo_omp_7004","","","4"
"1040068","","11","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！","10","1","","106031","","1","4"
"1040069","","93","1","","","","6.5","","","4"
"1040070","","3","omp_talk_tsun","1","","0.2","106031","","","4"
"1040071","","91","","","","","1040068","","","4"
"1040072","","93","","","","","0.4","","","4"
"1050001","omp_talk_joy1","1","112611","1500","-140","1.8","1","0","-190","5"
"1050002","omp_idle_normal","1","112511","1500","140","1.8","1","1","-190","5"
"1050003","","31","1","0","0","1","1","","1","5"
"1050004","","93","","","","","1","","","5"
"1050005","","21","vo_omp_7005_000","0","0","","vo_omp_7005","","","5"
"1050006","","11","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！","10","1","","112611","","1","5"
"1050007","","91","","","","","0","","","5"
"1050008","","3","omp_idle_joy1","1","","0","112611","","","5"
"1050009","","3","omp_talk_normal","1","","0","112511","","","5"
"1050010","","21","vo_omp_7005_001","0","0","","vo_omp_7005","","","5"
"1050011","","11","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。","10","1","","112511","","1","5"
"1050012","","91","","","","","0","","","5"
"1050013","","3","omp_idle_normal","1","","0","112511","","","5"
"1050014","","3","omp_talk_joy1","1","","0","112611","","","5"
"1050015","","21","vo_omp_7005_002","0","0","","vo_omp_7005","","","5"
"1050016","","11","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……","10","1","","112611","","1","5"
"1050017","","93","1","","","","6.2","","","5"
"1050018","","3","omp_talk_thinking","1","","0.2","112611","","","5"
"1050019","","91","","","","","1050016","","","5"
"1050020","","3","omp_idle_thinking","1","","0","112611","","","5"
"1050021","","3","omp_talk_normal2","1","","0","112511","","","5"
"1050022","","21","vo_omp_7005_003","0","0","","vo_omp_7005","","","5"
"1050023","","11","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！","10","1","","112511","","1","5"
"1050024","","91","","","","","0","","","5"
"1050025","","3","omp_idle_calm","1","","0","112511","","","5"
"1050026","","3","omp_talk_sad","1","","0.1","112611","","","5"
"1050027","","21","vo_omp_7005_004","0","0","","vo_omp_7005","","","5"
"1050028","","11","澀…澀…","10","1","","112611","","1","5"
"1050029","","91","","","","","0","","","5"
"1050030","","3","omp_idle_sad","1","","0","112611","","","5"
"1050031","","3","omp_psn_19","1","","0","112511","","","5"
"1050032","","21","vo_omp_7005_005","0","0","","vo_omp_7005","","","5"
"1050033","","11","澀…？","10","1","","112511","","1","5"
"1050034","","91","","","","","0","","","5"
"1050035","","3","omp_psn_18","1","","0","112511","","","5"
"1050036","","3","omp_talk_sad","1","","0","112611","","","5"
"1050037","","21","vo_omp_7005_006","0","0","","vo_omp_7005","","","5"
"1050038","","11","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？","10","1","","112611","","1","5"
"1050039","","93","1","","","","4.5","","","5"
"1050040","","3","omp_talk_surprise2","1","","0.2","112611","","","5"
"1050041","","91","","","","","1050038","","","5"
"1050042","","3","omp_idle_surprise2","1","","0","112611","","","5"
"1050043","","3","omp_talk_normal","1","","0","112511","","","5"
"1050044","","21","vo_omp_7005_007","0","0","","vo_omp_7005","","","5"
"1050045","","11","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……","10","1","","112511","","1","5"
"1050046","","93","1","","","","3.5","","","5"
"1050047","","3","omp_talk_anger","1","","0.2","112511","","","5"
"1050048","","91","","","","","1050045","","","5"
"1050049","","3","omp_idle_anger","1","","0","112511","","","5"
"1050050","","3","omp_talk_joy1","1","","0","112611","","","5"
"1050051","","21","vo_omp_7005_008","0","0","","vo_omp_7005","","","5"
"1050052","","11","欸嘿嘿，抱歉抱歉☆","10","1","","112611","","1","5"
"1050053","","91","","","","","0","","","5"
"1050054","","3","omp_idle_joy1","1","","0","112611","","","5"
"1050055","","3","omp_talk_sad","1","","0","112511","","","5"
"1050056","","21","vo_omp_7005_009","0","0","","vo_omp_7005","","","5"
"1050057","","11","真是的。\n……不過，我剛才說的\n都是真心話哦。","10","1","","112511","","1","5"
"1050058","","93","1","","","","2","","","5"
"1050059","","3","omp_talk_normal","1","","0.2","112511","","","5"
"1050060","","91","","","","","1050057","","","5"
"1050061","","3","omp_idle_normal","1","","0","112511","","","5"
"1050062","","3","omp_talk_joy2","1","","0","112611","","","5"
"1050063","","21","vo_omp_7005_010","0","0","","vo_omp_7005","","","5"
"1050064","","11","嗯！\n謝謝妳，澀凜凜！！","10","1","","112611","","1","5"
"1050065","","91","","","","","0","","","5"
"1050066","","93","","","","","0.4","","","5"
"1060001","omp_talk_normal","1","112511","1600","-180","1.8","1","0","-195","6"
"1060002","omp_idle_normal","1","112411","1500","20","1.8","1","1","-190","6"
"1060003","omp_idle_normal","1","112611","1600","220","1.8","1","1","-205","6"
"1060004","","31","1","0","0","1","1","","1","6"
"1060005","","93","","","","","1","","","6"
"1060006","","21","vo_omp_7006_000","0","0","","vo_omp_7006","","","6"
"1060007","","11","卯月……\n今天的練習，\n妳很有幹勁呢。","10","1","","112511","","1","6"
"1060008","","91","","","","","0","","","6"
"1060009","","3","omp_idle_normal","1","","0","112511","","","6"
"1060010","","3","omp_talk_joy1","1","","0","112611","","","6"
"1060011","","21","vo_omp_7006_001","0","0","","vo_omp_7006","","","6"
"1060012","","11","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？","10","1","","112611","","1","6"
"1060013","","91","","","","","0","","","6"
"1060014","","4","0","","","","112411","","","6"
"1060015","","3","omp_idle_joy1","1","","0","112611","","","6"
"1060016","","3","omp_talk_joy1","1","","0","112411","","","6"
"1060017","","21","vo_omp_7006_002","0","0","","vo_omp_7006","","","6"
"1060018","","11","欸嘿嘿，謝謝妳們！\n嗯……","10","1","","112411","","1","6"
"1060019","","91","","","","","0","","","6"
"1060020","","3","omp_talk_normal","1","","0","112411","","","6"
"1060021","","21","vo_omp_7006_003","0","0","","vo_omp_7006","","","6"
"1060022","","11","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。","10","1","","112411","","1","6"
"1060023","","91","","","","","0","","","6"
"1060024","","3","omp_talk_thinking","1","","0","112411","","","6"
"1060025","","21","vo_omp_7006_004","0","0","","vo_omp_7006","","","6"
"1060026","","11","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。","10","1","","112411","","1","6"
"1060027","","91","","","","","0","","","6"
"1060028","","3","omp_talk_normal2","1","","0","112411","","","6"
"1060029","","21","vo_omp_7006_005","0","0","","vo_omp_7006","","","6"
"1060030","","11","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……","10","1","","112411","","1","6"
"1060031","","91","","","","","0","","","6"
"1060032","","3","omp_idle_calm","1","","0","112411","","","6"
"1060033","","3","omp_talk_sad","1","","0","112611","","","6"
"1060034","","21","vo_omp_7006_006","0","0","","vo_omp_7006","","","6"
"1060035","","11","島村村……！","10","1","","112611","","1","6"
"1060036","","91","","","","","0","","","6"
"1060037","","4","1","","","","112411","","","6"
"1060038","","3","omp_idle_sad","1","","0","112611","","","6"
"1060039","","3","omp_talk_thinking","1","","0","112511","","","6"
"1060040","","21","vo_omp_7006_007","0","0","","vo_omp_7006","","","6"
"1060041","","11","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？","10","1","","112511","","1","6"
"1060042","","91","","","","","0","","","6"
"1060043","","4","0","","","","112411","","","6"
"1060044","","3","omp_idle_thinking","1","","0","112511","","","6"
"1060045","","3","omp_talk_joy1","1","","0","112611","","","6"
"1060046","","21","vo_omp_7006_008","0","0","","vo_omp_7006","","","6"
"1060047","","11","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！","10","1","","112611","","1","6"
"1060048","","91","","","","","0","","","6"
"1060049","","4","1","","","","112411","","","6"
"1060050","","3","omp_idle_joy1","1","","0","112611","","","6"
"1060051","","3","omp_talk_joy2","1","","0","112411","","","6"
"1060052","","21","vo_omp_7006_009","0","0","","vo_omp_7006","","","6"
"1060053","","11","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！","10","1","","112411","","1","6"
"1060054","","93","1","","","","1.2","","","6"
"1060055","","4","0","","","","112411","","","6"
"1060056","","91","","","","","1060053","","","6"
"1060057","","2","-180","-195","0","","112511","","1","6"
"1060058","","2","0","-190","0","","112411","","1","6"
"1060059","","2","180","-195","0","","112611","","1","6"
"1060060","","3","omp_psn_dicision_rin","0","","0.1","112511","","","6"
"1060061","","3","omp_psn_dicision_uduki","0","","0.1","112411","","","6"
"1060062","","3","omp_psn_dicision_mio","0","","0.1","112611","","","6"
"1060063","","31","2","0","0","1","2","","1","6"
"1060064","","91","","","","","1060062","","","6"
"1060065","","93","","","","","0.6","","","6"
"1070001","omp_idle_normal","1","105831","1600","-100","1.8","1","0","-205","7"
"1070002","omp_idle_normal","1","105931","1600","-390","1.8","1","0","-225","7"
"1070003","omp_idle_normal","1","106031","1500","-260","1.8","1","0","-190","7"
"1070004","omp_idle_normal","1","112511","1500","250","1.8","1","1","-185","7"
"1070005","omp_idle_normal","1","112411","1600","385","1.8","1","1","-220","7"
"1070006","omp_idle_normal","1","112611","1600","100","1.8","1","1","-195","7"
"1070007","","31","1","0","0","1","1","","1","7"
"1070008","","93","","","","","0.2","","","7"
"1070009","","3","omp_idle_normal","1","","0.1","112611","","","7"
"1070010","","3","omp_talk_normal","1","","0","112411","","","7"
"1070011","","3","omp_idle_normal","1","","0.1","112511","","","7"
"1070012","","3","omp_idle_normal","1","","0.1","105831","","","7"
"1070013","","93","","","","","0.1","","","7"
"1070014","","93","","","","","1","","","7"
"1070015","","21","vo_omp_7007_000","0","0","","vo_omp_7007","","","7"
"1070016","","11","現在想想……一開始的\n快閃演唱會實在是很緊張呢。","10","1","","112411","","1","7"
"1070017","","91","","","","","0","","","7"
"1070018","","3","omp_idle_normal","1","","0.1","112411","","","7"
"1070019","","3","omp_talk_normal","1","","0.1","105831","","","7"
"1070020","","21","vo_omp_7007_001","0","0","","vo_omp_7007","","","7"
"1070021","","11","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～","10","1","","105831","","1","7"
"1070022","","91","","","","","0","","","7"
"1070023","","3","omp_idle_normal","1","","0","105831","","","7"
"1070024","","3","omp_talk_worry","1","","0","105931","","","7"
"1070025","","21","vo_omp_7007_002","0","0","","vo_omp_7007","","","7"
"1070026","","11","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……","10","1","","105931","","1","7"
"1070027","","91","","","","","0","","","7"
"1070028","","3","omp_idle_worry","1","","0","105931","","","7"
"1070029","","3","omp_talk_normal","1","","0","106031","","","7"
"1070030","","21","vo_omp_7007_003","0","0","","vo_omp_7007","","","7"
"1070031","","11","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！","10","1","","106031","","1","7"
"1070032","","91","","","","","0","","","7"
"1070033","","3","omp_idle_normal","1","","0","106031","","","7"
"1070034","","3","omp_talk_worry","1","","0","112611","","","7"
"1070035","","21","vo_omp_7007_004","0","0","","vo_omp_7007","","","7"
"1070036","","11","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～","10","1","","112611","","1","7"
"1070037","","91","","","","","0","","","7"
"1070038","","3","omp_idle_worry","1","","0","112611","","","7"
"1070039","","3","omp_talk_normal2","1","","0","105931","","","7"
"1070040","","21","vo_omp_7007_005","0","0","","vo_omp_7007","","","7"
"1070041","","11","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。","10","1","","105931","","1","7"
"1070042","","91","","","","","0","","","7"
"1070043","","3","omp_idle_calm","1","","0","105931","","","7"
"1070044","","3","omp_talk_normal2","1","","0","112511","","","7"
"1070045","","21","vo_omp_7007_006","0","0","","vo_omp_7007","","","7"
"1070046","","11","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。","10","1","","112511","","1","7"
"1070047","","91","","","","","0","","","7"
"1070048","","3","omp_idle_calm","1","","0","112511","","","7"
"1070049","","3","omp_talk_joy1","1","","0","112411","","","7"
