1f287a0bf3177f9e7b1d60fc3a1b698601f5cdbed6abed1d33e590c29cbff47d,b6cc57d3e2397d1bbde1e1dc0ba3854588cd3c54fe9a6ad845101d359b80076f,f57ae6c12faf69f995a5adc7b98efd1b1c2bc05f5b7456fe32e3c84e3e914c5d,b61444bfb74ed7d1c6bf4835f86008f1df518e4bd1beca78dcf0038c3d38f8fa,ee3a63465ab869901cbe886fe03a165f05695972c9db1230e276044b0cbc4fff,bd54a430f97b92407af24b30b3035c0fc9a85380e091a7b0486692b058b9fd1e,b23892464177335c2bce2d16539df09c8b4dcc4671d7746ef1452a512615fb9b,71caebdb25a77c342d488c5b2f2c919a10806ca1a8037c65d058146b9cddc1d3
"52015","0","1","1","0","1","【料理】下次移動時，將多移動1格。","22"
"52016","0","1","1","0","1","【料理】投擲的骰子一定會丟出「6」。","23"
"52017","0","1","1","0","9","【料理】變得無法食用移動系的料理。","24"
"52018","0","1","1","0","1","【料理】投擲的骰子一定會丟出「3」。","25"
"52019","0","1","1","0","1","【料理】投擲的骰子一定會丟出「8」。","26"
"98011","0","2","3","0","2","【事件】跳過下次的回合數計算","27"
"98012","0","2","3","0","2","【事件】跳過下次的回合數計算","28"
"52020","0","1","2","0","10","【料理】移動時將可以跳過里程格。","29"
"52020","2","1","1","2","1","【料理】下次移動時，將多移動1格。","30"
"52021","0","1","2","0","10","【料理】移動時可以跳過寶物格。","31"
"52022","0","1","1","0","1","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","32"
"52023","0","1","1","0","1","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","33"
"52024","0","1","1","0","1","【料理】下次移動時多前進3格","34"
"52025","0","1","2","0","10","【料理】移動時可以跳過「里程格」及「寶物格」。","35"
"52027","0","1","1","0","1","【料理】骰子只會丟出「5」","36"
"52028","0","1","1","0","1","【料理】投擲的骰子\n只會丟出「1、2」。","37"
"52029","0","1","1","0","1","【料理】投擲的骰子一定會丟出「2」。","38"
"52029","0","1","3","0","2","【料理】跳過下次的回合數計算","39"
"8","0","2","3","0","4","【事件】里程商店的所有商品折價20%以上","40"
"52030","0","1","3","0","11","【料理】將「里程格」變成「寶物格」。","41"
"52031","0","1","1","0","1","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","42"
"52032","0","1","2","0","10","【料理】移動時可以跳過料理格","43"
"52034","0","1","1","0","8","【料理】移動時可以跳過里程格","44"
"52036","0","1","1","0","1","【料理】第1回合投擲骰子一定會丟出「12」，第2、3回合一定會丟出「1」","45"
"52037","0","1","2","0","6","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","46"
"52038","0","1","1","0","1","【料理】骰子增加成為兩個","47"
"52039","0","1","3","0","11","【料理】將「里程格」變成「商店格子」。","48"
"52040","0","1","2","0","10","【料理】移動時可以跳過寶物格","49"
"52041","0","1","1","0","1","【料理】第1回合投擲骰子一定會丟出「7」，第2回合一定會丟出「2」","50"
"1","0","3","1","0","99","取得最大n里程","1001"
"2","0","3","1","0","99","重新擲1次骰子","1002"
"3","0","3","1","0","99","重新擲1次骰子_有效回合2","1003"
"1001","0","3","1","0","126501","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11001"
"1002","0","3","1","0","105301","【夥伴】取得最大1000里程","11002"
"1003","0","3","1","0","126401","【夥伴】取得1個料理","11003"
"1004","0","3","1","0","100501","【夥伴】重新擲1次骰子","11004"
"1005","0","3","1","0","101301","【夥伴】重新擲2次骰子","11005"
"1006","0","3","1","0","104301","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","11006"
"1007","0","3","1","0","102701","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","11007"
"1008","0","3","1","0","100901","【夥伴】追加投擲骰子直到數字合計為7以上","11008"
"1009","0","3","1","0","105101","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11009"
"1010","0","3","1","0","101801","【夥伴】取得最大1000里程","11010"
"1011","0","3","1","0","129701","【夥伴】可以選擇使用骰子的正面或背面","11011"
"1012","0","3","1","0","101601","【夥伴】重新擲1次骰子","11012"
"1013","0","3","1","0","105601","【夥伴】重新擲2次骰子","11013"
"1014","0","3","1","0","102001","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","11014"
"1015","0","3","1","0","129601","【夥伴】追加投擲骰子直到數字合計為7以上","11015"
"1016","0","3","1","0","100401","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","11016"
"1017","0","3","1","0","127701","【夥伴】骰子擲出偶數時，多前進1格。","11017"
"1018","0","3","1","0","127801","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","11018"
"1019","0","3","1","0","104801","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11019"
"1020","0","3","1","0","104701","【夥伴】重新擲2次骰子","11020"
"1021","0","3","1","0","105001","【夥伴】追加投擲骰子直到數字合計為7以上","11021"
"1022","0","3","1","0","103201","【夥伴】取得最大2000里程","11022"
"1023","0","3","1","0","130901","【夥伴】取得1張抽獎券","11023"
"1024","0","3","1","0","102501","【夥伴】取得1個料理","11024"
"1025","0","3","1","0","100801","【夥伴】可以選擇使用骰子的正面或背面","11025"
"1026","0","3","1","0","123301","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","11026"
"1027","0","3","1","0","104601","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11027"
"1028","0","3","1","0","118101","【夥伴】重新擲2次骰子","11028"
"1029","0","3","1","0","103401","【夥伴】追加投擲骰子直到數字合計為7以上","11029"
"1030","0","3","1","0","118001","【夥伴】取得最大2000里程","11030"
"1031","0","3","1","0","102801","【夥伴】取得1張抽獎券","11031"
"1032","0","3","1","0","100201","【夥伴】取得1個料理","11032"
"1033","0","3","1","0","101201","【夥伴】骰子擲出奇數時，多前進1格。","11033"
"1034","0","3","1","0","118201","【夥伴】重新擲1次骰子","11034"
"1035","0","3","1","0","106101","【夥伴】追加投擲骰子直到數字合計為7以上","11035"
"1036","0","3","1","0","103101","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","11036"
"1037","0","3","1","0","103301","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11037"
"1038","0","3","1","0","103601","【夥伴】取得最大2000里程","11038"
"1039","0","3","1","0","133001","【夥伴】取得1張抽獎券","11039"
"1040","0","3","1","0","133101","【夥伴】取得1個料理","11040"
"1041","0","3","1","0","106801","【夥伴】可以選擇使用骰子的正面或背面","11041"
"1042","0","3","1","0","107101","【夥伴】重新擲1次骰子","11042"
"1043","0","3","1","0","107001","【夥伴】追加投擲骰子直到數字合計為7以上","11043"
"1044","0","3","1","0","106501","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","11044"
"1045","0","3","1","0","111001","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11045"
"1046","0","3","1","0","134901","【夥伴】取得最大2000里程","11046"
"1047","0","3","1","0","105401","【夥伴】取得1張抽獎券","11047"
"1048","0","3","1","0","134701","【夥伴】取得1個料理","11048"
"1049","0","3","1","0","100101","【夥伴】可以選擇使用骰子的正面或背面","11049"
"1050","0","3","1","0","100701","【夥伴】重新擲1次骰子","11050"
"1051","0","3","1","0","103001","【夥伴】追加投擲骰子直到數字合計為7以上","11051"
"1052","0","3","1","0","101401","【夥伴】骰子擲出偶數時，多前進1格。","11052"
"1053","0","3","1","0","135901","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11053"
"1054","0","3","1","0","102601","【夥伴】取得最大2000里程","11054"
"1055","0","3","1","0","132401","【夥伴】取得1張抽獎券","11055"
"1056","0","3","1","0","135801","【夥伴】取得1個料理","11056"
"1057","0","3","1","0","100301","【夥伴】可以選擇使用骰子的正面或背面","11057"
"1058","0","3","1","0","106701","【夥伴】重新擲1次骰子","11058"
"1059","0","3","1","0","132301","【夥伴】追加投擲骰子直到數字合計為7以上","11059"
"1060","0","3","1","0","105201","【夥伴】骰子擲出奇數時，多前進1格。","11060"
"1061","0","3","1","0","102201","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","11061"
"1062","0","3","1","0","100601","【夥伴】取得最大2000里程","11062"
"1063","0","3","1","0","136201","【夥伴】取得1張抽獎券","11063"
"1064","0","3","1","0","110901","【夥伴】取得1個料理","11064"
