5dc3a4fdaf8aab6104ba5fc480b908c0f31ef74af534af23a17ee28ed96c7c5a,4488283dfc33aed2b865a52e129eb7065b6ea372262efd887f005d349a7c9e8e,e4a9bcf61b337e3af5712f1b2dfc6009c96970e55f117212eb11b59de33de812,0aaceaf11a61df0ce37382122a1f0884e48f44c247ccc14c29b8475da5b53d22,64a3a7a2210f788f91d53f88885d95e8d0533510620da77e096af5ced1648314,216b374904d5c58690f512999a10fa0e0090b748880f1d834024cde418db11d4,eaf1cadccf82b24b3e9446036b60bd110005f1a9b24d3eecb3a1dccc28426ff0,d8f953742c5b4d908fb26ea97ba95ca5d70d2f5299d5297807acdadab955c800,edb74c1d05a3b16e08c7aebe97d204e1608e3bd8e58a8d01f086b24ef79faa80,a848bfad3cb5ac07a5b45bb44bee48a74341f25758d493f9eb7d7ba3af807846,0c56bb44ff0b4e899263c115585f153eb41eda4b6e88efad8bd59285e1eae02a,195a23d67e9ce4e009bdb6a278f759dcfb3ccbf63ae2b16742b8175745085383,df0c0c368a3ec432c3e8b0137ca27096dc0b873835f9dcc690d9a8cf4bceec03,476dd21d9458b67ce038c946fa4b3ddf917c2682b5324f7c20a88ea9651fbf86,bc820e49800a1aad8b6954594796125c09dec8edf55abe7d3004449d77fe128f,8c6d1b1bf3ff28281723308c50fc0068709ff78a23cd135044a2bda5256a90a1,edd299b9275c0d24ea079c354dd88986d3a7ae1115904da1e6af1719bf67fdf3,2d1df6d699381d1051b744571f58a6304b40a81a1915ecbd4349f907362c0f0a,c150dc0bb3d734505d8dd527e184997d0616cec371650ca4c68a4b0e94b52261
"2","90","4","-100","105401","180301","1","4","118001","106601","4","105401","100421","110301","4","100003","4","1004","0"
"2","90","5","-100","101801","110301","2","4","101801","113401","4","105301","100422","124501","4","100003","4","1004","0"
"2","90","4","-100","123301","103401","3","4","123001","123301","4","105201","100423","105501","5","100003","4","1004","0"
"3","90","2","-100","126101","126101","1","3","108301","125801","3","126001","100431","110301","8","100003","3","1004","0"
"3","90","3","-100","103301","121101","2","1","108301","103401","7","103301","100432","123001","8","100003","2","1004","0"
"3","90","3","-100","105801","180501","3","2","106001","117301","7","105801","100433","123001","7","100003","2","1004","0"
"1","90","6","-100","105501","105501","1","6","123001","103401","6","100701","100511","112201","6","100003","6","1005","0"
"1","90","6","-100","100901","100901","2","6","123001","103401","6","106601","100512","105101","6","100003","6","1005","0"
"1","90","6","-100","112701","110301","3","6","101801","113401","6","112701","100513","106901","6","100003","6","1005","0"
"2","90","4","-100","100101","100101","1","4","110301","106601","4","114701","100521","123801","4","100003","4","1005","0"
"2","90","4","-100","102601","105501","2","4","112201","103401","4","105201","100522","102601","4","100003","4","1005","0"
"2","90","4","-100","119201","105501","3","4","121401","119201","4","105401","100523","110301","4","100003","4","1005","0"
"3","90","8","-100","106601","103401","1","1","108301","106601","1","105201","100531","107701","8","100003","1","1005","0"
"3","90","3","-100","127901","126101","2","1","108301","103401","3","127901","100532","123001","8","100003","3","1005","0"
"3","90","3","-100","108401","102601","3","2","108401","123301","7","105801","100533","123001","8","100003","1","1005","0"
"1","90","6","-100","111401","117301","1","6","111401","103401","6","106601","100611","105001","6","100003","6","1006","0"
"1","90","6","-100","113401","113401","2","6","100801","105401","6","105201","100612","123001","6","100003","6","1006","0"
"1","90","6","-100","107701","105501","3","6","107701","103401","6","100501","100613","123001","6","100003","6","1006","0"
"2","90","4","-100","112201","112201","1","4","111401","103401","4","106601","100621","105001","4","100003","4","1006","0"
"2","90","4","-100","123001","105301","2","4","123001","105401","4","102901","100622","105501","5","100003","4","1006","0"
"2","90","4","-100","117301","101401","3","4","123001","117301","4","100701","100623","112201","5","100003","4","1006","0"
"3","90","7","-100","128301","105501","1","1","108301","103401","3","128301","100631","106001","8","100003","1","1006","0"
"3","90","3","-100","106501","123301","2","1","108301","106601","1","106501","100632","123001","8","100003","2","1006","0"
"3","90","3","-100","109001","110301","3","1","107701","102601","8","109001","100633","123001","8","100003","2","1006","0"
"1","90","6","-100","125101","103401","1","6","125101","122801","6","102901","100711","123001","6","100003","6","1007","1001"
"1","90","6","-100","111001","180301","2","6","111001","106601","6","105401","100712","110301","6","100003","6","1007","1001"
"1","90","6","-100","118001","123001","3","6","118501","121401","6","101401","100713","118001","6","100003","6","1007","1001"
"2","90","5","-100","100201","117301","1","4","100201","103401","4","102901","100721","123001","4","100003","4","1007","1001"
"2","90","4","-100","105101","105101","2","4","104001","117301","4","104801","100722","110301","4","100003","4","1007","1001"
"2","90","4","-100","100801","118501","3","4","111001","118001","4","101401","100723","100801","4","100003","4","1007","1001"
"3","90","3","-100","128801","102601","1","2","118501","123301","3","128801","100731","123001","3","100003","1","1007","1001"
"3","90","3","-100","128901","105501","2","1","108301","103401","1","104501","100732","128901","8","100003","1","1007","1001"
"3","90","3","-100","128701","117301","3","3","108301","128701","3","128301","100733","123001","8","100003","2","1007","1001"
"1","90","6","-100","100701","105501","1","6","123001","103401","6","100701","100811","112201","6","100003","6","1008","1002"
"1","90","6","-100","111401","117301","2","6","111401","103401","6","106601","100812","105001","6","100003","6","1008","1002"
"1","90","6","-100","102901","103401","3","6","125101","122801","6","102901","100813","123001","6","100003","6","1008","1002"
"2","90","4","-100","110301","110301","1","4","111401","103401","4","104601","100821","101201","4","100003","4","1008","1002"
"2","90","5","-100","106601","113401","2","4","123001","106601","4","105201","100822","106901","5","100003","4","1008","1002"
"2","90","5","-100","123001","101401","3","4","100801","105501","4","103401","100823","123001","4","100003","4","1008","1002"
"3","90","1","-100","108801","112201","1","1","108301","103401","1","108901","100831","108801","8","100003","2","1008","1002"
"3","90","8","-100","129001","126101","2","1","129001","108901","1","100701","100832","107701","3","100003","3","1008","1002"
"3","90","3","-100","100201","101401","3","3","100201","126101","1","103401","100833","123001","1","100003","1","1008","1002"
"1","90","6","-100","100901","103401","1","6","110301","106601","6","114701","100911","100901","6","100003","6","1009","1003"
"1","90","6","-100","106901","105401","2","6","106901","100501","6","180401","100912","103401","6","100003","6","1009","1003"
"1","90","6","-100","101401","101401","3","6","100801","105501","6","103401","100913","123001","6","100003","6","1009","1003"
"2","90","4","-100","122801","124101","1","4","119001","103401","4","122801","100921","100901","4","100003","4","1009","1003"
"2","90","4","-100","100501","103401","2","4","123001","100501","4","105201","100922","121101","5","100003","4","1009","1003"
"2","90","5","-100","103401","105501","3","4","118501","103401","4","100701","100923","123001","5","100003","4","1009","1003"
"3","90","7","-100","120001","103401","1","7","108301","104901","2","120001","100931","101601","8","100003","1","1009","1003"
"3","90","2","-100","112201","101801","2","1","129001","100501","1","108901","100932","112201","3","100003","1","1009","1003"
"3","90","3","-100","123001","126101","3","3","129001","128801","1","100701","100933","123001","3","100003","3","1009","1003"
