e654b15a7f1dcbe7139b78490f6b3af5893c87d89bf09631314a5a8917ccf91b,678bc8710351abd77fe519a3cae658384e6b7017b065e766da5cb9fd66e85d39,1b53655d51e51bdba6cc583cfd5e2f1c54676f6e403efb263ef9c30f31da77fe,6fab89d315eb37b22948cc38adb1cab052a926cc18a47d12e28ecc344461ef79,50aaeafe6a71e28dd19b9abf1e264b3baaa27c06ea4dac3803a8db48c2a4ca60,4ef5349ae272d05994edb0fce49686f8ea288beab1da04b72e6d7af4ab6de5a4,82ad93201d86e14e8a5921145018084dbcf45b1fe32d904690f450cf4c15b9b0,55d0677f21bee78d7cb89829669dd70c96dbeffdb78a2003dc41130dc7d79c5a,247a44e0c592fbcc288bc1ed5bb6a64540fa42118dc3a5b38c17c09a6da4df95
"勇猛的","1","2","0","3","2","67","1","0"
"拚命奔跑的","1","2","0","3","2","68","1","0"
"一閃而過的","1","2","2","3","2","69","1","0"
"驚濤駭浪的","1","2","0","3","2","70","1","0"
"憤怒的","1","2","0","3","2","71","1","0"
"不服輸的","1","2","2","3","2","72","1","0"
"成長中的","1","2","0","3","2","73","1","0"
"打破常規的","1","2","0","3","2","74","1","0"
"胡鬧的","1","2","0","3","2","75","1","0"
"狂暴的","1","2","0","3","2","76","1","0"
"傳聞中的","1","2","0","3","2","77","0","0"
"海邊的","1","2","2","3","2","78","0","0"
"朝氣蓬勃的","1","2","2","3","2","79","0","0"
"飛奔於常夏的","1","2","2","3","2","80","0","0"
"肌肉的","1","2","0","3","2","81","0","0"
"波光粼粼的","1","2","0","3","2","82","0","0"
"天生的","1","2","2","3","2","83","0","0"
"轟動的","1","2","0","3","2","84","0","0"
"未知數的","1","2","0","3","2","85","0","0"
"超不妙的","1","2","0","3","2","86","0","0"
"不能輸的","1","2","0","3","2","87","0","0"
"Light Speed","1","3","2","3","2","88","1","1"
"專業的","1","3","1","3","2","89","1","1"
"頂尖的","1","3","0","3","2","90","1","1"
"金牌","1","3","2","3","2","91","1","1"
"極限的","1","3","2","3","2","92","1","1"
"最佳的","1","3","0","3","2","93","1","1"
"完美的","1","3","2","3","2","94","1","1"
"百年僅有一人的","1","3","1","3","2","95","1","1"
"傳說中的","1","3","2","3","2","96","1","1"
"超一流的","1","3","0","3","2","97","1","1"
"世界的","1","3","0","3","2","98","1","1"
"被選中的","1","3","0","3","2","99","1","1"
"運動家","1","3","2","3","2","100","0","1"
"偉大的","1","3","0","3","2","101","0","1"
"超級音速的","1","3","1","3","2","102","0","1"
"終極的","1","3","0","3","2","103","0","1"
"MVP的","1","3","0","3","2","104","0","1"
"全面的","1","3","0","3","2","105","0","1"
"全回合的","1","3","2","3","2","106","0","1"
"銀牌","1","3","2","3","2","107","0","1"
"神聖的","1","3","0","3","2","108","0","1"
"出色的","1","3","2","3","2","109","0","1"
"一流的","1","3","0","3","2","110","0","1"
"絕妙的","1","3","0","3","2","111","0","1"
"超級的","1","3","0","3","2","112","1","0"
"助跑起步的","1","3","0","3","2","113","1","0"
"很棒的","1","3","0","3","2","114","1","0"
"勢如破竹的","1","3","1","3","2","115","1","0"
"超凡魅力的","1","3","0","3","2","116","1","0"
"萬能的","1","3","0","3","2","117","1","0"
"新世代的","1","3","0","3","2","118","1","0"
"光榮的","1","3","0","3","2","119","1","0"
"大放異彩的","1","3","0","3","2","120","1","0"
"深藏不漏的","1","3","0","3","2","121","1","0"
"天下的","1","3","0","3","2","122","1","0"
"Let's Go","1","3","0","3","2","123","0","0"
"好的","1","3","0","3","2","124","0","0"
"小跳步的","1","3","1","3","2","125","0","0"
"有成長空間的","1","3","2","3","2","126","0","0"
"銅牌","1","3","2","3","2","127","0","0"
"期待的","1","3","0","3","2","128","0","0"
"跳躍的","1","3","2","3","2","129","0","0"
"新時代的","1","3","0","3","2","130","0","0"
"內行人才知道的","1","3","2","3","2","131","0","0"
