00b7de7870a953bcb9a590e18df8a8e7e3174493bfdda8cf3a867fc8676456c2,e8fe0db7907b4d06a80f481a489c05d406fafcde03717c4650342bfc10126e29,13a259dcabe962146f43da432fc3d10b116f655f285e31e6019cf85c5d4396cd,3bf3b5d6def6834cca9c70e801fd1ec3c0191e1aafd7e082a02bc6491fe21367,be0fc29f3521100e60c7a47370ea33c4675bd875e65bc1148ca3b97ed2397304,15b474916088e576dacfe310c89af05390ba54ab182af0308c943eab5038d337,567c5b58f73a3094dc482174dbe321a44f1c84bfc686d94daedd1e7b4408d325,dd9ab90c52a2d66095e3bd746297ec9c17eb0534c367856b473a64c1b5e6b7fc,4f4e66c23b07228a7b7be774560997b1b2d6aa6e82c9bc1f115479594ba1ab76,e059cc4a6c4cbcab390dd48dfd54b604fb67d4a3ccc5ef9251c6da5c972502dd,9ade69c945d39cfcc9e07248175a9aebc2c5dfad9584abc70612740e27ecdf30,0c8b8645b629dbd23d9660ac2ceb9086e7cad0ac1b7ed4314d43503e5e3f322d,c5651cc506fe82b366c081a2fcf8dccacb345873c8557bf7233444ee5e7996a4,1e69bc55b13bc53f4495a788d55e9ec331ed0212c7454376894ff4178aa036f6
"","192501","0","24","1","2020/07/31 12:00:00","0","24011","0","2030/12/17 14:59:59","502","1","10046","贏了！"
"","192501","0","24","1","2020/07/31 12:00:00","0","24012","0","2030/12/17 14:59:59","503","1","10046","感覺不錯！"
"美里","113501","5.33","24","2","2020/07/31 12:00:00","0","24013","0","2030/12/17 14:59:59","111","6","10046","哎呀～該不會我\n不小心贏了嗎？\n可能是因為我有\n看著大家練習吧～"
"美里","113501","6.85","24","2","2020/07/31 12:00:00","0","24014","0","2030/12/17 14:59:59","112","1","10046","老師想幫上大家的忙，\n所以也努力試試看了～！\n看來似乎有順利丟出去，\n太好了～！"
"美里","113501","3","24","2","2020/07/31 12:00:00","0","24015","0","2030/12/17 14:59:59","113","1","10046","練習辛苦了～！\n老師也很高興\n能夠幫上忙喔～♪\n接下來也一起努力加油吧～！"
"大地","192401","6.11","24","2","2020/07/31 12:00:00","0","24016","0","2030/12/17 14:59:59","611","1","10046","看來練習得還不夠啊，\n我甚至沒有\n拿出真本事投呢，\n再練一次！"
"大地","192401","6.75","24","2","2020/07/31 12:00:00","0","24017","0","2030/12/17 14:59:59","612","1","10046","哼，這是理所當然的結果。\n我的球才不會讓任何人打到！\n要是還想繼續打，\n我就奉陪到底！"
"大地","192401","0","24","2","2020/07/31 12:00:00","0","24018","0","2030/12/17 14:59:59","613","2","10046","很好！\n就以這股氣勢，朝全國前進吧！\n看我用三振解決掉所有對手！"
"初音","113401","4.52","24","1","2020/07/31 12:00:00","0","24019","0","2030/12/17 14:59:59","211","2","10046","閃亮亮☆\n初音大勝利喲～！\n為了讓大家能更加進步，\n我也會繼續努力下去的！"
"初音","113401","3.89","24","1","2020/07/31 12:00:00","0","24020","0","2030/12/17 14:59:59","212","2","10046","好耶！我贏了！\n不管是啦啦隊還是投手，\n都交給我初音吧！"
"初音","113401","13.49","24","2","2020/07/31 12:00:00","0","24021","0","2030/12/17 14:59:59","213","1","10046","很好～就像這樣繼續\n努力吧……雖然是這麼想，\n但因為用了超能力……\n我開始想睡了……呼嚕……"
"嘉夜","106501","3.17","24","2","2020/07/31 12:00:00","0","24022","0","2030/12/17 14:59:59","311","1","10046","真是場好比賽！\n我太熱血沸騰，\n不小心就用全力丟球了。"
"嘉夜","106501","4.42","24","2","2020/07/31 12:00:00","0","24023","0","2030/12/17 14:59:59","312","1","10046","如何？\n老娘的球很熾熱吧！\n不過，你們的鬥志\n也是挺不錯的喔。"
"嘉夜","106501","2.89","24","1","2020/07/31 12:00:00","0","24024","0","2030/12/17 14:59:59","313","6","10046","什麼嘛，就這點程度而已嗎？\n我還完全沒投個夠呢，\n再繼續比下去吧！"
"綾音","102301","3.71","24","3","2020/07/31 12:00:00","0","24025","0","2030/12/17 14:59:59","421","4","10046","差一點點了說～！\n下次我一定會跟噗吉一起\n贏給你們看的！"
"旭","192201","5.1","24","1","2020/07/31 12:00:00","0","24026","0","2030/12/17 14:59:59","721","2","10046","真是一場好比賽呢！\n不過果然還是好不甘心……\n我會再多做練習，\n下次絕對會是我贏！"
"社員3","192301","4.34","24","3","2020/07/31 12:00:00","0","24027","0","2030/12/17 14:59:59","821","1","10046","嘖……還差一步啊。\n下次我一定會贏的，\n做好心理準備吧。"
"","192501","0","24","1","2020/07/31 12:00:00","0","24028","0","2030/12/17 14:59:59","521","1","10046","真是一場好比賽，\n下次再比一次吧。"
"美里","113501","5.62","24","2","2020/07/31 12:00:00","-360","24029","0","2030/12/17 14:59:59","101","1","10046","做得非常好喔～♪\n看你這麼努力，老師很開心，\n今後也為了比賽，\n一起繼續練習下去吧～"
"美里","113501","9.58","24","2","2020/07/31 12:00:00","-360","24030","0","2030/12/17 14:59:59","102","1","10046","這是你努力的成果呢～！\n照這樣繼續練習下去，\n應該會獲得更棒的成績吧。\n我很期待喔～！"
"美里","113501","0","24","2","2020/07/31 12:00:00","-360","24031","0","2030/12/17 14:59:59","103","2","10046","好孩子，好孩子～♪\n你這麼認真努力，\n我要好～好誇獎一番。"
"美里","113501","9.13","24","1","2020/07/31 12:00:00","-360","24032","0","2030/12/17 14:59:59","104","2","10046","朝著夢想前進了一步呢。\n照這個步調，一起實現夢想吧。\n目標是全國大賽～！"
"美里","113501","8.27","24","2","2020/07/31 12:00:00","-360","24033","0","2030/12/17 14:59:59","105","1","10046","狀態很好呢～♪\n你比賽時一定也會\n大有活躍的。\n我很期待喔～！"
