cf179139ffa63a31f3f26d7e8b38a13f587c953cc748435f471b2771d97319ca,2d75d2e28a981f2efd71c634997930b4cbf99a069745d960cf6a70ffa62091b9,2e1c24ba659d0b6b9caee57f5550688bf0b06eb47398e5624218d3cd6becbc89,c459b22acd44c1183486bda23ca88e289b644d03263cba0c2a30a57692e35ebe,0285d57d7137611a4b7462bbe4bb7c4d5788cbac63a44c9ab6c56f359adf6ea2,1c02e8d8212067aee995c21fc2edd9db7af0549baa8c6caf2193a467d7983c0b
"101","803100270","107","300703","0","2147023"
"113","803100270","202","300704","1","2147024"
"114","803100270","203","300705","1","2147025"
"102","803100270","105","300706","0","2147026"
"112","803100270","205","300707","1","2147027"
"111","803100270","204","300708","1","2147028"
"100","803100270","104","300709","0","2147029"
"101","803100270","107","300710","0","2147030"
"113","803100271","202","300711","1","2147031"
"114","803100271","203","300712","1","2147032"
"102","803100271","105","300713","0","2147033"
"112","803100271","205","300714","1","2147034"
"107","803100271","110","300715","0","2147035"
"111","803100271","204","300716","1","2147036"
"100","803100271","104","300717","0","2147037"
"101","803100271","107","300718","0","2147038"
