9df9caac7d3dc4e64d5f2cd1a03e57cf27fa594bb2c3b45f261c952027ddec9e,523a801fd000e9bcf698ca1def4cc380b62f7e2e98eb1ed07fde685378eaccdc,20e329e29ea6d3ce55a251dc9a0e648a8e23e79a6c3a5ab30505565f0d60f459,b13f85f939c988a0298219c689447038fe391f967409007a1ba686dc0b2642fc,8233a5a434066fae0f6c0397988e8942b63ffd91ca10e8ce7e14713effc10b24,fe6e4ada81e535efd6392a6e282ef5640ec394cd1a8766170bc26e089fe91e1c,55aa9556ebabb345c409fb11a97da3594ad89b1b10a1060bdd84e8e82bdafc2a,53bc86d232e82acb7a57d42f0a3768e6b7109d4c8bc1d9de2ed9da0038a03d49,6893191b0625bff6ec810146038cc6247d3f031d358f56f1fe30e4d3597d0a0d,e659d0f1590fdacff2e9a45467302118cc2b062b0d1da3c58e56df7f5b7b35cf,81b22048db4a3eeb77fc382a8a49a34b8c68226de6427cef2720b4e3919f901f
"-385","2","0","61168","105911","2","","5146061","","","-288"
"-385","2","0","61169","1059","2","","5146061","","","-288"
"0","","","61170","106011","4","","5146061","","",""
"0","","","61171","1060","4","","5146061","","",""
"1","","","61172","105811","4","","5146061","","",""
"1","","","61173","1058","4","","5146061","","",""
"1","","","61174","105911","4","","5146061","","",""
"1","","","61175","1059","4","","5146061","","",""
"0","","","61176","2","93","","5146061","","",""
"1","","","61177","106011","4","","5146061","","",""
"1","","","61178","1060","4","","5146061","","",""
"0","","","61179","105811","4","","5146061","","",""
"0","","","61180","1058","4","","5146061","","",""
"0","","","61181","105911","4","","5146061","","",""
"0","","","61182","1059","4","","5146061","","",""
"joy_idle_doya_shy","","","61183","106011","3","0.2","5146061","","","1"
"joy_idle_doya_shy","","","61184","1060","3","0.2","5146061","","","1"
"idle_normal","","","61185","105811","3","0.2","5146061","","","1"
"idle_normal","","","61186","1058","3","0.2","5146061","","","1"
"kokkoro_idle_normal_joy","","","61187","105911","3","0.2","5146061","","","1"
"kokkoro_idle_normal_joy","","","61188","1059","3","0.2","5146061","","","1"
"0","","","61189","0.3","93","","5146061","","",""
"jump_short","guts2_talk_joy","1","61190","105811","3","0.2","5146061","","0.2","0"
"jump_short","guts2_talk_joy","1","61191","1058","3","0.2","5146061","","0.2","0"
"vo_apg_0112","0","","61192","vo_apg","21","","5146061","","","0"
"哈～♪\n玩得真開心呢──☆","1","1","61193","105811","11","0","5146061","0","0","9"
"","","","61194","0","91","","5146061","","",""
"idle_normal","","","61195","105811","3","0.2","5146061","","","1"
"idle_normal","","","61196","1058","3","0.2","5146061","","","1"
"kokkoro_talk_normal","","","61197","105911","3","0.2","5146061","","","1"
"kokkoro_talk_normal","","","61198","1059","3","0.2","5146061","","","1"
"vo_apg_0113","0","","61199","vo_apg","21","","5146061","","","0"
"各位，\n照片似乎\n已經洗出來了。","1","1","61200","105911","11","0","5146061","0","0","8"
"","","","61201","0","91","","5146061","","",""
"kokkoro_idle_normal_joy","","","61202","105911","3","0.2","5146061","","","1"
"kokkoro_idle_normal_joy","","","61203","1059","3","0.2","5146061","","","1"
"armcrossed_in_dere_shy","armcrossed_talk_dere_shy","1","61204","106011","3","0.2","5146061","","0","0"
"armcrossed_in_dere_shy","armcrossed_talk_dere_shy","1","61205","1060","3","0.2","5146061","","0","0"
"vo_apg_0114","0","","61206","vo_apg","21","","5146061","","","0"
"唉～糟透了。\n……算了，我就姑且\n看一下拍得如何吧♪","1","1","61207","106011","11","0","5146061","0","0","10"
"","","","61208","0","91","","5146061","","",""
"0","","","61209","0","22","","5146061","","",""
"armcrossed_idle_anger_lookup","","","61210","106011","3","0.2","5146061","","","0"
"armcrossed_idle_anger_lookup","","","61211","1060","3","0.2","5146061","","","0"
"idle_normal_lookup","","","61212","105811","3","0.2","5146061","","","1"
"idle_normal_lookup","","","61213","1058","3","0.2","5146061","","","1"
"kokkoro_wish_idle_joy_lookup","","","61214","105911","3","0.2","5146061","","","1"
"kokkoro_wish_idle_joy_lookup","","","61215","1059","3","0.2","5146061","","","1"
"coaster_1_in","","","61216","21","3","0","5146061","","","0"
"se_10055900_photo","","","61217","se_10055900","23","","5146061","","","0"
"0","","","61218","2.3","93","","5146061","","",""
"idle_normal_surprise","","","61219","105811","3","0.2","5146061","","","1"
"idle_normal_surprise","","","61220","1058","3","0.2","5146061","","","1"
"kokkoro_idle_normal_surprise","","","61221","105911","3","0.2","5146061","","","1"
"kokkoro_idle_normal_surprise","","","61222","1059","3","0.2","5146061","","","1"
"pointing_in_noface","pointing_loop_noface","1","61223","106011","3","0.2","5146061","","0","0"
"pointing_in_kyaru","pointing_loop_kyaru","1","61224","1060","3","0.2","5146061","","0","0"
"vo_apg_0115","0","","61225","vo_apg","21","","5146061","","","0"
"呃，這是怎樣啊──！！！\n根本沒拍到我嘛！！？","1","1","61226","106011","11","0","5146061","0","0","8"
"1","","","61227","0.5","93","","5146061","","",""
"30","","","61228","30","122","","5146061","","","0.5"
"","","","61229","61226","91","","5146061","","",""
"surprise_talk","","","61230","105811","3","0.2","5146061","","","1"
"surprise_talk","","","61231","1058","3","0.2","5146061","","","1"
"vo_apg_0116","0","","61232","vo_apg","21","","5146061","","","0"
"……咦？\n小凱留其實\n很想被拍嗎？","1","1","61233","105811","11","0","5146061","0","0","7"
"","","","61234","0","91","","5146061","","",""
"idle_normal_talk1R","","","61235","105811","3","0.2","5146061","","","1"
"idle_normal_talk1R","","","61236","1058","3","0.2","5146061","","","1"
"kokkoro_sad_talk","","","61237","105911","3","0.2","5146061","","","1"
"kokkoro_sad_talk","","","61238","1059","3","0.2","5146061","","","1"
"vo_apg_0117","0","","61239","vo_apg","21","","5146061","","","0"
"在下以為凱留小姐不想被拍，\n就把您遮住了。\n看來似乎是在下多管閒事。","1","1","61240","105911","11","0","5146061","0","0","8"
"","","","61241","0","91","","5146061","","",""
"kokkoro_idle_normal","","","61242","105911","3","0.2","5146061","","","1"
"kokkoro_idle_normal","","","61243","1059","3","0.2","5146061","","","1"
"shock_in_shy_red","shock_loop_shy_red","1","61244","106011","3","0.2","5146061","","0","0"
"shock_in_shy_red","shock_loop_shy_red","1","61245","1060","3","0.2","5146061","","0","0"
"vo_apg_0118","0","","61246","vo_apg","21","","5146061","","","0"
"不……不是，\n也不是那樣的啦！！？","1","1","61247","106011","11","0","5146061","0","0","9"
"","","","61248","0","91","","5146061","","",""
"coaster_1_out","","","61249","21","3","0","5146061","","","0"
"kokkoro_idle_normal_joy","","","61250","105911","3","0.2","5146061","","0.2","1"
"kokkoro_idle_normal_joy","","","61251","1059","3","0.2","5146061","","0.2","1"
"joy_talk","","","61252","105811","3","0.2","5146061","","0.2","1"
"joy_talk","","","61253","1058","3","0.2","5146061","","0.2","1"
"vo_apg_0119","0","","61254","vo_apg","21","","5146061","","","0"
"什麼嘛♪\n那我們就再搭一次吧──♪","1","1","61255","105811","11","0","5146061","0","0","9"
"","","","61256","0","91","","5146061","","",""
"joy_idle","","","61257","105811","3","0.2","5146061","","","1"
"joy_idle","","","61258","1058","3","0.2","5146061","","","1"
"kokkoro_wish_talk_normal2","","","61259","105911","3","0.2","5146061","","","1"
"kokkoro_wish_talk_normal2","","","61260","1059","3","0.2","5146061","","","1"
"vo_apg_0120","0","","61261","vo_apg","21","","5146061","","","0"
"好的，就這麼做吧♪","1","1","61262","105911","11","0","5146061","0","0","7"
"","","","61263","0","91","","5146061","","",""
"0","","","61264","0","22","","5146061","","",""
"kokkoro_wish_idle_joy","","","61265","105911","3","0.2","5146061","","","1"
"kokkoro_wish_idle_joy","","","61266","1059","3","0.2","5146061","","","1"
"anger_talk_anger2_red","","","61267","106011","3","0.2","5146061","","","1"
"anger_talk_anger2_red","","","61268","1060","3","0.2","5146061","","","1"
"2","0","0","61269","106011","12","0","5146061","0","0","2"
"10","0","0","61270","105811","12","0","5146061","0","0","2"
"10","0","0","61271","105911","12","0","5146061","0","0","2"
"0","","","61272","2","93","","5146061","","",""
"","","","61273","61274","101","","5146061","","",""
"0.2","","","61274","0","22","","5146061","","",""
"100911","-290","-278","62001","1","1","1.8","5146062","idle_normal","0","103"
"1009","-290","-278","62002","3","5","1.8","5146062","idle_normal","0","104"
"131011","290","-278","62003","1","1","1.8","5146062","idle_normal","1","100"
"203","","","62004","100911","13","","5146062","","",""
"200","","","62005","131011","13","","5146062","","",""
"7","0","-174","62006","7","5","0.85","5146062","idle","0","15"
"20","-132","71","62007","20","5","1","5146062","empty","0","210"
"22","0","-42","62008","22","5","1","5146062","empty","0","210"
"21","0","153","62009","21","5","1","5146062","empty","0","60"
"1","0","1","62010","1","31","1","5146062","","","0"
"2","-57.7","1","62011","2","31","0","5146062","","","0"
"10","0","1","62012","10","31","0","5146062","","","0"
"11","0","1","62013","11","31","0","5146062","","","0"
"14","-278","1","62014","14","31","0","5146062","","","-290"
"20","0","1","62015","20","31","1","5146062","","","0"
"100911","","","62016","20","36","","5146062","","",""
"20","","","62017","20","36","","5146062","","",""
"22","","","62018","20","36","","5146062","","",""
"0","","","62019","0","91","","5146062","","",""
"0","","","62020","0","102","","5146062","","","0"
"0","","","62021","1","93","","5146062","","",""
"cool_in_dere","cool_talk_dere","1","62022","100911","3","0.2","5146062","","0","0"
"cool_in_dere","cool_talk_dere","1","62023","1009","3","0.2","5146062","","0","0"
"vo_apg_0201","0","","62024","vo_apg","21","","5146062","","","0"
"出發吧，前往極滅禁斷秘儀！\n好，麻煩妳帶路了！","1","1","62025","100911","11","0","5146062","0","0","9"
"","","","62026","0","91","","5146062","","",""
"cool_idle","","","62027","100911","3","0.2","5146062","","","1"
"cool_idle","","","62028","1009","3","0.2","5146062","","","1"
"wish_talk_joy","","","62029","131011","3","0.2","5146062","","","1"
"vo_apg_0202","0","","62030","vo_apg","21","","5146062","","","0"
"杏奈小姐竟然會感興趣，\n人家很高興呢～\n人家會好好為妳帶路的。","1","1","62031","131011","11","0","5146062","0","0","8"
"","","","62032","0","91","","5146062","","",""
"wish_idle","","","62033","131011","3","0.2","5146062","","","1"
"anna_armcrossed","sad_talk","1","62034","100911","3","0.2","5146062","","0.2","0"
"anna_armcrossed","sad_talk","1","62035","1009","3","0.2","5146062","","0.2","0"
"vo_apg_0203","0","","62036","vo_apg","21","","5146062","","","0"
"嗯！吉格魯特他們也\n挑戰過的這場試煉，我冥姬也……\n呃，咦？\n這莫非，是尖叫系設施……？","1","1","62037","100911","11","0","5146062","0","0","9"
"","","","62038","0","91","","5146062","","",""
"sad_idle","","","62039","100911","3","0.2","5146062","","","1"
"sad_idle","","","62040","1009","3","0.2","5146062","","","1"
"maho_talk_normal","surprise_talk","1","62041","131011","3","0.2","5146062","","0.2","0"
"vo_apg_0204","0","","62042","vo_apg","21","","5146062","","","0"
"這是這座遊樂園\n大受歡迎的遊樂設施喔～\n奇怪？怎麼了嗎？\n妳的臉色看起來不太好……","1","1","62043","131011","11","0","5146062","0","0","9"
"","","","62044","0","91","","5146062","","",""
"surprise_idle","","","62045","131011","3","0.2","5146062","","","1"
"anger_talk_shy","","","62046","100911","3","0.2","5146062","","","1"
"anger_talk_shy","","","62047","1009","3","0.2","5146062","","","1"
"vo_apg_0205","0","","62048","vo_apg","21","","5146062","","","0"
"我我我、我才不是感、感到害怕……\n徹徹底底，完全沒問題喔？","1","1","62049","100911","11","0","5146062","0","0","9"
"","","","62050","0","91","","5146062","","",""
"anger_idle_shy","","","62051","100911","3","0.2","5146062","","","1"
"anger_idle_shy","","","62052","1009","3","0.2","5146062","","","1"
"worry_talk","","","62053","131011","3","0.2","5146062","","","1"
"vo_apg_0206","0","","62054","vo_apg","21","","5146062","","","0"
"話雖如此，最好還是不要\n勉強自己比較好吧？","1","1","62055","131011","11","0","5146062","0","0","9"
"","","","62056","0","91","","5146062","","",""
"wish_idle_shy","","","62057","131011","3","0.2","5146062","","","1"
"anger_talk_pain","","","62058","100911","3","0.2","5146062","","","1"
"anger_talk_pain","","","62059","1009","3","0.2","5146062","","","1"
"vo_apg_0207","0","","62060","vo_apg","21","","5146062","","","0"
"沒事！我、我都說沒問題了！\n妳都帶我到這裡了，怎麼能退縮……\n我要上了！突擊────！","1","1","62061","100911","11","0","5146062","0","0","9"
"","","","62062","0","91","","5146062","","",""
"0","","","62063","0","22","","5146062","","",""
"run_dash_anger2","","","62064","100911","3","0.2","5146062","","","1"
"run_dash_anger2","","","62065","1009","3","0.2","5146062","","","1"
"walk_surprise","","","62066","131011","3","0.2","5146062","","","1"
"-129","2","0","62067","100911","2","","5146062","","","-278"
"-129","2","0","62068","1009","2","","5146062","","","-278"
"129","2","0","62069","131011","2","","5146062","","","-278"
"1","","","62070","14","32","","5146062","","",""
"left","","","62071","14","37","","5146062","","",""
"-129","2","0","62072","14","33","","5146062","","","-278"
"0","","","62073","1","93","","5146062","","",""
"1","","","62074","2","32","","5146062","","",""
"0","","","62075","1.5","93","","5146062","","",""
"0","","","62076","14","32","","5146062","","",""
"0","0","0","62077","100911","2","","5146062","","","-331"
"scale15","","","62078","20","37","","5146062","","",""
"se_10055900_coaster_01","","","62079","se_10055900","23","","5146062","","","1"
"vo_apg_0208","0","","62080","vo_apg","21","","5146062","","","0"
"0208_in","","","62081","22","3","0","5146062","","","0"
"1","","","62082","3.3","93","","5146062","","",""
"0208_mid","","","62083","22","3","0","5146062","","","0"
"","","","62084","","92","","5146062","","",""
"0208_out","","","62085","22","3","0","5146062","","","0"
"0","","","62086","0.2","93","","5146062","","",""
"0","","","62087","0.3","93","","5146062","","",""
"scale1","","","62088","20","37","","5146062","","",""
"1","","","62089","10","32","","5146062","","",""
"0.5","","","62090","se_10055900_coaster_01","24","","5146062","","",""
"se_10055900_coaster_02","","","62091","se_10055900","23","","5146062","","","1"
"0","0","0","62092","20","2","","5146062","","","0"
"30","","","62093","30","122","","5146062","","","0.5"
"vo_apg_0209","0","","62094","vo_apg","21","","5146062","","","0"
"0209_in","","","62095","20","3","0","5146062","","","0"
"1","","","62096","2.6","93","","5146062","","",""
"0209_mid","","","62097","20","3","0","5146062","","","0"
"","","","62098","","92","","5146062","","",""
"0209_out","","","62099","20","3","0","5146062","","","0"
"0","","","62100","0.2","93","","5146062","","",""
"30","","","62101","30","122","","5146062","","","1"
"vo_apg_0210","0","","62102","vo_apg","21","","5146062","","","0"
"0210_in","","","62103","20","3","0","5146062","","","0"
"1","","","62104","2.7","93","","5146062","","",""
"0210_mid","","","62105","20","3","0","5146062","","","0"
"","","","62106","","92","","5146062","","",""
"0210_out","","","62107","20","3","0","5146062","","","0"
"0","","","62108","0.2","93","","5146062","","",""
"0","","","62109","0","22","","5146062","","",""
"empty","","","62110","20","3","0","5146062","","","1"
"","","","62111","1","93","","5146062","","",""
"1","","","62112","11","32","","5146062","","",""
"se_10055900_camera","","","62113","se_10055900","23","","5146062","","","0"
"0","","","62114","0.2","93","","5146062","","",""
"0","","","62115","10","32","","5146062","","",""
"0","","","62116","1.8","93","","5146062","","",""
"0.5","","","62117","se_10055900_coaster_02","24","","5146062","","",""
"iris_out","","","62118","2","37","","5146062","","",""
"-129","0","0","62119","100911","2","","5146062","","","-278"
"-129","0","0","62120","1009","2","","5146062","","","-278"
"129","0","0","62121","131011","2","","5146062","","","-278"
"anna_walk","","","62122","100911","3","0.2","5146062","","","1"
"anna_walk","","","62123","1009","3","0.2","5146062","","","1"
"walk_normal_joy","","","62124","131011","3","0.2","5146062","","","1"
"-290","2","0","62125","100911","2","","5146062","","","-278"
"-290","2","0","62126","1009","2","","5146062","","","-278"
"290","2","0","62127","131011","2","","5146062","","","-278"
"1","","","62128","100911","4","","5146062","","",""
"1","","","62129","1009","4","","5146062","","",""
"0","","","62130","131011","4","","5146062","","",""
"0","","","62131","2","93","","5146062","","",""
"0","","","62132","100911","4","","5146062","","",""
"0","","","62133","1009","4","","5146062","","",""
"1","","","62134","131011","4","","5146062","","",""
"anna_idle","","","62135","100911","3","0.2","5146062","","","1"
"anna_idle","","0","62136","1009","3","0.2","5146062","","","1"
"idle_normal","","","62137","131011","3","0.2","5146062","","","1"
"0","","","62138","0.5","93","","5146062","","",""
"talk_normal_surprise","","","62139","131011","3","0.2","5146062","","","1"
"vo_apg_0211","0","","62140","vo_apg","21","","5146062","","","0"
"妳覺得如何呢？\n發出了很響亮的喊叫聲呢。","1","1","62141","131011","11","0","5146062","0","0","10"
"","","","62142","0","91","","5146062","","",""
"idle_normal_surprise","","","62143","131011","3","0.2","5146062","","","1"
"anna_kukuku_in","anna_kukuku_loop","1","62144","100911","3","0.2","5146062","","0","0"
"anna_kukuku_in","anna_kukuku_loop","1","62145","1009","3","0.2","5146062","","0","0"
"vo_apg_0212","0","","62146","vo_apg","21","","5146062","","","0"
"呵、呵呵呵……吉格魯特啊……\n我也，看得見了……時之刻！","1","1","62147","100911","11","20","5146062","0","0","12"
"","","","62148","0","91","","5146062","","",""
"coaster_2_in","","","62149","21","3","0","5146062","","","0"
"se_10055900_photo","","","62150","se_10055900","23","","5146062","","","0"
"0","","","62151","0.1","93","","5146062","","",""
"anna_ahaha_in","anna_ahaha_loop","1","62152","100911","3","0.2","5146062","","0","0"
"anna_ahaha_in","anna_ahaha_loop","1","62153","1009","3","0.2","5146062","","0","0"
"vo_apg_0213","0","","62154","vo_apg","21","","5146062","","","0"
"此刻，冥姬\n超越了疾風！","1","1","62155","100911","11","-30","5146062","0","0","8"
