493dea6ab6ed6fcebd84f6d313b8638a0f3c245914ff67ab9f3513f1374a5f82,3b93dcb093c83197ad4261c62f921ab742d8200cb26a88736e5652b032f86b11,fd9385eef8bdb93b617cc42fdbf333809b85b532840e61b594c8d19c52b37b9e,2a343595952ff8e1c2567aacfa41ed131ffc6ce45734c42e6a1bf5bda9efacbd,9d31701a46fcecac8149dd6f3b41c555bcccdfcb428e7a0ec605822df99505d3,65d0209de7464e4e3b02d314df4ef5fa11441fd3841bddfc15bbd267abbd38a3,febf730937e26f60815049c33c0dbabd82411f7dc12d5885205818f2d1441fef,45ac3762178a0d9a64dc5ae788dc07dbe49c31de55afb062e0842a6fe79c3ee4,752d8fd9087dd822b4370d3784e8d7d1f3fc2391f6510a6861e6f60a74b9acfc
"1001","100121","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100121"
"1001","100122","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100122"
"1001","100123","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100123"
"1001","100124","3","7","在EXTRA難易度取得20000分","1001","20000","1","100124"
"1001","100125","3","7","在EXTRA難易度取得40000分","1001","40000","1","100125"
"1001","100126","3","7","在EXTRA難易度取得60000分","1001","60000","1","100126"
"1002","100201","0","0","全難易度合計取得10000分","1001","10000","1","100201"
"1002","100202","0","0","全難易度合計取得30000分","1001","30000","1","100202"
"1002","100203","0","0","全難易度合計取得50000分","1001","50000","1","100203"
"1002","100204","0","0","全難易度合計取得70000分","1001","70000","1","100204"
"1002","100205","0","1","全難易度合計取得90000分","1001","90000","1","100205"
"1002","100206","0","1","全難易度合計取得105000分","1001","105000","1","100206"
"1002","100207","0","1","全難易度合計取得120000分","1001","120000","1","100207"
"1002","100208","0","1","全難易度合計取得135000分","1001","135000","1","100208"
"1002","100209","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100209"
"1002","100210","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100210"
"1002","100211","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100211"
"1002","100212","1","3","在NORMAL難易度取得10000分","1001","10000","1","100212"
"1002","100213","1","3","在NORMAL難易度取得20000分","1001","20000","1","100213"
"1002","100214","1","3","在NORMAL難易度取得30000分","1001","30000","1","100214"
"1002","100215","2","4","在HARD1難易度戰鬥1次","1002","0","1","100215"
"1002","100216","2","4","在HARD2難易度戰鬥1次","1003","0","1","100216"
"1002","100217","2","4","在HARD3難易度戰鬥1次","1004","0","1","100217"
"1002","100218","2","5","在HARD難易度取得15000分","1001","15000","1","100218"
"1002","100219","2","5","在HARD難易度取得30000分","1001","30000","1","100219"
"1002","100220","2","5","在HARD難易度取得45000分","1001","45000","1","100220"
"1002","100221","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100221"
"1002","100222","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100222"
"1002","100223","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100223"
"1002","100224","3","7","在EXTRA難易度取得20000分","1001","20000","1","100224"
"1002","100225","3","7","在EXTRA難易度取得40000分","1001","40000","1","100225"
"1002","100226","3","7","在EXTRA難易度取得60000分","1001","60000","1","100226"
"1003","100301","0","0","全難易度合計取得10000分","1001","10000","1","100301"
"1003","100302","0","0","全難易度合計取得30000分","1001","30000","1","100302"
"1003","100303","0","0","全難易度合計取得50000分","1001","50000","1","100303"
"1003","100304","0","0","全難易度合計取得70000分","1001","70000","1","100304"
"1003","100305","0","1","全難易度合計取得90000分","1001","90000","1","100305"
"1003","100306","0","1","全難易度合計取得105000分","1001","105000","1","100306"
"1003","100307","0","1","全難易度合計取得120000分","1001","120000","1","100307"
"1003","100308","0","1","全難易度合計取得135000分","1001","135000","1","100308"
"1003","100309","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100309"
"1003","100310","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100310"
"1003","100311","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100311"
"1003","100312","1","3","在NORMAL難易度取得10000分","1001","10000","1","100312"
"1003","100313","1","3","在NORMAL難易度取得20000分","1001","20000","1","100313"
"1003","100314","1","3","在NORMAL難易度取得30000分","1001","30000","1","100314"
"1003","100315","2","4","在HARD1難易度戰鬥1次","1002","0","1","100315"
"1003","100316","2","4","在HARD2難易度戰鬥1次","1003","0","1","100316"
"1003","100317","2","4","在HARD3難易度戰鬥1次","1004","0","1","100317"
"1003","100318","2","5","在HARD難易度取得15000分","1001","15000","1","100318"
"1003","100319","2","5","在HARD難易度取得30000分","1001","30000","1","100319"
"1003","100320","2","5","在HARD難易度取得45000分","1001","45000","1","100320"
"1003","100321","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100321"
"1003","100322","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100322"
"1003","100323","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100323"
"1003","100324","3","7","在EXTRA難易度取得20000分","1001","20000","1","100324"
"1003","100325","3","7","在EXTRA難易度取得40000分","1001","40000","1","100325"
"1003","100326","3","7","在EXTRA難易度取得60000分","1001","60000","1","100326"
"1004","100401","0","0","全難易度合計取得10000分","1001","10000","1","100401"
"1004","100402","0","0","全難易度合計取得30000分","1001","30000","1","100402"
"1004","100403","0","0","全難易度合計取得50000分","1001","50000","1","100403"
"1004","100404","0","0","全難易度合計取得70000分","1001","70000","1","100404"
"1004","100405","0","1","全難易度合計取得90000分","1001","90000","1","100405"
"1004","100406","0","1","全難易度合計取得105000分","1001","105000","1","100406"
"1004","100407","0","1","全難易度合計取得120000分","1001","120000","1","100407"
"1004","100408","0","1","全難易度合計取得135000分","1001","135000","1","100408"
"1004","100409","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100409"
"1004","100410","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100410"
"1004","100411","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100411"
"1004","100412","1","3","在NORMAL難易度取得10000分","1001","10000","1","100412"
"1004","100413","1","3","在NORMAL難易度取得20000分","1001","20000","1","100413"
"1004","100414","1","3","在NORMAL難易度取得30000分","1001","30000","1","100414"
"1004","100415","2","4","在HARD1難易度戰鬥1次","1002","0","1","100415"
"1004","100416","2","4","在HARD2難易度戰鬥1次","1003","0","1","100416"
"1004","100417","2","4","在HARD3難易度戰鬥1次","1004","0","1","100417"
"1004","100418","2","5","在HARD難易度取得15000分","1001","15000","1","100418"
"1004","100419","2","5","在HARD難易度取得30000分","1001","30000","1","100419"
"1004","100420","2","5","在HARD難易度取得45000分","1001","45000","1","100420"
"1004","100421","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100421"
"1004","100422","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100422"
"1004","100423","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100423"
"1004","100424","3","7","在EXTRA難易度取得20000分","1001","20000","1","100424"
"1004","100425","3","7","在EXTRA難易度取得40000分","1001","40000","1","100425"
"1004","100426","3","7","在EXTRA難易度取得60000分","1001","60000","1","100426"
"1005","100501","0","0","全難易度合計取得10000分","1001","10000","1","100501"
"1005","100502","0","0","全難易度合計取得30000分","1001","30000","1","100502"
"1005","100503","0","0","全難易度合計取得50000分","1001","50000","1","100503"
"1005","100504","0","0","全難易度合計取得70000分","1001","70000","1","100504"
"1005","100505","0","1","全難易度合計取得90000分","1001","90000","1","100505"
"1005","100506","0","1","全難易度合計取得105000分","1001","105000","1","100506"
"1005","100507","0","1","全難易度合計取得120000分","1001","120000","1","100507"
"1005","100508","0","1","全難易度合計取得135000分","1001","135000","1","100508"
"1005","100509","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100509"
"1005","100510","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100510"
"1005","100511","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100511"
"1005","100512","1","3","在NORMAL難易度取得10000分","1001","10000","1","100512"
"1005","100513","1","3","在NORMAL難易度取得20000分","1001","20000","1","100513"
"1005","100514","1","3","在NORMAL難易度取得30000分","1001","30000","1","100514"
"1005","100515","2","4","在HARD1難易度戰鬥1次","1002","0","1","100515"
"1005","100516","2","4","在HARD2難易度戰鬥1次","1003","0","1","100516"
"1005","100517","2","4","在HARD3難易度戰鬥1次","1004","0","1","100517"
"1005","100518","2","5","在HARD難易度取得15000分","1001","15000","1","100518"
"1005","100519","2","5","在HARD難易度取得30000分","1001","30000","1","100519"
"1005","100520","2","5","在HARD難易度取得45000分","1001","45000","1","100520"
"1005","100521","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100521"
"1005","100522","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100522"
"1005","100523","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100523"
"1005","100524","3","7","在EXTRA難易度取得20000分","1001","20000","1","100524"
"1005","100525","3","7","在EXTRA難易度取得40000分","1001","40000","1","100525"
"1005","100526","3","7","在EXTRA難易度取得60000分","1001","60000","1","100526"
"1006","100601","0","0","全難易度合計取得10000分","1001","10000","1","100601"
"1006","100602","0","0","全難易度合計取得30000分","1001","30000","1","100602"
"1006","100603","0","0","全難易度合計取得50000分","1001","50000","1","100603"
"1006","100604","0","0","全難易度合計取得70000分","1001","70000","1","100604"
"1006","100605","0","1","全難易度合計取得90000分","1001","90000","1","100605"
"1006","100606","0","1","全難易度合計取得105000分","1001","105000","1","100606"
"1006","100607","0","1","全難易度合計取得120000分","1001","120000","1","100607"
"1006","100608","0","1","全難易度合計取得135000分","1001","135000","1","100608"
"1006","100609","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100609"
"1006","100610","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100610"
"1006","100611","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100611"
"1006","100612","1","3","在NORMAL難易度取得10000分","1001","10000","1","100612"
"1006","100613","1","3","在NORMAL難易度取得20000分","1001","20000","1","100613"
"1006","100614","1","3","在NORMAL難易度取得30000分","1001","30000","1","100614"
"1006","100615","2","4","在HARD1難易度戰鬥1次","1002","0","1","100615"
"1006","100616","2","4","在HARD2難易度戰鬥1次","1003","0","1","100616"
"1006","100617","2","4","在HARD3難易度戰鬥1次","1004","0","1","100617"
"1006","100618","2","5","在HARD難易度取得15000分","1001","15000","1","100618"
"1006","100619","2","5","在HARD難易度取得30000分","1001","30000","1","100619"
"1006","100620","2","5","在HARD難易度取得45000分","1001","45000","1","100620"
"1006","100621","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100621"
"1006","100622","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100622"
"1006","100623","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100623"
"1006","100624","3","7","在EXTRA難易度取得20000分","1001","20000","1","100624"
"1006","100625","3","7","在EXTRA難易度取得40000分","1001","40000","1","100625"
"1006","100626","3","7","在EXTRA難易度取得60000分","1001","60000","1","100626"
"1007","100701","0","0","全難易度合計取得10000分","1001","10000","1","100701"
"1007","100702","0","0","全難易度合計取得30000分","1001","30000","1","100702"
"1007","100703","0","0","全難易度合計取得50000分","1001","50000","1","100703"
"1007","100704","0","0","全難易度合計取得70000分","1001","70000","1","100704"
"1007","100705","0","1","全難易度合計取得90000分","1001","90000","1","100705"
"1007","100706","0","1","全難易度合計取得105000分","1001","105000","1","100706"
"1007","100707","0","1","全難易度合計取得120000分","1001","120000","1","100707"
"1007","100708","0","1","全難易度合計取得135000分","1001","135000","1","100708"
"1007","100709","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100709"
"1007","100710","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100710"
"1007","100711","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100711"
"1007","100712","1","3","在NORMAL難易度取得10000分","1001","10000","1","100712"
"1007","100713","1","3","在NORMAL難易度取得20000分","1001","20000","1","100713"
"1007","100714","1","3","在NORMAL難易度取得30000分","1001","30000","1","100714"
"1007","100715","2","4","在HARD1難易度戰鬥1次","1002","0","1","100715"
"1007","100716","2","4","在HARD2難易度戰鬥1次","1003","0","1","100716"
"1007","100717","2","4","在HARD3難易度戰鬥1次","1004","0","1","100717"
"1007","100718","2","5","在HARD難易度取得15000分","1001","15000","1","100718"
"1007","100719","2","5","在HARD難易度取得30000分","1001","30000","1","100719"
"1007","100720","2","5","在HARD難易度取得45000分","1001","45000","1","100720"
"1007","100721","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100721"
"1007","100722","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100722"
"1007","100723","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100723"
"1007","100724","3","7","在EXTRA難易度取得20000分","1001","20000","1","100724"
"1007","100725","3","7","在EXTRA難易度取得40000分","1001","40000","1","100725"
"1007","100726","3","7","在EXTRA難易度取得60000分","1001","60000","1","100726"
"1008","100801","0","0","全難易度合計取得10000分","1001","10000","1","100801"
"1008","100802","0","0","全難易度合計取得30000分","1001","30000","1","100802"
"1008","100803","0","0","全難易度合計取得50000分","1001","50000","1","100803"
"1008","100804","0","0","全難易度合計取得70000分","1001","70000","1","100804"
"1008","100805","0","1","全難易度合計取得90000分","1001","90000","1","100805"
"1008","100806","0","1","全難易度合計取得105000分","1001","105000","1","100806"
"1008","100807","0","1","全難易度合計取得120000分","1001","120000","1","100807"
"1008","100808","0","1","全難易度合計取得135000分","1001","135000","1","100808"
"1008","100809","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100809"
"1008","100810","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100810"
"1008","100811","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100811"
"1008","100812","1","3","在NORMAL難易度取得10000分","1001","10000","1","100812"
"1008","100813","1","3","在NORMAL難易度取得20000分","1001","20000","1","100813"
"1008","100814","1","3","在NORMAL難易度取得30000分","1001","30000","1","100814"
"1008","100815","2","4","在HARD1難易度戰鬥1次","1002","0","1","100815"
"1008","100816","2","4","在HARD2難易度戰鬥1次","1003","0","1","100816"
"1008","100817","2","4","在HARD3難易度戰鬥1次","1004","0","1","100817"
"1008","100818","2","5","在HARD難易度取得15000分","1001","15000","1","100818"
"1008","100819","2","5","在HARD難易度取得30000分","1001","30000","1","100819"
"1008","100820","2","5","在HARD難易度取得45000分","1001","45000","1","100820"
"1008","100821","3","6","在EXTRA1難易度戰鬥1次","1002","0","1","100821"
"1008","100822","3","6","在EXTRA2難易度戰鬥1次","1003","0","1","100822"
"1008","100823","3","6","在EXTRA3難易度戰鬥1次","1004","0","1","100823"
"1008","100824","3","7","在EXTRA難易度取得20000分","1001","20000","1","100824"
"1008","100825","3","7","在EXTRA難易度取得40000分","1001","40000","1","100825"
"1008","100826","3","7","在EXTRA難易度取得60000分","1001","60000","1","100826"
