d196984187cdd9ee7fc5f57d23ab7aa23e20c05a977eaff2eb582aeea90d90f5,3a8b5323d93b6162a00ea0ecc291f9db1aa569b2fc3bb2bd625a61ffaa0d373c,7a66202544c95e77954db5ce463670f4329cda305396d8b8f7c278e4acc4374f,b6d97668de3ff65afa141d877a01ddb4f449ef2cf60ece49daad5479b3347631,cb469fa63ba6edf8a5560bab28f6689795f1a02760ff960dd4b52ac6bf1f2ca7,e2844ec47de79c2c2823d400a15693975c8ad897cfb3b58548c053f34a6a405a,ac1a2a994743dc2ff309016508a6e59b99fa03df0bf3fae37b26c7dc5ee4198e,17d473ebee82f0c5baff1d56a8bbd6b2066217d83046698cc87467e85be1b779,c0ba4b8e96e79806b7ad3e7b68cee6d85548b25e8247cd0eb1c55ada173dfd87,da28464f3bc7d2acce4ec603090df8d169c8a7580b0a6572c646a95de3d87bbe,0b78568d7d577d0cbce4a8e35ce7e8240eab79b73e781bf0c7a43d32821ea7b1
"vo_omp_7003","3","","0","","1030020","","21","","0","vo_omp_7003_003"
"112611","3","","1","1","1030021","","11","","10","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？"
"1.5","3","","","","1030022","","93","","","1"
"112611","3","0.2","","","1030023","","3","","1","omp_psn_19"
"1030021","3","","","","1030024","","91","","",""
"112611","3","0","","","1030025","","3","","1","omp_psn_18"
"112411","3","0","","","1030026","","3","","1","omp_talk_joy1"
"vo_omp_7003","3","","0","","1030027","","21","","0","vo_omp_7003_004"
"112411","3","","1","1","1030028","","11","","10","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？"
"0","3","","","","1030029","","91","","",""
"112411","3","0","","","1030030","","3","","1","omp_psn_20"
"112611","3","0","","","1030031","","3","","1","omp_psn_19"
"vo_omp_7003","3","","0","","1030032","","21","","0","vo_omp_7003_005"
"112611","3","","1","1","1030033","","11","","10","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……"
"0","3","","","","1030034","","91","","",""
"112611","3","0","","","1030035","","3","","1","omp_psn_18"
"112411","3","0","","","1030036","","3","","1","omp_talk_joy2"
"vo_omp_7003","3","","0","","1030037","","21","","0","vo_omp_7003_006"
"112411","3","","1","1","1030038","","11","","10","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪"
"0","3","","","","1030039","","91","","",""
"112411","3","0","","","1030040","","3","","1","omp_psn_20"
"112611","3","0","","","1030041","","3","","1","omp_talk_sad"
"vo_omp_7003","3","","0","","1030042","","21","","0","vo_omp_7003_007"
"112611","3","","1","1","1030043","","11","","10","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！"
"6","3","","","","1030044","","93","","","1"
"112611","3","0.2","","","1030045","","3","","1","omp_talk_joy2"
"1030043","3","","","","1030046","","91","","",""
"112611","3","0","","","1030047","","3","","1","omp_idle_joy2"
"112411","3","0","","","1030048","","3","","1","omp_talk_joy2"
"vo_omp_7003","3","","0","","1030049","","21","","0","vo_omp_7003_008"
"112411","3","","1","1","1030050","","11","","10","好的！\n一起加油吧！"
"0","3","","","","1030051","","91","","",""
"0.4","3","","","","1030052","","93","","",""
"1","4","1.8","-180","-195","1040001","0","1","omp_talk_normal","1600","105831"
"1","4","1.8","20","-190","1040002","1","1","omp_idle_normal","1500","105931"
"1","4","1.8","220","-205","1040003","1","1","omp_idle_normal","1600","106031"
"1","4","1","0","1","1040004","","31","","0","1"
"1","4","","","","1040005","","93","","",""
"vo_omp_7004","4","","0","","1040006","","21","","0","vo_omp_7004_000"
"105831","4","","1","1","1040007","","11","","10","機會難得，\n我們要不要也來\n當當看偶像啊？"
"0","4","","","","1040008","","91","","",""
"105831","4","0","","","1040009","","3","","1","omp_idle_normal"
"105931","4","0","","","1040010","","3","","1","omp_talk_normal"
"vo_omp_7004","4","","0","","1040011","","21","","0","vo_omp_7004_001"
"105931","4","","1","1","1040012","","11","","10","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。"
"0","4","","","","1040013","","91","","",""
"105931","4","","","","1040014","","4","","","0"
"105931","4","0","","","1040015","","3","","1","omp_idle_normal"
"106031","4","0","omp_idle_surprise1","1","1040016","","3","","0","omp_surprise"
"vo_omp_7004","4","","0","","1040017","","21","","0","vo_omp_7004_002"
"106031","4","","1","1","1040018","","11","","10","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？"
"2","4","","","","1040019","","93","","","1"
"106031","4","0.1","","","1040020","","3","","1","omp_talk_tsun"
"1040018","4","","","","1040021","","91","","",""
"106031","4","0","","","1040022","","3","","1","omp_talk_tsun"
"vo_omp_7004","4","","0","","1040023","","21","","0","vo_omp_7004_003"
"106031","4","","1","1","1040024","","11","","10","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？"
"0","4","","","","1040025","","91","","",""
"106031","4","0","","","1040026","","3","","1","omp_idle_tsun"
"105931","4","0","","","1040027","","3","","1","omp_talk_worry"
"vo_omp_7004","4","","0","","1040028","","21","","0","vo_omp_7004_004"
"105931","4","","1","1","1040029","","11","","10","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。"
"0","4","","","","1040030","","91","","",""
"105931","4","","","","1040031","","4","","","1"
"105931","4","0","","","1040032","","3","","1","omp_idle_worry"
"105831","4","0","","","1040033","","3","","1","omp_talk_joy1"
"vo_omp_7004","4","","0","","1040034","","21","","0","vo_omp_7004_005"
"105831","4","","1","1","1040035","","11","","10","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！"
"5.5","4","","","","1040036","","93","","","1"
"105831","4","0.2","","","1040037","","3","","0","omp_psn_11"
"1040035","4","","","","1040038","","91","","",""
"105931","4","0","","","1040039","","3","","1","omp_talk_normal"
"vo_omp_7004","4","","0","","1040040","","21","","0","vo_omp_7004_006"
"105931","4","","1","1","1040041","","11","","10","好的♪\n如此這般，耶……！"
"1.5","4","","","","1040042","","93","","","1"
"105931","4","0.2","","1","1040043","","3","","0","omp_psn_11"
"1040041","4","","","","1040044","","91","","",""
"105931","4","","","","1040045","","4","","","0"
"105931","4","0","","","1040046","","3","","1","omp_idle_normal"
"105831","4","0.2","","","1040047","","3","","1","omp_idle_joy1"
"106031","4","0","","","1040048","","3","","1","omp_idle_tsun"
"vo_omp_7004","4","","0","","1040049","","21","","0","vo_omp_7004_007"
"106031","4","","1","1","1040050","","11","","10","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪"
"7","4","","","","1040051","","93","","","1"
"106031","4","0.1","","","1040052","","3","","0","omp_psn_12"
"1.5","4","","","","1040053","","93","","",""
"1040050","4","","","","1040054","","91","","",""
"106031","4","0.2","","","1040055","","3","","1","omp_idle_normal"
"105831","4","0","","","1040056","","3","","1","omp_idle_surprise1"
"vo_omp_7004","4","","0","","1040057","","21","","0","vo_omp_7004_008"
"105831","4","","1","1","1040058","","11","","10","小、小凱留……"
"0","4","","","","1040059","","91","","",""
"105831","4","0","","","1040060","","3","","1","omp_idle_surprise1"
"105931","4","0","","","1040061","","3","","1","omp_talk_sad"
"vo_omp_7004","4","","0","","1040062","","21","","0","vo_omp_7004_009"
"105931","4","","1","1","1040063","","11","","10","您做得非常專業呢。"
"0","4","","","","1040064","","91","","",""
"105931","4","0","","","1040065","","3","","1","omp_idle_sad"
"106031","4","0","omp_talk_surprise2","1","1040066","0.1","3","","0","omp_surprise"
"vo_omp_7004","4","","0","","1040067","","21","","0","vo_omp_7004_010"
"106031","4","","1","1","1040068","","11","","10","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！"
"6.5","4","","","","1040069","","93","","","1"
"106031","4","0.2","","","1040070","","3","","1","omp_talk_tsun"
"1040068","4","","","","1040071","","91","","",""
"0.4","4","","","","1040072","","93","","",""
"1","5","1.8","-140","-190","1050001","0","1","omp_talk_joy1","1500","112611"
"1","5","1.8","140","-190","1050002","1","1","omp_idle_normal","1500","112511"
"1","5","1","0","1","1050003","","31","","0","1"
"1","5","","","","1050004","","93","","",""
"vo_omp_7005","5","","0","","1050005","","21","","0","vo_omp_7005_000"
"112611","5","","1","1","1050006","","11","","10","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！"
"0","5","","","","1050007","","91","","",""
"112611","5","0","","","1050008","","3","","1","omp_idle_joy1"
"112511","5","0","","","1050009","","3","","1","omp_talk_normal"
"vo_omp_7005","5","","0","","1050010","","21","","0","vo_omp_7005_001"
"112511","5","","1","1","1050011","","11","","10","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。"
"0","5","","","","1050012","","91","","",""
"112511","5","0","","","1050013","","3","","1","omp_idle_normal"
"112611","5","0","","","1050014","","3","","1","omp_talk_joy1"
"vo_omp_7005","5","","0","","1050015","","21","","0","vo_omp_7005_002"
"112611","5","","1","1","1050016","","11","","10","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……"
"6.2","5","","","","1050017","","93","","","1"
"112611","5","0.2","","","1050018","","3","","1","omp_talk_thinking"
"1050016","5","","","","1050019","","91","","",""
"112611","5","0","","","1050020","","3","","1","omp_idle_thinking"
"112511","5","0","","","1050021","","3","","1","omp_talk_normal2"
"vo_omp_7005","5","","0","","1050022","","21","","0","vo_omp_7005_003"
"112511","5","","1","1","1050023","","11","","10","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！"
"0","5","","","","1050024","","91","","",""
"112511","5","0","","","1050025","","3","","1","omp_idle_calm"
"112611","5","0.1","","","1050026","","3","","1","omp_talk_sad"
"vo_omp_7005","5","","0","","1050027","","21","","0","vo_omp_7005_004"
"112611","5","","1","1","1050028","","11","","10","澀…澀…"
"0","5","","","","1050029","","91","","",""
"112611","5","0","","","1050030","","3","","1","omp_idle_sad"
"112511","5","0","","","1050031","","3","","1","omp_psn_19"
"vo_omp_7005","5","","0","","1050032","","21","","0","vo_omp_7005_005"
"112511","5","","1","1","1050033","","11","","10","澀…？"
"0","5","","","","1050034","","91","","",""
"112511","5","0","","","1050035","","3","","1","omp_psn_18"
"112611","5","0","","","1050036","","3","","1","omp_talk_sad"
"vo_omp_7005","5","","0","","1050037","","21","","0","vo_omp_7005_006"
"112611","5","","1","1","1050038","","11","","10","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？"
"4.5","5","","","","1050039","","93","","","1"
"112611","5","0.2","","","1050040","","3","","1","omp_talk_surprise2"
"1050038","5","","","","1050041","","91","","",""
"112611","5","0","","","1050042","","3","","1","omp_idle_surprise2"
"112511","5","0","","","1050043","","3","","1","omp_talk_normal"
"vo_omp_7005","5","","0","","1050044","","21","","0","vo_omp_7005_007"
"112511","5","","1","1","1050045","","11","","10","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……"
"3.5","5","","","","1050046","","93","","","1"
"112511","5","0.2","","","1050047","","3","","1","omp_talk_anger"
"1050045","5","","","","1050048","","91","","",""
"112511","5","0","","","1050049","","3","","1","omp_idle_anger"
"112611","5","0","","","1050050","","3","","1","omp_talk_joy1"
"vo_omp_7005","5","","0","","1050051","","21","","0","vo_omp_7005_008"
"112611","5","","1","1","1050052","","11","","10","欸嘿嘿，抱歉抱歉☆"
"0","5","","","","1050053","","91","","",""
"112611","5","0","","","1050054","","3","","1","omp_idle_joy1"
"112511","5","0","","","1050055","","3","","1","omp_talk_sad"
"vo_omp_7005","5","","0","","1050056","","21","","0","vo_omp_7005_009"
"112511","5","","1","1","1050057","","11","","10","真是的。\n……不過，我剛才說的\n都是真心話哦。"
"2","5","","","","1050058","","93","","","1"
"112511","5","0.2","","","1050059","","3","","1","omp_talk_normal"
"1050057","5","","","","1050060","","91","","",""
"112511","5","0","","","1050061","","3","","1","omp_idle_normal"
"112611","5","0","","","1050062","","3","","1","omp_talk_joy2"
"vo_omp_7005","5","","0","","1050063","","21","","0","vo_omp_7005_010"
"112611","5","","1","1","1050064","","11","","10","嗯！\n謝謝妳，澀凜凜！！"
"0","5","","","","1050065","","91","","",""
"0.4","5","","","","1050066","","93","","",""
"1","6","1.8","-180","-195","1060001","0","1","omp_talk_normal","1600","112511"
"1","6","1.8","20","-190","1060002","1","1","omp_idle_normal","1500","112411"
"1","6","1.8","220","-205","1060003","1","1","omp_idle_normal","1600","112611"
"1","6","1","0","1","1060004","","31","","0","1"
"1","6","","","","1060005","","93","","",""
"vo_omp_7006","6","","0","","1060006","","21","","0","vo_omp_7006_000"
"112511","6","","1","1","1060007","","11","","10","卯月……\n今天的練習，\n妳很有幹勁呢。"
"0","6","","","","1060008","","91","","",""
"112511","6","0","","","1060009","","3","","1","omp_idle_normal"
"112611","6","0","","","1060010","","3","","1","omp_talk_joy1"
"vo_omp_7006","6","","0","","1060011","","21","","0","vo_omp_7006_001"
"112611","6","","1","1","1060012","","11","","10","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？"
"0","6","","","","1060013","","91","","",""
"112411","6","","","","1060014","","4","","","0"
"112611","6","0","","","1060015","","3","","1","omp_idle_joy1"
"112411","6","0","","","1060016","","3","","1","omp_talk_joy1"
"vo_omp_7006","6","","0","","1060017","","21","","0","vo_omp_7006_002"
"112411","6","","1","1","1060018","","11","","10","欸嘿嘿，謝謝妳們！\n嗯……"
"0","6","","","","1060019","","91","","",""
"112411","6","0","","","1060020","","3","","1","omp_talk_normal"
"vo_omp_7006","6","","0","","1060021","","21","","0","vo_omp_7006_003"
"112411","6","","1","1","1060022","","11","","10","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。"
"0","6","","","","1060023","","91","","",""
"112411","6","0","","","1060024","","3","","1","omp_talk_thinking"
"vo_omp_7006","6","","0","","1060025","","21","","0","vo_omp_7006_004"
"112411","6","","1","1","1060026","","11","","10","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。"
"0","6","","","","1060027","","91","","",""
"112411","6","0","","","1060028","","3","","1","omp_talk_normal2"
"vo_omp_7006","6","","0","","1060029","","21","","0","vo_omp_7006_005"
"112411","6","","1","1","1060030","","11","","10","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……"
"0","6","","","","1060031","","91","","",""
"112411","6","0","","","1060032","","3","","1","omp_idle_calm"
"112611","6","0","","","1060033","","3","","1","omp_talk_sad"
"vo_omp_7006","6","","0","","1060034","","21","","0","vo_omp_7006_006"
"112611","6","","1","1","1060035","","11","","10","島村村……！"
"0","6","","","","1060036","","91","","",""
"112411","6","","","","1060037","","4","","","1"
"112611","6","0","","","1060038","","3","","1","omp_idle_sad"
"112511","6","0","","","1060039","","3","","1","omp_talk_thinking"
"vo_omp_7006","6","","0","","1060040","","21","","0","vo_omp_7006_007"
"112511","6","","1","1","1060041","","11","","10","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？"
"0","6","","","","1060042","","91","","",""
"112411","6","","","","1060043","","4","","","0"
"112511","6","0","","","1060044","","3","","1","omp_idle_thinking"
"112611","6","0","","","1060045","","3","","1","omp_talk_joy1"
"vo_omp_7006","6","","0","","1060046","","21","","0","vo_omp_7006_008"
"112611","6","","1","1","1060047","","11","","10","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！"
"0","6","","","","1060048","","91","","",""
"112411","6","","","","1060049","","4","","","1"
"112611","6","0","","","1060050","","3","","1","omp_idle_joy1"
"112411","6","0","","","1060051","","3","","1","omp_talk_joy2"
"vo_omp_7006","6","","0","","1060052","","21","","0","vo_omp_7006_009"
"112411","6","","1","1","1060053","","11","","10","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！"
"1.2","6","","","","1060054","","93","","","1"
"112411","6","","","","1060055","","4","","","0"
"1060053","6","","","","1060056","","91","","",""
"112511","6","","0","1","1060057","","2","","-195","-180"
"112411","6","","0","1","1060058","","2","","-190","0"
"112611","6","","0","1","1060059","","2","","-195","180"
"112511","6","0.1","","","1060060","","3","","0","omp_psn_dicision_rin"
"112411","6","0.1","","","1060061","","3","","0","omp_psn_dicision_uduki"
"112611","6","0.1","","","1060062","","3","","0","omp_psn_dicision_mio"
"2","6","1","0","1","1060063","","31","","0","2"
"1060062","6","","","","1060064","","91","","",""
"0.6","6","","","","1060065","","93","","",""
"1","7","1.8","-100","-205","1070001","0","1","omp_idle_normal","1600","105831"
"1","7","1.8","-390","-225","1070002","0","1","omp_idle_normal","1600","105931"
"1","7","1.8","-260","-190","1070003","0","1","omp_idle_normal","1500","106031"
"1","7","1.8","250","-185","1070004","1","1","omp_idle_normal","1500","112511"
"1","7","1.8","385","-220","1070005","1","1","omp_idle_normal","1600","112411"
"1","7","1.8","100","-195","1070006","1","1","omp_idle_normal","1600","112611"
"1","7","1","0","1","1070007","","31","","0","1"
"0.2","7","","","","1070008","","93","","",""
"112611","7","0.1","","","1070009","","3","","1","omp_idle_normal"
"112411","7","0","","","1070010","","3","","1","omp_talk_normal"
"112511","7","0.1","","","1070011","","3","","1","omp_idle_normal"
"105831","7","0.1","","","1070012","","3","","1","omp_idle_normal"
"0.1","7","","","","1070013","","93","","",""
"1","7","","","","1070014","","93","","",""
"vo_omp_7007","7","","0","","1070015","","21","","0","vo_omp_7007_000"
"112411","7","","1","1","1070016","","11","","10","現在想想……一開始的\n快閃演唱會實在是很緊張呢。"
"0","7","","","","1070017","","91","","",""
"112411","7","0.1","","","1070018","","3","","1","omp_idle_normal"
"105831","7","0.1","","","1070019","","3","","1","omp_talk_normal"
"vo_omp_7007","7","","0","","1070020","","21","","0","vo_omp_7007_001"
"105831","7","","1","1","1070021","","11","","10","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～"
"0","7","","","","1070022","","91","","",""
"105831","7","0","","","1070023","","3","","1","omp_idle_normal"
"105931","7","0","","","1070024","","3","","1","omp_talk_worry"
"vo_omp_7007","7","","0","","1070025","","21","","0","vo_omp_7007_002"
"105931","7","","1","1","1070026","","11","","10","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……"
"0","7","","","","1070027","","91","","",""
"105931","7","0","","","1070028","","3","","1","omp_idle_worry"
"106031","7","0","","","1070029","","3","","1","omp_talk_normal"
"vo_omp_7007","7","","0","","1070030","","21","","0","vo_omp_7007_003"
"106031","7","","1","1","1070031","","11","","10","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！"
"0","7","","","","1070032","","91","","",""
"106031","7","0","","","1070033","","3","","1","omp_idle_normal"
"112611","7","0","","","1070034","","3","","1","omp_talk_worry"
"vo_omp_7007","7","","0","","1070035","","21","","0","vo_omp_7007_004"
"112611","7","","1","1","1070036","","11","","10","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～"
"0","7","","","","1070037","","91","","",""
"112611","7","0","","","1070038","","3","","1","omp_idle_worry"
"105931","7","0","","","1070039","","3","","1","omp_talk_normal2"
"vo_omp_7007","7","","0","","1070040","","21","","0","vo_omp_7007_005"
"105931","7","","1","1","1070041","","11","","10","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。"
"0","7","","","","1070042","","91","","",""
"105931","7","0","","","1070043","","3","","1","omp_idle_calm"
"112511","7","0","","","1070044","","3","","1","omp_talk_normal2"
"vo_omp_7007","7","","0","","1070045","","21","","0","vo_omp_7007_006"
"112511","7","","1","1","1070046","","11","","10","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。"
"0","7","","","","1070047","","91","","",""
"112511","7","0","","","1070048","","3","","1","omp_idle_calm"
