21ef62196f79f4bca76b3943dc19e9a321110ec640e562f8b6ee540c021e3a9a,71e284122b0207a303803deb12d032af17c3621b38d9883a5e6af7515d59468c,89b03ae98fcec0120e48e0e18efbdef77e5795fb274e8ea24665594d3dc236e0,5038e8dd4f5229cb79e2e37f301274de4ad51796ee5306a0fa123f3e9f8da33e,30c458e40ee3cc72c30748c27b43e80e7f913c9acd5db1da92529e21bf832452,f1489da4246608e08e1f0c314254f459ce81b88d72e9ff73ab1efe71a2ffafcc,c1f0ce18dc8cf121a5c17fb15f916666090f953d646f6aea35d176b7147f6542,779b3577da5884e551a6c72c67c05830a3bf84e833207563144666662c1e78f6,ffb60e8e49f01a07d5729a44519b46c2bff50edd88d5f83f20d7c71269b65075,c065ad29a87051825832b548ec4c217aa57331ed09ee186637885b8dbaed8fdb,92cf009f7cc49f033056c68b70c466ff3d4652b8dd0d3145fbcc1fa1e95c9bcf,676edecb737dabf5e83920c9ab72ea44af3133fef07b5a8d80fa4270360c9352,5b146b6efca45755a37ced8a2836989961ef93b332341c62cf4c4a0d0b393b32,57dca58aa7605a374007d56ab580d109045a62d4d6a3120617116f8c762fa417,a5eba1bb8786fba9fa8f729c7d2bbe8acad3546e15b272bd1ee53277b60abe12,72b11922dbadeedb8cbbff5bd78fce47b919389eba691320746681be449fb36b,dc2d17189c17bb53fc1a14ae6ceec619285d05c5706a039fff8cc8b887fb2d0a,7becec8150635b0754d2ef2eb2541e05e85796d22874cd16ee96403dca05cfec,760c89d6be0e4a99bd1369977f2d08e2c67a2dea1f3b31984cf494078fe6079a,f84fe22cdf5987625552dd40da85be0f86f326daceb6b3ebe55d83320dff0b2e,97b8395745501209e5de618b05ce9a7b55fd292f0538df676795d63cb66c7f72,fae8a4e166bd50929e65d0bd6f03afe26aca5b0e59a84c911d1c615eca048223,44a7e9ecb6f924c7056a663e4f80bc2d3ebdc94fc7df2ab9933d37ee53b96a4e,e10edb69057e6d14de993f00ee16f860e9286bc8a28104fc25852f0351ca6780,e77ea1382fdf0b7c9c4a1b55e1e8cac8a79458907d6168f69ffcb5fa7c86ed00,bf34dc13859d38227fde653e2a3f8583e9a72a2e0718fb5c37eae51700ed64c0,79f58839ebf62d5524e07c0481c12f151832c7edf74b6e7feb956b1dbb475681,3997b645c8b25d4eeced67cc55e3816f91e1712db6bc029bb4c91cd2fac15672,ef63782896792c4bea2e50b6d80de4fda024af0204132a0aafb57b7bd7bf8d7c,365b987c1a9306e19baf5a04c72df68352675914e0db5ce0a2ac42dc90741c14,1e80bb4c61ea0ec5f82e789cb7170a7ec9e9d17df61ececfc73e18e811b1c4c1,1b61189d0e452596770a4eb6834227827e6231edd2f40b0eed7cc1dd14b51465,96f1a51d6dee6b88f4df78335eb1ca5ef7456e256b8ac3a94f95e4997d237385,28a29a8f0dc61b06c185591fdde8e4605bb64639929d9e6b32056a13a640b3b0,290d16c88f47aaa6e6645c018463c5150d27fe13a94090d1cab4e442a8a07e11,d2fcb889d41f3cd40e5b52a47773131755cf07a105a62a562904e4d7a6ef68ad,cfdf4d07399e78dc79fc0e31cb8c1cdb4656ee5c6c5c7a3f541cf52b120ce484,cf0ae9271cef2d394deb8a87c02b898c9724b0e65f7f1894787f5327f912e58c,6f8cd3b84ace3bdb12bffb3692157480d50abf10c9e6780e7475d73f4f09abde,54572feca8b5d3863c2605c58e78aa121cc288681c3ce81804330deaea0798bc
"20","1","20","0","0","20","10","20","20","20","20","1563","670010020","20","30","20","0","200100","0","20","0","0","200000006","0","20","0","20","16","0","186","20","13","20","0","20","1","20","10","1","20"
"21","1","21","0","0","21","10","21","21","21","21","1784","670010021","21","30","21","0","200100","0","21","0","0","200000006","0","21","0","21","18","0","206","21","15","21","0","21","1","21","10","1","21"
"22","1","22","0","0","22","10","22","22","22","22","2005","670010022","22","30","22","0","200100","0","22","0","0","200000006","0","22","0","22","20","0","225","22","17","22","0","22","1","22","10","1","22"
"23","1","23","0","0","23","10","23","23","23","23","2225","670010023","23","30","23","0","200100","0","23","0","0","200000006","0","23","0","23","21","0","245","23","18","23","0","23","1","23","10","1","23"
"24","1","24","0","0","24","10","24","24","24","24","2446","670010024","24","30","24","0","200100","0","24","0","0","200000006","0","24","0","24","23","0","264","24","20","24","0","24","1","24","10","1","24"
"25","1","25","0","0","25","10","25","25","25","25","2701","670010025","25","30","25","0","200100","0","25","0","0","200000006","0","25","0","25","24","0","267","25","21","25","0","25","1","25","10","1","25"
"26","1","26","0","0","26","10","26","26","26","26","2956","670010026","26","30","26","0","200100","0","26","0","0","200000006","0","26","0","26","24","0","269","26","21","26","0","26","1","26","10","1","26"
"27","1","27","0","0","27","10","27","27","27","27","3211","670010027","27","30","27","0","200100","0","27","0","0","200000006","0","27","0","27","24","0","289","27","21","27","0","27","1","27","10","1","27"
"28","1","28","0","0","28","10","28","28","28","28","3466","670010028","28","30","28","0","200100","0","28","0","0","200000006","0","28","0","28","25","0","309","28","21","28","0","28","1","28","10","1","28"
"29","1","29","0","0","29","10","29","29","29","29","3721","670010029","29","30","29","0","200100","0","29","0","0","200000006","0","29","0","29","25","0","330","29","22","29","0","29","1","29","10","1","29"
"30","1","30","0","0","30","10","30","30","30","30","3976","670010030","30","30","30","0","200100","0","30","0","0","200000006","0","30","0","30","25","0","350","30","22","30","0","30","1","30","10","1","30"
"31","1","31","0","0","31","10","31","31","31","31","4232","670010031","31","30","31","0","200100","0","31","0","0","200000006","0","31","0","31","26","0","370","31","22","31","0","31","1","31","10","1","31"
"32","1","32","0","0","32","10","32","32","32","32","4487","670010032","32","30","32","0","200100","0","32","0","0","200000006","0","32","0","32","26","0","390","32","22","32","0","32","1","32","10","1","32"
"33","1","33","0","0","33","10","33","33","33","33","4742","670010033","33","30","33","0","200100","0","33","0","0","200000006","0","33","0","33","26","0","410","33","22","33","0","33","1","33","10","1","33"
"34","1","34","0","0","34","10","34","34","34","34","4997","670010034","34","30","34","0","200100","0","34","0","0","200000006","0","34","0","34","26","0","431","34","23","34","0","34","1","34","10","1","34"
"35","1","35","0","0","35","10","35","35","35","35","5252","670010035","35","30","35","0","200100","0","35","0","0","200000006","0","35","0","35","27","0","451","35","23","35","0","35","1","35","10","1","35"
"36","1","36","0","0","36","10","36","36","36","36","5507","670010036","36","30","36","0","200100","0","36","0","0","200000006","0","36","0","36","27","0","471","36","23","36","0","36","1","36","10","1","36"
"37","1","37","0","0","37","10","37","37","37","37","5667","670010037","37","30","37","0","200100","0","37","0","0","200000006","0","37","0","37","31","0","516","37","27","37","0","37","1","37","10","1","37"
"38","1","38","0","0","38","10","38","38","38","38","5826","670010038","38","30","38","0","200100","0","38","0","0","200000006","0","38","0","38","35","0","562","38","31","38","0","38","1","38","10","1","38"
"39","1","39","0","0","39","10","39","39","39","39","5986","670010039","39","30","39","0","200100","0","39","0","0","200000006","0","39","0","39","39","0","607","39","35","39","0","39","1","39","10","1","39"
"40","1","40","0","0","40","10","40","40","40","40","7437","670010040","40","30","40","0","200100","0","40","0","0","200000006","0","40","0","40","40","0","712","40","36","40","0","40","1","40","10","1","40"
"41","1","41","0","0","41","10","41","41","41","41","8888","670010041","41","30","41","0","200100","0","41","0","0","200000006","0","41","0","41","40","0","816","41","36","41","0","41","1","41","10","1","41"
"42","1","42","0","0","42","10","42","42","42","42","9321","670010042","42","30","42","0","200100","0","42","0","0","200000006","0","42","0","42","41","0","913","42","36","42","0","42","1","42","10","1","42"
"43","1","43","0","0","43","10","43","43","43","43","9754","670010043","43","30","43","0","200100","0","43","0","0","200000006","0","43","0","43","41","0","1010","43","36","43","0","43","1","43","10","1","43"
"44","1","44","0","0","44","10","44","44","44","44","10008","670010044","44","30","44","0","200100","0","44","0","0","200000006","0","44","0","44","45","0","1079","44","38","44","0","44","1","44","10","1","44"
"45","1","45","0","0","45","10","45","45","45","45","10263","670010045","45","30","45","0","200100","0","45","0","0","200000006","0","45","0","45","49","0","1148","45","41","45","0","45","1","45","10","1","45"
"46","1","46","0","0","46","10","46","46","46","46","10517","670010046","46","30","46","0","200100","0","46","0","0","200000006","0","46","0","46","53","0","1217","46","43","46","0","46","1","46","10","1","46"
"47","1","47","0","0","47","10","47","47","47","47","10771","670010047","47","30","47","0","200100","0","47","0","0","200000006","0","47","0","47","57","0","1286","47","45","47","0","47","1","47","10","1","47"
"48","1","48","0","0","48","10","48","48","48","48","11026","670010048","48","30","48","0","200100","0","48","0","0","200000006","0","48","0","48","61","0","1355","48","48","48","0","48","1","48","10","1","48"
"49","1","49","0","0","49","10","49","49","49","49","11280","670010049","49","30","49","0","200100","0","49","0","0","200000006","0","49","0","49","65","0","1424","49","50","49","0","49","1","49","10","1","49"
"50","1","50","0","0","50","10","50","50","50","50","11534","670010050","50","30","50","0","200100","0","50","0","0","200000006","0","50","0","50","69","0","1493","50","52","50","0","50","1","50","10","1","50"
"51","1","51","0","0","51","10","51","51","51","51","11789","670010051","51","30","51","0","200100","0","51","0","0","200000006","0","51","0","51","73","0","1562","51","55","51","0","51","1","51","10","1","51"
"52","1","52","0","0","52","10","52","52","52","52","12043","670010052","52","30","52","0","200100","0","52","0","0","200000006","0","52","0","52","77","0","1632","52","57","52","0","52","1","52","10","1","52"
"53","1","53","0","0","53","10","53","53","53","53","12297","670010053","53","30","53","0","200100","0","53","0","0","200000006","0","53","0","53","81","0","1701","53","59","53","0","53","1","53","10","1","53"
"54","1","54","0","0","54","10","54","54","54","54","12552","670010054","54","30","54","0","200100","0","54","0","0","200000006","0","54","0","54","85","0","1770","54","62","54","0","54","1","54","10","1","54"
"55","1","55","0","0","55","10","55","55","55","55","12806","670010055","55","30","55","0","200100","0","55","0","0","200000006","0","55","0","55","89","0","1839","55","64","55","0","55","1","55","10","1","55"
"56","1","56","0","0","56","10","56","56","56","56","13060","670010056","56","30","56","0","200100","0","56","0","0","200000006","0","56","0","56","93","0","1908","56","66","56","0","56","1","56","10","1","56"
"57","1","57","0","0","57","10","57","57","57","57","13315","670010057","57","30","57","0","200100","0","57","0","0","200000006","0","57","0","57","97","0","1977","57","69","57","0","57","1","57","10","1","57"
"58","1","58","0","0","58","10","58","58","58","58","13569","670010058","58","30","58","0","200100","0","58","0","0","200000006","0","58","0","58","101","0","2046","58","71","58","0","58","1","58","10","1","58"
"59","1","59","0","0","59","10","59","59","59","59","13823","670010059","59","30","59","0","200100","0","59","0","0","200000006","0","59","0","59","105","0","2115","59","73","59","0","59","1","59","10","1","59"
"60","1","60","0","0","60","10","60","60","60","60","14078","670010060","60","30","60","0","200100","0","60","0","0","200000006","0","60","0","60","109","0","2184","60","76","60","0","60","1","60","10","1","60"
"61","1","61","0","0","61","10","61","61","61","61","14332","670010061","61","30","61","0","200100","0","61","0","0","200000006","0","61","0","61","113","0","2253","61","78","61","0","61","1","61","10","1","61"
"62","1","62","0","0","62","10","62","62","62","62","15514","670010062","62","30","62","0","200100","0","62","0","0","200000006","0","62","0","62","113","0","2280","62","79","62","0","62","1","62","10","1","62"
"63","1","63","0","0","63","10","63","63","63","63","16696","670010063","63","30","63","0","200100","0","63","0","0","200000006","0","63","0","63","114","0","2306","63","79","63","0","63","1","63","10","1","63"
"64","1","64","0","0","64","10","64","64","64","64","17878","670010064","64","30","64","0","200100","0","64","0","0","200000006","0","64","0","64","114","0","2333","64","80","64","0","64","1","64","10","1","64"
"65","1","65","0","0","65","10","65","65","65","65","19060","670010065","65","30","65","0","200100","0","65","0","0","200000006","0","65","0","65","114","0","2359","65","81","65","0","65","1","65","10","1","65"
"66","1","66","0","0","66","10","66","66","66","66","20242","670010066","66","30","66","0","200100","0","66","0","0","200000006","0","66","0","66","115","0","2386","66","82","66","0","66","1","66","10","1","66"
"67","1","67","0","0","67","10","67","67","67","67","21425","670010067","67","30","67","0","200100","0","67","0","0","200000006","0","67","0","67","115","0","2412","67","82","67","0","67","1","67","10","1","67"
"68","1","68","0","0","68","10","68","68","68","68","22607","670010068","68","30","68","0","200100","0","68","0","0","200000006","0","68","0","68","115","0","2439","68","83","68","0","68","1","68","10","1","68"
"69","1","69","0","0","69","10","69","69","69","69","23789","670010069","69","30","69","0","200100","0","69","0","0","200000006","0","69","0","69","116","0","2466","69","84","69","0","69","1","69","10","1","69"
"70","1","70","0","0","70","10","70","70","70","70","24971","670010070","70","30","70","0","200100","0","70","0","0","200000006","0","70","0","70","116","0","2492","70","85","70","0","70","1","70","10","1","70"
"71","1","71","0","0","71","10","71","71","71","71","26153","670010071","71","30","71","0","200100","0","71","0","0","200000006","0","71","0","71","116","0","2519","71","85","71","0","71","1","71","10","1","71"
"1","1","1","0","0","1","10","1","1","1","1","924","670020001","1","30","1","0","200200","0","1","0","0","200000001","0","1","0","1","8","0","108","1","10","1","0","1","1","1","10","1","1"
"2","1","2","0","0","2","10","2","2","2","2","927","670020002","2","30","2","0","200200","0","2","0","0","200000001","0","2","0","2","8","0","111","2","10","2","0","2","1","2","10","1","2"
"3","1","3","0","0","3","10","3","3","3","3","930","670020003","3","30","3","0","200200","0","3","0","0","200000001","0","3","0","3","8","0","114","3","10","3","0","3","1","3","10","1","3"
"4","1","4","0","0","4","10","4","4","4","4","933","670020004","4","30","4","0","200200","0","4","0","0","200000001","0","4","0","4","9","0","117","4","11","4","0","4","1","4","10","1","4"
"5","1","5","0","0","5","10","5","5","5","5","936","670020005","5","30","5","0","200200","0","5","0","0","200000001","0","5","0","5","9","0","120","5","11","5","0","5","1","5","10","1","5"
"6","1","6","0","0","6","10","6","6","6","6","939","670020006","6","30","6","0","200200","0","6","0","0","200000001","0","6","0","6","9","0","123","6","11","6","0","6","1","6","10","1","6"
"7","1","7","0","0","7","10","7","7","7","7","942","670020007","7","30","7","0","200200","0","7","0","0","200000001","0","7","0","7","10","0","126","7","12","7","0","7","1","7","10","1","7"
"8","1","8","0","0","8","10","8","8","8","8","945","670020008","8","30","8","0","200200","0","8","0","0","200000001","0","8","0","8","10","0","129","8","12","8","0","8","1","8","10","1","8"
"9","1","9","0","0","9","10","9","9","9","9","948","670020009","9","30","9","0","200200","0","9","0","0","200000001","0","9","0","9","10","0","132","9","12","9","0","9","1","9","10","1","9"
"10","1","10","0","0","10","10","10","10","10","10","951","670020010","10","30","10","0","200200","0","10","0","0","200000001","0","10","0","10","11","0","135","10","13","10","0","10","1","10","10","1","10"
"11","1","11","0","0","11","10","11","11","11","11","954","670020011","11","30","11","0","200200","0","11","0","0","200000001","0","11","0","11","11","0","138","11","13","11","0","11","1","11","10","1","11"
"12","1","12","0","0","12","10","12","12","12","12","957","670020012","12","30","12","0","200200","0","12","0","0","200000001","0","12","0","12","11","0","141","12","13","12","0","12","1","12","10","1","12"
"13","1","13","0","0","13","10","13","13","13","13","960","670020013","13","30","13","0","200200","0","13","0","0","200000001","0","13","0","13","12","0","144","13","14","13","0","13","1","13","10","1","13"
"14","1","14","0","0","14","10","14","14","14","14","963","670020014","14","30","14","0","200200","0","14","0","0","200000001","0","14","0","14","12","0","147","14","14","14","0","14","1","14","10","1","14"
"15","1","15","0","0","15","10","15","15","15","15","966","670020015","15","30","15","0","200200","0","15","0","0","200000001","0","15","0","15","13","0","151","15","15","15","0","15","1","15","10","1","15"
"16","1","16","0","0","16","10","16","16","16","16","1322","670020016","16","30","16","0","200200","0","16","0","0","200000001","0","16","0","16","13","0","175","16","15","16","0","16","1","16","10","1","16"
"17","1","17","0","0","17","10","17","17","17","17","1678","670020017","17","30","17","0","200200","0","17","0","0","200000001","0","17","0","17","13","0","199","17","15","17","0","17","1","17","10","1","17"
"18","1","18","0","0","18","10","18","18","18","18","1884","670020018","18","30","18","0","200200","0","18","0","0","200000001","0","18","0","18","13","0","207","18","15","18","0","18","1","18","10","1","18"
"19","1","19","0","0","19","10","19","19","19","19","2090","670020019","19","30","19","0","200200","0","19","0","0","200000001","0","19","0","19","14","0","215","19","16","19","0","19","1","19","10","1","19"
"20","1","20","0","0","20","10","20","20","20","20","2296","670020020","20","30","20","0","200200","0","20","0","0","200000001","0","20","0","20","14","0","223","20","16","20","0","20","1","20","10","1","20"
"21","1","21","0","0","21","10","21","21","21","21","2377","670020021","21","30","21","0","200200","0","21","0","0","200000001","0","21","0","21","14","0","237","21","17","21","0","21","1","21","10","1","21"
"22","1","22","0","0","22","10","22","22","22","22","2458","670020022","22","30","22","0","200200","0","22","0","0","200000001","0","22","0","22","14","0","251","22","17","22","0","22","1","22","10","1","22"
"23","1","23","0","0","23","10","23","23","23","23","2658","670020023","23","30","23","0","200200","0","23","0","0","200000001","0","23","0","23","14","0","251","23","17","23","0","23","1","23","10","1","23"
"24","1","24","0","0","24","10","24","24","24","24","2829","670020024","24","30","24","0","200200","0","24","0","0","200000001","0","24","0","24","16","0","268","24","19","24","0","24","1","24","10","1","24"
"25","1","25","0","0","25","10","25","25","25","25","2999","670020025","25","30","25","0","200200","0","25","0","0","200000001","0","25","0","25","18","0","285","25","21","25","0","25","1","25","10","1","25"
"26","1","26","0","0","26","10","26","26","26","26","3170","670020026","26","30","26","0","200200","0","26","0","0","200000001","0","26","0","26","19","0","302","26","24","26","0","26","1","26","10","1","26"
"27","1","27","0","0","27","10","27","27","27","27","3340","670020027","27","30","27","0","200200","0","27","0","0","200000001","0","27","0","27","21","0","319","27","26","27","0","27","1","27","10","1","27"
"28","1","28","0","0","28","10","28","28","28","28","3511","670020028","28","30","28","0","200200","0","28","0","0","200000001","0","28","0","28","23","0","336","28","28","28","0","28","1","28","10","1","28"
"29","1","29","0","0","29","10","29","29","29","29","4632","670020029","29","30","29","0","200200","0","29","0","0","200000001","0","29","0","29","23","0","380","29","29","29","0","29","1","29","10","1","29"
"30","1","30","0","0","30","10","30","30","30","30","4717","670020030","30","30","30","0","200200","0","30","0","0","200000001","0","30","0","30","23","0","412","30","29","30","0","30","1","30","10","1","30"
"31","1","31","0","0","31","10","31","31","31","31","4802","670020031","31","30","31","0","200200","0","31","0","0","200000001","0","31","0","31","23","0","443","31","28","31","0","31","1","31","10","1","31"
"32","1","32","0","0","32","10","32","32","32","32","4887","670020032","32","30","32","0","200200","0","32","0","0","200000001","0","32","0","32","23","0","432","32","28","32","0","32","1","32","10","1","32"
"33","1","33","0","0","33","10","33","33","33","33","4972","670020033","33","30","33","0","200200","0","33","0","0","200000001","0","33","0","33","23","0","420","33","28","33","0","33","1","33","10","1","33"
"34","1","34","0","0","34","10","34","34","34","34","5985","670020034","34","30","34","0","200200","0","34","0","0","200000001","0","34","0","34","24","0","499","34","28","34","0","34","1","34","10","1","34"
"35","1","35","0","0","35","10","35","35","35","35","6241","670020035","35","30","35","0","200200","0","35","0","0","200000001","0","35","0","35","27","0","525","35","32","35","0","35","1","35","10","1","35"
"36","1","36","0","0","36","10","36","36","36","36","6497","670020036","36","30","36","0","200200","0","36","0","0","200000001","0","36","0","36","30","0","550","36","36","36","0","36","1","36","10","1","36"
"37","1","37","0","0","37","10","37","37","37","37","6752","670020037","37","30","37","0","200200","0","37","0","0","200000001","0","37","0","37","32","0","576","37","39","37","0","37","1","37","10","1","37"
"38","1","38","0","0","38","10","38","38","38","38","7008","670020038","38","30","38","0","200200","0","38","0","0","200000001","0","38","0","38","35","0","601","38","43","38","0","38","1","38","10","1","38"
"39","1","39","0","0","39","10","39","39","39","39","7387","670020039","39","30","39","0","200200","0","39","0","0","200000001","0","39","0","39","33","0","671","39","42","39","0","39","1","39","10","1","39"
"40","1","40","0","0","40","10","40","40","40","40","8119","670020040","40","30","40","0","200200","0","40","0","0","200000001","0","40","0","40","35","0","679","40","44","40","0","40","1","40","10","1","40"
"41","1","41","0","0","41","10","41","41","41","41","9635","670020041","41","30","41","0","200200","0","41","0","0","200000001","0","41","0","41","37","0","729","41","46","41","0","41","1","41","10","1","41"
"42","1","42","0","0","42","10","42","42","42","42","11151","670020042","42","30","42","0","200200","0","42","0","0","200000001","0","42","0","42","38","0","778","42","47","42","0","42","1","42","10","1","42"
"43","1","43","0","0","43","10","43","43","43","43","11476","670020043","43","30","43","0","200200","0","43","0","0","200000001","0","43","0","43","38","0","790","43","47","43","0","43","1","43","10","1","43"
"44","1","44","0","0","44","10","44","44","44","44","11802","670020044","44","30","44","0","200200","0","44","0","0","200000001","0","44","0","44","39","0","802","44","47","44","0","44","1","44","10","1","44"
"45","1","45","0","0","45","10","45","45","45","45","12127","670020045","45","30","45","0","200200","0","45","0","0","200000001","0","45","0","45","39","0","814","45","47","45","0","45","1","45","10","1","45"
"46","1","46","0","0","46","10","46","46","46","46","13833","670020046","46","30","46","0","200200","0","46","0","0","200000001","0","46","0","46","40","0","971","46","48","46","0","46","1","46","10","1","46"
"47","1","47","0","0","47","10","47","47","47","47","15539","670020047","47","30","47","0","200200","0","47","0","0","200000001","0","47","0","47","40","0","1128","47","49","47","0","47","1","47","10","1","47"
"48","1","48","0","0","48","10","48","48","48","48","17245","670020048","48","30","48","0","200200","0","48","0","0","200000001","0","48","0","48","41","0","1284","48","50","48","0","48","1","48","10","1","48"
"49","1","49","0","0","49","10","49","49","49","49","18951","670020049","49","30","49","0","200200","0","49","0","0","200000001","0","49","0","49","41","0","1441","49","51","49","0","49","1","49","10","1","49"
