f4c8ff51ac8c8f4b4ba3d329fefbb84b2261ae796fc10f9fe58a8571d1d3a330,869035e9351346c3d8e00eb40d6f88e4c747e618a9f68568b52aa85743bd15fa,97d02f981fb4176be4bb8fb8e42423d6fa7e2af933cd43ae672ba1f1e95ff851,15d0303059c6298b9fe9982ba9bd5d4ac5eb0c9890b74ab960ff58cfa8733e1d,e37806c93bb259c1523ba07564e6368125b36891ce29c6b79ca25e809fdbed5b
"boss_magic_def_lower_limit","75000009","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000904"
"9","75000009","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000905"
"boss_tp_down_cut","75000009","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000906"
"18","75000010","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500001001"
"17","75000010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500001002"
"boss_def_lower_limit","75000010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500001003"
"boss_magic_def_lower_limit","75000010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500001004"
"9","75000010","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500001005"
"boss_tp_down_cut","75000010","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500001006"
"18","75000011","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500001101"
"17","75000011","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500001102"
"boss_def_lower_limit","75000011","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500001103"
"boss_magic_def_lower_limit","75000011","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500001104"
"9","75000011","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500001105"
"boss_tp_down_cut","75000011","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","500001106"
"18","75000012","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500001201"
"17","75000012","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500001202"
"boss_def_lower_limit","75000012","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500001203"
"boss_magic_def_lower_limit","75000012","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500001204"
"9","75000012","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500001205"
"boss_tp_down_cut","75000012","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500001206"
"18","76010001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000101"
"17","76010001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000102"
"boss_def_lower_limit","76010001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000103"
"boss_magic_def_lower_limit","76010001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000104"
"9","76010001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000105"
"boss_tp_down_cut","76010001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000106"
"18","76010002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000201"
"17","76010002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000202"
"boss_def_lower_limit","76010002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000203"
"boss_magic_def_lower_limit","76010002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000204"
"9","76010002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000205"
"boss_tp_down_cut","76010002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","601000206"
"18","76010003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000301"
"17","76010003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000302"
"boss_def_lower_limit","76010003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000303"
"boss_magic_def_lower_limit","76010003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000304"
"9","76010003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000305"
"boss_tp_down_cut","76010003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000306"
"18","76010004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000401"
"17","76010004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000402"
"boss_def_lower_limit","76010004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000403"
"boss_magic_def_lower_limit","76010004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000404"
"9","76010004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000405"
"boss_tp_down_cut","76010004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","601000406"
"18","76010005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000501"
"17","76010005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000502"
"boss_def_lower_limit","76010005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000503"
"boss_magic_def_lower_limit","76010005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000504"
"9","76010005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000505"
"boss_tp_down_cut","76010005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000506"
"33","76010006","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","601000601"
"25","76010006","戰鬥中，發動「戰鬥中提升持續物理攻擊力」、「戰鬥中提升持續魔法攻擊力」效果。","危險領域","601000602"
"18","76010006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000603"
"17","76010006","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000604"
"boss_def_lower_limit","76010006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000605"
"boss_magic_def_lower_limit","76010006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000606"
"9","76010006","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000607"
"boss_tp_down_cut","76010006","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000608"
"boss_atk_up","76010006","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","601000609"
"34","76010006","戰鬥開始後每隔一定時間，全體怪物的魔法攻擊力中幅度提升。","戰鬥中提升持續魔法攻擊力","601000610"
"33","76010007","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","601000701"
"25","76010007","戰鬥中，發動「戰鬥中提升持續物理攻擊力」、「戰鬥中提升持續魔法攻擊力」效果。","危險領域","601000702"
"18","76010007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000703"
"17","76010007","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000704"
"boss_def_lower_limit","76010007","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000705"
"boss_magic_def_lower_limit","76010007","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000706"
"9","76010007","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000707"
"boss_tp_down_cut","76010007","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000708"
"boss_atk_up","76010007","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","601000709"
"34","76010007","戰鬥開始後每隔一定時間，全體怪物的魔法攻擊力中幅度提升。","戰鬥中提升持續魔法攻擊力","601000710"
"33","76010008","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","601000801"
"25","76010008","戰鬥中，發動「戰鬥中提升持續物理攻擊力」、「戰鬥中提升持續魔法攻擊力」效果。","危險領域","601000802"
"18","76010008","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000803"
"17","76010008","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000804"
"boss_def_lower_limit","76010008","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000805"
"boss_magic_def_lower_limit","76010008","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000806"
"9","76010008","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000807"
"boss_tp_down_cut","76010008","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000808"
"boss_atk_up","76010008","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","601000809"
"34","76010008","戰鬥開始後每隔一定時間，全體怪物的魔法攻擊力中幅度提升。","戰鬥中提升持續魔法攻擊力","601000810"
"33","76010009","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","601000901"
"25","76010009","戰鬥中，發動「戰鬥中提升持續物理攻擊力」、「戰鬥中提升持續魔法攻擊力」效果。","危險領域","601000902"
"18","76010009","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000903"
"17","76010009","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000904"
"boss_def_lower_limit","76010009","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000905"
"boss_magic_def_lower_limit","76010009","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000906"
"9","76010009","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000907"
"boss_tp_down_cut","76010009","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000908"
"boss_atk_up","76010009","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","601000909"
"34","76010009","戰鬥開始後每隔一定時間，全體怪物的魔法攻擊力中幅度提升。","戰鬥中提升持續魔法攻擊力","601000910"
"33","76010010","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","601001001"
"25","76010010","戰鬥中，發動「戰鬥中提升持續物理攻擊力」、「戰鬥中提升持續魔法攻擊力」效果。","危險領域","601001002"
"18","76010010","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601001003"
"17","76010010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601001004"
"boss_def_lower_limit","76010010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601001005"
"boss_magic_def_lower_limit","76010010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601001006"
"9","76010010","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601001007"
"boss_tp_down_cut","76010010","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601001008"
"boss_atk_up","76010010","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","601001009"
"34","76010010","戰鬥開始後每隔一定時間，全體怪物的魔法攻擊力中幅度提升。","戰鬥中提升持續魔法攻擊力","601001010"
"18","76020001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000101"
"17","76020001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000102"
"boss_def_lower_limit","76020001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000103"
"boss_magic_def_lower_limit","76020001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000104"
"9","76020001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000105"
"boss_tp_down_cut","76020001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000106"
"18","76020002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000201"
"17","76020002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000202"
"boss_def_lower_limit","76020002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000203"
"boss_magic_def_lower_limit","76020002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000204"
"9","76020002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000205"
"boss_tp_down_cut","76020002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","602000206"
"18","76020003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000301"
"17","76020003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000302"
"boss_def_lower_limit","76020003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000303"
"boss_magic_def_lower_limit","76020003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000304"
"9","76020003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000305"
"boss_tp_down_cut","76020003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000306"
"18","76020004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000401"
"17","76020004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000402"
"boss_def_lower_limit","76020004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000403"
"boss_magic_def_lower_limit","76020004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000404"
"9","76020004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000405"
"boss_tp_down_cut","76020004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","602000406"
"18","76020005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000501"
"17","76020005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000502"
"boss_def_lower_limit","76020005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000503"
"boss_magic_def_lower_limit","76020005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000504"
"9","76020005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000505"
"boss_tp_down_cut","76020005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000506"
"33","76020006","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","602000601"
"25","76020006","戰鬥中，發動「戰鬥中提升持續物理攻擊力」效果。","危險領域","602000602"
"18","76020006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000603"
"17","76020006","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000604"
"boss_def_lower_limit","76020006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000605"
"boss_magic_def_lower_limit","76020006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000606"
"9","76020006","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000607"
"boss_tp_down_cut","76020006","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000608"
"boss_atk_up","76020006","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","602000609"
"33","76020007","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","602000701"
"25","76020007","戰鬥中，發動「戰鬥中提升持續物理攻擊力」效果。","危險領域","602000702"
"18","76020007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000703"
"17","76020007","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000704"
"boss_def_lower_limit","76020007","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000705"
"boss_magic_def_lower_limit","76020007","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000706"
"9","76020007","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000707"
"boss_tp_down_cut","76020007","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000708"
"boss_atk_up","76020007","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","602000709"
