39862634dadf74360c3b395e7df422a54a63e4812679b19d709a09548bf25ee5,1aabd9af93f4a3b69414e97532e6624b3447aee7bb534f4eeac70573972f7296,941dd62611d0363b7a2375b6e57a38f993e0acfbbb0273c256d3bd924d30e6c1,503ef5725601d16c2607d80179e71ae0bf20f4883c0f576037ecd0769b15e77f,2b3b761ec498b09b1b54730d21d4c10a3f6ef6cb60516af457798259b262e784,cac5911cf21164b028b14e89821b1fe617f5f7c4ade398d5bb967967dc1e901f,a9821d42565d1879bd1e2af29ca194381f0a691cee7785c2c31e550568b68bac,82f3ccd63a99ec53b1c8202d0a280034233eb8634d7e3c609215edc93591ae99,37b5c69311e98e6772756fd74919edaba393045ef1a844d187f93efea78c3b21,7669c18f04a4284289b0f2d26935ab29231d441269922e5bdf397974b6194b4f,d9ac2bd86429f690649cdcc949a89897597199f70cbccc8b33f52d0f2c578f09,6f90f8ffb9a2ab835721e176640d8feacbad1051d5eb9c79bff35455334f54ca
"0","0","1007001","100700118","18","0","1","1.694","0","4","0","0"
"0","0","1007001","100700119","19","0","0","0","0.953","1","268","7"
"0","0","1007001","100700120","20","0","1","2.5","0","4","0","0"
"0","0","1007002","100700201","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0201","1007002","100700202","2","0","0","0","0","2","0","0"
"0","0","1007002","100700203","3","0","0","0","0.865","1","237","1"
"0","0","1007002","100700204","4","0","1","1.516","0","4","0","0"
"0","0","1007002","100700205","5","0","0","0","1.013","1","314","2"
"0","0","1007002","100700206","6","0","1","0.973","0","4","0","0"
"0","0","1007002","100700207","7","314","0","0","0.755","1","314","2"
"0","0","1007002","100700208","8","0","1","2.018","0","4","0","0"
"vo_svd","vo_svd_0202","1007002","100700209","9","0","0","0","0","2","0","0"
"0","0","1007002","100700210","10","0","0","0","0.541","1","76","3"
"0","0","1007002","100700211","11","0","1","0.517","0","4","0","0"
"0","0","1007002","100700212","12","76","0","0","0.992","1","330","3"
"0","0","1007002","100700213","13","0","1","0.792","0","4","0","0"
"0","0","1007002","100700214","14","0","0","0","0.751","1","0","4"
"0","0","1007002","100700215","15","0","1","1.887","0","4","0","0"
"vo_svd","vo_svd_0203","1007002","100700216","16","0","0","0","0","2","0","0"
"0","0","1007002","100700217","17","0","0","0","1.482","1","160","4"
"0","0","1007002","100700218","18","0","1","0.858","0","4","0","0"
"0","0","1007002","100700219","19","160","0","0","1.255","1","268","4"
"0","0","1007002","100700220","20","0","1","2.752","0","4","0","0"
"vo_svd","vo_svd_0204","1007002","100700221","21","0","0","0","0","2","0","0"
"0","0","1007002","100700222","22","0","0","0","1.827","1","336","5"
"0","0","1007002","100700223","23","0","1","1.654","0","4","0","0"
"0","0","1007002","100700224","24","0","0","0","1.773","1","364","6"
"0","0","1007002","100700225","25","0","1","2.5","0","4","0","0"
"0","0","1007003","100700301","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0301","1007003","100700302","2","0","0","0","0","2","0","0"
"0","0","1007003","100700303","3","0","0","0","1.205","1","232","1"
"0","0","1007003","100700304","4","0","1","1.739","0","4","0","0"
"0","0","1007003","100700305","5","232","0","0","1.278","1","355","1"
"0","0","1007003","100700306","6","0","1","0.687","0","4","0","0"
"0","0","1007003","100700307","7","0","0","0","0.735","1","0","2"
"0","0","1007003","100700308","8","0","1","2.357","0","4","0","0"
"vo_svd","vo_svd_0302","1007003","100700309","9","0","0","0","0","2","0","0"
"0","0","1007003","100700310","10","0","0","0","1.542","1","364","2"
"0","0","1007003","100700311","11","0","1","1.9","0","4","0","0"
"0","0","1007003","100700312","12","0","0","0","1.82","1","336","3"
"0","0","1007003","100700313","13","0","1","1.754","0","4","0","0"
"0","0","1007003","100700314","14","0","0","0","1.133","1","255","4"
"0","0","1007003","100700315","15","0","1","2.697","0","4","0","0"
"vo_svd","vo_svd_0303","1007003","100700316","16","0","0","0","0","2","0","0"
"0","0","1007003","100700317","17","0","0","0","1.827","1","336","5"
"0","0","1007003","100700318","18","0","1","2.182","0","4","0","0"
"0","0","1007003","100700319","19","0","0","0","1.186","1","275","6"
"0","0","1007003","100700320","20","0","1","2.842","0","4","0","0"
"vo_svd","vo_svd_0304","1007003","100700321","21","0","0","0","0","2","0","0"
"0","0","1007003","100700322","22","0","0","0","2.067","1","336","7"
"0","0","1007003","100700323","23","0","1","1.844","0","4","0","0"
"0","0","1007003","100700324","24","0","0","0","2.068","1","364","8"
"0","0","1007003","100700325","25","0","1","2.5","0","4","0","0"
"0","0","1007004","100700401","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0401","1007004","100700402","2","0","0","0","0","2","0","0"
"0","0","1007004","100700403","3","0","0","0","1.105","1","180","1"
"0","0","1007004","100700404","4","0","1","1.504","0","4","0","0"
"0","0","1007004","100700405","5","180","0","0","0.62","1","313","1"
"0","0","1007004","100700406","6","0","1","0.554","0","4","0","0"
"0","0","1007004","100700407","7","0","0","0","0.728","1","122","2"
"0","0","1007004","100700408","8","0","1","2.154","0","4","0","0"
"vo_svd","vo_svd_0402","1007004","100700409","9","0","0","0","0","2","0","0"
"0","0","1007004","100700410","10","122","0","0","1.051","1","334","2"
"0","0","1007004","100700411","11","0","1","0.915","0","4","0","0"
"0","0","1007004","100700412","12","0","0","0","0.927","1","91","3"
"0","0","1007004","100700413","13","0","1","1.701","0","4","0","0"
"0","0","1007004","100700414","14","91","0","0","0.905","1","360","3"
"0","0","1007004","100700415","15","0","1","0.816","0","4","0","0"
"0","0","1007004","100700416","16","0","0","0","1.249","1","329","4"
"0","0","1007004","100700417","17","0","1","1.252","0","4","0","0"
"0","0","1007004","100700418","18","0","0","0","0.987","1","268","5"
"0","0","1007004","100700419","19","0","1","2.864","0","4","0","0"
"vo_svd","vo_svd_0403","1007004","100700420","20","0","0","0","0","2","0","0"
"0","0","1007004","100700421","21","0","0","0","2.056","1","336","6"
"0","0","1007004","100700422","22","0","1","1.844","0","4","0","0"
"0","0","1007004","100700423","23","0","0","0","1.963","1","364","7"
"0","0","1007004","100700424","24","0","1","2.5","0","4","0","0"
"0","0","1007005","100700501","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0501","1007005","100700502","2","0","0","0","0","2","0","0"
"0","0","1007005","100700503","3","0","0","0","1.741","1","329","1"
"0","0","1007005","100700504","4","0","1","2.972","0","4","0","0"
"vo_svd","vo_svd_0502","1007005","100700505","5","0","0","0","0","2","0","0"
"0","0","1007005","100700506","6","0","0","0","1.539","1","320","2"
"0","0","1007005","100700507","7","0","1","1.258","0","4","0","0"
"0","0","1007005","100700508","8","320","0","0","0.762","1","320","2"
"0","0","1007005","100700509","9","0","1","2.583","0","4","0","0"
"vo_svd","vo_svd_0503","1007005","100700510","10","0","0","0","0","2","0","0"
"0","0","1007005","100700511","11","0","0","0","1.131","1","336","3"
"0","0","1007005","100700512","12","0","1","1.924","0","4","0","0"
"0","0","1007005","100700513","13","0","0","0","1.131","1","336","4"
"0","0","1007005","100700514","14","0","1","1.924","0","4","0","0"
"0","0","1007005","100700515","15","0","0","0","1.868","1","329","5"
"0","0","1007005","100700516","16","0","1","3.266","0","4","0","0"
"vo_svd","vo_svd_0504","1007005","100700517","17","0","0","0","0","2","0","0"
"0","0","1007005","100700518","18","0","0","0","1.269","1","275","6"
"0","0","1007005","100700519","19","0","1","2.653","0","4","0","0"
"vo_svd","vo_svd_0505","1007005","100700520","20","0","0","0","0","2","0","0"
"0","0","1007005","100700521","21","0","0","0","2.056","1","336","7"
"0","0","1007005","100700522","22","0","1","1.844","0","4","0","0"
"0","0","1007005","100700523","23","0","0","0","1.965","1","364","8"
"0","0","1007005","100700524","24","0","1","2.5","0","4","0","0"
"0","0","1007006","100700601","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0601","1007006","100700602","2","0","0","0","0","2","0","0"
"0","0","1007006","100700603","3","0","0","0","1.875","1","336","1"
"0","0","1007006","100700604","4","0","1","3.353","0","4","0","0"
"vo_svd","vo_svd_0602","1007006","100700605","5","0","0","0","0","2","0","0"
"0","0","1007006","100700606","6","0","0","0","1.734","1","336","2"
"0","0","1007006","100700607","7","0","1","1.665","0","4","0","0"
"0","0","1007006","100700608","8","0","0","0","1.035","1","201","3"
"0","0","1007006","100700609","9","0","1","1.893","0","4","0","0"
"0","0","1007006","100700610","10","201","0","0","0.821","1","354","3"
"0","0","1007006","100700611","11","0","1","0.664","0","4","0","0"
"0","0","1007006","100700612","12","0","0","0","1.361","1","367","4"
"0","0","1007006","100700613","13","0","1","1.108","0","4","0","0"
"0","0","1007006","100700614","14","0","0","0","1.269","1","259","5"
"0","0","1007006","100700615","15","0","1","3.112","0","4","0","0"
"vo_svd","vo_svd_0603","1007006","100700616","16","0","0","0","0","2","0","0"
"0","0","1007006","100700617","17","0","0","0","2.056","1","336","6"
"0","0","1007006","100700618","18","0","1","1.844","0","4","0","0"
"0","0","1007006","100700619","19","0","0","0","1.965","1","364","7"
"0","0","1007006","100700620","20","0","1","2.5","0","4","0","0"
"0","0","1007007","100700701","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0701","1007007","100700702","2","0","0","0","0","2","0","0"
"0","0","1007007","100700703","3","0","0","0","0.926","1","147","1"
"0","0","1007007","100700704","4","0","1","1.549","0","4","0","0"
"0","0","1007007","100700705","5","147","0","0","1.457","1","345","1"
"0","0","1007007","100700706","6","0","1","1.228","0","4","0","0"
"0","0","1007007","100700707","7","0","0","0","0.762","1","0","2"
"0","0","1007007","100700708","8","0","1","2.221","0","4","0","0"
"vo_svd","vo_svd_0702","1007007","100700709","9","0","0","0","0","2","0","0"
"0","0","1007007","100700710","10","0","0","0","0.969","1","120","2"
"0","0","1007007","100700711","11","0","1","0.747","0","4","0","0"
"0","0","1007007","100700712","12","120","0","0","1.785","1","336","2"
"0","0","1007007","100700713","13","0","1","1.932","0","4","0","0"
"0","0","1007007","100700714","14","0","0","0","0.385","1","35","3"
"0","0","1007007","100700715","15","0","1","0.5","0","4","0","0"
"0","0","1007007","100700716","16","35","0","0","1.436","1","336","3"
"0","0","1007007","100700717","17","0","1","2.164","0","4","0","0"
"0","0","1007007","100700718","18","0","0","0","1.928","1","356","4"
"0","0","1007007","100700719","19","0","1","1.673","0","4","0","0"
"0","0","1007007","100700720","20","0","0","0","1.269","1","259","5"
"0","0","1007007","100700721","21","0","1","3.156","0","4","0","0"
"vo_svd","vo_svd_0703","1007007","100700722","22","0","0","0","0","2","0","0"
"0","0","1007007","100700723","23","0","0","0","2.077","1","336","6"
"0","0","1007007","100700724","24","0","1","1.841","0","4","0","0"
"0","0","1007007","100700725","25","0","0","0","1.965","1","364","7"
"0","0","1007007","100700726","26","0","0","2.5","0","4","0","0"
"0","0","1007008","100700801","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0801","1007008","100700802","2","0","0","0","0","2","0","0"
"0","0","1007008","100700803","3","0","0","0","2.027","1","356","1"
"0","0","1007008","100700804","4","0","1","3.309","0","4","0","0"
"vo_svd","vo_svd_0802","1007008","100700805","5","0","0","0","0","2","0","0"
"0","0","1007008","100700806","6","0","0","0","1.879","1","336","2"
"0","0","1007008","100700807","7","0","1","3.041","0","4","0","0"
"vo_svd","vo_svd_0803","1007008","100700808","8","0","0","0","0","2","0","0"
"0","0","1007008","100700809","9","0","0","0","1.848","1","336","3"
"0","0","1007008","100700810","10","0","1","1.437","0","4","0","0"
"0","0","1007008","100700811","11","0","0","0","0.796","1","168","4"
"","","1007008","100700812","12","0","1","2.532","0","4","0","0"
"vo_svd","vo_svd_0804","1007008","100700813","13","0","0","0","0","2","0","0"
"0","0","1007008","100700814","14","0","0","0","1.002","1","299","5"
"0","0","1007008","100700815","15","0","1","2.164","0","4","0","0"
"0","0","1007008","100700816","16","0","0","0","1.574","1","115","6"
"0","0","1007008","100700817","17","0","1","2.164","0","4","0","0"
"0","0","1007008","100700818","18","115","0","0","1.269","1","280","6"
"0","0","1007008","100700819","19","0","1","2.5","0","4","0","0"
"0","0","1007009","100700901","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0901","1007009","100700902","2","0","0","0","0","2","0","0"
"0","0","1007009","100700903","3","0","0","0","2.285","1","356","1"
"0","0","1007009","100700904","4","0","1","2.031","0","4","0","0"
"0","0","1007009","100700905","5","0","0","0","1.362","1","215","2"
"0","0","1007009","100700906","6","0","1","2.479","0","4","0","0"
"vo_svd","vo_svd_0902","1007009","100700907","7","0","0","0","0","2","0","0"
"0","0","1007009","100700908","8","0","0","0","2.004","1","356","3"
"0","0","1007009","100700909","9","0","1","1.804","0","4","0","0"
"0","0","1007009","100700910","10","0","0","0","2.026","1","185","4"
"0","0","1007009","100700911","11","0","1","2.473","0","4","0","0"
"0","0","1007009","100700912","12","185","0","0","0.518","1","338","4"
"0","0","1007009","100700913","13","0","1","0.556","0","4","0","0"
"0","0","1007009","100700914","14","0","0","0","2.021","1","336","5"
"0","0","1007009","100700915","15","0","1","1.713","0","4","0","0"
"0","0","1007009","100700916","16","0","0","0","1.513","1","250","6"
"0","0","1007009","100700917","17","0","1","1.981","0","4","0","0"
"vo_svd","vo_svd_0903","1007009","100700918","18","0","0","0","0","2","0","0"
"0","0","1007009","100700919","19","0","0","0","1.672","1","220","7"
"0","0","1007009","100700920","20","0","1","1.924","0","4","0","0"
"0","0","1007009","100700921","21","220","0","0","0.796","1","338","7"
"","","1007009","100700922","22","0","1","1.832","0","4","0","0"
"vo_svd","vo_svd_0904","1007009","100700923","23","0","0","0","0","2","0","0"
"0","0","1007009","100700924","24","0","0","0","0.703","1","77","8"
"0","0","1007009","100700925","25","0","1","1.523","0","4","0","0"
"vo_svd","vo_svd_0905","1007009","100700926","26","0","0","0","0","2","0","0"
"0","0","1007009","100700927","27","77","0","0","1.198","1","218","8"
"0","0","1007009","100700928","28","0","1","1.764","0","4","0","0"
"vo_svd","vo_svd_0906","1007009","100700929","29","0","0","0","0","2","0","0"
"0","0","1007009","100700930","30","0","0","0","2.335","1","336","9"
"0","0","1007009","100700931","31","0","1","3.423","0","4","0","0"
"vo_svd","vo_svd_0907","1007009","100700932","32","0","0","0","0","2","0","0"
"0","0","1007009","100700933","33","0","0","0","0.682","1","61","10"
"0","0","1007009","100700934","34","0","1","1.357","0","4","0","0"
"0","0","1007009","100700935","35","61","0","0","2.106","1","336","10"
"0","0","1007009","100700936","36","0","1","1.43","0","4","0","0"
"0","0","1007009","100700937","37","0","0","0","2.283","1","336","11"
"0","0","1007009","100700938","38","0","1","2.989","0","4","0","0"
"vo_svd","vo_svd_0908","1007009","100700939","39","0","0","0","0","2","0","0"
"0","0","1007009","100700940","40","0","0","0","1.978","1","322","12"
"0","0","1007009","100700941","41","0","1","1","0","4","0","0"
"0","0","1007010","100701001","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_1001","1007010","100701002","2","0","0","0","0","2","0","0"
"0","0","1007010","100701003","3","0","0","0","2.705","1","356","1"
"0","0","1007010","100701004","4","0","1","3.154","0","4","0","0"
"0","0","1007010","100701005","5","0","0","0","0.918","1","49","2"
"0","0","1007010","100701006","6","0","1","1.231","0","4","0","0"
"0","0","1007010","100701007","7","49","0","0","1.672","1","356","2"
"0","0","1007010","100701008","8","0","1","3.307","0","4","0","0"
"vo_svd","vo_svd_1002","1007010","100701009","9","0","0","0","0","2","0","0"
"0","0","1007010","100701010","10","0","0","0","0.835","1","336","3"
"0","0","1007010","100701011","11","0","1","1.164","0","4","0","0"
"0","0","1007010","100701012","12","336","0","0","1.623","1","336","3"
"0","0","1007010","100701013","13","0","1","1.712","0","4","0","0"
"0","0","1007010","100701014","14","0","0","0","2.294","1","356","4"
"0","0","1007010","100701015","15","0","1","2.186","0","4","0","0"
"0","0","1007010","100701016","16","0","0","0","2.184","1","0","5"
"0","0","1007010","100701017","17","0","1","3.034","0","4","0","0"
"vo_svd","vo_svd_1003","1007010","100701018","18","0","0","0","0","2","0","0"
"0","0","1007010","100701019","19","0","0","0","2.704","1","356","5"
"0","0","1007010","100701020","20","0","1","2.522","0","4","0","0"
"0","0","1007010","100701021","21","0","0","0","1.005","1","162","6"
"0","0","1007010","100701022","22","0","1","2.617","0","4","0","0"
"vo_svd","vo_svd_1004","1007010","100701023","23","0","0","0","0","2","0","0"
"0","0","1007010","100701024","24","0","0","0","0.975","1","223","7"
"0","0","1007010","100701025","25","0","1","1.202","0","4","0","0"
"0","0","1007010","100701026","26","223","0","0","1.214","1","340","7"
"0","0","1007010","100701027","27","0","1","1.187","0","4","0","0"
"0","0","1007010","100701028","28","0","0","0","2.043","1","345","8"
"0","0","1007010","100701029","29","0","1","3.356","0","4","0","0"
"vo_svd","vo_svd_1005","1007010","100701030","30","0","0","0","0","2","0","0"
"0","0","1007010","100701031","31","0","0","0","1.862","1","155","9"
"0","0","1007010","100701032","32","0","1","2.285","0","4","0","0"
"vo_svd","vo_svd_1006","1007010","100701033","33","0","0","0","0","2","0","0"
"0","0","1007010","100701034","34","0","0","0","0.682","1","128","10"
"0","0","1007010","100701035","35","0","1","1.529","0","4","0","0"
"0","0","1007010","100701036","36","128","0","0","1.042","1","240","10"
"0","0","1007010","100701037","37","0","1","2.384","0","4","0","0"
"vo_svd","vo_svd_1007","1007010","100701038","38","0","0","0","0","2","0","0"
"0","0","1007010","100701039","39","0","0","0","1.106","1","181","11"
"0","0","1007010","100701040","40","0","1","1.891","0","4","0","0"
"0","0","1007010","100701041","41","181","0","0","1.322","1","290","11"
"0","0","1007010","100701042","42","0","1","1","0","4","0","0"
