5e689abfbf157892c271919e35154f2d7d081f49f2ad15f94cecb99abbeea101,3d0e642b702cc9b776de3434434417e6916feb3221eb9653aec24d21d85dcc7d,49ae699865ded8f5964a00a6c8fdc686041c90764bf3a95863a59e911d760746,954bf9aa6eab819606e1bc5c1b2261f497e9665f3e2d616b5a5de7f1d6b93916,b4a8e736f691eda880ee566c4ead49efbdb82dda8ea3b93737567323650bd184,443206211e700b0fae0036bab0a6102d137fd999bda9b1d85c36ac690179f80f,c3b3280fde43b24ab89de56bbe9aafe05d446d3485da02331747d35997c1e3aa,1a9f1a64e465b592dbb5a4434445b9a0dcf007b764c151222e1706ecc2045493,d5aada34033e56594407a8ef1e476db6cb8dde231880ba5c93bef66d2e4050d8,91644b9311a104a0d7cbaf1836c1dceb7891f9faa3e1bb98924241884897e23a,689796a744ba8eb3ee1e341d627612d5c59010a191daabed125658a41bcdd359,90e81242e417bd91b657f3393d5e9751e65f2ffb61563f3578b95678442421c0,4cd1ae5e82afd6a6e96b8563fdefe890af10dd4c2569e49e0a9cf44a890849a6,d6c544923ad40c969cb03415cbe7f6ee8a1c563094499854a3fb831799a9f573
"美里","哎呀～該不會我\n不小心贏了嗎？\n可能是因為我有\n看著大家練習吧～","113501","5.33","0","24013","2","6","2020/07/31 12:00:00","24","111","10046","0","2030/12/17 14:59:59"
"美里","老師想幫上大家的忙，\n所以也努力試試看了～！\n看來似乎有順利丟出去，\n太好了～！","113501","6.85","0","24014","2","1","2020/07/31 12:00:00","24","112","10046","0","2030/12/17 14:59:59"
"美里","練習辛苦了～！\n老師也很高興\n能夠幫上忙喔～♪\n接下來也一起努力加油吧～！","113501","3","0","24015","2","1","2020/07/31 12:00:00","24","113","10046","0","2030/12/17 14:59:59"
"大地","看來練習得還不夠啊，\n我甚至沒有\n拿出真本事投呢，\n再練一次！","192401","6.11","0","24016","2","1","2020/07/31 12:00:00","24","611","10046","0","2030/12/17 14:59:59"
"大地","哼，這是理所當然的結果。\n我的球才不會讓任何人打到！\n要是還想繼續打，\n我就奉陪到底！","192401","6.75","0","24017","2","1","2020/07/31 12:00:00","24","612","10046","0","2030/12/17 14:59:59"
"大地","很好！\n就以這股氣勢，朝全國前進吧！\n看我用三振解決掉所有對手！","192401","0","0","24018","2","2","2020/07/31 12:00:00","24","613","10046","0","2030/12/17 14:59:59"
"初音","閃亮亮☆\n初音大勝利喲～！\n為了讓大家能更加進步，\n我也會繼續努力下去的！","113401","4.52","0","24019","1","2","2020/07/31 12:00:00","24","211","10046","0","2030/12/17 14:59:59"
"初音","好耶！我贏了！\n不管是啦啦隊還是投手，\n都交給我初音吧！","113401","3.89","0","24020","1","2","2020/07/31 12:00:00","24","212","10046","0","2030/12/17 14:59:59"
"初音","很好～就像這樣繼續\n努力吧……雖然是這麼想，\n但因為用了超能力……\n我開始想睡了……呼嚕……","113401","13.49","0","24021","2","1","2020/07/31 12:00:00","24","213","10046","0","2030/12/17 14:59:59"
"嘉夜","真是場好比賽！\n我太熱血沸騰，\n不小心就用全力丟球了。","106501","3.17","0","24022","2","1","2020/07/31 12:00:00","24","311","10046","0","2030/12/17 14:59:59"
"嘉夜","如何？\n老娘的球很熾熱吧！\n不過，你們的鬥志\n也是挺不錯的喔。","106501","4.42","0","24023","2","1","2020/07/31 12:00:00","24","312","10046","0","2030/12/17 14:59:59"
"嘉夜","什麼嘛，就這點程度而已嗎？\n我還完全沒投個夠呢，\n再繼續比下去吧！","106501","2.89","0","24024","1","6","2020/07/31 12:00:00","24","313","10046","0","2030/12/17 14:59:59"
"綾音","差一點點了說～！\n下次我一定會跟噗吉一起\n贏給你們看的！","102301","3.71","0","24025","3","4","2020/07/31 12:00:00","24","421","10046","0","2030/12/17 14:59:59"
"旭","真是一場好比賽呢！\n不過果然還是好不甘心……\n我會再多做練習，\n下次絕對會是我贏！","192201","5.1","0","24026","1","2","2020/07/31 12:00:00","24","721","10046","0","2030/12/17 14:59:59"
"社員3","嘖……還差一步啊。\n下次我一定會贏的，\n做好心理準備吧。","192301","4.34","0","24027","3","1","2020/07/31 12:00:00","24","821","10046","0","2030/12/17 14:59:59"
"","真是一場好比賽，\n下次再比一次吧。","192501","0","0","24028","1","1","2020/07/31 12:00:00","24","521","10046","0","2030/12/17 14:59:59"
"美里","做得非常好喔～♪\n看你這麼努力，老師很開心，\n今後也為了比賽，\n一起繼續練習下去吧～","113501","5.62","-360","24029","2","1","2020/07/31 12:00:00","24","101","10046","0","2030/12/17 14:59:59"
"美里","這是你努力的成果呢～！\n照這樣繼續練習下去，\n應該會獲得更棒的成績吧。\n我很期待喔～！","113501","9.58","-360","24030","2","1","2020/07/31 12:00:00","24","102","10046","0","2030/12/17 14:59:59"
"美里","好孩子，好孩子～♪\n你這麼認真努力，\n我要好～好誇獎一番。","113501","0","-360","24031","2","2","2020/07/31 12:00:00","24","103","10046","0","2030/12/17 14:59:59"
"美里","朝著夢想前進了一步呢。\n照這個步調，一起實現夢想吧。\n目標是全國大賽～！","113501","9.13","-360","24032","1","2","2020/07/31 12:00:00","24","104","10046","0","2030/12/17 14:59:59"
"美里","狀態很好呢～♪\n你比賽時一定也會\n大有活躍的。\n我很期待喔～！","113501","8.27","-360","24033","2","1","2020/07/31 12:00:00","24","105","10046","0","2030/12/17 14:59:59"
