9059a18889eea8b58bb45ca9b99777d9462ac64214cb3d0f09f2afd5e1af6927,055b88514a0e127997231cc4250dce0a338b3cc78b54420f2e25f27cb1a89665,6a15c7fd73dd0118d346a754cee2d4d89f0f532bd6cb40bdec3b77b06a1b8167
"185","122701","6101527"
"186","126601","6101527"
"187","113501","6101527"
"188","126901","6101527"
"189","109901","6101528"
"190","109801","6101528"
"191","132001","6101520"
"192","131901","6101520"
"193","105401","6101540"
"194","102901","6101540"
"195","113901","6101540"
"196","117401","6101540"
"197","111601","6101540"
"198","117201","6101540"
"199","124801","6101540"
"200","132201","6101541"
"201","104201","6101541"
"202","108401","6101541"
"203","117301","6101541"
"204","104201","6101542"
"205","117301","6101542"
"206","111601","6101542"
"207","132201","6101542"
"208","130201","6101550"
"209","126101","6101550"
"210","125801","6101550"
"211","126501","6101551"
"212","126001","6101551"
"213","130001","6101551"
"214","129701","6101551"
"215","105801","6101551"
"216","101801","6101581"
"217","126501","6101580"
"218","110101","6101581"
"219","119001","6101581"
"220","132901","6101581"
"221","132801","6101580"
"222","105001","6101580"
"223","100801","6101581"
"224","127901","6101581"
"225","108301","6101580"
"226","121401","6101581"
"227","117601","6101581"
"228","126301","6101581"
"229","102801","6101601"
"230","105301","6101601"
"231","110301","6101601"
"232","114501","6101601"
"233","127501","6101601"
"234","133501","6101601"
"235","180901","6101600"
"236","114201","6101601"
"237","125201","6101601"
"238","133201","6101600"
"239","123001","6101622"
"240","106901","6101622"
"241","107101","6101620"
"242","107001","6101621"
"243","106801","6101622"
"244","111501","6101620"
"245","123801","6101620"
"246","133901","6101620"
"247","115001","6101622"
"248","126601","6101622"
"249","133801","6101622"
"250","121201","6101622"
"251","133701","6101621"
"252","104201","6101642"
"253","118101","6101642"
"254","108401","6101642"
"255","117301","6101642"
"256","134401","6101642"
"257","126901","6101642"
"258","134301","6101641"
"259","105901","6101642"
"260","106401","6101640"
"261","105401","6101642"
"262","104001","6101660"
"263","126401","6101660"
"264","110701","6101660"
"265","116701","6101662"
"266","122101","6101662"
"267","134601","6101662"
"268","134501","6101662"
"269","127801","6101662"
"270","126501","6101661"
"271","134701","6101662"
"272","100901","6101681"
"273","102701","6101682"
"274","132501","6101683"
"275","101301","6101683"
"276","105101","6101683"
"277","132301","6101683"
"278","105601","6101683"
"279","134901","6101701"
"280","105401","6101701"
"281","113901","6101701"
"282","117401","6101700"
"283","134801","6101701"
"284","106501","6101700"
"285","104501","6101701"
"286","129701","6101701"
"287","129001","6101721"
"288","106401","6101720"
"289","126101","6101721"
"290","135001","6101721"
"291","120701","6101721"
"292","181201","6101720"
"293","135101","6101721"
"294","129601","6101742"
"295","126001","6101742"
"296","135401","6101742"
"297","135301","6101742"
"298","106001","6101742"
"299","103001","6101740"
"300","129701","6101742"
"301","125801","6101740"
"302","107801","6101741"
"303","137101","6101741"
"304","131601","6101742"
"305","135501","6101760"
"306","135601","6101760"
"307","100101","6101760"
"308","100301","6101760"
"309","108701","6101761"
"310","180101","6101761"
"311","122401","6101761"
"312","128701","6101761"
"313","135701","6101761"
"314","108901","6101761"
"315","114001","6101761"
"316","180301","6101760"
"317","122501","6101761"
"318","128801","6101760"
"319","135901","6101780"
"320","135801","6101781"
"321","133101","6101781"
"322","133001","6101780"
"323","100701","6101781"
"324","108201","6101781"
"325","119901","6101781"
"326","136001","6101801"
"327","101401","6101801"
"329","112201","6101801"
"330","115701","6101801"
"331","128501","6101801"
"333","134901","6101801"
"334","129701","6101801"
"335","134701","6101801"
"336","134801","6101801"
