5dd9d1cdf7e7a705471994754c2d700403f94b04ac107bb7b4f1031c95812675,5b4594db3c58f5a9ac2bd104932a820c8e7986877e6ee07806f004d25bf5219b,eb80b98414cbc054b5b7e5eaf009b27d6ac601d3fe682f5e754c7f00046d76d7,972a07c0787df4ac6936ffa2492bd6a1c29f07c6d5f3712a736c0779a0892519,a0c4a44d63bd80953db4da3ef01ef81f4db4ff2b4f9b27e2e8e90870c7856176
"209","4","78","80","209"
"210","4","45","65","210"
"211","4","58","102","211"
"212","4","29","46","212"
"213","4","100","46","213"
"214","4","80","65","214"
"215","4","45","75","215"
"216","4","58","102","216"
"217","4","29","41","217"
"218","4","105","41","218"
"219","4","57","83","219"
"220","4","45","65","220"
"221","4","58","102","221"
"222","4","32","46","222"
"223","4","97","46","223"
"224","4","68","62","224"
"225","4","74","86","225"
"226","4","32","41","226"
"227","4","104","41","227"
"228","4","42","65","228"
"229","4","57","86","229"
"230","4","78","73","230"
"231","4","24","40","231"
"232","4","110","40","232"
"233","4","44","58","233"
"234","4","81","71","234"
"235","4","57","93","235"
"236","4","42","40","236"
"237","4","97","40","237"
"238","4","65","61","238"
"239","4","75","83","239"
"240","4","46","77","240"
"241","4","41","41","241"
"242","4","105","41","242"
"243","4","48","71","243"
"244","4","58","91","244"
"245","4","88","61","245"
"246","4","31","41","246"
"247","4","97","41","247"
"248","4","45","74","248"
"249","4","81","65","249"
"250","4","72","86","250"
"251","5","47","30","251"
"252","5","88","30","252"
"253","5","85","52","253"
"254","5","79","70","254"
"255","5","39","32","255"
"256","5","99","32","256"
"257","5","50","90","257"
"258","5","85","60","258"
"259","5","38","35","259"
"260","5","100","35","260"
"261","5","52","64","261"
"262","5","81","52","262"
"263","5","44","31","263"
"264","5","91","31","264"
"265","5","58","50","265"
"266","5","79","62","266"
"267","5","47","30","267"
"268","5","88","30","268"
"269","5","50","71","269"
"270","5","82","54","270"
"271","5","38","35","271"
"272","5","97","35","272"
"273","5","50","70","273"
"274","5","70","55","274"
"275","5","50","95","275"
"276","5","46","30","276"
"277","5","89","30","277"
"278","5","49","50","278"
"279","5","66","70","279"
"280","5","86","60","280"
"281","5","44","31","281"
"282","5","91","31","282"
"283","5","73","75","283"
"284","5","85","65","284"
"285","5","50","48","285"
"286","5","41","31","286"
"287","5","94","31","287"
"288","5","50","90","288"
"289","5","86","65","289"
"290","5","68","50","290"
"291","5","46","31","291"
"292","5","89","31","292"
"293","5","59","60","293"
"294","5","70","47","294"
"295","5","69","75","295"
"296","5","44","32","296"
"297","5","88","32","297"
"298","5","52","90","298"
"299","5","58","52","299"
"300","5","83","72","300"
"301","5","41","33","301"
"302","5","96","33","302"
"303","5","50","65","303"
"304","5","63","80","304"
"305","5","81","52","305"
"306","5","44","30","306"
"307","5","91","30","307"
"308","5","54","45","308"
"309","5","62","67","309"
"310","5","83","55","310"
"311","5","50","30","311"
"312","5","85","30","312"
"313","5","50","56","313"
"314","5","63","90","314"
"315","5","82","67","315"
"316","5","46","30","316"
"317","5","91","30","317"
"318","5","68","60","318"
"319","5","82","48","319"
"320","5","83","75","320"
"321","2","98","59","321"
"322","2","26","58","322"
"323","2","107","72","323"
"324","2","83","61","324"
"325","2","65","63","325"
"326","2","33","58","326"
"327","2","57","57","327"
"328","2","107","72","328"
"329","2","39","57","329"
"330","2","92","55","330"
