e8f742ce4dbb002451abecaf1aaa1eb7fa4c9611ca217adbc075ae6ff3f6456e,82672d6575d0dba270511195360c2d46e826a8d9d411b6894dbaf16cb6f051a4,788d2f1402b75a5d6926ee9a908c4f2cbbf9495509554685bd082dea54445120,94dfb496c62c0c91d1100539a145dbf7812d5c6688f8a83c9609ff1a89136427,28c202be1277253f9f390cabb9e9ce631fbe7c6fe76ecf0393097aee37b23dac,bf74ae2615a636a35b5079eeaf833a13ec8608e5a500811a28cb5a2db41626f9,c871c35b7d267179264e5b5c3d439e1eac80b41f807a2405dfa52097a255aaac,d4f8c53075319ee337b2641bf6f56e14e6b06f948b397df7ad2be8a235432f36,b25f94ee6d962c81340ffde8a854daf02d023e70aac8d13631020bd4adda7308,67e7ec60ba83e4830d2759eae7a14f100fa905d9bfdb38fa14b6ea89b6d3a5f3,8ba5402da24156e7a7eb572df6b01bce10ff7c816fbe428dc7c5fffe797be48b
"-54","2","","","5146061","61087","","-278","2","0","1058"
"-214","2","","","5146061","61088","","-288","2","0","105911"
"-214","2","","","5146061","61089","","-288","2","0","1059"
"0","93","","","5146061","61090","","","","","1"
"iris_in","37","","","5146061","61091","","","","","2"
"0","93","","","5146061","61092","","","","","2"
"se_10055900_coaster_02","23","","","5146061","61093","","1","","","se_10055900"
"1","32","","","5146061","61094","","","","","10"
"30","122","","","5146061","61095","","0.5","","","30"
"vo_apg_0107","21","","","5146061","61096","","0","0","","vo_apg"
"0107_in","3","","0","5146061","61097","","0","","","202"
"1","93","","","5146061","61098","","","","","0.7"
"0107_mid","3","","0","5146061","61099","","0","","","202"
"","92","","","5146061","61100","","","","",""
"0107_out","3","","0","5146061","61101","","0","","","202"
"0","93","","","5146061","61102","","","","","0.2"
"0","2","","","5146061","61103","","-211","0","0","202"
"30","122","","","5146061","61104","","0.5","","","30"
"vo_apg_0108","21","","","5146061","61105","","0","0","","vo_apg"
"0108_in","3","","0","5146061","61106","","0","","","203"
"1","93","","","5146061","61107","","","","","0.8"
"0108_mid","3","","0","5146061","61108","","0","","","203"
"","92","","","5146061","61109","","","","",""
"0108_out","3","","0","5146061","61110","","0","","","203"
"0","93","","","5146061","61111","","","","","0.2"
"315","2","","","5146061","61112","","16","0","0","201"
"30","122","","","5146061","61113","","0.5","","","30"
"vo_apg_0109","21","","","5146061","61114","","0","0","","vo_apg"
"0109_in","3","","0","5146061","61115","","0","","","201"
"1","93","","","5146061","61116","","","","","1.1"
"0109_mid","3","","0","5146061","61117","","0","","","201"
"","92","","","5146061","61118","","","","",""
"0109_out","3","","0","5146061","61119","","0","","","201"
"0","93","","","5146061","61120","","","","","0.2"
"30","122","","","5146061","61121","","0.5","","","30"
"vo_apg_0110","21","","","5146061","61122","","0","0","","vo_apg"
"0107_in","3","","0","5146061","61123","","0","","","202"
"0108_in","3","","0","5146061","61124","","0","","","203"
"0109_in","3","","0","5146061","61125","","0","","","201"
"1","93","","","5146061","61126","","","","","1.1"
"0107_mid","3","","0","5146061","61127","","0","","","202"
"0108_mid","3","","0","5146061","61128","","0","","","203"
"0109_mid","3","","0","5146061","61129","","0","","","201"
"","92","","","5146061","61130","","","","",""
"0107_out","3","","0","5146061","61131","","0","","","202"
"0108_out","3","","0","5146061","61132","","0","","","203"
"0109_out","3","","0","5146061","61133","","0","","","201"
"0","93","","","5146061","61134","","","","","0.2"
"216","2","","","5146061","61135","","0","0","0","201"
"vo_apg_0111","21","","","5146061","61136","","0","0","","vo_apg"
"0111_in","3","","0","5146061","61137","","0","","","201"
"1","93","","","5146061","61138","","","","","1.8"
"0111_mid","3","","0","5146061","61139","","0","","","201"
"","92","","","5146061","61140","","","","",""
"0111_out","3","","0","5146061","61141","","0","","","201"
"0","93","","","5146061","61142","","","","","0.2"
"0","22","","","5146061","61143","","","","","0"
"","93","","","5146061","61144","","","","","0.5"
"1","32","","","5146061","61145","","","","","11"
"se_10055900_camera","23","","","5146061","61146","","0","","","se_10055900"
"0","93","","","5146061","61147","","","","","0.2"
"0","32","","","5146061","61148","","","","","10"
"0","93","","","5146061","61149","","","","","1.8"
"0.5","24","","","5146061","61150","","","","","se_10055900_coaster_02"
"iris_out","37","","","5146061","61151","","","","","2"
"129","2","","","5146061","61152","","-278","0","0","106011"
"129","2","","","5146061","61153","","-278","0","0","1060"
"-34","2","","","5146061","61154","","-278","0","0","105811"
"-34","2","","","5146061","61155","","-278","0","0","1058"
"-194","2","","","5146061","61156","","-288","0","0","105911"
"-194","2","","","5146061","61157","","-288","0","0","1059"
"walk_normal_dere2","3","","0.2","5146061","61158","","1","","","106011"
"walk_normal_dere2","3","","0.2","5146061","61159","","1","","","1060"
"walk_normal_joy","3","","0.2","5146061","61160","","1","","","105811"
"walk_normal_joy","3","","0.2","5146061","61161","","1","","","1058"
"kokkoro_walk_normal_dere","3","","0.2","5146061","61162","","1","","","105911"
"kokkoro_walk_normal_dere","3","","0.2","5146061","61163","","1","","","1059"
"290","2","","","5146061","61164","","-278","2","0","106011"
"290","2","","","5146061","61165","","-278","2","0","1060"
"-225","2","","","5146061","61166","","-278","2","0","105811"
"-225","2","","","5146061","61167","","-278","2","0","1058"
"-385","2","","","5146061","61168","","-288","2","0","105911"
"-385","2","","","5146061","61169","","-288","2","0","1059"
"0","4","","","5146061","61170","","","","","106011"
"0","4","","","5146061","61171","","","","","1060"
"1","4","","","5146061","61172","","","","","105811"
"1","4","","","5146061","61173","","","","","1058"
"1","4","","","5146061","61174","","","","","105911"
"1","4","","","5146061","61175","","","","","1059"
"0","93","","","5146061","61176","","","","","2"
"1","4","","","5146061","61177","","","","","106011"
"1","4","","","5146061","61178","","","","","1060"
"0","4","","","5146061","61179","","","","","105811"
"0","4","","","5146061","61180","","","","","1058"
"0","4","","","5146061","61181","","","","","105911"
"0","4","","","5146061","61182","","","","","1059"
"joy_idle_doya_shy","3","","0.2","5146061","61183","","1","","","106011"
"joy_idle_doya_shy","3","","0.2","5146061","61184","","1","","","1060"
"idle_normal","3","","0.2","5146061","61185","","1","","","105811"
"idle_normal","3","","0.2","5146061","61186","","1","","","1058"
"kokkoro_idle_normal_joy","3","","0.2","5146061","61187","","1","","","105911"
"kokkoro_idle_normal_joy","3","","0.2","5146061","61188","","1","","","1059"
"0","93","","","5146061","61189","","","","","0.3"
"jump_short","3","0.2","0.2","5146061","61190","","0","guts2_talk_joy","1","105811"
"jump_short","3","0.2","0.2","5146061","61191","","0","guts2_talk_joy","1","1058"
"vo_apg_0112","21","","","5146061","61192","","0","0","","vo_apg"
"哈～♪\n玩得真開心呢──☆","11","0","0","5146061","61193","0","9","1","1","105811"
"","91","","","5146061","61194","","","","","0"
"idle_normal","3","","0.2","5146061","61195","","1","","","105811"
"idle_normal","3","","0.2","5146061","61196","","1","","","1058"
"kokkoro_talk_normal","3","","0.2","5146061","61197","","1","","","105911"
"kokkoro_talk_normal","3","","0.2","5146061","61198","","1","","","1059"
"vo_apg_0113","21","","","5146061","61199","","0","0","","vo_apg"
"各位，\n照片似乎\n已經洗出來了。","11","0","0","5146061","61200","0","8","1","1","105911"
"","91","","","5146061","61201","","","","","0"
"kokkoro_idle_normal_joy","3","","0.2","5146061","61202","","1","","","105911"
"kokkoro_idle_normal_joy","3","","0.2","5146061","61203","","1","","","1059"
"armcrossed_in_dere_shy","3","0","0.2","5146061","61204","","0","armcrossed_talk_dere_shy","1","106011"
"armcrossed_in_dere_shy","3","0","0.2","5146061","61205","","0","armcrossed_talk_dere_shy","1","1060"
"vo_apg_0114","21","","","5146061","61206","","0","0","","vo_apg"
"唉～糟透了。\n……算了，我就姑且\n看一下拍得如何吧♪","11","0","0","5146061","61207","0","10","1","1","106011"
"","91","","","5146061","61208","","","","","0"
"0","22","","","5146061","61209","","","","","0"
"armcrossed_idle_anger_lookup","3","","0.2","5146061","61210","","0","","","106011"
"armcrossed_idle_anger_lookup","3","","0.2","5146061","61211","","0","","","1060"
"idle_normal_lookup","3","","0.2","5146061","61212","","1","","","105811"
"idle_normal_lookup","3","","0.2","5146061","61213","","1","","","1058"
"kokkoro_wish_idle_joy_lookup","3","","0.2","5146061","61214","","1","","","105911"
"kokkoro_wish_idle_joy_lookup","3","","0.2","5146061","61215","","1","","","1059"
"coaster_1_in","3","","0","5146061","61216","","0","","","21"
"se_10055900_photo","23","","","5146061","61217","","0","","","se_10055900"
"0","93","","","5146061","61218","","","","","2.3"
"idle_normal_surprise","3","","0.2","5146061","61219","","1","","","105811"
"idle_normal_surprise","3","","0.2","5146061","61220","","1","","","1058"
"kokkoro_idle_normal_surprise","3","","0.2","5146061","61221","","1","","","105911"
"kokkoro_idle_normal_surprise","3","","0.2","5146061","61222","","1","","","1059"
"pointing_in_noface","3","0","0.2","5146061","61223","","0","pointing_loop_noface","1","106011"
"pointing_in_kyaru","3","0","0.2","5146061","61224","","0","pointing_loop_kyaru","1","1060"
"vo_apg_0115","21","","","5146061","61225","","0","0","","vo_apg"
"呃，這是怎樣啊──！！！\n根本沒拍到我嘛！！？","11","0","0","5146061","61226","0","8","1","1","106011"
"1","93","","","5146061","61227","","","","","0.5"
"30","122","","","5146061","61228","","0.5","","","30"
"","91","","","5146061","61229","","","","","61226"
"surprise_talk","3","","0.2","5146061","61230","","1","","","105811"
"surprise_talk","3","","0.2","5146061","61231","","1","","","1058"
"vo_apg_0116","21","","","5146061","61232","","0","0","","vo_apg"
"……咦？\n小凱留其實\n很想被拍嗎？","11","0","0","5146061","61233","0","7","1","1","105811"
"","91","","","5146061","61234","","","","","0"
"idle_normal_talk1R","3","","0.2","5146061","61235","","1","","","105811"
"idle_normal_talk1R","3","","0.2","5146061","61236","","1","","","1058"
"kokkoro_sad_talk","3","","0.2","5146061","61237","","1","","","105911"
"kokkoro_sad_talk","3","","0.2","5146061","61238","","1","","","1059"
"vo_apg_0117","21","","","5146061","61239","","0","0","","vo_apg"
"在下以為凱留小姐不想被拍，\n就把您遮住了。\n看來似乎是在下多管閒事。","11","0","0","5146061","61240","0","8","1","1","105911"
"","91","","","5146061","61241","","","","","0"
"kokkoro_idle_normal","3","","0.2","5146061","61242","","1","","","105911"
"kokkoro_idle_normal","3","","0.2","5146061","61243","","1","","","1059"
"shock_in_shy_red","3","0","0.2","5146061","61244","","0","shock_loop_shy_red","1","106011"
"shock_in_shy_red","3","0","0.2","5146061","61245","","0","shock_loop_shy_red","1","1060"
"vo_apg_0118","21","","","5146061","61246","","0","0","","vo_apg"
"不……不是，\n也不是那樣的啦！！？","11","0","0","5146061","61247","0","9","1","1","106011"
"","91","","","5146061","61248","","","","","0"
"coaster_1_out","3","","0","5146061","61249","","0","","","21"
"kokkoro_idle_normal_joy","3","0.2","0.2","5146061","61250","","1","","","105911"
"kokkoro_idle_normal_joy","3","0.2","0.2","5146061","61251","","1","","","1059"
"joy_talk","3","0.2","0.2","5146061","61252","","1","","","105811"
"joy_talk","3","0.2","0.2","5146061","61253","","1","","","1058"
"vo_apg_0119","21","","","5146061","61254","","0","0","","vo_apg"
"什麼嘛♪\n那我們就再搭一次吧──♪","11","0","0","5146061","61255","0","9","1","1","105811"
"","91","","","5146061","61256","","","","","0"
"joy_idle","3","","0.2","5146061","61257","","1","","","105811"
"joy_idle","3","","0.2","5146061","61258","","1","","","1058"
"kokkoro_wish_talk_normal2","3","","0.2","5146061","61259","","1","","","105911"
"kokkoro_wish_talk_normal2","3","","0.2","5146061","61260","","1","","","1059"
"vo_apg_0120","21","","","5146061","61261","","0","0","","vo_apg"
"好的，就這麼做吧♪","11","0","0","5146061","61262","0","7","1","1","105911"
"","91","","","5146061","61263","","","","","0"
"0","22","","","5146061","61264","","","","","0"
"kokkoro_wish_idle_joy","3","","0.2","5146061","61265","","1","","","105911"
"kokkoro_wish_idle_joy","3","","0.2","5146061","61266","","1","","","1059"
"anger_talk_anger2_red","3","","0.2","5146061","61267","","1","","","106011"
"anger_talk_anger2_red","3","","0.2","5146061","61268","","1","","","1060"
"2","12","0","0","5146061","61269","0","2","0","0","106011"
"10","12","0","0","5146061","61270","0","2","0","0","105811"
"10","12","0","0","5146061","61271","0","2","0","0","105911"
"0","93","","","5146061","61272","","","","","2"
"","101","","","5146061","61273","","","","","61274"
"0.2","22","","","5146061","61274","","","","","0"
"100911","1","0","1.8","5146062","62001","idle_normal","103","-290","-278","1"
"1009","5","0","1.8","5146062","62002","idle_normal","104","-290","-278","3"
"131011","1","1","1.8","5146062","62003","idle_normal","100","290","-278","1"
"203","13","","","5146062","62004","","","","","100911"
"200","13","","","5146062","62005","","","","","131011"
"7","5","0","0.85","5146062","62006","idle","15","0","-174","7"
"20","5","0","1","5146062","62007","empty","210","-132","71","20"
"22","5","0","1","5146062","62008","empty","210","0","-42","22"
"21","5","0","1","5146062","62009","empty","60","0","153","21"
"1","31","","1","5146062","62010","","0","0","1","1"
"2","31","","0","5146062","62011","","0","-57.7","1","2"
"10","31","","0","5146062","62012","","0","0","1","10"
"11","31","","0","5146062","62013","","0","0","1","11"
"14","31","","0","5146062","62014","","-290","-278","1","14"
"20","31","","1","5146062","62015","","0","0","1","20"
"100911","36","","","5146062","62016","","","","","20"
"20","36","","","5146062","62017","","","","","20"
"22","36","","","5146062","62018","","","","","20"
"0","91","","","5146062","62019","","","","","0"
"0","102","","","5146062","62020","","0","","","0"
"0","93","","","5146062","62021","","","","","1"
"cool_in_dere","3","0","0.2","5146062","62022","","0","cool_talk_dere","1","100911"
"cool_in_dere","3","0","0.2","5146062","62023","","0","cool_talk_dere","1","1009"
"vo_apg_0201","21","","","5146062","62024","","0","0","","vo_apg"
"出發吧，前往極滅禁斷秘儀！\n好，麻煩妳帶路了！","11","0","0","5146062","62025","0","9","1","1","100911"
"","91","","","5146062","62026","","","","","0"
"cool_idle","3","","0.2","5146062","62027","","1","","","100911"
"cool_idle","3","","0.2","5146062","62028","","1","","","1009"
"wish_talk_joy","3","","0.2","5146062","62029","","1","","","131011"
"vo_apg_0202","21","","","5146062","62030","","0","0","","vo_apg"
"杏奈小姐竟然會感興趣，\n人家很高興呢～\n人家會好好為妳帶路的。","11","0","0","5146062","62031","0","8","1","1","131011"
"","91","","","5146062","62032","","","","","0"
"wish_idle","3","","0.2","5146062","62033","","1","","","131011"
"anna_armcrossed","3","0.2","0.2","5146062","62034","","0","sad_talk","1","100911"
"anna_armcrossed","3","0.2","0.2","5146062","62035","","0","sad_talk","1","1009"
"vo_apg_0203","21","","","5146062","62036","","0","0","","vo_apg"
"嗯！吉格魯特他們也\n挑戰過的這場試煉，我冥姬也……\n呃，咦？\n這莫非，是尖叫系設施……？","11","0","0","5146062","62037","0","9","1","1","100911"
"","91","","","5146062","62038","","","","","0"
"sad_idle","3","","0.2","5146062","62039","","1","","","100911"
"sad_idle","3","","0.2","5146062","62040","","1","","","1009"
"maho_talk_normal","3","0.2","0.2","5146062","62041","","0","surprise_talk","1","131011"
"vo_apg_0204","21","","","5146062","62042","","0","0","","vo_apg"
"這是這座遊樂園\n大受歡迎的遊樂設施喔～\n奇怪？怎麼了嗎？\n妳的臉色看起來不太好……","11","0","0","5146062","62043","0","9","1","1","131011"
"","91","","","5146062","62044","","","","","0"
"surprise_idle","3","","0.2","5146062","62045","","1","","","131011"
"anger_talk_shy","3","","0.2","5146062","62046","","1","","","100911"
"anger_talk_shy","3","","0.2","5146062","62047","","1","","","1009"
"vo_apg_0205","21","","","5146062","62048","","0","0","","vo_apg"
"我我我、我才不是感、感到害怕……\n徹徹底底，完全沒問題喔？","11","0","0","5146062","62049","0","9","1","1","100911"
"","91","","","5146062","62050","","","","","0"
"anger_idle_shy","3","","0.2","5146062","62051","","1","","","100911"
"anger_idle_shy","3","","0.2","5146062","62052","","1","","","1009"
"worry_talk","3","","0.2","5146062","62053","","1","","","131011"
"vo_apg_0206","21","","","5146062","62054","","0","0","","vo_apg"
"話雖如此，最好還是不要\n勉強自己比較好吧？","11","0","0","5146062","62055","0","9","1","1","131011"
"","91","","","5146062","62056","","","","","0"
"wish_idle_shy","3","","0.2","5146062","62057","","1","","","131011"
"anger_talk_pain","3","","0.2","5146062","62058","","1","","","100911"
"anger_talk_pain","3","","0.2","5146062","62059","","1","","","1009"
"vo_apg_0207","21","","","5146062","62060","","0","0","","vo_apg"
"沒事！我、我都說沒問題了！\n妳都帶我到這裡了，怎麼能退縮……\n我要上了！突擊────！","11","0","0","5146062","62061","0","9","1","1","100911"
"","91","","","5146062","62062","","","","","0"
"0","22","","","5146062","62063","","","","","0"
"run_dash_anger2","3","","0.2","5146062","62064","","1","","","100911"
"run_dash_anger2","3","","0.2","5146062","62065","","1","","","1009"
"walk_surprise","3","","0.2","5146062","62066","","1","","","131011"
"-129","2","","","5146062","62067","","-278","2","0","100911"
"-129","2","","","5146062","62068","","-278","2","0","1009"
"129","2","","","5146062","62069","","-278","2","0","131011"
"1","32","","","5146062","62070","","","","","14"
"left","37","","","5146062","62071","","","","","14"
"-129","33","","","5146062","62072","","-278","2","0","14"
"0","93","","","5146062","62073","","","","","1"
"1","32","","","5146062","62074","","","","","2"
"0","93","","","5146062","62075","","","","","1.5"
"0","32","","","5146062","62076","","","","","14"
"0","2","","","5146062","62077","","-331","0","0","100911"
"scale15","37","","","5146062","62078","","","","","20"
"se_10055900_coaster_01","23","","","5146062","62079","","1","","","se_10055900"
"vo_apg_0208","21","","","5146062","62080","","0","0","","vo_apg"
"0208_in","3","","0","5146062","62081","","0","","","22"
"1","93","","","5146062","62082","","","","","3.3"
"0208_mid","3","","0","5146062","62083","","0","","","22"
"","92","","","5146062","62084","","","","",""
"0208_out","3","","0","5146062","62085","","0","","","22"
"0","93","","","5146062","62086","","","","","0.2"
"0","93","","","5146062","62087","","","","","0.3"
"scale1","37","","","5146062","62088","","","","","20"
"1","32","","","5146062","62089","","","","","10"
"0.5","24","","","5146062","62090","","","","","se_10055900_coaster_01"
"se_10055900_coaster_02","23","","","5146062","62091","","1","","","se_10055900"
"0","2","","","5146062","62092","","0","0","0","20"
"30","122","","","5146062","62093","","0.5","","","30"
"vo_apg_0209","21","","","5146062","62094","","0","0","","vo_apg"
"0209_in","3","","0","5146062","62095","","0","","","20"
"1","93","","","5146062","62096","","","","","2.6"
"0209_mid","3","","0","5146062","62097","","0","","","20"
"","92","","","5146062","62098","","","","",""
"0209_out","3","","0","5146062","62099","","0","","","20"
"0","93","","","5146062","62100","","","","","0.2"
"30","122","","","5146062","62101","","1","","","30"
"vo_apg_0210","21","","","5146062","62102","","0","0","","vo_apg"
"0210_in","3","","0","5146062","62103","","0","","","20"
"1","93","","","5146062","62104","","","","","2.7"
"0210_mid","3","","0","5146062","62105","","0","","","20"
"","92","","","5146062","62106","","","","",""
"0210_out","3","","0","5146062","62107","","0","","","20"
"0","93","","","5146062","62108","","","","","0.2"
"0","22","","","5146062","62109","","","","","0"
"empty","3","","0","5146062","62110","","1","","","20"
"","93","","","5146062","62111","","","","","1"
"1","32","","","5146062","62112","","","","","11"
"se_10055900_camera","23","","","5146062","62113","","0","","","se_10055900"
"0","93","","","5146062","62114","","","","","0.2"
"0","32","","","5146062","62115","","","","","10"
"0","93","","","5146062","62116","","","","","1.8"
"0.5","24","","","5146062","62117","","","","","se_10055900_coaster_02"
"iris_out","37","","","5146062","62118","","","","","2"
"-129","2","","","5146062","62119","","-278","0","0","100911"
"-129","2","","","5146062","62120","","-278","0","0","1009"
"129","2","","","5146062","62121","","-278","0","0","131011"
"anna_walk","3","","0.2","5146062","62122","","1","","","100911"
"anna_walk","3","","0.2","5146062","62123","","1","","","1009"
"walk_normal_joy","3","","0.2","5146062","62124","","1","","","131011"
"-290","2","","","5146062","62125","","-278","2","0","100911"
"-290","2","","","5146062","62126","","-278","2","0","1009"
"290","2","","","5146062","62127","","-278","2","0","131011"
"1","4","","","5146062","62128","","","","","100911"
"1","4","","","5146062","62129","","","","","1009"
"0","4","","","5146062","62130","","","","","131011"
"0","93","","","5146062","62131","","","","","2"
"0","4","","","5146062","62132","","","","","100911"
"0","4","","","5146062","62133","","","","","1009"
"1","4","","","5146062","62134","","","","","131011"
"anna_idle","3","","0.2","5146062","62135","","1","","","100911"
"anna_idle","3","","0.2","5146062","62136","","1","","0","1009"
"idle_normal","3","","0.2","5146062","62137","","1","","","131011"
"0","93","","","5146062","62138","","","","","0.5"
"talk_normal_surprise","3","","0.2","5146062","62139","","1","","","131011"
"vo_apg_0211","21","","","5146062","62140","","0","0","","vo_apg"
"妳覺得如何呢？\n發出了很響亮的喊叫聲呢。","11","0","0","5146062","62141","0","10","1","1","131011"
"","91","","","5146062","62142","","","","","0"
"idle_normal_surprise","3","","0.2","5146062","62143","","1","","","131011"
"anna_kukuku_in","3","0","0.2","5146062","62144","","0","anna_kukuku_loop","1","100911"
"anna_kukuku_in","3","0","0.2","5146062","62145","","0","anna_kukuku_loop","1","1009"
"vo_apg_0212","21","","","5146062","62146","","0","0","","vo_apg"
"呵、呵呵呵……吉格魯特啊……\n我也，看得見了……時之刻！","11","0","20","5146062","62147","0","12","1","1","100911"
"","91","","","5146062","62148","","","","","0"
"coaster_2_in","3","","0","5146062","62149","","0","","","21"
"se_10055900_photo","23","","","5146062","62150","","0","","","se_10055900"
"0","93","","","5146062","62151","","","","","0.1"
"anna_ahaha_in","3","0","0.2","5146062","62152","","0","anna_ahaha_loop","1","100911"
"anna_ahaha_in","3","0","0.2","5146062","62153","","0","anna_ahaha_loop","1","1009"
"vo_apg_0213","21","","","5146062","62154","","0","0","","vo_apg"
"此刻，冥姬\n超越了疾風！","11","0","-30","5146062","62155","0","8","1","1","100911"
"","91","","","5146062","62156","","","","","0"
