43dc342d9b9a2d5915bbf371bbff48c6bc8e60ea74ed123ccc62d4f91c6e7ce7,ba163658d2213b30061ebe4950dc200d92ff74022dd75bfadfaed57f252b0484,1cf52b94e1dbe8fed25fb81af65a7c0edc35773a2ac2e91d55e2b5213926d6b6,f9966f3a5c0939f26d6ca0666a8dcc2d9f4c1ba543518b95c23b0c71b471f995,70327a93cb14405f861be83ff093d49d29d12507c67d2c83f3dac1bff67efa9b,0f46b1b2e762303277f3936bf78699d1db6347ea08bd3d02b4a27077a3e36e71,cb6eefe633cde3859d9b309e31259fd5f51c55a37f105ca13b9601c437a64e7e,162cecdc2556c042f630519256e9bb55eddacba517bb58b20a4c08da5aab8672
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11212","與強敵間的戰鬥令人興奮！","42_chris_cool","11212","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11221","試試身手吧！","41_matsuri_guts","11221","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11222","與強敵間的戰鬥令人興奮！","42_chris_cool","11222","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11231","試試身手吧！","41_matsuri_guts","11231","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11232","與強敵間的戰鬥令人興奮！","42_chris_cool","11232","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11241","試試身手吧！","41_matsuri_guts","11241","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11242","與強敵間的戰鬥令人興奮！","42_chris_cool","11242","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11251","試試身手吧！","41_matsuri_guts","11251","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11252","與強敵間的戰鬥令人興奮！","42_chris_cool","11252","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11261","試試身手吧！","41_matsuri_guts","11261","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11262","與強敵間的戰鬥令人興奮！","42_chris_cool","11262","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11271","試試身手吧！","41_matsuri_guts","11271","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11272","與強敵間的戰鬥令人興奮！","42_chris_cool","11272","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11281","試試身手吧！","41_matsuri_guts","11281","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11282","與強敵間的戰鬥令人興奮！","42_chris_cool","11282","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11291","試試身手吧！","41_matsuri_guts","11291","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11292","與強敵間的戰鬥令人興奮！","42_chris_cool","11292","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11301","試試身手吧！","41_matsuri_guts","11301","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11302","與強敵間的戰鬥令人興奮！","42_chris_cool","11302","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11311","試試身手吧！","41_matsuri_guts","11311","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11312","與強敵間的戰鬥令人興奮！","42_chris_cool","11312","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11321","試試身手吧！","41_matsuri_guts","11321","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11322","與強敵間的戰鬥令人興奮！","42_chris_cool","11322","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11331","試試身手吧！","41_matsuri_guts","11331","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11332","與強敵間的戰鬥令人興奮！","42_chris_cool","11332","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11341","試試身手吧！","41_matsuri_guts","11341","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11342","與強敵間的戰鬥令人興奮！","42_chris_cool","11342","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11351","試試身手吧！","41_matsuri_guts","11351","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11352","與強敵間的戰鬥令人興奮！","42_chris_cool","11352","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11361","試試身手吧！","41_matsuri_guts","11361","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11362","與強敵間的戰鬥令人興奮！","42_chris_cool","11362","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11371","試試身手吧！","41_matsuri_guts","11371","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11372","與強敵間的戰鬥令人興奮！","42_chris_cool","11372","0"
"105601","0","50％★1迷宮遺物×1\n接著前往下一個活動","13141","來放鬆\n釣個魚吧","51_ruka_fishing","13141","0"
"105801","0","50％前往下一個活動","13151","大家\n一起來做菜吧♪","91_peko_guts","13151","0"
"106601","0","50％始源盧幣×2000\n接著前往下一個活動","13161","那我也上吧！","61_inori_guts","13161","0"
"105601","0","25％★2迷宮遺物×1\n接著前往下一個活動","23141","再挑戰一次！","52_ruka_fishing","23141","0"
"105801","0","50％前往下一個活動","23151","還遠遠\n沒吃夠☆","92_peko_guts","23151","1"
"106001","0","隨機職階的\n隨機印記×2","23152","差不多那樣\n就行了吧？","92_kyaru_sad","23152","0"
"106601","2000","50％始源盧幣×4000\n接著前往下一個活動","23161","今天真走運！","62_inori_guts","23161","1"
"105501","0","挑戰結束","23162","差不多就到這裡吧……","62_ayumi_sad","23162","0"
"105601","0","10％★3迷宮遺物×1","33141","最後再來一場！","53_ruka_fishing","33141","0"
"105801","0","50％全自選印記×２","33151","嘿嘿～\n再一下就好……","93_peko_guts","33151","1"
"106001","0","隨機職階的\n自選印記×2","33152","不可能\n吃得下這麼多吧！","93_kyaru_anger","33152","0"
"106601","4000","50％始源盧幣×8000","33161","今天的我\n百戰百勝！","63_inori_guts","33161","1"
"105501","0","挑戰結束","33162","差不多住手了比較好……","63_ayumi_worry","33162","0"
