5382fa3003a5f691bd567cf3d463d88af09a1ec323cfe916c3718ead7a3ae3cf,152c12ea97729bbd575c7cbb4d8571a10e93689445ea12ffeae1bfafca93c144,fce14034fe930d5f196d8c98dfe17c57b214398ee0892254c6ba6b7fc7ac2d32,f073a60ee0d1edb5e31ddaf6ed51833dab892b1bac3c2d970074693dfd1963ee,4e95279bc706b986afd5db701321690668ff4f89da32fab161ec68084e8e1442
"18","傷害值衰減","92407110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","17"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","18"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","19"
"17","賦予TP上升的上限","92407110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","20"
"9","降低HP吸收","92407110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","21"
"boss_tp_down_cut","減少降低TP","92407110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","22"
"12","火屬性獎勵特大幅度提升","92407120","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","23"
"18","傷害值衰減","92407120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","24"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407120","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","25"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407120","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","26"
"17","賦予TP上升的上限","92407120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","27"
"9","降低HP吸收","92407120","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","28"
"boss_tp_down_cut","減少降低TP","92407120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","29"
"12","火屬性獎勵特大幅度提升","92407130","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","30"
"18","傷害值衰減","92407130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","31"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407130","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","32"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407130","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","33"
"17","賦予TP上升的上限","92407130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","34"
"9","降低HP吸收","92407130","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","35"
"boss_tp_down_cut","減少降低TP","92407130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","36"
"12","火屬性獎勵特大幅度提升","92407140","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","37"
"18","傷害值衰減","92407140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","38"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407140","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","39"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407140","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","40"
"17","賦予TP上升的上限","92407140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","41"
"9","降低HP吸收","92407140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","42"
"boss_tp_down_cut","減少降低TP","92407140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","43"
"12","火屬性獎勵特大幅度提升","92407210","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","44"
"18","傷害值衰減","92407210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","45"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","46"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","47"
"17","賦予TP上升的上限","92407210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","48"
"9","降低HP吸收","92407210","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","49"
"boss_tp_down_cut","減少降低TP","92407210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","50"
"energy_recover","TP恢復","92407210","戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。","51"
"12","火屬性獎勵特大幅度提升","92407220","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","52"
"18","傷害值衰減","92407220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","53"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","54"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","55"
"17","賦予TP上升的上限","92407220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","56"
"9","降低HP吸收","92407220","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","57"
"boss_tp_down_cut","減少降低TP","92407220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","58"
"12","火屬性獎勵特大幅度提升","92407230","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","59"
"18","傷害值衰減","92407230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","60"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407230","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","61"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407230","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","62"
"17","賦予TP上升的上限","92407230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","63"
"9","降低HP吸收","92407230","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","64"
"boss_tp_down_cut","減少降低TP","92407230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","65"
"12","火屬性獎勵特大幅度提升","92407240","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","66"
"18","傷害值衰減","92407240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","67"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407240","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","68"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407240","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","69"
"17","賦予TP上升的上限","92407240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","70"
"9","降低HP吸收","92407240","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","71"
"boss_tp_down_cut","減少降低TP","92407240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","72"
"12","火屬性獎勵特大幅度提升","92407310","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","73"
"18","傷害值衰減","92407310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76"
"17","賦予TP上升的上限","92407310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","77"
"9","降低HP吸收","92407310","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","78"
"boss_tp_down_cut","減少降低TP","92407310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","79"
"12","火屬性獎勵特大幅度提升","92407320","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","80"
"18","傷害值衰減","92407320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407320","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","82"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407320","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","83"
"17","賦予TP上升的上限","92407320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","84"
"9","降低HP吸收","92407320","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","85"
"boss_tp_down_cut","減少降低TP","92407320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","86"
"12","火屬性獎勵特大幅度提升","92407330","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","87"
"18","傷害值衰減","92407330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","88"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407330","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","89"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407330","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","90"
"17","賦予TP上升的上限","92407330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","91"
"9","降低HP吸收","92407330","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","92"
"boss_tp_down_cut","減少降低TP","92407330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","93"
"12","火屬性獎勵特大幅度提升","92407340","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","94"
"18","傷害值衰減","92407340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","95"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407340","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","96"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407340","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","97"
"17","賦予TP上升的上限","92407340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","98"
"9","降低HP吸收","92407340","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","99"
"boss_tp_down_cut","減少降低TP","92407340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","100"
"13","水屬性獎勵特大幅度提升","92408010","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","101"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","102"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","103"
"17","賦予TP上升的上限","92408010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","104"
"9","降低HP吸收","92408010","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","105"
"13","水屬性獎勵特大幅度提升","92408020","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","106"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","107"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","108"
"17","賦予TP上升的上限","92408020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","109"
"9","降低HP吸收","92408020","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","110"
"13","水屬性獎勵特大幅度提升","92408030","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","111"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","112"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","113"
"17","賦予TP上升的上限","92408030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","114"
"9","降低HP吸收","92408030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","115"
"13","水屬性獎勵特大幅度提升","92408110","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","116"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","117"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","118"
"boss_tp_down_cut","減少降低TP","92408110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","119"
"18","傷害值衰減","92408110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","120"
"17","賦予TP上升的上限","92408110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","121"
"9","降低HP吸收","92408110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","122"
"13","水屬性獎勵特大幅度提升","92408120","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","123"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","124"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","125"
"boss_tp_down_cut","減少降低TP","92408120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","126"
"18","傷害值衰減","92408120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","127"
"17","賦予TP上升的上限","92408120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","128"
"9","降低HP吸收","92408120","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","129"
"13","水屬性獎勵特大幅度提升","92408130","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","130"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","131"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","132"
"boss_tp_down_cut","減少降低TP","92408130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","133"
"18","傷害值衰減","92408130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","134"
"17","賦予TP上升的上限","92408130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","135"
"9","降低HP吸收","92408130","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","136"
"13","水屬性獎勵特大幅度提升","92408140","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","137"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","138"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","139"
"boss_tp_down_cut","減少降低TP","92408140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","140"
"18","傷害值衰減","92408140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","141"
"17","賦予TP上升的上限","92408140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","142"
"9","降低HP吸收","92408140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","143"
"13","水屬性獎勵特大幅度提升","92408210","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","144"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","145"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","146"
"boss_tp_down_cut","減少降低TP","92408210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","147"
"18","傷害值衰減","92408210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","148"
"17","賦予TP上升的上限","92408210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","149"
"9","降低HP吸收","92408210","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","150"
"13","水屬性獎勵特大幅度提升","92408220","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","151"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","152"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","153"
"boss_tp_down_cut","減少降低TP","92408220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","154"
"18","傷害值衰減","92408220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","155"
"17","賦予TP上升的上限","92408220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","156"
"9","降低HP吸收","92408220","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","157"
"13","水屬性獎勵特大幅度提升","92408230","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","158"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","159"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","160"
"boss_tp_down_cut","減少降低TP","92408230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","161"
"18","傷害值衰減","92408230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","162"
"17","賦予TP上升的上限","92408230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","163"
"9","降低HP吸收","92408230","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","164"
"13","水屬性獎勵特大幅度提升","92408240","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","165"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","166"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","167"
"boss_tp_down_cut","減少降低TP","92408240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","168"
"18","傷害值衰減","92408240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","169"
"17","賦予TP上升的上限","92408240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","170"
"9","降低HP吸收","92408240","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","171"
"13","水屬性獎勵特大幅度提升","92408310","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","172"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","173"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","174"
"boss_tp_down_cut","減少降低TP","92408310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","175"
"18","傷害值衰減","92408310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","176"
"17","賦予TP上升的上限","92408310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","177"
"9","降低HP吸收","92408310","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","178"
"13","水屬性獎勵特大幅度提升","92408320","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","179"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","180"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","181"
"boss_tp_down_cut","減少降低TP","92408320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","182"
"18","傷害值衰減","92408320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","183"
"17","賦予TP上升的上限","92408320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","184"
"9","降低HP吸收","92408320","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","185"
"13","水屬性獎勵特大幅度提升","92408330","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","186"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","187"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","188"
"boss_tp_down_cut","減少降低TP","92408330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","189"
"18","傷害值衰減","92408330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","190"
"17","賦予TP上升的上限","92408330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","191"
"9","降低HP吸收","92408330","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","192"
"13","水屬性獎勵特大幅度提升","92408340","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","193"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92408340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","194"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","195"
"boss_tp_down_cut","減少降低TP","92408340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","196"
"18","傷害值衰減","92408340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","197"
"17","賦予TP上升的上限","92408340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","198"
"9","降低HP吸收","92408340","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","199"
"16","闇屬性獎勵特大幅度提升","92409010","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","200"
