41a7c7afb1bbb613731c918ecae0e5d9346bebd388d6d0a651cc817841188dc0,8811274705195cc75fcd32e86292e3851c96af17036e931f5884dba714b44580,62fe616e7110bb805a207b20b6005c112850978a478a98eaf1d06ce1f6281aaf,aaf682d1fc3526db89a22a5cd817527032571f27a49394835f2087b6f8cc32aa,04598f37d87430f6c2090bb52031fe436fa236fd27650c2316628040339f0af6,be876ed375430bc2cdd65c0e99b8c6fb169bb8caaabb518b79867694389889ca,770be2cded8a46dc6615054b5732edf3f67320db3d7ffdda55731cdce93f5ea5,4ee62c4debc0f69d513cb84d72b420fff80927cc29e67ec1d590c5e138f9e196,92319ba79f7e3bbf60f7ce92858d90ba15fda0133eb6301faf11433c7588f28a,99dbf6b022c54e92eea6430eca4da210a6a71cf481933d99039d94579389413e,115368d4b58ba10b10dba5700d782e8b6ae36e122a43f0d3527a4d918bfc0fe7,22901bffdae82c81d53d943a60336a04c909d04bfebf549c3f900f46e9ab3ca3
"31001302","2023/04/17 16:00:00","30","對幻影男爵造成750萬累積傷害","7500000","0","1001","3","2023/04/24 15:59:59","3003","7004","31001302"
"31001303","2023/04/17 16:00:00","30","對幻影男爵造成1000萬累積傷害","10000000","0","1001","3","2023/04/24 15:59:59","3003","7004","31001303"
"31001311","2023/04/17 16:00:00","31","在1場戰鬥中對幻影男爵造成250萬傷害","1","2500000","1001","3","2023/04/24 15:59:59","3003","7005","31001311"
"31001312","2023/04/17 16:00:00","31","在1場戰鬥中對幻影男爵造成500萬傷害","1","5000000","1001","3","2023/04/24 15:59:59","3003","7005","31001312"
"31001401","2023/04/17 16:00:00","40","對天塔帕斯造成500萬累積傷害","5000000","0","1001","3","2023/04/24 15:59:59","3004","7004","31001401"
"31001402","2023/04/17 16:00:00","40","對天塔帕斯造成750萬累積傷害","7500000","0","1001","3","2023/04/24 15:59:59","3004","7004","31001402"
"31001403","2023/04/17 16:00:00","40","對天塔帕斯造成1000萬累積傷害","10000000","0","1001","3","2023/04/24 15:59:59","3004","7004","31001403"
"31001411","2023/04/17 16:00:00","41","在1場戰鬥中對天塔帕斯造成250萬傷害","1","2500000","1001","3","2023/04/24 15:59:59","3004","7005","31001411"
"31001412","2023/04/17 16:00:00","41","在1場戰鬥中對天塔帕斯造成500萬傷害","1","5000000","1001","3","2023/04/24 15:59:59","3004","7005","31001412"
"31002101","2023/04/17 16:00:00","10","對豪紳造成500萬累積傷害","5000000","0","1002","3","2023/04/24 15:59:59","3005","7004","31002101"
"31002102","2023/04/17 16:00:00","10","對豪紳造成750萬累積傷害","7500000","0","1002","3","2023/04/24 15:59:59","3005","7004","31002102"
"31002103","2023/04/17 16:00:00","10","對豪紳造成1000萬累積傷害","10000000","0","1002","3","2023/04/24 15:59:59","3005","7004","31002103"
"31002104","2023/04/17 16:00:00","10","對豪紳造成1億1000萬累積傷害","110000000","0","1002","3","2023/04/24 15:59:59","3005","7004","31002104"
"31002111","2023/04/17 16:00:00","11","在1場戰鬥中對豪紳造成250萬傷害","1","2500000","1002","3","2023/04/24 15:59:59","3005","7005","31002111"
"31002112","2023/04/17 16:00:00","11","在1場戰鬥中對豪紳造成500萬傷害","1","5000000","1002","3","2023/04/24 15:59:59","3005","7005","31002112"
"31002113","2023/04/17 16:00:00","11","在1場戰鬥中對豪紳造成2200萬傷害","1","22000000","1002","3","2023/04/24 15:59:59","3005","7005","31002113"
"31003101","2023/04/17 16:00:00","10","對阿爾瑪＆奧拉姆造成500萬累積傷害","5000000","0","1003","3","2023/04/24 15:59:59","3006","7004","31003101"
"31003102","2023/04/17 16:00:00","10","對阿爾瑪＆奧拉姆造成750萬累積傷害","7500000","0","1003","3","2023/04/24 15:59:59","3006","7004","31003102"
"31003103","2023/04/17 16:00:00","10","對阿爾瑪＆奧拉姆造成1000萬累積傷害","10000000","0","1003","3","2023/04/24 15:59:59","3006","7004","31003103"
"31003104","2023/04/17 16:00:00","10","對阿爾瑪＆奧拉姆造成1億累積傷害","100000000","0","1003","3","2023/04/24 15:59:59","3006","7004","31003104"
"31003111","2023/04/17 16:00:00","11","在1場戰鬥中對阿爾瑪＆奧拉姆造成250萬傷害","1","2500000","1003","3","2023/04/24 15:59:59","3006","7005","31003111"
"31003112","2023/04/17 16:00:00","11","在1場戰鬥中對阿爾瑪＆奧拉姆造成500萬傷害","1","5000000","1003","3","2023/04/24 15:59:59","3006","7005","31003112"
"31003113","2023/04/17 16:00:00","11","在1場戰鬥中對阿爾瑪＆奧拉姆造成2000萬傷害","1","20000000","1003","3","2023/04/24 15:59:59","3006","7005","31003113"
"31003201","2023/04/17 16:00:00","20","對好朋友X＆無名的藝術造成500萬累積傷害","5000000","0","1003","3","2023/04/24 15:59:59","3007","7004","31003201"
"31003202","2023/04/17 16:00:00","20","對好朋友X＆無名的藝術造成750萬累積傷害","7500000","0","1003","3","2023/04/24 15:59:59","3007","7004","31003202"
"31003203","2023/04/17 16:00:00","20","對好朋友X＆無名的藝術造成1000萬累積傷害","10000000","0","1003","3","2023/04/24 15:59:59","3007","7004","31003203"
"31003204","2023/04/17 16:00:00","20","對好朋友X＆無名的藝術造成1億2000萬累積傷害","120000000","0","1003","3","2023/04/24 15:59:59","3007","7004","31003204"
"31003211","2023/04/17 16:00:00","21","在1場戰鬥中對好朋友X＆無名的藝術造成250萬傷害","1","2500000","1003","3","2023/04/24 15:59:59","3007","7005","31003211"
"31003212","2023/04/17 16:00:00","21","在1場戰鬥中對好朋友X＆無名的藝術造成500萬傷害","1","5000000","1003","3","2023/04/24 15:59:59","3007","7005","31003212"
"31003213","2023/04/17 16:00:00","21","在1場戰鬥中對好朋友X＆無名的藝術造成2400萬傷害","1","24000000","1003","3","2023/04/24 15:59:59","3007","7005","31003213"
