592c56495f5937ad3e0cf0b2388139c5dc9d3b20cae71d32f5f04dd3ec8d4627,e0afea7c9233325d7b6cc00fcdd1834687a126dd0c882f4264b24ce4cb55f64e,9e5903a51a6ab6c6734bda16c661fe7f56f4c8bfe0de282cb5602e08ab68ed3e,1eb1286a5ab53ac5ec2f13515c11179210b7bff14eeab5197fe1fcd01ab11c9e,179b8d880b74a6628ee220efa253deb7de181c0f9152612ac6adbb397af76e55,3a79e537cc318a09a0a0ac81de7708b4d77ca432ee2b9fbd5fce8ca0ce27d36a,942e31156f655c81bff0327c44b9461d3bd2f7ff63676ad8932ba12badc0679a,bdbaae33064d43d566f63a6632b33f0c85af8df58c335572ba76a64bfd584c29,0a7bab0454dc4aca2a630a0cc5a9f61c677cfb681a6383b76bc9ddbbcd013f10,dee0738020e9e30bd685202f6dbc730a7d5bcfde89765c2efb2ae88633d309d1,174b25320e63f5f2f5a0cea498f40cff641407b9b908003bc2351b8ebc5dfe1a
"93","","","101110036","","","0","","2.5","","111"
"32","","","101110037","","","1","","10031","","111"
"93","","","101110038","","","0","","0.4","","111"
"91","","","101110039","","","0","","0","","111"
"23","","","102110001","","0","se_travel_start_2pt","","se_travel","","211"
"31","1","","102110002","0","0","10010","1","10010","","211"
"31","1","","102110003","0","0","10011","1","10011","","211"
"31","1","","102110004","0","0","10020","0","10020","","211"
"1","-90","0","102110005","-100","62","1001001","0.68","2","<weapon>_idle","211"
"1","-15","0","102110006","-170","61","1001002","0.68","2","<weapon>_idle","211"
"1","-105","0","102110007","-240","63","1001003","0.68","2","<weapon>_idle","211"
"1","-15","0","102110008","-310","61","1001004","0.68","2","<weapon>_idle","211"
"1","-90","0","102110009","-380","62","1001005","0.68","2","<weapon>_idle","211"
"31","0.68","0","102110010","-90","-100","1001001","1","10012","","211"
"31","0.68","0","102110011","-15","-170","1001002","1","10012","","211"
"31","0.68","0","102110012","-105","-240","1001003","1","10012","","211"
"31","0.68","0","102110013","-15","-310","1001004","1","10012","","211"
"31","0.68","0","102110014","-90","-380","1001005","1","10012","","211"
"1","-240","0","102110015","-500","52","1002001","0.68","2","<weapon>_idle","211"
"1","-165","0","102110016","-570","51","1002002","0.68","2","<weapon>_idle","211"
"1","-255","0","102110017","-640","53","1002003","0.68","2","<weapon>_idle","211"
"1","-165","0","102110018","-710","51","1002004","0.68","2","<weapon>_idle","211"
"1","-240","0","102110019","-780","52","1002005","0.68","2","<weapon>_idle","211"
"31","0.68","0","102110020","-240","-500","1002001","1","10012","","211"
"31","0.68","0","102110021","-165","-570","1002002","1","10012","","211"
"31","0.68","0","102110022","-255","-640","1002003","1","10012","","211"
"31","0.68","0","102110023","-165","-710","1002004","1","10012","","211"
"31","0.68","0","102110024","-240","-780","1002005","1","10012","","211"
"31","1","","102110025","0","0","10030","0","10030","","211"
"31","1","","102110026","0","0","10031","0","10031","","211"
"91","","","102110027","","","0","","","","211"
"32","","","102110028","","","1","","10030","","211"
"91","","","102110029","","","0","","0","","211"
"3","0","","102110030","","1","<weapon>_run","0","1001001","","211"
"3","0","","102110031","","1","<weapon>_run","0","1001002","","211"
"3","0","","102110032","","1","<weapon>_run","0","1001003","","211"
"3","0","","102110033","","1","<weapon>_run","0","1001004","","211"
"3","0","","102110034","","1","<weapon>_run","0","1001005","","211"
"2","0","","102110035","3","-90","850","","1001001","","211"
"2","0","","102110036","3","-15","780","","1001002","","211"
"2","0","","102110037","3","-105","710","","1001003","","211"
"2","0","","102110038","3","-15","640","","1001004","","211"
"2","0","","102110039","3","-90","570","","1001005","","211"
"33","0","","102110040","3","-90","850","","1001001","","211"
"33","0","","102110041","3","-15","780","","1001002","","211"
"33","0","","102110042","3","-105","710","","1001003","","211"
"33","0","","102110043","3","-15","640","","1001004","","211"
"33","0","","102110044","3","-90","570","","1001005","","211"
"3","0","","102110045","","1","<weapon>_run","0","1002001","","211"
"3","0","","102110046","","1","<weapon>_run","0","1002002","","211"
"3","0","","102110047","","1","<weapon>_run","0","1002003","","211"
"3","0","","102110048","","1","<weapon>_run","0","1002004","","211"
"3","0","","102110049","","1","<weapon>_run","0","1002005","","211"
"2","0","","102110050","3","-240","450","","1002001","","211"
"2","0","","102110051","3","-165","380","","1002002","","211"
"2","0","","102110052","3","-255","310","","1002003","","211"
"2","0","","102110053","3","-165","240","","1002004","","211"
"2","0","","102110054","3","-240","170","","1002005","","211"
"33","0","","102110055","3","-240","450","","1002001","","211"
"33","0","","102110056","3","-165","380","","1002002","","211"
"33","0","","102110057","3","-255","310","","1002003","","211"
"33","0","","102110058","3","-165","240","","1002004","","211"
"33","0","","102110059","3","-240","170","","1002005","","211"
"32","","","102110060","","","1","","10020","","211"
"93","","","102110061","","","0","","2.5","","211"
"32","","","102110062","","","1","","10031","","211"
"93","","","102110063","","","0","","0.4","","211"
"91","","","102110064","","","0","","0","","211"
"23","","","103110001","","0","se_travel_start_3pt","","se_travel","","311"
"31","1","","103110002","0","0","10010","1","10010","","311"
"31","1","","103110003","0","0","10011","1","10011","","311"
"31","1","","103110004","0","0","10020","0","10020","","311"
"1","-240","0","103110005","0","62","1001001","0.68","2","<weapon>_idle","311"
"1","-165","0","103110006","-70","61","1001002","0.68","2","<weapon>_idle","311"
"1","-255","0","103110007","-140","63","1001003","0.68","2","<weapon>_idle","311"
"1","-165","0","103110008","-210","61","1001004","0.68","2","<weapon>_idle","311"
"1","-240","0","103110009","-280","62","1001005","0.68","2","<weapon>_idle","311"
"31","0.68","0","103110010","-240","0","1001001","1","10012","","311"
"31","0.68","0","103110011","-165","-70","1001002","1","10012","","311"
"31","0.68","0","103110012","-255","-140","1001003","1","10012","","311"
"31","0.68","0","103110013","-165","-210","1001004","1","10012","","311"
"31","0.68","0","103110014","-240","-280","1001005","1","10012","","311"
"1","-60","0","103110015","-250","52","1002001","0.68","2","<weapon>_idle","311"
"1","15","0","103110016","-320","51","1002002","0.68","2","<weapon>_idle","311"
"1","-75","0","103110017","-390","53","1002003","0.68","2","<weapon>_idle","311"
"1","15","0","103110018","-460","51","1002004","0.68","2","<weapon>_idle","311"
"1","-60","0","103110019","-530","52","1002005","0.68","2","<weapon>_idle","311"
"31","0.68","0","103110020","-60","-250","1002001","1","10012","","311"
"31","0.68","0","103110021","15","-320","1002002","1","10012","","311"
"31","0.68","0","103110022","-75","-390","1002003","1","10012","","311"
"31","0.68","0","103110023","15","-460","1002004","1","10012","","311"
"31","0.68","0","103110024","-60","-530","1002005","1","10012","","311"
"1","-250","0","103110025","-500","62","1003001","0.68","2","<weapon>_idle","311"
"1","-175","0","103110026","-570","61","1003002","0.68","2","<weapon>_idle","311"
"1","-265","0","103110027","-640","63","1003003","0.68","2","<weapon>_idle","311"
"1","-175","0","103110028","-710","61","1003004","0.68","2","<weapon>_idle","311"
"1","-250","0","103110029","-780","62","1003005","0.68","2","<weapon>_idle","311"
"31","0.68","0","103110030","-250","-500","1003001","1","10012","","311"
"31","0.68","0","103110031","-175","-570","1003002","1","10012","","311"
"31","0.68","0","103110032","-265","-640","1003003","1","10012","","311"
"31","0.68","0","103110033","-175","-710","1003004","1","10012","","311"
"31","0.68","0","103110034","-250","-780","1003005","1","10012","","311"
"31","1","","103110035","0","0","10030","0","10030","","311"
"31","1","","103110036","0","0","10031","0","10031","","311"
"91","","","103110037","","","0","","","","311"
"32","","","103110038","","","1","","10030","","311"
"91","","","103110039","","","0","","0","","311"
"3","0","","103110040","","1","<weapon>_run","0","1001001","","311"
"3","0","","103110041","","1","<weapon>_run","0","1001002","","311"
"3","0","","103110042","","1","<weapon>_run","0","1001003","","311"
"3","0","","103110043","","1","<weapon>_run","0","1001004","","311"
"3","0","","103110044","","1","<weapon>_run","0","1001005","","311"
"2","0","","103110045","3","-240","950","","1001001","","311"
"2","0","","103110046","3","-165","880","","1001002","","311"
"2","0","","103110047","3","-255","810","","1001003","","311"
"2","0","","103110048","3","-165","740","","1001004","","311"
"2","0","","103110049","3","-240","670","","1001005","","311"
"33","0","","103110050","3","-240","950","","1001001","","311"
"33","0","","103110051","3","-165","880","","1001002","","311"
"33","0","","103110052","3","-255","810","","1001003","","311"
"33","0","","103110053","3","-165","740","","1001004","","311"
"33","0","","103110054","3","-240","670","","1001005","","311"
"3","0","","103110055","","1","<weapon>_run","0","1002001","","311"
"3","0","","103110056","","1","<weapon>_run","0","1002002","","311"
"3","0","","103110057","","1","<weapon>_run","0","1002003","","311"
"3","0","","103110058","","1","<weapon>_run","0","1002004","","311"
"3","0","","103110059","","1","<weapon>_run","0","1002005","","311"
"2","0","","103110060","3","-60","700","","1002001","","311"
"2","0","","103110061","3","15","630","","1002002","","311"
"2","0","","103110062","3","-75","560","","1002003","","311"
"2","0","","103110063","3","15","490","","1002004","","311"
"2","0","","103110064","3","-60","420","","1002005","","311"
"33","0","","103110065","3","-60","700","","1002001","","311"
"33","0","","103110066","3","15","630","","1002002","","311"
"33","0","","103110067","3","-75","560","","1002003","","311"
"33","0","","103110068","3","15","490","","1002004","","311"
"33","0","","103110069","3","-60","420","","1002005","","311"
"3","0","","103110070","","1","<weapon>_run","0","1003001","","311"
"3","0","","103110071","","1","<weapon>_run","0","1003002","","311"
"3","0","","103110072","","1","<weapon>_run","0","1003003","","311"
"3","0","","103110073","","1","<weapon>_run","0","1003004","","311"
"3","0","","103110074","","1","<weapon>_run","0","1003005","","311"
"2","0","","103110075","3","-250","450","","1003001","","311"
"2","0","","103110076","3","-175","380","","1003002","","311"
"2","0","","103110077","3","-265","310","","1003003","","311"
"2","0","","103110078","3","-175","240","","1003004","","311"
"2","0","","103110079","3","-250","170","","1003005","","311"
"33","0","","103110080","3","-250","450","","1003001","","311"
"33","0","","103110081","3","-175","380","","1003002","","311"
"33","0","","103110082","3","-265","310","","1003003","","311"
"33","0","","103110083","3","-175","240","","1003004","","311"
"33","0","","103110084","3","-250","170","","1003005","","311"
"32","","","103110085","","","1","","10020","","311"
"93","","","103110086","","","0","","2.5","","311"
"32","","","103110087","","","1","","10031","","311"
"93","","","103110088","","","0","","0.4","","311"
"91","","","103110089","","","0","","0","","311"
