7ab51119ad1a3e750b7d76d5aef039bc3b49774dae3990dfad52c6fb6939ee8a,3fffd495f5fd0066acc75a48858c82b4083ae032c0438b9f4c437a58bbd4ee6b,311e46fcfc1334486c8b8f0ece14616e6851f352319c9331e2f7f2e8b8d1f971,8ba946c7dc10d50cd4b55458866010b7f5488f477c2cb98c04b52fc734ffb8ea,e11fb602c9a4fe8b93b716553aea683fa7b22ac4eb8a392cda56bedf1cf99f10,c3bd7d4b98f4cec02c28543e985a476f4d8c80fa1e8eb05cfd718333ae7f519a,69814c594a20dc9dfe2abe84d68a99cc282dcdd61b844728cf1aa4a52ca6e81f,e69e802fe435012ad644925135093410976feb05798fead018da4c2c614edee7,976f7be9d4a198b6cf641f2c6889fcdd98e1f774a82728d2c99f887a032c79d9,f244f2f5944b2075f4b9f9e6c4e3578407b1e70c46077647d8f47f0d5975a61b,daf7f01087dbef5e1c1d5bea82bced5c82d5b6c5f9610d78973f8e408d144120
"","","","101038","101","","","3","","93","0"
"","","","101039","101","","","101026","","101","0"
"","","","101040","101","","","0","","22","0.5"
"0","1","","101041","101","0","1","1","0.1","6","1"
"0","1","","101042","101","0","1","105811","0.1","6","1"
"0","1","","101043","101","0","1","106011","0.1","6","1"
"","","","101044","101","","","0.1","","93","0"
"","","","101045","101","","1","1","0","3","cgg_idle_normal"
"","","","101046","101","","1","105811","0","3","cgg_idle_def"
"","","","101047","101","","1","106011","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","102001","102","-230","100","1","160","5","1"
"1","375","cgg_idle_def","102002","102","-230","100","1","1.6","1","105911"
"1","490","cgg_idle_def","102003","102","-230","101","1","1.6","1","106411"
"0","1","","102004","102","1","1","1","0.1","6","1"
"0","1","","102005","102","1","1","105911","0.1","6","1"
"0","1","","102006","102","1","1","106411","0.1","6","1"
"","","","102007","102","","","0.2","","93","0"
"","0","","102008","102","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_2_003"
"0","0","0","102009","102","0","5","105911","0","11","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……"
"","","","102010","102","","1","1","0.2","3","cgg_idle_surprise1"
"","","","102011","102","","0","105911","0.2","3","cgg_lookup"
"","","","102012","102","","","2.6","","93","0"
"","","","102013","102","","1","105911","0.2","3","cgg_talk_wish_surprise"
"","","","102014","102","","","102009","","91",""
"","","","102015","102","","1","105911","0.4","3","cgg_idle_def"
"","0","","102016","102","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_2_004"
"0","0","0","102017","102","0","4","106411","0","11","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？"
"","","","102018","102","","1","1","0.2","3","cgg_idle_reaction1"
"","","","102019","102","","1","106411","0.2","3","cgg_talk_surprise1"
"","","","102020","102","","","2.6","","93","0"
"0","cgg_idle_nod","","102021","102","1","0","1","0.2","3","cgg_talk_nod"
"","","","102022","102","","1","106411","0.2","3","cgg_talk_joy3_blink"
"","","","102023","102","","","3.2","","93","0"
"","","","102024","102","","1","1","0.2","3","cgg_idle_reaction5"
"","","","102025","102","","1","106411","0.2","3","cgg_talk_normal"
"","","","102026","102","","","102017","","91",""
"","","","102027","102","","","0.5","","93","0"
"","","","102028","102","","1","106411","0.2","3","cgg_idle_def"
"","","","102029","102","","1","1","0.2","3","cgg_idle_normal"
"","","","102030","102","","1","105911","0.2","3","cgg_talk_joy3_blink"
"","","","102031","102","","1.4","105911","0.2","12","10"
"","","","102032","102","","","3","","93","0"
"","","","102033","102","","1","105911","0.2","3","cgg_idle_def"
"","","","102034","102","","1","106411","0.2","3","cgg_talk_joy1"
"","","","102035","102","","1.4","106411","0.2","12","11"
"","","","102036","102","","","3","","93","0"
"","","","102037","102","","1","106411","0.2","3","cgg_idle_def"
"","","","102038","102","","1","1","0.2","3","cgg_idle_surprise3"
"","","","102039","102","","1.4","1","0.2","12","6"
"","","","102040","102","","","3","","93","0"
"","","","102041","102","","","102029","","101","0"
"","","","102042","102","","","0","","22","0.5"
"0","1","","102043","102","0","1","1","0.1","6","1"
"0","1","","102044","102","0","1","105911","0.1","6","1"
"0","1","","102045","102","0","1","106411","0.1","6","1"
"","","","102046","102","","","0.1","","93","0"
"","","","102047","102","","1","1","0","3","cgg_idle_normal"
"","","","102048","102","","1","105911","0","3","cgg_idle_def"
"","","","102049","102","","1","106411","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","103001","103","-230","100","1","160","5","1"
"1","375","cgg_idle_def","103002","103","-230","100","1","1.6","1","100211"
"1","490","cgg_idle_def","103003","103","-230","101","1","1.6","1","100111"
"0","1","","103004","103","1","1","1","0.1","6","1"
"0","1","","103005","103","1","1","100211","0.1","6","1"
"0","1","","103006","103","1","1","100111","0.1","6","1"
"","","","103007","103","","","0.2","","93","0"
"","0","","103008","103","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_3_005"
"0","0","0","103009","103","0","5","100211","0","11","下次會抽到什麼呢？\n讓人很期待呢，\n日和。"
"","","","103010","103","","1","1","0.2","3","cgg_idle_surprise1"
"","","","103011","103","","1","100211","0.2","3","cgg_talk_wish"
"","","","103012","103","","","2.4","","93","0"
"","","","103013","103","","1","100211","0.2","3","cgg_talk_joy3"
"","","","103014","103","","","103009","","91",""
"","","","103015","103","","1","100211","0.2","3","cgg_idle_def"
"","0","","103016","103","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_3_006"
"0","0","0","103017","103","0","4","100111","0","11","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪"
"","","","103018","103","","1","1","0.2","3","cgg_idle_reaction5"
"","","","103019","103","","1","100111","0.2","3","cgg_talk_joy1"
"","","","103020","103","","","2.5","","93","0"
"0","cgg_idle_guts","","103021","103","1","0","100111","0.2","3","cgg_talk_guts_NoBlink"
"","","","103022","103","","","4","","93","0"
"0.2","cgg_idle_reaction3","","103023","103","1","0","1","0.2","3","cgg_joy"
"","","","103024","103","","1","100111","0.2","3","cgg_talk_joy2"
"","","","103025","103","","","103017","","91",""
"","","","103026","103","","","0.7","","93","0"
"","","","103027","103","","1","1","0.2","3","cgg_idle_normal"
"","","","103028","103","","1","100111","0.2","3","cgg_idle_def"
"","","","103029","103","","1","100211","0.2","3","cgg_idle_bitter3"
"","","","103030","103","","1.4","100211","0.2","12","1"
"","","","103031","103","","","3","","93","0"
"","","","103032","103","","1","100211","0.2","3","cgg_idle_def"
"0.2","cgg_idle_reaction1","","103033","103","1","0","1","0.2","3","cgg_talk_handsup"
"","","","103034","103","","1.4","1","0.2","12","10"
"","","","103035","103","","","3","","93","0"
"","","","103036","103","","1","1","0.2","3","cgg_idle_normal"
"","","","103037","103","","1","100111","0.2","3","cgg_idle_joy3"
"","","","103038","103","","1.4","100111","0.2","12","6"
"","","","103039","103","","","3","","93","0"
"","","","103040","103","","","103028","","101","0"
"","","","103041","103","","","0","","22","0.5"
"0","1","","103042","103","0","1","1","0.1","6","1"
"0","1","","103043","103","0","1","100211","0.1","6","1"
"0","1","","103044","103","0","1","100111","0.1","6","1"
"","","","103045","103","","","0.1","","93","0"
"","","","103046","103","","1","1","0","3","cgg_idle_normal"
"","","","103047","103","","1","100211","0","3","cgg_idle_def"
"","","","103048","103","","1","100111","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","104001","104","-230","100","1","160","5","1"
"1","375","cgg_idle_def","104002","104","-230","100","1","1.6","1","100111"
"1","490","cgg_idle_def","104003","104","-230","101","1","1.6","1","100311"
"0","1","","104004","104","1","1","1","0.1","6","1"
"0","1","","104005","104","1","1","100111","0.1","6","1"
"0","1","","104006","104","1","1","100311","0.1","6","1"
"","","","104007","104","","","0.2","","93","0"
"","0","","104008","104","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_4_007"
"0","0","0","104009","104","0","4","100111","0","11","那個那個～怜，\n我可以再抽一次嗎？"
"","","","104010","104","","1","1","0.2","3","cgg_idle_reaction2"
"","","","104011","104","","1","100111","0.2","3","cgg_talk_joy3_dere"
"","","","104012","104","","","2.7","","93","0"
"0","cgg_idle_guts2","","104013","104","1","0","1","0.2","3","cgg_talk_guts2"
"","","","104014","104","","1","100111","0.2","3","cgg_talk_normal_dere2"
"","","","104015","104","","","104009","","91",""
"","0","","104016","104","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_4_008"
"0","0","0","104017","104","0","5","100311","0","11","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。"
"","","","104018","104","","1","1","0.2","3","cgg_idle_reaction2"
"0","cgg_idle_def","","104019","104","1","0","100311","0.2","3","cgg_No"
"","","","104020","104","","","0.8","","93","0"
"","","","104021","104","","1","100111","0.2","3","cgg_idle_surprise2"
"","","","104022","104","","","0.9","","93","0"
"0","cgg_idle_surprise2","","104023","104","1","0","1","0.2","3","cgg_surprise2"
"0","cgg_idle_arm_crossed2","","104024","104","1","0","100311","0.2","3","cgg_talk_arm_crossed2"
"","","","104025","104","","","2.5","","93","0"
"","","","104026","104","","1","100311","0.2","3","cgg_idle_bitter"
"","","","104027","104","","","2","","93","0"
"0","cgg_idle_nod","","104028","104","1","0","1","0.2","3","cgg_talk_nod"
"","","","104029","104","","","104017","","91",""
"","","","104030","104","","","0.5","","93","0"
"","","","104031","104","","1","100311","0.2","3","cgg_idle_def"
"","","","104032","104","","1","1","0.2","3","cgg_idle_normal"
"","","","104033","104","","1","100111","0.2","3","cgg_idle_anger"
"","","","104034","104","","1.4","100111","0.2","12","17"
"","","","104035","104","","","3","","93","0"
"","","","104036","104","","1","100111","0.2","3","cgg_idle_def"
"","","","104037","104","","1","100311","0.2","3","cgg_idle_bitter4"
"","","","104038","104","","1.4","100311","0.2","12","2"
"","","","104039","104","","","3","","93","0"
"","","","104040","104","","1","100311","0.2","3","cgg_idle_def"
"","","","104041","104","","1","1","0.2","3","cgg_idle_surprise2"
"","","","104042","104","","1.4","1","0.2","12","1"
"","","","104043","104","","","3","","93","0"
"","","","104044","104","","","104032","","101","0"
"","","","104045","104","","","0","","22","0.5"
"0","1","","104046","104","0","1","1","0.1","6","1"
"0","1","","104047","104","0","1","100111","0.1","6","1"
"0","1","","104048","104","0","1","100311","0.1","6","1"
"","","","104049","104","","","0.1","","93","0"
"","","","104050","104","","1","1","0","3","cgg_idle_normal"
"","","","104051","104","","1","100111","0","3","cgg_idle_def"
"","","","104052","104","","1","100311","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","105001","105","-230","100","1","160","5","1"
"1","375","cgg_idle_def","105002","105","-230","100","1","1.6","1","100211"
"1","490","cgg_idle_def","105003","105","-230","101","1","1.6","1","105811"
"0","1","","105004","105","1","1","1","0.1","6","1"
"0","1","","105005","105","1","1","100211","0.1","6","1"
"0","1","","105006","105","1","1","105811","0.1","6","1"
"","","","105007","105","","","0.2","","93","0"
"","0","","105008","105","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_5_009"
"0","0","0","105009","105","0","6","100211","0","11","因為周邊有很多種類，\n在集齊所有種類之前，\n我們要加油喔！"
"","","","105010","105","","1","1","0.2","3","cgg_idle_reaction1"
"","","","105011","105","","1","100211","0.2","3","cgg_talk_normal"
"","","","105012","105","","","2.4","","93","0"
"","","","105013","105","","1","100211","0.2","3","cgg_talk_joy3"
"","","","105014","105","","","1.1","","93","0"
"0.2","cgg_idle_reaction1","","105015","105","1","0","1","0.2","3","cgg_talk_handsup"
"","","","105016","105","","","105009","","91",""
"","","","105017","105","","1","100211","0.2","3","cgg_idle_def"
"","0","","105018","105","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_5_010"
"0","0","0","105019","105","0","6","105811","0","11","蒐集到的周邊能裝飾\n在櫃子上，之後再來\n仔細鑑賞喔♪\n太讚了吧☆"
"0","cgg_idle_arm_crossed","","105020","105","0","0","1","0.2","3","cgg_talk_arm_crossed"
"","","","105021","105","","1","105811","0.2","3","cgg_talk_joy1"
"","","","105022","105","","","5","","93","0"
"0","cgg_idle_guts2","","105023","105","1","0","1","0.2","3","cgg_talk_guts2"
"0.2","cgg_idle_def","","105024","105","1","0","105811","0.2","3","cgg_jump_def_N"
"","","","105025","105","","","105019","","91",""
"","","","105026","105","","","0.5","","93","0"
"","","","105027","105","","1","1","0.2","3","cgg_idle_normal"
"","","","105028","105","","1","100211","0.2","3","cgg_talk_joy3"
"","","","105029","105","","1.4","100211","0.2","12","10"
"","","","105030","105","","","3","","93","0"
"","","","105031","105","","1","100211","0.2","3","cgg_idle_def"
"0","cgg_idle_guts_anger","","105032","105","1","0","105811","0.2","3","cgg_talk_guts_anger"
"","","","105033","105","","1.4","105811","0.2","12","4"
"","","","105034","105","","","3","","93","0"
"","","","105035","105","","1","105811","0.2","3","cgg_idle_def"
"0","cgg_idle_guts2","","105036","105","1","0","1","0.2","3","cgg_talk_guts2"
"","","","105037","105","","1.4","1","0.2","12","7"
"","","","105038","105","","","3","","93","0"
"","","","105039","105","","","105027","","101","0"
"","","","105040","105","","","0","","22","0.5"
"0","1","","105041","105","0","1","1","0.1","6","1"
"0","1","","105042","105","0","1","100211","0.1","6","1"
"0","1","","105043","105","0","1","105811","0.1","6","1"
"","","","105044","105","","","0.1","","93","0"
"","","","105045","105","","1","1","0","3","cgg_idle_normal"
"","","","105046","105","","1","100211","0","3","cgg_idle_def"
"","","","105047","105","","1","105811","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","106001","106","-230","100","1","160","5","1"
"1","420","cgg_idle_def","106002","106","-230","100","1","1.6","1","110911"
"0","1","","106003","106","1","1","1","0.1","6","1"
"0","1","","106004","106","1","1","110911","0.1","6","1"
"","","","106005","106","","","0.2","","93","0"
"","0","","106006","106","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_6_011"
"0","0","0","106007","106","0","5","110911","0","11","咦……騙人的吧，\n學長……你居然還沒\n完全收齊慈樂之音的\n周邊，太扯了吧。"
"","","","106008","106","","1","1","0.2","3","cgg_idle_reaction2"
"","","","106009","106","","0","110911","0.2","3","cgg_shock"
"","","","106010","106","","","1","","93","0"
"","","","106011","106","","1","110911","0.2","3","cgg_idle_bitter2"
"","","","106012","106","","","4.2","","93","0"
"0","cgg_idle_shock","","106013","106","1","0","1","0.2","3","cgg_shock"
"","","","106014","106","","","106007","","91",""
"","0","","106015","106","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_6_012"
"0","0","0","106016","106","0","5","110911","0","11","請你差不多一點，\n既然有空悠哉地和\n一般美少女聊天，\n還不趕快繼續抽啊！"
"0","","","106017","106","1","1","110911","0.2","3","cgg_talk_tsun_pain"
"","","","106018","106","","","0.7","","93","0"
"0","cgg_idle_surprise2","","106019","106","1","0","1","0.2","3","cgg_surprise2"
"","","","106020","106","","","1.3","","93","0"
"0","","","106021","106","1","1","110911","0.2","3","cgg_talk_joy1_sad"
"","","","106022","106","","","3","","93","0"
"","cgg_idle_guts_anger","","106023","106","1","0","110911","0.2","3","cgg_talk_guts_anger"
"","","","106024","106","","","0.7","","93","0"
"0","cgg_idle_guts2","","106025","106","1","0","1","0.2","3","cgg_talk_guts2"
"","","","106026","106","","","106016","","91",""
"","","","106027","106","","","0.5","","93","0"
"","","","106028","106","","1","110911","0.2","3","cgg_idle_def"
"0","cgg_idle_doya","","106029","106","1","0","1","0.2","3","cgg_talk_doya"
"","","","106030","106","","1.4","1","0.2","12","6"
"","","","106031","106","","","3","","93","0"
"","","","106032","106","","1","1","0.2","3","cgg_idle_normal"
"0","cgg_idle_guts_anger","","106033","106","1","0","110911","0.2","3","cgg_talk_guts_anger"
"","","","106034","106","","1.4","110911","0.2","12","11"
"","","","106035","106","","","3","","93","0"
"","","","106036","106","","1","110911","0.2","3","cgg_idle_def"
"0","cgg_idle_surprise1","","106037","106","1","0","1","0.2","3","cgg_surprise1"
"","","","106038","106","","1.4","1","0.2","12","4"
"","","","106039","106","","","3","","93","0"
"","","","106040","106","","1","1","0.2","3","cgg_idle_normal"
"","","","106041","106","","1","110911","0.2","3","cgg_talk_joy3_blink"
"","","","106042","106","","1.4","110911","0.2","12","10"
"","","","106043","106","","","3","","93","0"
"","","","106044","106","","","106028","","101","0"
"","","","106045","106","","","0","","22","0.5"
"0","1","","106046","106","0","1","1","0.1","6","1"
"0","1","","106047","106","0","1","110911","0.1","6","1"
"","","","106048","106","","","0.1","","93","0"
"","","","106049","106","","1","1","0","3","cgg_idle_normal"
"","","","106050","106","","1","110911","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","201001","201","-230","100","1","160","5","1"
"1","420","cgg_idle_def","201002","201","-230","100","1","1.6","1","100411"
"0","1","","201003","201","1","1","1","0.1","6","1"
"0","1","","201004","201","1","1","100411","0.1","6","1"
"","","","201005","201","","","0.2","","93","0"
"","0","","201006","201","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_7_013"
"0","0","0","201007","201","0","6","100411","0","11","那個那個，哥哥！\n你蒐集到差不多\n一半的周邊囉！\n只差一點了呢！"
"","","","201008","201","","1","1","0.2","3","cgg_idle_reaction2"
"","","","201009","201","","1","100411","0.2","3","cgg_talk_joy1_normal"
"","","","201010","201","","","1.3","","93","0"
"0","cgg_idle_doya","","201011","201","1","0","1","0.2","3","cgg_talk_doya"
"","","","201012","201","","1","100411","0.2","3","cgg_talk_surprise_kira"
"","","","201013","201","","","2.7","","93","0"
"0.2","cgg_idle_reaction1","","201014","201","1","0","1","0.2","3","cgg_talk_handsup"
"0","cgg_idle_guts","","201015","201","1","0","100411","0.2","3","cgg_talk_guts"
"","","","201016","201","","","201007","","91",""
"","","","201017","201","","","0.5","","93","0"
"","","","201018","201","","1","100411","0.2","3","cgg_idle_def"
"","","","201019","201","","1","1","0.2","3","cgg_idle_surprise3"
"","","","201020","201","","1.4","1","0.2","12","6"
"","","","201021","201","","","3","","93","0"
"","","","201022","201","","1","1","0.2","3","cgg_idle_normal"
"","","","201023","201","","1","100411","0.2","3","cgg_talk_surprise_kira"
"","","","201024","201","","1.4","100411","0.2","12","7"
"","","","201025","201","","","3","","93","0"
"","","","201026","201","","1","100411","0.2","3","cgg_idle_def"
"0","cgg_idle_reaction1","","201027","201","1","0","1","0.2","3","cgg_talk_handsup"
"","","","201028","201","","1.4","1","0.2","12","11"
"","","","201029","201","","","3","","93","0"
"","","","201030","201","","1","1","0.2","3","cgg_idle_normal"
"","","","201031","201","","1","100411","0.2","3","cgg_talk_joy1"
"","","","201032","201","","1.4","100411","0.2","12","10"
"","","","201033","201","","","3","","93","0"
"","","","201034","201","","","201018","","101","0"
"","","","201035","201","","","0","","22","0.5"
"0","1","","201036","201","0","1","1","0.1","6","1"
"0","1","","201037","201","0","1","100411","0.1","6","1"
"","","","201038","201","","","0.1","","93","0"
"","","","201039","201","","1","1","0","3","cgg_idle_normal"
"","","","201040","201","","1","100411","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","202001","202","-230","100","1","160","5","1"
"1","420","cgg_idle_def","202002","202","-230","100","1","1.6","1","102011"
"0","1","","202003","202","1","1","1","0.1","6","1"
"0","1","","202004","202","1","1","102011","0.1","6","1"
"","","","202005","202","","","0.2","","93","0"
"","0","","202006","202","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_8_014"
"0","0","0","202007","202","0","4","102011","0","11","好厲害喔～♪\n真想看看\n全部收齊的樣子～♪"
"","","","202008","202","","1","1","0.2","3","cgg_idle_reaction1"
"","","","202009","202","","1","102011","0.2","3","cgg_talk_joy3"
"","","","202010","202","","","2","","93","0"
"","","","202011","202","","1","1","0.2","3","cgg_idle_nod"
"","","","202012","202","","1","102011","0.2","3","cgg_talk_wish"
"","","","202013","202","","","202007","","91",""
"","","","202014","202","","","0.5","","93","0"
"","","","202015","202","","1","102011","0.2","3","cgg_idle_def"
"","","","202016","202","","1","1","0.2","3","cgg_idle_reaction3"
"","","","202017","202","","1.4","1","0.2","12","6"
"","","","202018","202","","","3","","93","0"
"","","","202019","202","","1","1","0.2","3","cgg_idle_normal"
"","","","202020","202","","1","102011","0.2","3","cgg_talk_joy1_normal"
"","","","202021","202","","1.4","102011","0.2","12","11"
"","","","202022","202","","","3","","93","0"
"","","","202023","202","","1","102011","0.2","3","cgg_idle_def"
"0","cgg_idle_guts2","","202024","202","1","0","1","0.2","3","cgg_talk_guts2"
"","","","202025","202","","1.4","1","0.2","12","11"
"","","","202026","202","","","3","","93","0"
"","","","202027","202","","1","1","0.2","3","cgg_idle_normal"
"","","","202028","202","","1","102011","0.2","3","cgg_talk_joy3"
"","","","202029","202","","1.4","102011","0.2","12","7"
"","","","202030","202","","","3","","93","0"
"","","","202031","202","","","202015","","101","0"
"","","","202032","202","","","0","","22","0.5"
"0","1","","202033","202","0","1","1","0.1","6","1"
"0","1","","202034","202","0","1","102011","0.1","6","1"
"","","","202035","202","","","0.1","","93","0"
"","","","202036","202","","1","1","0","3","cgg_idle_normal"
"","","","202037","202","","1","102011","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","203001","203","-230","100","1","160","5","1"
"1","420","cgg_idle_def","203002","203","-230","100","1","1.6","1","103611"
"0","1","","203003","203","1","1","1","0.1","6","1"
"0","1","","203004","203","1","1","103611","0.1","6","1"
"","","","203005","203","","","0.2","","93","0"
"","0","","203006","203","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_9_015"
"0","0","0","203007","203","0","6","103611","0","11","只差一點了呢。\n要是全部集齊，\n我會誇獎你的。\n……請你加油。"
"0","cgg_idle_arm_crossed","","203008","203","1","0","1","0.2","3","cgg_talk_arm_crossed"
"","","","203009","203","","1","103611","0.2","3","cgg_talk_normal"
"","","","203010","203","","","1.9","","93","0"
"","","","203011","203","","1","1","0.2","3","cgg_idle_surprise1"
"","","","203012","203","","1","103611","0.2","3","cgg_talk_joy3_blink"
"","","","203013","203","","","3.1","","93","0"
"0","cgg_idle_guts2","","203014","203","1","0","1","0.2","3","cgg_talk_guts2"
"","","","203015","203","","1","103611","0.2","3","cgg_talk_surprise_dere"
"","","","203016","203","","","203007","","91",""
"","","","203017","203","","","0.5","","93","0"
"","","","203018","203","","1","103611","0.2","3","cgg_idle_def"
"0","cgg_idle_nod","","203019","203","1","0","1","0.2","3","cgg_talk_nod"
"","","","203020","203","","1.4","1","0.2","12","6"
"","","","203021","203","","","3","","93","0"
"","","","203022","203","","1","1","0.2","3","cgg_idle_normal"
"","","","203023","203","","1","103611","0.2","3","cgg_talk_joy1"
"","","","203024","203","","1.4","103611","0.2","12","10"
"","","","203025","203","","","3","","93","0"
"","","","203026","203","","1","103611","0.2","3","cgg_idle_def"
"0","cgg_idle_guts1","","203027","203","1","0","1","0.2","3","cgg_talk_guts1"
"","","","203028","203","","1.4","1","0.2","12","4"
"","","","203029","203","","","3","","93","0"
"","","","203030","203","","1","1","0.2","3","cgg_idle_normal"
"","","","203031","203","","1","103611","0.2","3","cgg_talk_joy3_dere"
"","","","203032","203","","1.4","103611","0.2","12","7"
"","","","203033","203","","","3","","93","0"
"","","","203034","203","","","203018","","101","0"
"","","","203035","203","","","0","","22","0.5"
"0","1","","203036","203","0","1","1","0.1","6","1"
"0","1","","203037","203","0","1","103611","0.1","6","1"
"","","","203038","203","","","0.1","","93","0"
"","","","203039","203","","1","1","0","3","cgg_idle_normal"
"","","","203040","203","","1","103611","0","3","cgg_idle_def"
"0","-420","cgg_idle_normal","204001","204","-230","100","1","160","5","1"
"1","420","cgg_idle_def","204002","204","-230","100","1","1.6","1","102811"
"0","1","","204003","204","1","1","1","0.1","6","1"
"0","1","","204004","204","1","1","102811","0.1","6","1"
"","","","204005","204","","","0.2","","93","0"
"","0","","204006","204","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_10_016"
"0","0","0","204007","204","0","6","102811","0","11","你蒐集到這麼多\n周邊了？真厲害……\n我要不要\n也來試試呢？"
"0","cgg_idle_doya","","204008","204","1","0","1","0.2","3","cgg_talk_doya"
"0","cgg_talk_surprise1","","204009","204","1","0","102811","0.2","3","cgg_surprise"
"","","","204010","204","","","2.5","","93","0"
"","","","204011","204","","1","1","0.2","3","cgg_idle_reaction5"
"","","","204012","204","","1","102811","0.2","3","cgg_talk_bitter"
"","","","204013","204","","","204007","","91",""
"","","","204014","204","","","0.5","","93","0"
"","","","204015","204","","1","102811","0.2","3","cgg_idle_def"
"0","cgg_idle_doya","","204016","204","1","0","1","0.2","3","cgg_talk_doya"
"","","","204017","204","","1.4","1","0.2","12","6"
"","","","204018","204","","","3","","93","0"
