0f2b6a1260b26d2c995e709f2a9c35884670130c4eccce31e38482be51370e0c,39f59ea3993a9c740a43a022c5711ab8066fb25dfbd906dd163d1f6ac45ffc1b,d1b48bed57ddbaec38a5e04f8110710e0ec33d462f8a393b8dcde249027e603f,f1a811016bcc951e56dcd77d6cca1e59bc8564b304d548b6d5477d6613532091,c5f93dce6fb5bb284f69efe40abec53dde7a997956001512f92ae5a802dcd1d7,e1888c96134bf851f9f37dd843cdd7792803b41c494956e114e87ee40c346956,7e13e203762f90e99aee3b6002237be492eb7a640aaaf2a0f0af4a42764d6cc8,824e274955f8bdaf84eddfa4c5dac386b0bf1722dd312395cbfd46520b3d148a,90dca04035423534245c7e79facb3cc0a88891ed236f6d75ba27ccec7df2ccc3,92c51d3d4039fdb14674efa7be502c5f28a6962e7333e39a3e04f86162db9b04,8eaf59427afc0133a87052facb7dabd438343dca2a10530d4506a3eb4f83957c,eb095828cd4060d2062c47403bd53016a552e7e376d427fe47b5e4104bef5549,734d57a515d31cf7cc552ff53b6b2d2bddd1ec8aff3127c8ec56c0520036b7c5,1ff4e8c4395f5f1138162cbcba943659f3c621918b635381aa9c8c3627032b7b,ec7bab92fc5dae7e2c0ad5578741eb243f5699458beb0717bdfa3bd6a07dabc5,d17f2fce870d68f93734357f8507ec9df4446de3500ab8abcea041f919bfe48f,11d05ad5e6d883fddecc972956dbb3dcd5d82f384a57213237e4d26fbb15e321,8b4d16c35ba8936f4aadba1ad89b3514da7f29e0679650b7715662f79ee35da5,aaa9c1350f23287e3c184778753c18339d64587a9012999961f9684698160b11,8c71d9d9379620fff3759d403d48c6dc6f6c7122dc8cd0072875d2d8382dcf4b
"自由式滑雪","自由式滑雪","1","滑雪的一種。運動員使用滑雪板和雪杖於特定的雪場上做出指定和自選的動作","0","38634","28369","1123","6","1","6","30001","6","6","6","自由式滑雪","33258","這個的名稱是什麼？","2","24335"
"戰鬥競技場","戰鬥競技場","1","在《超異域公主連結Re:Dive》中，自己可以組成1支隊伍，與其他玩家設定好的1支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","0","22580","25216","1127","6","1","6","39717","6","6","6","戰鬥競技場","25136","這個的名稱是什麼？","1","31478"
"公主競技場","公主競技場","1","在《超異域公主連結Re:Dive》中，自己可以組成3支隊伍，與其他玩家設定好的3支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","0","22580","25216","1130","6","1","6","20027","6","6","6","公主競技場","20844","這個的名稱是什麼？","1","31478"
"TP上升(或下降)量","TP上升量","1","在《超異域公主連結Re:Dive》的戰鬥中，和「TP」有莫大關聯的能力。","0","37327","21319","1131","2","2","6","80","6","6","2","TP上升(或下降)量","84","這個的名稱是什麼？","2","19978"
"Table Tennis","Table","1","「棒球」是「Baseball」。那麼「桌球」是？","0","101","108","1132","3","1","3","97","3","3","2","Table Tennis","84","這個的名稱是什麼？","2","98"
"","上旋球打法","1","什麼樣的打法的桌球拍正反兩面都會使用反膠，比較容易打旋轉球","0","27861","25171","1134","6","3","6","26059","6","6","6","上旋球打法","19978","這個的名稱是什麼？","2","29699"
"","大前鋒中鋒","1","籃球位置有五個。控球後衛、得分後衛、小前鋒、□□□與□□","0","37586","20013","1136","6","1","6","21069","6","6","6","大前鋒中鋒","22823","這個的名稱是什麼？","2","37586"
"蛋頭、小平頭、中平頭","蛋頭小平頭","1","羽球球拍分為三種。","0","38957","24179","1138","6","3","6","38957","6","6","6","蛋頭、小平頭、中平頭","34507","這個的名稱是什麼？","2","23567"
"克莉絲提娜","克莉絲提娜","1","會使用必殺技「亂數聖域」的角色。","0","23068","25552","1140","6","2","6","33673","6","6","6","克莉絲提娜","20811","這個的名稱是什麼？","1","32114"
"","最大心跳率","1","在進行有氧運動時，心跳須達到□□□□□的65%到85%區間，持續至少20分鐘，才是有效的有氧運動。","0","29575","36339","1141","6","2","6","22823","6","6","6","最大心跳率","26368","這個的名稱是什麼？","2","24515"
"極度的呼吸與身體鍛鍊","極度的身體","1","哈達瑜珈是最常見的瑜珈。它是以□□□呼吸與□□鍛鍊為主","0","39636","36523","1142","6","2","6","24230","6","6","6","極度的呼吸與身體鍛鍊","26997","這個的名稱是什麼？","2","30340"
"","阻力帶訓練","1","使用阻力帶進行重量訓練稱為？","0","32244","35347","1146","6","1","6","21147","6","6","6","阻力帶訓練","38459","這個的名稱是什麼？","2","24118"
"尼泊爾廓爾喀彎刀","尼泊爾彎刀","1","世界歷史十大名刀排行第四。","0","20992","24398","1151","6","2","6","27850","6","6","6","尼泊爾廓爾喀彎刀","23612","這個的名稱是什麼？","2","29246"
"進攻方提前移動","進攻方提前","1","美式足球常見犯規之一。進攻隊伍的隊員在開球前移動。","0","21069","25552","1153","6","2","6","25915","6","6","6","進攻方提前移動","36914","這個的名稱是什麼？","2","26041"
"十一人制與九人制","十一人九人","1","雙人跳水的評分裁判分為？","0","20154","20061","1157","6","3","6","19968","6","6","6","十一人制與九人制","21313","這個的名稱是什麼？","2","20154"
"似似花（新年）","似似花新年","1","使用必殺技「新年稜鏡」的角色","0","24180","26032","1164","6","1","6","20284","6","6","6","似似花（新年）","20284","這個的名稱是什麼？","1","33457"
"咲戀（聖誕節）","咲戀聖誕節","1","使用必殺技「庭園之盾」的角色","0","31680","35477","1166","6","3","6","25088","6","6","6","咲戀（聖誕節）","21682","這個的名稱是什麼？","1","32854"
"噗吉全力揮擊","吉全力揮擊","1","在【美里的夏日聲援！追夢的盛夏棒球隊】的劇情裡，綾音每次進行打擊時會喊的口號是？","0","25802","25582","1168","6","2","6","20840","6","6","6","噗吉全力揮擊","21513","這個的名稱是什麼？","1","21147"
"BB槍=BB Guns","BBGun","1","「BB槍」的英文稱呼。","0","110","117","1170","2","1","3","66","3","2","2","BB槍=BB Guns","66","這個的名稱是什麼？","2","71"
"可可蘿（公主）","可可蘿公主","1","使用必殺技「極光聖界」的角色","0","20027","20844","1171","6","1","6","21487","6","6","6","可可蘿（公主）","21487","這個的名稱是什麼？","1","34367"
"挑釁=Provocative","Provo","1","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。（請用英文作答）","1172","111","118","1172","3","2","3","114","3","3","2","挑釁=Provocative","80","這個的名稱是什麼？","1","111"
"物理吸收護盾","物理吸收護","1","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。","1173","35703","25910","1173","6","2","6","29702","6","6","6","物理吸收護盾","29289","這個的名稱是什麼？","1","21560"
"劍聖之天賦","劍聖之天賦","1","「吉塔（★6）」的EX技能。戰鬥開始時，大幅度提升自己的物理攻擊力。","0","36070","22825","1174","6","3","6","32854","6","6","6","劍聖之天賦","21133","這個的名稱是什麼？","1","20043"
"融心惡魔的魅惑","融心惡魔的","1","「茜里（★6）」的必殺技。","0","30340","39764","1175","6","2","6","24515","6","6","6","融心惡魔的魅惑","34701","這個的名稱是什麼？","1","24801"
"MULTI TARGETS","MULTI","1","《超異域公主連結Re:Dive》\n的戰鬥用語之一。","1176","73","84","1176","2","1","2","85","2","2","2","MULTI TARGETS","77","這個的名稱是什麼？","1","76"
"開放式水肺","開放式水肺","1","關於水肺潛水，潛水者通過呼吸調節器從壓縮氣瓶中呼吸，廢氣直接排放在水中。","0","32954","27700","1178","6","3","6","25918","6","6","6","開放式水肺","38283","這個的名稱是什麼？","2","24335"
"黑白相間與八乘八網格","黑白八乘八","1","西洋棋的棋盤是由64個□□相間與□□□網格組成。","0","20843","20056","1179","6","1","6","30333","6","6","6","黑白相間與八乘八網格","40657","這個的名稱是什麼？","2","20843"
"","日本武士刀","1","世界歷史十大名刀排行第二。","0","20992","22763","1180","6","2","6","26412","6","6","6","日本武士刀","26085","這個的名稱是什麼？","2","27494"
"雙手向前翻","雙手向前翻","1","跑酷的技能：護身，是以雙腳著地後，用□□□□□滾的動作","0","32763","21069","1181","6","2","6","25163","6","6","6","雙手向前翻","38617","這是什麼？","2","21521"
"游泳⇒自行車⇒長跑","游泳自行車","1","如何將連續進行3種運動的「鐵人三項」按照項目的順序來排列？","0","36554","34892","1182","6","3","6","27891","6","6","6","游泳⇒自行車⇒長跑","28216","這是什麼？","2","33258"
"","SPARE","1","為保齡球用語，第一球沒有全倒，第二球全部擊倒。(請用英文作答)","0","69","82","1183","2","2","2","80","2","2","2","SPARE","83","這個的名稱是什麼？","2","65"
"TURKEY","URKEY","1","為保齡球用語，連續三次全倒。(請用英文作答)","0","89","69","1184","2","2","2","82","2","2","2","TURKEY","85","這個的名稱是什麼？","2","75"
"突破僵局制","突破僵局制","1","在棒球等運動中，若是陷入同分的膠著時，為了得到結果所適用的特別規則。","0","21046","23616","1185","6","2","6","30772","6","6","6","突破僵局制","31361","這個的名稱是什麼？","2","20725"
"STRIKE","TRIKE","1","為保齡球用語，第一球全倒。(請用英文作答)","0","69","75","1186","2","2","2","82","2","2","2","STRIKE","84","這個的名稱是什麼？","2","73"
"撞球桿撞擊母球","撞球桿母球","1","撞球是使用□□□來撞擊□□。","0","29699","27597","1187","6","1","6","29699","6","6","6","撞球桿撞擊母球","25758","這個的名稱是什麼？","2","26751"
"Double Bogey","ouble","1","在高爾夫中，用了比標準桿數多1次才打完為「柏忌」。那多出2次是什麼？(請用英文作答)","0","101","108","1188","3","2","3","117","3","3","3","Double Bogey","111","這個的名稱是什麼？","2","98"
"","咬鉤指示器","1","釣魚工具的一種。任何負責將魚鉤的水下狀態變化傳遞到水面讓釣者能察覺的漁具。","0","22120","31034","1189","6","2","6","37476","6","6","6","咬鉤指示器","21676","這個的名稱是什麼？","2","25351"
"沙子的大袋子","沙子大袋子","1","在拳擊等運動中，沙包用於打拳訓練，裝滿□□的□□□。","0","23376","34955","1190","6","1","6","23376","6","6","6","沙子的大袋子","27801","這個的名稱是什麼？","2","22823"
"一次起跳失敗","一次起失敗","1","跳遠比賽中，賽次每個人只有三次試跳機會，每次起跳都要準確地在起跳線完成，如果起跳時超越了起跳線，則被判罰為？","0","25943","22833","1191","6","2","6","27425","6","6","6","一次起跳失敗","19968","這個的名稱是什麼？","2","36215"
"旋轉和連接步","旋轉連接步","1","花式滑冰指定動作的短曲，包括跳躍、□□和□□□。","0","27493","25509","1192","6","2","6","36681","6","6","6","旋轉和連接步","26059","這個的名稱是什麼？","2","36899"
"混凝土或木頭","混凝土木頭","1","雪橇的滑道是由□□□或□□所建成","0","38957","26408","1193","6","2","6","20957","6","6","6","混凝土或木頭","28151","這個的名稱是什麼？","2","22303"
"","滑行的金屬","1","比賽用的雪橇為木製，前方沒有舵板，在後方也沒有制動閘，只於底部有一對用以□□□□□滑板。","0","23660","37329","1194","6","2","6","34892","6","6","6","滑行的金屬","28369","這個的名稱是什麼？","2","30340"
"仰臥推舉、深蹲、硬舉","臥推舉深蹲","1","重量訓練清單中的三巨頭有仰□□□、□□、硬舉。","0","36466","28145","1195","6","2","6","25512","6","6","6","仰臥推舉、深蹲、硬舉","33253","這個的名稱是什麼？","2","33289"
"","GOOFY","1","單板滑雪中，左腳踩在前方滑稱為Regular stance，那反過來稱為什麼？ (請用英文作答)","0","89","70","1196","2","2","2","79","2","2","2","GOOFY","71","這個的名稱是什麼？","2","79"
"","水靈破壞者","1","水之精靈注入精靈之力的斧頭。","1197","32773","22750","1197","6","1","6","38728","6","6","6","水靈破壞者","27700","這個的名稱是什麼？","1","30772"
"","皮革工作服","1","新人冒險者身上得攜帶的物品非常多，所以這些口袋對他們來說非常重要。","1198","26381","20316","1198","6","1","6","38761","6","6","6","皮革工作服","30382","這個的名稱是什麼？","1","24037"
"SMG=Sub machine gun","machi","1","SMG(衝鋒槍)的全名。","0","105","104","1199","3","3","3","97","3","3","3","SMG=Sub machine gun","109","這個未經省略的全稱是？","2","99"
"SR=Snipe rifle","Snipe","1","SR(狙擊槍)的全名。","0","101","112","1200","3","3","3","110","3","3","2","SR=Snipe rifle","83","這個未經省略的全稱是？","2","105"
"Snowboard","board","1","滑雪有兩種，一種叫做「雙板(ski)」，另一種叫做？ (請用英文作答)","0","100","114","1201","3","1","3","111","3","3","3","Snowboard","98","這個的名稱是什麼？","2","97"
"腳尖和腳跟敲","腳尖腳跟敲","1","踢踏舞是使用專用的鞋子，一邊用□□和□□□響地板一邊跳舞。","0","25970","36319","1202","6","1","6","23574","6","6","6","腳尖和腳跟敲","33139","這個的名稱是什麼？","2","33139"
"Medical Officer","edica","1","軍隊中「軍醫」的英文稱呼是？","0","97","99","1203","3","2","3","100","3","3","3","Medical Officer","101","這個的名稱是什麼？","2","105"
"斷糧食戰術","斷糧食戰術","1","在戰爭中，包圍敵人的城，等待對方食物耗盡並投降的戰法。","0","34899","25136","1204","6","2","6","31975","6","6","6","斷糧食戰術","26039","這個的名稱是什麼？","2","39135"
"LMG=Light machine gun","Light","1","LMG(輕機槍)的全名。","0","116","104","1205","3","3","3","105","3","3","2","LMG=Light machine gun","76","這個的名稱是什麼？","2","103"
"","跑者愉悅感","1","跑步持續跑了一定程度的時間後，就會暫時產生的一種快感。","0","24863","24709","1206","6","2","6","32773","6","6","6","跑者愉悅感","36305","這個的名稱是什麼？","2","24841"
"格鬥技=Martial arts","artia","1","","0","97","105","1207","3","2","3","114","3","3","3","格鬥技=Martial arts","97","這個的名稱是什麼？","2","116"
"Struck","Struc","1","比賽棒球投球準確度的遊戲。要瞄準並擊中寫有1到9的數字的板子。(請用英文作答)","0","99","117","1208","3","2","3","116","3","3","2","Struck","83","這個的名稱是什麼？","2","114"
"","百華白櫻刀","1","具備有映照潔白、盛開的櫻花般美麗的刀。","1209","20992","27387","1209","6","2","6","33775","6","6","6","百華白櫻刀","30334","這個的名稱是什麼？","2","30333"
"夏日青狼之擊","夏日青狼擊","1","「真琴（夏日）」的必殺技。","0","25802","29436","1210","6","2","6","26085","6","6","6","夏日青狼之擊","22799","這個的名稱是什麼？","1","38738"
"","雪上馬拉松","1","越野滑雪因需要大量體力，所以又被稱為：","0","26494","25289","1211","6","2","6","19978","6","6","6","雪上馬拉松","38634","這個的名稱是什麼？","2","39340"
"速度和彈跳力","速度彈跳力","1","跳台滑雪的運動員需藉由□□和□□□沿跳台下滑。","0","21147","36339","1212","6","1","6","24230","6","6","6","速度和彈跳力","36895","這個的名稱是什麼？","2","24392"
"","五人制足球","1","由足球衍生出來的運動，是室內五對五的足球。","0","29699","36275","1213","6","1","6","20154","6","6","6","五人制足球","20116","這個的名稱是什麼？","2","21046"
"夏日閃耀之力","夏日閃耀力","1","「咲戀（夏日）」的必殺技。","0","21147","32768","1214","6","2","6","26085","6","6","6","夏日閃耀之力","22799","這個的名稱是什麼？","2","38275"
"","橡膠體操球","1","韻律體操的球操是使用甚麼球？","0","29699","25805","1215","6","1","6","33184","6","6","6","橡膠體操球","27233","這個的名稱是什麼？","2","39636"
"TOTAL DAMAGE","TOTAL","1","《超異域公主連結Re:Dive》的戰鬥用語之一。通常顯示於王關的左上方","0","76","65","1216","2","1","2","79","2","2","2","TOTAL DAMAGE","84","這個的名稱是什麼？","1","84"
"神盾戰鬥系統","神盾戰鬥系","1","某種系統名稱。它的核心是一套電腦化的指揮決策與武器管制系統。英文名稱為Aegis combat system","0","31995","39717","1217","6","2","6","30462","6","6","6","神盾戰鬥系統","31070","這個的名稱是什麼？","2","25136"
"宮子（聖誕節）","宮子聖誕節","1","在提升物理攻擊力和物理爆擊率的布丁能量領域內也會強化自己的技能，使出突襲的角色。","0","31680","35477","1218","6","3","6","23376","6","6","6","宮子（聖誕節）","23470","這個的名稱是什麼？","1","32854"
"全像武器照準器","全像照準器","1","用槍時，為求瞄準而使用的一種「瞄準裝置」。使用了所謂的「全像投影」技術。","0","22120","28310","1219","6","2","6","20687","6","6","6","全像武器照準器","20840","這個的名稱是什麼？","2","29031"
"","聲音抑制器","1","經常出現在諜報電影裡，為消除槍聲而裝設在槍口的裝置。也被稱作「消音器」。","0","22120","21046","1220","6","2","6","38899","6","6","6","聲音抑制器","32882","這個的名稱是什麼？","2","25233"
"","拉比林斯達","1","使用必殺技「物件創造」的角色。","0","36948","26031","1221","6","1","6","27604","6","6","6","拉比林斯達","25289","這個的名稱是什麼？","1","26519"
"","經驗值冒險","1","在《超異域公主連結Re:Dive》中，可獲得大量的EXP藥水，一天可挑戰的次數為2次。","0","38570","20882","1222","6","1","6","39511","6","6","6","經驗值冒險","32147","這個的名稱是什麼？","1","20540"
"","純真童話杖","1","「真步」的專用裝備名稱。","1223","26454","35441","1223","6","1","6","30495","6","6","6","純真童話杖","32020","這個的名稱是什麼？","1","31461"
