7c1a7f87d6f4f17781212076fec8796ce23a5ab8ea5555bed33ca85ded4f40a1,f3187ecee1f934a1a9b69d0ca1e03c0f6d32dfc6aab415b13b3a180213e46314,64a16795865d7ae0f7ec1c66e006a11d9ef95b8a7247be0eb562950a7c36fd0f,a197814df55ff7cd82ade7aa9a7b4c4fc92d13a448000ed12389ff2abee95476,cddaa3be88f9758d33c14f7f8b19c965e9920d2a8b2c5668d503a47881f1e635,4019f91339f17970260083f993310e3536ff7efcff045120d541e18237497b9d
"110","0","14","0","250011","2000"
"1","0","14","0","250021","2000"
"2999139","0","1","0","250031","100000"
"2999140","0","1","0","250032","100000"
"2999141","0","1","0","250033","100000"
"2999142","0","1","0","250034","100000"
"2999143","0","1","0","250035","100000"
"2999154","0","1","0","250041","100000"
"2999155","0","1","0","250042","100000"
"2999156","0","1","0","250043","100000"
"2999157","0","1","0","250044","100000"
"2999158","0","1","0","250045","100000"
"2999165","0","1","0","250051","10000"
"104","0","14","0","300011","10000"
"14","0","14","0","310011","15"
"2999119","0","1","0","310021","30000"
"2999120","0","1","0","310031","30000"
"16","0","14","0","310041","6"
"2999101","0","1","0","310051","3000"
"14","0","14","0","310061","100"
"105","0","14","0","320011","6000"
"2999123","0","1","0","320021","15000"
"2999126","0","1","0","320031","15000"
"2999127","0","1","0","320041","3000"
"2999128","0","1","0","320051","3000"
"2999192","0","1","0","320061","2500"
"2999129","0","1","0","330011","3000"
"100","0","14","0","330021","3000"
"101","0","14","0","330022","3000"
"107","0","14","0","330031","9000"
"6","0","14","0","330041","3000"
"7","0","14","0","330042","3000"
"9","0","14","0","330051","30"
"107","0","14","0","330061","50000"
"9","0","14","0","330062","50"
"108","0","14","0","340011","9000"
"2999132","0","1","0","340021","15000"
"2999133","0","1","0","340031","15000"
"2","0","14","0","340041","6000"
"4","0","14","0","340042","6000"
"3","0","14","0","340051","3000"
"5","0","14","0","340052","3000"
"2999191","0","1","0","340061","5000"
"110","0","14","0","350011","3000"
"1","0","14","0","350021","3000"
"2999144","0","1","0","350031","150000"
"2999145","0","1","0","350032","150000"
"2999146","0","1","0","350033","150000"
"2999147","0","1","0","350034","150000"
"2999148","0","1","0","350035","150000"
"2999159","0","1","0","350041","150000"
"2999160","0","1","0","350042","150000"
"2999161","0","1","0","350043","150000"
"2999162","0","1","0","350044","150000"
"2999163","0","1","0","350045","150000"
"2999166","0","1","0","350051","15000"
"1","0","14","0","350061","10000"
"1","0","14","0","400011","1500"
"102","0","14","0","400012","1500"
"103","0","14","0","400013","1500"
"104","0","14","0","400021","5000"
"10","0","8","0","400031","0"
"100","0","14","0","400041","5000"
"101","0","14","0","400042","5000"
"6","0","14","0","400043","-2500"
"7","0","14","0","400044","-2500"
"40005","0","2","0","400051","1"
"2","1","14","25","500011","400"
"4","1","14","25","500012","400"
"0","0","12","0","500021","0"
"107","30","14","10000","500031","1"
"2999130","0","1","0","500041","2500"
"50005","0","3","0","500051","1"
