75a204a4f830af5a36c712d8b68d9191637a47985cd797b75fb14cece7dbc28f,4cccf8dd14e323d34afb9bc87bdbb013e608d05234902a1a61da1eeb9da3f4b7,192f70388a38d7404f15d5d5797b3b17cb33cc2fc5c2d6fa58c65414b756423e,37a8a50d98b6c12c51af76fe785aaaf2a5c2240ada3b31a4b7ddc097742ba0ad,53ba2234f4bf280123dc251b4ef4e287030937305f1833908727d16b361e6013,74189d695b34411225608177192e038213c639148d8417b6db8463a53f447cea,0798293465e6ea12b1e874ecd51eb612e23915e01382219ba6d4790e7847ca6a,5c00557c7199dc133bf810d8dd1782deb01ba2a3af2c7b7c06ce328c3e8321bc
"28","98012","3","【事件】跳過下次的回合數計算","2","0","0","2"
"29","52020","2","【料理】移動時將可以跳過里程格。","1","0","0","10"
"30","52020","1","【料理】下次移動時，將多移動1格。","1","2","2","1"
"31","52021","2","【料理】移動時可以跳過寶物格。","1","0","0","10"
"32","52022","1","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","1","0","0","1"
"33","52023","1","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","1","0","0","1"
"34","52024","1","【料理】下次移動時多前進3格","1","0","0","1"
"35","52025","2","【料理】移動時可以跳過「里程格」及「寶物格」。","1","0","0","10"
"36","52027","1","【料理】骰子只會丟出「5」","1","0","0","1"
"37","52028","1","【料理】投擲的骰子\n只會丟出「1、2」。","1","0","0","1"
"38","52029","1","【料理】投擲的骰子一定會丟出「2」。","1","0","0","1"
"39","52029","3","【料理】跳過下次的回合數計算","1","0","0","2"
"40","8","3","【事件】里程商店的所有商品折價20%以上","2","0","0","4"
"41","52030","3","【料理】將「里程格」變成「寶物格」。","1","0","0","11"
"42","52031","1","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","1","0","0","1"
"43","52032","2","【料理】移動時可以跳過料理格","1","0","0","10"
"44","52034","1","【料理】移動時可以跳過里程格","1","0","0","8"
"45","52036","1","【料理】第1回合投擲骰子一定會丟出「12」，第2、3回合一定會丟出「1」","1","0","0","1"
"46","52037","2","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","1","0","0","6"
"47","52038","1","【料理】骰子增加成為兩個","1","0","0","1"
"48","52039","3","【料理】將「里程格」變成「商店格子」。","1","0","0","11"
"49","52040","2","【料理】移動時可以跳過寶物格","1","0","0","10"
"50","52041","1","【料理】第1回合投擲骰子一定會丟出「7」，第2回合一定會丟出「2」","1","0","0","1"
"51","52042","1","【料理】骰子只會丟出\n「4・5・6」","1","0","0","1"
"52","52043","1","【料理】變得無法食用移動系的料理","1","0","0","9"
"53","52044","1","【料理】骰子只會丟出\n「1・2・3」","1","0","0","1"
"54","52044","3","【料理】跳過下次的回合數計算","1","0","0","2"
"55","52045","2","【料理】移動時可以跳過「商店格子」、「小遊戲格」及「事件格子」。","1","0","0","10"
"56","52046","1","【料理】移動時可以跳過里程格","1","0","0","8"
"1001","1","1","取得最大n里程","3","0","0","99"
"1002","2","1","重新擲1次骰子","3","0","0","99"
"1003","3","1","重新擲1次骰子_有效回合2","3","0","0","99"
"11001","1001","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","126501"
"11002","1002","1","【夥伴】取得最大1000里程","3","0","0","105301"
"11003","1003","1","【夥伴】取得1個料理","3","0","0","126401"
"11004","1004","1","【夥伴】重新擲1次骰子","3","0","0","100501"
"11005","1005","1","【夥伴】重新擲2次骰子","3","0","0","101301"
"11006","1006","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","3","0","0","104301"
"11007","1007","1","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","3","0","0","102701"
"11008","1008","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","100901"
"11009","1009","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","105101"
"11010","1010","1","【夥伴】取得最大1000里程","3","0","0","101801"
"11011","1011","1","【夥伴】可以選擇使用骰子的正面或背面","3","0","0","129701"
"11012","1012","1","【夥伴】重新擲1次骰子","3","0","0","101601"
"11013","1013","1","【夥伴】重新擲2次骰子","3","0","0","105601"
"11014","1014","1","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","3","0","0","102001"
"11015","1015","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","129601"
"11016","1016","1","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","3","0","0","100401"
"11017","1017","1","【夥伴】骰子擲出偶數時，多前進1格。","3","0","0","127701"
"11018","1018","1","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","3","0","0","127801"
"11019","1019","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","104801"
"11020","1020","1","【夥伴】重新擲2次骰子","3","0","0","104701"
"11021","1021","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","105001"
"11022","1022","1","【夥伴】取得最大2000里程","3","0","0","103201"
"11023","1023","1","【夥伴】取得1張抽獎券","3","0","0","130901"
"11024","1024","1","【夥伴】取得1個料理","3","0","0","102501"
"11025","1025","1","【夥伴】可以選擇使用骰子的正面或背面","3","0","0","100801"
"11026","1026","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","3","0","0","123301"
"11027","1027","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","104601"
"11028","1028","1","【夥伴】重新擲2次骰子","3","0","0","118101"
"11029","1029","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","103401"
"11030","1030","1","【夥伴】取得最大2000里程","3","0","0","118001"
"11031","1031","1","【夥伴】取得1張抽獎券","3","0","0","102801"
"11032","1032","1","【夥伴】取得1個料理","3","0","0","100201"
"11033","1033","1","【夥伴】骰子擲出奇數時，多前進1格。","3","0","0","101201"
"11034","1034","1","【夥伴】重新擲1次骰子","3","0","0","118201"
"11035","1035","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","106101"
"11036","1036","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","3","0","0","103101"
"11037","1037","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","103301"
"11038","1038","1","【夥伴】取得最大2000里程","3","0","0","103601"
"11039","1039","1","【夥伴】取得1張抽獎券","3","0","0","133001"
"11040","1040","1","【夥伴】取得1個料理","3","0","0","133101"
"11041","1041","1","【夥伴】可以選擇使用骰子的正面或背面","3","0","0","106801"
"11042","1042","1","【夥伴】重新擲1次骰子","3","0","0","107101"
"11043","1043","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","107001"
"11044","1044","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","3","0","0","106501"
"11045","1045","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","111001"
"11046","1046","1","【夥伴】取得最大2000里程","3","0","0","134901"
"11047","1047","1","【夥伴】取得1張抽獎券","3","0","0","105401"
"11048","1048","1","【夥伴】取得1個料理","3","0","0","134701"
"11049","1049","1","【夥伴】可以選擇使用骰子的正面或背面","3","0","0","100101"
"11050","1050","1","【夥伴】重新擲1次骰子","3","0","0","100701"
"11051","1051","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","103001"
"11052","1052","1","【夥伴】骰子擲出偶數時，多前進1格。","3","0","0","101401"
"11053","1053","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","135901"
"11054","1054","1","【夥伴】取得最大2000里程","3","0","0","102601"
"11055","1055","1","【夥伴】取得1張抽獎券","3","0","0","132401"
"11056","1056","1","【夥伴】取得1個料理","3","0","0","135801"
"11057","1057","1","【夥伴】可以選擇使用骰子的正面或背面","3","0","0","100301"
"11058","1058","1","【夥伴】重新擲1次骰子","3","0","0","106701"
"11059","1059","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","132301"
"11060","1060","1","【夥伴】骰子擲出奇數時，多前進1格。","3","0","0","105201"
"11061","1061","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","102201"
"11062","1062","1","【夥伴】取得最大2000里程","3","0","0","100601"
"11063","1063","1","【夥伴】取得1張抽獎券","3","0","0","136201"
"11064","1064","1","【夥伴】取得1個料理","3","0","0","110901"
"11065","1065","1","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","3","0","0","103801"
"11066","1066","1","【夥伴】重新擲1次骰子","3","0","0","101501"
"11067","1067","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","102901"
"11068","1068","1","【夥伴】骰子擲出偶數時，多前進1格。","3","0","0","101701"
"11069","1069","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","132501"
"11070","1070","1","【夥伴】取得最大2000里程","3","0","0","104201"
"11071","1071","1","【夥伴】取得1張抽獎券","3","0","0","101101"
"11072","1072","1","【夥伴】取得1個料理","3","0","0","104901"
"11073","1073","1","【夥伴】可以選擇使用骰子的正面或背面","3","0","0","101001"
"11074","1074","1","【夥伴】重新擲1次骰子","3","0","0","135601"
"11075","1075","1","【夥伴】追加投擲骰子直到數字合計為7以上","3","0","0","135501"
"11076","1076","1","【夥伴】骰子擲出奇數時，多前進1格。","3","0","0","105501"
"11077","1077","1","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","3","0","0","122301"
"11078","1078","1","【夥伴】取得最大2000里程","3","0","0","133601"
"11079","1079","1","【夥伴】取得1張抽獎券","3","0","0","102101"
"11080","1080","1","【夥伴】取得1個料理","3","0","0","102301"
