704718d6b29d7a1a320dda56cc2b91554bd0af45c0ede8ab1c3a204d928aeb23,0e5f6fe2202fe980081d00c5e965678d307deb22f3bae650602987f83e0dda55,a82002ab071c01d3d39ef8ea60e23c1e4eebc79830afdc4f2161cf18a147d657,02ba16297543a3aabbfd4695db9eae420241947766a21a62c00ce8c699b8f4a0,95c2dee6941ab9e35a04e1cadff2e3ea3467fc9c5bb2b55d02a6f0a2c6eae2fe,327d5ad559f3a8f5870ba0d96255e7ee7ca1f7179bbeebb3d564bc08240aa590,4ac15f9f24482bf0a25fe02ed7f8a3e80d5a1bb44aac0fec9432e4664640076d
"2","咕麼！（交給我！）","10012","vo_minigame_1004","vo_minigame_1004_top_2_017","1001202","3"
"1","乖乖，很好，做得好的話，就給你巧克力！","10013","vo_minigame_1004","vo_minigame_1004_top_2_018","1001301","1"
"2","咕麼！（我 喜歡巧克力）","10013","vo_minigame_1004","vo_minigame_1004_top_2_019","1001302","3"
"1","喏，祈梨……妳是不是已經迷失當時的目的了？","10014","vo_minigame_1004","vo_minigame_1004_top_2_023","1001401","2"
"2","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","10014","vo_minigame_1004","vo_minigame_1004_top_2_024","1001402","1"
"1","就算對手是祈梨，我也不會把勝利讓給妳的！","10015","vo_minigame_1004","vo_minigame_1004_top_2_025","1001501","2"
"2","正合我意，我可不會手下留情哦！","10015","vo_minigame_1004","vo_minigame_1004_top_2_026","1001502","1"
"1","嘿，妳還滿行的嘛！","10016","vo_minigame_1004","vo_minigame_1004_top_2_027","1001601","2"
"2","嘉夜夜也比我想像的還厲害呢！","10016","vo_minigame_1004","vo_minigame_1004_top_2_028","1001602","1"
"1","喂～似龍生物？","10017","vo_minigame_1004","vo_minigame_1004_top_2_029","1001701","2"
"2","咕麼！？（噫！）","10017","vo_minigame_1004","vo_minigame_1004_top_2_030","1001702","3"
"1","哎呀，那時真是不好意思啊哈哈哈！","10018","vo_minigame_1004","vo_minigame_1004_top_2_031","1001801","2"
"2","咕麼麼麼……（嘉夜夜 好可怕）","10018","vo_minigame_1004","vo_minigame_1004_top_2_032","1001802","3"
"1","你啊……還真是一臉呆樣呢。","10019","vo_minigame_1004","vo_minigame_1004_top_2_033","1001901","2"
"2","咕麼……（妳還 敢說我）","10019","vo_minigame_1004","vo_minigame_1004_top_2_034","1001902","3"
"2","咕麼……（肚子餓了 想要巧克力）","10020","vo_minigame_1004","vo_minigame_1004_top_2_044","1002001","3"
"1","怎麼了？睏了嗎？","10020","vo_minigame_1004","vo_minigame_1004_top_2_045","1002002","2"
"2","咕麼麼（這傢伙……好危險）","10021","vo_minigame_1004","vo_minigame_1004_top_2_046","1002101","3"
"1","嗯？　怎麼了？想當我的小弟嗎？","10021","vo_minigame_1004","vo_minigame_1004_top_2_047","1002102","2"
"2","咕麼……（嘉夜夜是 肌肉笨蛋）","10022","vo_minigame_1004","vo_minigame_1004_top_2_048","1002201","3"
"1","喂，你現在在想沒禮貌的事吧？","10022","vo_minigame_1004","vo_minigame_1004_top_2_049","1002202","2"
"1","欸，這個要持續到什麼時候？","10023","vo_minigame_1004","vo_minigame_1004_top_3_058","1002301","2"
"2","到嘉夜夜投降為止！","10023","vo_minigame_1004","vo_minigame_1004_top_3_059","1002302","1"
"2","咕麼麼！（給我投降！）","10023","vo_minigame_1004","vo_minigame_1004_top_3_060","1002303","3"
"2","咕麼！（祈梨 我想要巧克力）","10024","vo_minigame_1004","vo_minigame_1004_top_3_065","1002401","3"
"1","真拿你沒辦法，不可以吃太多哦！","10024","vo_minigame_1004","vo_minigame_1004_top_3_066","1002402","1"
"1","你好像很喜歡伴手禮的巧克力呢。","10024","vo_minigame_1004","vo_minigame_1004_top_3_067","1002403","2"
"2","咕麼！（我不會輸給 嘉夜夜！）","10025","vo_minigame_1004","vo_minigame_1004_top_3_068","1002501","3"
"1","哦？怎麼了？是肚子餓了嗎？","10025","vo_minigame_1004","vo_minigame_1004_top_3_069","1002502","2"
"2","……完全無法溝通。","10025","vo_minigame_1004","vo_minigame_1004_top_3_070","1002503","1"
