44e82e9415c3b439cfb101ed06c8a59c5c9dce4bdb08050a20365d94e4a83798,d70a7c1fed992307cecabc0ba884ed82cdad57930d77a4b0e19c6c3dbb5ee13d,251eb581ef58ea54fe807300b713c62fa74c0a69bfd539f0f6cbf3d1d11923ce,78538f3528fc89539bb6fac5acd179e7f6c0f916c3aa4047d517af8cc065e627,54047365527deb1dca482b98855adbbde69cb6d85b114f098591d458fe18c53b,396f5d8b2b9463a69728f2c415c7111beacec6bb3547f8543de865b1984c0848,0726e7bbac85a224a2e14eb7d00f7ed68f396095e207bba7bab92a527780c530,6fec1e12a6270fe133edbaa468e6879be39106da00c8aabe71c19a19543d9d65,19599ab0f35d57745c9c1ae787a865826a3ce8c59bfe9a1efa4f9595162e7d1d,73a28862b10fbc9b4cc2e94eb4fbc951d46f8d58887cfec2715bb6663e05bf45,2f33c607bb37aa625b7572cfcd37fbf55ffdfd487f34ad37921d77ff4a812825
"112093","1","112","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！","1","118511","0","10","0.5","0","11"
"112094","","112","","","112093","","","","","91"
"112095","","112","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"112096","1","112","wac_215_peko_talk_wish","wac_215_peko_talk_wish_loop","105811","0.2","0","","0.2","3"
"112097","","112","vo_wac_220215_017","0","vo_wac_220215","","0","","","21"
"112098","1","112","我明白了！\n那我就來畫魔物料理──","1","105811","0","10","0.5","0","11"
"112099","","112","","","112098","","","","","91"
"112100","","112","wac_215_peko_idle_wish","","105811","","1","","0.2","3"
"112101","1","112","wac_215_kyaru_talk_anger","wac_215_talk_arm_crossed_loop","106011","0.2","0","","0.2","3"
"112102","","112","vo_wac_220215_018","0","vo_wac_220215","","0","","","21"
"112103","1","112","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！","1","106011","0","10","0.5","0","11"
"112104","","112","","","112103","","","","","91"
"112105","","112","wac_215_idle_arm_crossed","","106011","","1","","0.2","3"
"112106","1","112","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","105811","0","0","","0.2","3"
"112107","1","112","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","106431","0","0","","0.2","3"
"112108","","112","","","0.1","","","","","93"
"112109","1","112","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","105911","0","0","","0.2","3"
"112110","1","112","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","106011","0.2","0","","0.2","3"
"112111","","112","","","0.9","","","","","93"
"112112","1","112","wac_215_handclap","wac_215_karin_idle_normal","118511","0.2","0","","0.2","3"
"112113","","112","0","","2","","","","","93"
"112114","","112","","","0","","","","","91"
"113001","","113","wac_215_karin_idle_normal","","118511","","1","","0.2","3"
"113002","","113","wac_215_idle_joy1","","105811","","1","","0.2","3"
"113003","","113","","","0.1","","","","","93"
"113004","","113","wac_215_coccoro_idle_wish","","105911","","1","","0.2","3"
"113005","","113","wac_215_idle_arm_crossed","","106011","","1","","0.2","3"
"113006","","113","","","0.1","","","","","93"
"113007","","113","wac_215_idle_normal2_joy","","106431","","1","","0.2","3"
"113008","","113","","","0","","","","","91"
"211001","-212.75","211","105811","-108","1","0","202","wac_default_11","2","1"
"211002","-212.75","211","111","-108","1","0","201","wac_default_11","2","5"
"211003","1","211","1","0","1","","0","","1","31"
"211004","1","211","2","0","2","","0","","0","31"
"211005","1","211","11","0","11","","0","","0","31"
"211006","0","211","wac_paint_11","","105811","","0","","0.2","3"
"211007","0","211","wac_paint_11","","111","","0","","0.2","3"
"211008","","211","0","","0.3","","","","","93"
"211009","","211","1","","11","","","wac_default_11","","32"
"211010","","211","se_10035700_roller","","se_10035700","","0","","","23"
"211011","","211","","","1","","","","","131"
"212001","1","212","wac_talk_kyapi_in","wac_talk_kyapi_loop","105811","","0","","0.2","3"
"212002","","212","wac_no_items","","111","","1","","0.2","3"
"212003","","212","200","0","105811","","-340","","","2"
"212004","","212","200","0","111","","-340","","","2"
"212005","","212","0","","1","","","","","32"
"212006","","212","1","","2","","","","","32"
"212007","","212","0","","11","","","","","32"
"212008","","212","vo_wac_220216_000","0","vo_wac_220216","","0","","","21"
"212009","1","212","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！","1","105811","0","10","0.5","0","11"
"212010","","212","","","0","","","","","91"
"212011","","212","vo_wac_220216_001","0","vo_wac_220216","","0","","","21"
"212012","1","212","大家一起圍繞在餐桌邊\n當然是很幸福，\n但跟大家一起打造出一件東西……\n也太讚了吧☆","1","105811","0","10","0.5","0","11"
"212013","","212","","","0","","","","","91"
"212014","","212","0","","0","","","","","22"
"213001","","213","wac_idle_kyapi","","105811","","1","","0.2","3"
"213002","","213","wac_no_items","","111","","1","","0.2","3"
"213003","","213","200","0","105811","","-340","","","2"
"213004","","213","200","0","111","","-340","","","2"
"213005","","213","0","","1","","","","","32"
"213006","","213","1","","2","","","","","32"
"213007","","213","0","","11","","","","","32"
"213008","","213","","","0","","","","","91"
"311001","-212.75","311","105911","-108","1","0","202","wac_default_01","2","1"
"311002","-212.75","311","111","-108","1","0","201","wac_default_03","2","5"
"311003","1","311","1","0","1","","0","","1","31"
"311004","1","311","2","0","2","","0","","0","31"
"311005","1","311","11","0","11","","0","","0","31"
"311006","","311","wac_paint_01","","105911","","0","","0.2","3"
"311007","","311","wac_paint_03","","111","","0","","0.2","3"
"311008","","311","1","","11","","","wac_default_11","","32"
"311009","","311","se_10035700_brush","","se_10035700","","0","","","23"
"311010","","311","","","1","","","","","131"
"312001","1","312","wac_talk_wish_in","wac_talk_wish_loop","105911","","0","","0.2","3"
"312002","","312","wac_no_items","","111","","1","","0.2","3"
"312003","","312","200","0","105911","","-340","","","2"
"312004","","312","200","0","111","","-340","","","2"
"312005","","312","0","","1","","","","","32"
"312006","","312","1","","2","","","","","32"
"312007","","312","0","","11","","","","","32"
"312008","","312","vo_wac_220217_000","0","vo_wac_220217","","0","","","21"
"312009","1","312","呼……\n在下認為自己很擅長照顧人，\n卻對畫技沒什麼自信。\n但是──","1","105911","0","10","0.5","0","11"
"312010","","312","","","0","","","","","91"
"312011","","312","vo_wac_220217_001","0","vo_wac_220217","","0","","","21"
"312012","1","312","在下希望有朝一日，能在蘭德索爾的\n這面牆畫上主人威風凜凜的模樣……\n在下會努力的。\n請你看著在下吧，主人……♪","1","105911","0","10","0.5","0","11"
"312013","","312","","","0","","","","","91"
"312014","","312","0","","0","","","","","22"
"313001","","313","wac_idle_wish","","105911","","1","","0.2","3"
"313002","","313","wac_no_items","","111","","1","","0.2","3"
"313003","","313","200","0","105911","","-340","","","2"
"313004","","313","200","0","111","","-340","","","2"
"313005","","313","0","","1","","","","","32"
"313006","","313","1","","2","","","","","32"
"313007","","313","0","","11","","","","","32"
"313008","","313","","","0","","","","","91"
"411001","-212.75","411","106011","-108","1","0","202","wac_default_01","2","1"
"411002","-212.75","411","111","-108","1","0","201","wac_default_02","2","5"
"411003","1","411","1","0","1","","0","","1","31"
"411004","1","411","2","0","2","","0","","0","31"
"411005","1","411","11","0","11","","0","","0","31"
"411006","","411","wac_paint_01","","106011","","0","","0.2","3"
"411007","","411","wac_paint_02","","111","","0","","0.2","3"
"411008","","411","1","","11","","","wac_default_11","","32"
"411009","0","411","se_10035700_brush","","se_10035700","","0","","0.2","23"
"411010","","411","","","1","","","","","131"
"412001","1","412","wac_talk_doya_in","wac_talk_doya_loop","106011","","0","","0.2","3"
"412002","","412","wac_no_items","","111","","1","","0.2","3"
"412003","","412","200","0","106011","","-340","","","2"
"412004","","412","200","0","111","","-340","","","2"
"412005","","412","0","","1","","","","","32"
"412006","","412","1","","2","","","","","32"
"412007","","412","0","","11","","","","","32"
"412008","","412","vo_wac_220218_000","0","vo_wac_220218","","0","","","21"
"412009","1","412","哼哼哼～♪\n好，感覺很不錯呢！\n今天的部分完成了！","1","106011","0","10","0.5","0","11"
"412010","","412","","","0","","","","","91"
"412011","","412","vo_wac_220218_001","0","vo_wac_220218","","0","","","21"
"412012","1","412","總覺得開始好玩起來了。\n……我啊，該不會是有\n繪畫的才能吧♪\n好～要來盡情地畫囉！","1","106011","0","10","0.5","0","11"
"412013","","412","","","0","","","","","91"
"412014","","412","0","","0","","","","","22"
"413001","","413","wac_idle_doya","","106011","","1","","0.2","3"
"413002","","413","wac_no_items","","111","","1","","0.2","3"
"413003","","413","200","0","106011","","-340","","","2"
"413004","","413","200","0","111","","-340","","","2"
"413005","","413","0","","1","","","","","32"
"413006","","413","1","","2","","","","","32"
"413007","","413","0","","11","","","","","32"
"413008","","413","","","0","","","","","91"
"511001","-212.75","511","106431","-108","1","0","202","wac_default_11","2","1"
"511002","-212.75","511","111","-108","1","0","201","wac_default_12","2","5"
"511003","1","511","1","0","1","","0","","1","31"
"511004","1","511","2","0","2","","0","","0","31"
"511005","1","511","11","0","11","","0","","0","31"
"511006","","511","wac_paint_11","","106431","","0","","0.2","3"
"511007","","511","wac_paint_12","","111","","0","","0.2","3"
"511008","","511","0","","0.3","","","","","93"
"511009","","511","1","","11","","","wac_default_11","","32"
"511010","0","511","se_10035700_roller","","se_10035700","","0","","0.2","23"
"511011","","511","","","1","","","","","131"
"512001","1","512","wac_talk_smile_in","wac_talk_smile_loop","106431","","0","","0.2","3"
"512002","","512","wac_no_items","","111","","1","","0.2","3"
"512003","","512","200","0","106431","","-340","","","2"
"512004","","512","200","0","111","","-340","","","2"
"512005","","512","0","","1","","","","","32"
"512006","","512","1","","2","","","","","32"
"512007","","512","0","","11","","","","","32"
"512008","","512","vo_wac_220219_000","0","vo_wac_220219","","0","","","21"
"512009","1","512","雖然我沒有學過畫畫……\n但盡情地動手畫畫非常新鮮，\n很有趣呢。","1","106431","0","10","0.5","0","11"
"512010","","512","","","0","","","","","91"
"512011","","512","vo_wac_220219_001","0","vo_wac_220219","","0","","","21"
"512012","1","512","我們畫的畫居然會變成\n蘭德索爾的一部分風景，\n總覺得這就像是在作夢……！","1","106431","0","10","0.5","0","11"
"512013","","512","","","0","","","","","91"
"512014","","512","0","","0","","","","","22"
"513001","","513","wac_idle_smile","","106431","","1","","0.2","3"
"513002","","513","wac_no_items","","111","","1","","0.2","3"
"513003","","513","200","0","106431","","-340","","","2"
"513004","","513","200","0","111","","-340","","","2"
"513005","","513","0","","1","","","","","32"
"513006","","513","1","","2","","","","","32"
"513007","","513","0","","11","","","","","32"
"513008","","513","","","0","","","","","91"
"611001","-212.75","611","104411","-108","1","0","202","wac_default_01","2","1"
"611002","-212.75","611","111","-108","1","0","201","wac_default_01","2","5"
"611003","1","611","1","0","1","","0","","1","31"
"611004","1","611","2","0","2","","0","","0","31"
"611005","1","611","11","0","11","","0","","0","31"
"611006","","611","wac_paint_01","","104411","","0","","0.2","3"
"611007","","611","wac_paint_01","","111","","0","","0.2","3"
"611008","","611","1","","11","","","wac_default_11","","32"
"611009","0","611","se_10035700_brush","","se_10035700","","0","","0.2","23"
"611010","","611","","","1","","","","","131"
"612001","1","612","wac_talk_doya_in","wac_talk_doya_loop","104411","","0","","0.2","3"
"612002","","612","wac_no_items","","111","","1","","0.2","3"
"612003","","612","200","0","104411","","-340","","","2"
"612004","","612","200","0","111","","-340","","","2"
"612005","","612","0","","1","","","","","32"
"612006","","612","1","","2","","","","","32"
"612007","","612","0","","11","","","","","32"
"612008","","612","vo_wac_220220_000","0","vo_wac_220220","","0","","","21"
"612009","1","612","將妾身的威嚴淋漓盡致地\n畫在蘭德索爾……\n這不是別有一番雅興嗎！","1","104411","0","10","0.5","0","11"
"612010","","612","","","0","","","","","91"
"612011","","612","vo_wac_220220_001","0","vo_wac_220220","","0","","","21"
"612012","1","612","嗯，話又說回來，真不愧是妾身。\n這美妙的筆觸無人能及。如此一來，\n征服世界的那天也不遠了！\n哼……哼哈哈哈哈，哈～哈哈哈！","1","104411","0","10","0.5","0","11"
"612013","","612","","","0","","","","","91"
"612014","","612","0","","0","","","","","22"
"613001","","613","wac_idle_doya","","104411","","1","","0.2","3"
"613002","","613","wac_no_items","","111","","1","","0.2","3"
"613003","","613","200","0","104411","","-340","","","2"
"613004","","613","200","0","111","","-340","","","2"
"613005","","613","0","","1","","","","","32"
"613006","","613","1","","2","","","","","32"
"613007","","613","0","","11","","","","","32"
"613008","","613","","","0","","","","","91"
"711001","-325","711","102211","-108","1","0","202","wac_default_bot_01","2","1"
"711002","-325","711","111","-108","1","0","201","wac_default_02","2","5"
"711003","1","711","3","0","3","","0","","1","31"
"711004","1","711","2","0","2","","0","","0","31"
"711005","1","711","13","0","13","","0","","0","31"
"711006","","711","wac_paint_bot_01","","102211","","0","","0.2","3"
"711007","","711","wac_paint_02","","111","","0","","0.2","3"
"711008","","711","1","","13","","","wac_default_11","","32"
"711009","0","711","se_10035700_brush","","se_10035700","","0","","0.2","23"
"711010","","711","","","1","","","","","131"
"712001","1","712","wac_talk_sad_in","wac_talk_sad_loop","102211","","0","","0.2","3"
"712002","","712","wac_no_items","","111","","1","","0.2","3"
"712003","","712","200","0","102211","","-340","","","2"
"712004","","712","200","0","111","","-340","","","2"
"712005","","712","0","","3","","","","","32"
"712006","","712","1","","2","","","","","32"
"712007","","712","0","","13","","","","","32"
"712008","","712","vo_wac_220221_000","0","vo_wac_220221","","0","","","21"
"712009","1","712","這、這種感覺可以嗎……？\n居然突然要人畫圖，\n還真是強人所難。","1","102211","0","10","0.5","0","11"
"712010","","712","","","0","","","","","91"
"712011","","712","vo_wac_220221_001","0","vo_wac_220221","","0","","","21"
"712012","1","712","雖然手因為緊張而抖了起來……\n連我都覺得畫得很不錯。\n不知道茜里畫了什麼樣的圖？\n就去看看吧。","1","102211","0","10","0.5","0","11"
"712013","","712","","","0","","","","","91"
"712014","","712","0","","0","","","","","22"
"713001","","713","wac_idle_sad","","102211","","1","","0.2","3"
"713002","","713","wac_no_items","","111","","1","","0.2","3"
"713003","","713","200","0","102211","","-340","","","2"
"713004","","713","200","0","111","","-340","","","2"
"713005","","713","0","","3","","","","","32"
"713006","","713","1","","2","","","","","32"
"713007","","713","0","","13","","","","","32"
"713008","","713","","","0","","","","","91"
"811001","-325","811","100611","-108","1","0","202","wac_default_bot_11","2","1"
"811002","-325","811","111","-108","1","0","201","wac_default_12","2","5"
"811003","1","811","3","0","3","","0","","1","31"
"811004","1","811","2","0","2","","0","","0","31"
"811005","1","811","13","0","13","","0","","0","31"
"811006","","811","wac_paint_bot_11","","100611","","0","","0.2","3"
"811007","","811","wac_paint_12","","111","","0","","0.2","3"
"811008","","811","0","","0.3","","","","","93"
"811009","","811","1","","13","","","wac_default_11","","32"
"811010","0","811","se_10035700_roller","","se_10035700","","0","","0.2","23"
"811011","","811","","","1","","","","","131"
"812001","1","812","wac_talk_smile_in","wac_talk_smile_loop","100611","","0","","0.2","3"
"812002","","812","wac_no_items","","111","","1","","0.2","3"
"812003","","812","200","0","100611","","-340","","","2"
"812004","","812","200","0","111","","-340","","","2"
"812005","","812","0","","3","","","","","32"
"812006","","812","1","","2","","","","","32"
"812007","","812","0","","13","","","","","32"
"812008","","812","vo_wac_220222_000","0","vo_wac_220222","","0","","","21"
"812009","1","812","嘻嘻♪\n茜里畫好了～♪\n好可愛喔～♪","1","100611","0","10","0.5","0","11"
"812010","","812","","","0","","","","","91"
"812011","","812","vo_wac_220222_001","0","vo_wac_220222","","0","","","21"
"812012","1","812","不過，是不是讓畫面\n灑滿更多愛心比較好？\n或是去姊姊那裡補畫──\n啊！姊姊♪","1","100611","0","10","0.5","0","11"
"812013","","812","","","0","","","","","91"
"812014","","812","0","","0","","","","","22"
"813001","","813","wac_idle_smile","","100611","","1","","0.2","3"
"813002","","813","wac_no_items","","111","","1","","0.2","3"
"813003","","813","200","0","100611","","-340","","","2"
"813004","","813","200","0","111","","-340","","","2"
"813005","","813","0","","3","","","","","32"
"813006","","813","1","","2","","","","","32"
"813007","","813","0","","13","","","","","32"
"813008","","813","","","0","","","","","91"
"911001","-212.75","911","103111","-108","1","0","202","wac_default_01","2","1"
"911002","-212.75","911","111","-108","1","0","201","wac_default_03","2","5"
"911003","1","911","1","0","1","","0","","1","31"
"911004","1","911","2","0","2","","0","","0","31"
"911005","1","911","11","0","11","","0","","0","31"
"911006","","911","wac_paint_01","","103111","","0","","0.2","3"
"911007","","911","wac_paint_03","","111","","0","","0.2","3"
"911008","","911","1","","11","","","wac_default_11","","32"
"911009","0","911","se_10035700_brush","","se_10035700","","0","","0.2","23"
"911010","","911","","","1","","","","","131"
"912001","1","912","wac_talk_wish_in","wac_talk_wish_loop","103111","","0","","0.2","3"
"912002","","912","wac_no_items","","111","","1","","0.2","3"
"912003","","912","200","0","103111","","-340","","","2"
"912004","","912","200","0","111","","-340","","","2"
"912005","","912","0","","1","","","","","32"
"912006","","912","1","","2","","","","","32"
"912007","","912","0","","11","","","","","32"
"912008","","912","vo_wac_220223_000","0","vo_wac_220223","","0","","","21"
"912009","1","912","在蘭德索爾的牆壁上畫畫……\n我原本很擔心自己能不能\n做到這件事，但進行得很順利，\n我放心了。","1","103111","0","10","0.5","0","11"
"912010","","912","","","0","","","","","91"
"912011","","912","vo_wac_220223_001","0","vo_wac_220223","","0","","","21"
"912012","1","912","雖然一想到別人會看到這個，\n就覺得有點不好意思……\n但如果能讓大家感到開心，\n我會很高興的。","1","103111","0","10","0.5","0","11"
"912013","","912","","","0","","","","","91"
"912014","","912","0","","0","","","","","22"
"913001","","913","wac_idle_wish","","103111","","1","","0.2","3"
"913002","","913","wac_no_items","","111","","1","","0.2","3"
"913003","","913","200","0","103111","","-340","","","2"
"913004","","913","200","0","111","","-340","","","2"
"913005","","913","0","","1","","","","","32"
"913006","","913","1","","2","","","","","32"
"913007","","913","0","","11","","","","","32"
"913008","","913","","","0","","","","","91"
"1011001","-212.75","1011","100711","-108","1","0","202","wac_default_01","2","1"
"1011002","-212.75","1011","111","-108","1","0","201","wac_default_01","2","5"
"1011003","1","1011","1","0","1","","0","","1","31"
"1011004","1","1011","2","0","2","","0","","0","31"
"1011005","1","1011","11","0","11","","0","","0","31"
"1011006","","1011","wac_paint_01","","100711","","0","","0.2","3"
"1011007","","1011","wac_paint_01","","111","","0","","0.2","3"
"1011008","","1011","1","","11","","","wac_default_11","","32"
"1011009","0","1011","se_10035700_brush","","se_10035700","","0","","0.2","23"
"1011010","","1011","","","1","","","","","131"
"1012001","1","1012","wac_talk_smile_in","wac_talk_smile_loop","100711","","0","","0.2","3"
"1012002","","1012","wac_no_items","","111","","1","","0.2","3"
"1012003","","1012","200","0","100711","","-340","","","2"
"1012004","","1012","200","0","111","","-340","","","2"
"1012005","","1012","0","","1","","","","","32"
"1012006","","1012","1","","2","","","","","32"
"1012007","","1012","0","","11","","","","","32"
"1012008","","1012","vo_wac_220224_000","0","vo_wac_220224","","0","","","21"
"1012009","1","1012","是布丁來的，這裡也是布丁來的，\n這邊那邊也都是布丁來的。\n沒有啦，騙你的喲。\n人家有照著學到的好好畫喲。","1","100711","0","10","0.5","0","11"
"1012010","","1012","","","0","","","","","91"
