fd6e503f4c6d39c4967e0c7aa80f361ae14e7a91be9fef34f19d859d4959a595,0bb6f5bf8b25dff7a68f8f67f6fa2ca040c49ac8dd21dce91e81d69949a3e7c5,016172b7400e8936bb620eba7bb6177a2aa4a12671446258867815447305aa33
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法防禦力","47"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊率","48"
"[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]","全角色 強化狀態異常命中","49"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法暴擊率","50"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","51"
"[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊傷害","52"
"[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]5[-][3C404E]（※目標的強化效果與職階專精共通）[-]","全角色 強化增益","53"
"[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法暴擊傷害","54"
"[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化物理造成的傷害","55"
"[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]5[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","全角色 強化減益","56"
"[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法造成的傷害","57"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","58"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵","59"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","60"
"[3C404E]挑戰開始時，可追加獲得與所選擇之公會對應的[-][FFBB00,CE4F00]連結印記[-][3C404E][-]","挑戰開始時的連結印記追加","61"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理攻擊力","62"
"[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","全角色 強化普通攻擊","63"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法攻擊力","64"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理防禦力","65"
"[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]10[-][3C404E][-]","全角色 強化恢復","66"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法防禦力","67"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊率","68"
"[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]20[-][3C404E][-]","全角色 強化狀態異常命中","69"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化魔法暴擊率","70"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵","71"
"[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化物理暴擊傷害","72"
"[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的強化效果與職階專精共通）[-]","全角色 強化增益","73"
"[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法暴擊傷害","74"
"[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化物理造成的傷害","75"
"[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","全角色 強化減益","76"
"[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","全角色 強化魔法造成的傷害","77"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","78"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","強化屬性獎勵","79"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","全角色 強化ＨＰ","80"
"[3C404E]挑戰開始時，可以多持有[-][FFBB00,CE4F00]2000[-][3C404E]始源盧幣出發[-]","增加挑戰開始時的始源盧幣","81"
