cf0bf33e1555b307162442e0e5a5c4e8280a52984f7f5037d0e07789ed4e0362,baa4a8c851c742be96b8c8ac39e0d95fb0e39a0285f6ceb9f7e93758c7ceb156,20513d7dc069718131835c13d401cbedd748e3deee392fe80a02af647d856628,8ebf0a922d1d670d238a040d300f1a0d54f430413d014a854a907a007017a481,bc288163bc9a8aaba321bf6ad11f9578437b9349048c56ac3e89f024e12c740a,89502e503b37bc8f266694cfc8bcfe50ca9de4e58098f92065492d60caacdb42
"109901","10053","0","102","10053303","0"
"211","10053","0","3","10053531","1005304"
"1","10084","0","1","10084001","10084102"
"2","10084","0","1","10084002","10084112"
"3","10084","0","1","10084003","10084115"
"1","10085","0","1","10085001","10085102"
"2","10085","0","1","10085002","10085108"
"3","10085","0","1","10085003","10085115"
"1","10112","0","1","10112001","10112102"
"2","10112","0","1","10112002","10112112"
"3","10112","0","1","10112003","10112115"
"1","10113","0","1","10113001","10113102"
"2","10113","0","1","10113002","10113108"
"3","10113","0","1","10113003","10113115"
"1","10153","0","1","10153001","10153102"
"2","10153","0","1","10153002","10153108"
"3","10153","0","1","10153003","10153115"
"105801","10153","0","101","10153301","0"
"109901","10153","0","101","10153302","10153102"
"109901","10153","0","102","10153303","0"
"211","10153","0","3","10153531","1015304"
"1","20008","0","1","20008001","20008103"
"2","20008","0","1","20008002","20008104"
"3","20008","0","1","20008003","20008105"
"4","20008","0","1","20008004","20008107"
"5","20008","0","1","20008005","20008111"
"201","20008","0","2","20008006","0"
"101","20008","0","201","20008201","20008105"
"102","20008","0","201","20008202","20008107"
"103","20008","0","201","20008203","20008111"
"111","20008","0","202","20008204","20008115"
"105601","20008","0","101","20008301","0"
"100901","20008","0","101","20008302","20008103"
"101301","20008","0","101","20008303","20008104"
"105601","20008","0","101","20008304","20008105"
"101301","20008","0","101","20008305","20008107"
"100901","20008","0","101","20008306","20008111"
"105601","20008","0","102","20008307","0"
"201","20010","0","2","20010001","0"
"1","20010","0","1","20010002","20010110"
"2","20010","0","1","20010003","20010112"
"3","20010","0","1","20010004","20010115"
"4","20010","0","1","20010005","20010103"
"5","20010","0","1","20010006","20010105"
"6","20010","0","1","20010007","20010107"
"7","20010","0","1","20010008","20010109"
"101","20010","0","211","20010201","20010112"
"0","20010","0","211","20010202","20010115"
"101461","20010","101471","501","20010501","20010110"
"101462","20010","101472","501","20010502","20010110"
"101463","20010","101473","501","20010503","20010110"
"211","20010","0","3","20010531","2001004"
"1","20012","0","4","20012001","2001201"
"2","20012","0","4","20012002","2001202"
"3","20012","0","4","20012003","2001203"
"4","20012","0","4","20012004","2001204"
"101","20012","0","5","20012301","2001201"
"101","20012","0","5","20012302","2001202"
"101","20012","0","5","20012303","2001203"
"501","20012","0","6","20012401","0"
"211","20012","0","3","20012531","2001204"
"211","20014","0","3","20014531","2001404"
"101921","20016","101931","501","20016001","20016112"
"101922","20016","101932","501","20016002","20016112"
"101923","20016","101933","501","20016003","20016112"
"100011","20016","100351","501","20016004","20016112"
"100012","20016","100352","501","20016005","20016112"
"100013","20016","100353","501","20016006","20016112"
"100014","20016","100354","501","20016007","20016112"
"100015","20016","100355","501","20016008","20016112"
"100016","20016","100356","501","20016009","20016112"
"100017","20016","100357","501","20016010","20016112"
"100018","20016","100358","501","20016011","20016112"
"100019","20016","100359","501","20016012","20016112"
"1","20046","0","1","20046001","20046102"
"2","20046","0","1","20046002","20046112"
"3","20046","0","1","20046003","20046115"
"1","20047","0","1","20047001","20047102"
"2","20047","0","1","20047002","20047108"
"3","20047","0","1","20047003","20047115"
