ac73f9f34e0e3e8a4de54a73fd84b9b2c6027615901c41901a7622eb3dba621a,9185ea8c9944d0a2bb354b91ee1d98f6affad58ebbda883771342b1ff31a5200,d4c55ad8db5d2c8e22a01400c47bb2c3860435d429d162a81492aae73d9801c4,9b539dfb0ce4493d211cc06df6d69e7dcfdc858644b95630dc8057a11270ff21,cb5d934c6dfc00ff42408d02cd7886ec459857aab2d4bfce78191206fad0c7cb
"boss_magic_def_lower_limit","75000009","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000904"
"9","75000009","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000905"
"boss_tp_down_cut","75000009","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000906"
"18","75000010","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500001001"
"17","75000010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500001002"
"boss_def_lower_limit","75000010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500001003"
"boss_magic_def_lower_limit","75000010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500001004"
"9","75000010","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500001005"
"boss_tp_down_cut","75000010","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500001006"
"18","75000011","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500001101"
"17","75000011","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500001102"
"boss_def_lower_limit","75000011","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500001103"
"boss_magic_def_lower_limit","75000011","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500001104"
"9","75000011","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500001105"
"boss_tp_down_cut","75000011","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","500001106"
"18","75000012","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500001201"
"17","75000012","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500001202"
"boss_def_lower_limit","75000012","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500001203"
"boss_magic_def_lower_limit","75000012","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500001204"
"9","75000012","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500001205"
"boss_tp_down_cut","75000012","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500001206"
"18","76010001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000101"
"17","76010001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000102"
"boss_def_lower_limit","76010001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000103"
"boss_magic_def_lower_limit","76010001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000104"
"9","76010001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000105"
"boss_tp_down_cut","76010001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000106"
"18","76010002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000201"
"17","76010002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000202"
"boss_def_lower_limit","76010002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000203"
"boss_magic_def_lower_limit","76010002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000204"
"9","76010002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000205"
"boss_tp_down_cut","76010002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000206"
"18","76010003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000301"
"17","76010003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000302"
"boss_def_lower_limit","76010003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000303"
"boss_magic_def_lower_limit","76010003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000304"
"9","76010003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000305"
"boss_tp_down_cut","76010003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000306"
"18","76010004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000401"
"17","76010004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000402"
"boss_def_lower_limit","76010004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000403"
"boss_magic_def_lower_limit","76010004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000404"
"9","76010004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000405"
"boss_tp_down_cut","76010004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000406"
"18","76010005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","601000501"
"17","76010005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","601000502"
"boss_def_lower_limit","76010005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","601000503"
"boss_magic_def_lower_limit","76010005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","601000504"
"9","76010005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","601000505"
"boss_tp_down_cut","76010005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","601000506"
"18","76020001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000101"
"17","76020001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000102"
"boss_def_lower_limit","76020001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000103"
"boss_magic_def_lower_limit","76020001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000104"
"9","76020001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000105"
"boss_tp_down_cut","76020001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000106"
"18","76020002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000201"
"17","76020002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000202"
"boss_def_lower_limit","76020002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000203"
"boss_magic_def_lower_limit","76020002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000204"
"9","76020002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000205"
"boss_tp_down_cut","76020002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000206"
"18","76020003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000301"
"17","76020003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000302"
"boss_def_lower_limit","76020003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000303"
"boss_magic_def_lower_limit","76020003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000304"
"9","76020003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000305"
"boss_tp_down_cut","76020003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000306"
"18","76020004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000401"
"17","76020004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000402"
"boss_def_lower_limit","76020004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000403"
"boss_magic_def_lower_limit","76020004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000404"
"9","76020004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000405"
"boss_tp_down_cut","76020004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000406"
"18","76020005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000501"
"17","76020005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000502"
"boss_def_lower_limit","76020005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000503"
"boss_magic_def_lower_limit","76020005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000504"
"9","76020005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000505"
"boss_tp_down_cut","76020005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000506"
