88fd9fbb5dd54117b1dfab1ced8b72ef01629c13435982592f815f4198adc272,8f88719cf4eed30640a78ea19ad52e28c793f9b3dfbb05843e46f43d09a58028,e315293017a14feb9d118e88cfe10946335b31fcf4c66bd6517e47b4081891d1,ccb7c13dc75deb9da311274396eaaab3dc656b6b8c26f481d21c2242bd0b9168,c65d60770ace72c7433dc92492b8f685d5d993257940cece2d197dcecb8a80a2,6d6b5a388fa840531f0a25a4e24b0489ad993735111973222676961f9f82adfc,223510d13c3d2bee2556f265c01ca25219d1efe82f8e9ee34f953f8812542eb5,0de91506090bfd7f1daf68075d3a1d20d36b0b69c9e4487bdcf7ab83bfef8f4c,eb8a103689c229cb5c2881f7849eba1ae5bdc137d2398a598e0c391343845317,e795ea771771def061449d486f42c9c824b1458bb1964e76c0cb713e85d12eab,2bcb533d62b96e2be89e22d0016212efdb72bc721debf54310e0bbaed9c8e04c,5821b6aaeadde8caa638e16264ea4515b1e36f249db3aba95b06983dcff2617c,12daa4e44e39799278e6c5f089dd21b0a7674d74114cb40cb62e27e99c56a58e,f78424203b6f6d09c2f07e0fa439a7b916e296935b06a165cdc4af7a88389673,c3420c0c1d6ea91934160b96497e319008863f5f29bbe489f3416aa6b4c18b45,617527972844b37da7b8989d1562acd16a0a6e7975753628a3d271fea855f6fb,a255d5538dd52bc1ab66a026b8cc8d72c5f7d70344d4c700670d3b508a910531,cf4afa714b2208d5792ca7c4f70d4dbf9a3ed3cd5bc600b7b7769b0d9ddd9755
"9000","0","0","30","0","0","0","8","0","0","9000","91002","0","0","19","0","0","0"
"9100","0","0","30","0","0","0","8","0","0","9100","91002","0","0","20","0","0","0"
"9200","0","0","30","0","0","0","8","0","0","9200","91002","0","0","21","0","0","0"
"9300","0","0","30","0","0","0","8","0","0","9300","91002","0","0","22","0","0","0"
"9400","0","0","30","0","0","0","8","0","0","9400","91002","0","0","23","0","0","0"
"9500","0","0","30","0","0","0","8","0","0","9500","91002","0","0","24","0","0","0"
"9600","0","0","30","0","0","0","8","0","0","9600","91002","0","0","25","0","0","0"
"9700","0","0","30","0","0","0","8","0","0","9700","91002","0","0","26","0","0","0"
"9800","0","0","30","0","0","0","8","0","0","9800","91002","0","0","27","0","0","0"
"9900","0","0","30","0","0","0","8","0","0","9900","91002","0","0","28","0","0","0"
"10000","0","0","30","0","0","0","8","0","0","10000","91002","0","0","29","0","0","0"
"10100","0","0","30","0","0","0","8","0","0","10100","91002","0","0","30","0","0","0"
"10200","0","0","30","0","0","0","8","0","0","10200","91002","0","0","31","0","0","0"
"10300","0","0","30","0","0","0","8","0","0","10300","91002","0","0","32","0","0","0"
"10400","0","0","30","0","0","0","8","0","0","10400","91002","0","0","33","0","0","0"
"10500","0","0","30","0","0","0","8","0","0","10500","91002","0","0","34","0","0","0"
"10600","0","0","30","0","0","0","8","0","0","10600","91002","0","0","35","0","0","0"
"10700","0","0","30","0","0","0","8","0","0","10700","91002","0","0","36","0","0","0"
"10800","0","0","30","0","0","0","8","0","0","10800","91002","0","0","37","0","0","0"
"10900","0","0","30","0","0","0","8","0","0","10900","91002","0","0","38","0","0","0"
"11000","0","0","30","0","0","0","8","0","0","11000","91002","0","0","39","0","0","0"
"11100","0","0","30","0","0","0","8","0","0","11100","91002","0","0","40","0","0","0"
"11200","0","0","30","0","0","0","8","0","0","11200","91002","0","0","41","0","0","0"
"11300","0","0","30","0","0","0","8","0","0","11300","91002","0","0","42","0","0","0"
"11400","0","0","30","0","0","0","8","0","0","11400","91002","0","0","43","0","0","0"
"11500","0","0","30","0","0","0","8","0","0","11500","91002","0","0","44","0","0","0"
"11600","0","0","30","0","0","0","8","0","0","11600","91002","0","0","45","0","0","0"
"11700","0","0","30","0","0","0","8","0","0","11700","91002","0","0","46","0","0","0"
"11800","0","0","30","0","0","0","8","0","0","11800","91002","0","0","47","0","0","0"
"11900","0","0","30","0","0","0","8","0","0","11900","91002","0","0","48","0","0","0"
"12000","0","0","30","0","0","0","8","0","0","12000","91002","0","0","49","0","0","0"
"12100","0","0","30","0","0","0","8","0","0","12100","91002","0","0","50","0","0","0"
"12200","0","0","30","0","0","0","8","0","0","12200","91002","0","0","51","0","0","0"
"12300","0","0","30","0","0","0","8","0","0","12300","91002","0","0","52","0","0","0"
"12400","0","0","30","0","0","0","8","0","0","12400","91002","0","0","53","0","0","0"
"12500","0","0","30","0","0","0","8","0","0","12500","91002","0","0","54","0","0","0"
"12600","0","0","30","0","0","0","8","0","0","12600","91002","0","0","55","0","0","0"
"12700","0","0","30","0","0","0","8","0","0","12700","91002","0","0","56","0","0","0"
"12800","0","0","30","0","0","0","8","0","0","12800","91002","0","0","57","0","0","0"
"12900","0","0","30","0","0","0","8","0","0","12900","91002","0","0","58","0","0","0"
"13000","0","0","30","0","0","0","8","0","0","13000","91002","0","0","59","0","0","0"
"13100","0","0","30","0","0","0","8","0","0","13100","91002","0","0","60","0","0","0"
"13200","0","0","30","0","0","0","8","0","0","13200","91002","0","0","61","0","0","0"
"13300","0","0","30","0","0","0","8","0","0","13300","91002","0","0","62","0","0","0"
"13400","0","0","30","0","0","0","8","0","0","13400","91002","0","0","63","0","0","0"
"13500","0","0","30","0","0","0","8","0","0","13500","91002","0","0","64","0","0","0"
"13600","0","0","30","0","0","0","8","0","0","13600","91002","0","0","65","0","0","0"
"13700","0","0","30","0","0","0","8","0","0","13700","91002","0","0","66","0","0","0"
"13800","0","0","30","0","0","0","8","0","0","13800","91002","0","0","67","0","0","0"
"13900","0","0","30","0","0","0","8","0","0","13900","91002","0","0","68","0","0","0"
"14000","0","0","30","0","0","0","8","0","0","14000","91002","0","0","69","0","0","0"
"14100","0","0","30","0","0","0","8","0","0","14100","91002","0","0","70","0","0","0"
"14200","0","0","30","0","0","0","8","0","0","14200","91002","0","0","71","0","0","0"
"14300","0","0","30","0","0","0","8","0","0","14300","91002","0","0","72","0","0","0"
"14400","0","0","30","0","0","0","8","0","0","14400","91002","0","0","73","0","0","0"
"14500","0","0","30","0","0","0","8","0","0","14500","91002","0","0","74","0","0","0"
"14600","0","0","30","0","0","0","8","0","0","14600","91002","0","0","75","0","0","0"
"14700","0","0","30","0","0","0","8","0","0","14700","91002","0","0","76","0","0","0"
"14800","0","0","30","0","0","0","8","0","0","14800","91002","0","0","77","0","0","0"
"14900","0","0","30","0","0","0","8","0","0","14900","91002","0","0","78","0","0","0"
"15000","0","0","30","0","0","0","8","0","0","15000","91002","0","0","79","0","0","0"
