85cb96a6901df6d2eb541549dc6886c7764cff5d98ad0bda3f86186a85c271d1,0719f590a143c4b1a14f91d0ae3f07d678d6dca47057851e38a5fae787bb6182,2c48e4f2f577a756303fb20d25166f896ac671cd4ce26e3e918dd09f4821b146,ecfc4ee792f3394727d352b42a9e26864ae34f86757bb352470dc40241c10bc0,f88d380732f539b07b509d1297fe5d65742a785a61537667b8df2172568220f9,cd489ca648cc158f5752fb40bbc26b76a29a939c4976941858ae1b05df085baf,9d77a035d994c24a5551df97bfa8b798c2a530a1859560e0c5c0517d52ac3ca1,19df96b8b39147b1a9ebd6932ae96f20b05ac2973de7959d5ee5505a1a0f26f9,3083e436ae6bcea8a8798880f2b4f18b7e4aa612feeeac470ef147a4c59784ed,0b9abbfc1c8451a44df769a836e708c6abe3f182cf585025e5a2a4a80a029ca5,907d7dcb05593572af1c92858f6215e68d6b78a4c4d26d964ff988cb5336b6b0,53baebaacf290d4ce04036db073de48d0e6c74a06ee8fe1d4d334451f78ed802,8e5ccc036675e8ae43819e29e0d41055208e10e27e95945090f2bd5f4410f4e5,b8cc25159d2f0746053b89b0a13c50138e4d9d48e3d6a02a1c2e51d3bfccca82,34a160204778aee554a947da275fe76c62ad6bf68475b3b6f59e6e9c61068371,e3af80f6149fb7cae957a7410eb7b80085339b0b0f659ff035d4820c647962dc,62c512c7c4c2c88472aace1c3811b3000b00fad4d5cc647a3d9a6b467bff7f54,694b19d86a20348b1fbb67d87111a39be15b1769fc6192b1c67786c9f98644e9,c6e73c63bb4c4b74ef140c33a69f6f1797e1b532152081cc7acba9a9e91538ce,1670207dacddc1b96afe84cf45c6c41088661acd3fdefcf68338880a86e87372,6bb6157f9b8f5d5b951e8a9edf4046dfdb34daf408ed1ef98f46fa0b5a5ffb6e
"1","10","0","1","0","1","2","1","對敵方單體造成{0}的物理傷害","0","0","2160","物理傷害+{0}","14","0","10","0","0","0.8","100400301","1"
"1","1","0","11","1","1","2","10","降低敵方單體{0}的物理攻擊力","0","99","2160","物理攻擊力降低+{0}","1","0","3.75","0","1","3.75","100400302","1"
"1","1","0","10","1","1","1","10","提升自身{0}的物理攻擊力","0","99","0","物理攻擊力提升+{0}","7","0","5.5","0","1","5.5","100400303","2"
"99","27","0","1","0","1","3","1","對敵方全體造成{0}的物理傷害","0","0","2160","物理傷害+{0}","3","0","27","0","0","2.16","100401101","1"
"99","1","0","11","1","1","3","10","降低全體敵人{0}物理攻擊力","0","18","2160","物理攻擊力降低+{0}","3","0","30","0","0","30","100401102","1"
"99","1","0","61","0","1","3","10","降低敵方全體的物理暴擊{0}","0","18","2160","降低物理暴擊+{0}","3","0","100","0","0","1.25","100401103","1"
"99","2","0","111","0","1","3","10","降低敵方全體物理攻擊暴擊時的傷害{0}%","0","18","2160","","3","0","25","0","0","0","100401104","1"
"1","20","1","1","0","1","3","1","對敵方單體造成{0}的物理傷害","0","0","2160","物理傷害+{0}","3","0","20","0","0","1.6","100401201","1"
"1","10","1","80","0","1","3","12","使一名敵人陷入黑暗狀態","0","0","2160","造成黑暗的成功Lv+1","3","0","0","0","0","100","100401202","1"
"1","0","1","1","0","1","3","7","","0","0","2160","","3","0","0","0","0","0","100401203","1"
"99","1","0","11","1","1","2","10","使範圍內敵人的物理攻擊力降低{0}","0","180","200","物理攻擊力降低+{0}","1","0","5","0","0","5","100401204","1"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","物理防禦力提升+{0}","0","0","2","0","0","2","100450101","0"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","物理防禦力提升+{0}","0","0","2","0","0","2","100451101","0"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","","0","0","225","0","0","0","100451102","0"
"1","100","2","3","0","1","1","2","","0","0","2160","","3","0","0","0","0","0","100500101","1"
"1","100","2","1","0","1","1","7","","0","0","2160","","3","0","0","0","0","0","100500102","1"
"99","30","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","300","物理傷害+{0}","3","0","30","0","0","2.4","100500103","1"
"99","3.4","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","300","物理傷害+{0}","3","0","3.4","0","0","0.27","100500201","1"
"99","0","0","7","0","1","2","8","使範圍內的敵人一段時間內無法行動","0","0","300","造成暈眩的成功Lv+1","3","0","0","0","0","2","100500202","1"
"99","10","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","300","物理傷害+{0}","3","0","10","0","0","0.8","100500301","1"
"1","100","2","3","0","1","1","2","","0","0","2160","","3","0","0","0","0","0","100501101","1"
"1","100","2","1","0","1","1","7","","0","0","2160","","3","0","0","0","0","0","100501102","1"
"99","30","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","450","物理傷害+{0}","3","0","30","0","0","2.4","100501103","1"
"1","1","0","100501103","3","1","1","26","","0","0","0","","7","0","0.00005","0","0","0","100501104","2"
"1","1","0","100501106","1","1","1","26","","0","0","0","","7","0","1","0","0","0","100501105","2"
"1","45","0","5","0","1","1","6","展開{0}傷害比例的物理魔法無效屏障","0","0","0","無效傷害量+{0}","7","0","45","0","0","18","100501106","2"
"99","3.4","0","1","0","1","2","1","對範圍內的敵人造成{0}的物理傷害","0","0","300","物理傷害+{0}","3","0","3.4","0","0","0.54","100501201","1"
"99","0","0","7","0","1","2","8","使範圍內的敵人一段時間內無法行動","0","0","300","造成暈眩的成功Lv+1","3","0","0","0","0","2","100501202","1"
"1","1","0","20","1","1","1","10","提升自身{0}的物理防禦力","0","12","0","物理防禦力提升+{0}","7","0","2.24","0","0","2.24","100501203","2"
"1","1","0","40","1","1","1","10","提升自身{0}的魔法防禦力","0","12","0","魔法防禦力提升+{0}","7","0","2.24","0","0","2.24","100501204","2"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","物理攻擊力提升+{0}","0","0","15","0","0","15","100550101","0"
"0","1","0","2","0","1","0","90","提升自身{0}的物理攻擊力","0","1","0","物理攻擊力提升+{0}","0","0","15","0","0","15","100551101","0"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","","0","0","30","0","0","0","100551102","0"
"99","4","0","0","0","1","3","32","","0","0","2160","","3","0","4","0","0","1","100600101","2"
"99","1","0","30","1","1","3","10","提升我方全體{0}的魔法攻擊力","0","18","2160","魔法攻擊力提升+{0}","3","0","4.5","0","0","4.5","100600102","2"
"1","20","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","20","0","0","1.6","100600201","1"
"1","1","0","41","1","1","1","10","降低敵方單體{0}的魔法防禦力","0","12","-1","魔法防禦力降低+{0}","3","0","1","0","1","1","100600301","1"
"99","4","0","0","0","1","3","32","","0","0","2160","","3","0","4","0","0","1","100601101","2"
"99","1","0","30","1","1","3","10","提升我方全體{0}的魔法攻擊力","0","18","2160","魔法攻擊力提升+{0}","3","0","24","0","0","24","100601102","2"
"99","1","0","70","1","1","3","10","使全體夥伴的魔法暴擊提升{0}","0","18","2160","","3","0","100","0","0","0","100601103","2"
"99","1","0","41","1","1","3","10","使全體敵人的魔法防禦力下降{0}","0","18","2160","魔法防禦力降低+{0}","3","0","0.66","0","0","0.66","100601104","1"
"1","25","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","25","0","0","2","100601201","1"
"1","1","0","41","1","1","1","10","降低敵方單體{0}的魔法防禦力","0","12","-1","魔法防禦力降低+{0}","3","0","0.2","0","1","0.2","100601202","1"
"1","25","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","25","0","0","2","100610101","1"
"99","15","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","550","魔法傷害+{0}","3","0","15","0","0","1.25","100610201","1"
"99","1204","0","0","0","1","3","32","","0","0","2160","","3","0","0","0","0","1","100620101","2"
"99","1","0","30","1","1","3","10","提升我方全體{0}的魔法攻擊力","0","18","2160","魔法攻擊力提升+{0}","3","0","-1195.5","0","0","8.5","100620102","2"
"99","1204","0","0","0","1","3","32","","0","0","2160","","3","0","0","0","0","1","100621101","2"
"99","1","0","30","1","1","3","10","提升我方全體{0}的魔法攻擊力","0","18","2160","魔法攻擊力提升+{0}","3","0","-1172","0","0","28","100621102","2"
"99","1","0","70","1","1","3","10","使全體夥伴的魔法暴擊提升{0}","0","18","2160","","3","0","100","0","0","0","100621103","2"
"99","1","0","41","1","1","3","10","使全體敵人的魔法防禦力下降{0}","0","18","2160","魔法防禦力降低+{0}","3","0","0.66","0","0","0.66","100621104","1"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","15","0","0","15","100650101","0"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","240","0","0","15","100651101","0"
"1","45","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","45","0","0","3.6","100700101","1"
"1","1","0","1","0","1","3","4","回復自身{0}的HP","0","1","0","HP回復量+{0}","7","0","12","0","0","12","100700102","2"
"1","3","0","1","0","1","1","21","一段時間內成為無敵狀態","0","0","0","無敵時間+0.01秒","7","0","0.01","0","0","0","100700201","2"
"1","0","0","1","100700203","1","0","18","","0","0","0","","7","0","0","0","0","2.4","100700202","0"
"1","0","0","1","0","1","1","21","","0","0","0","","7","0","0","0","0","0","100700203","2"
"1","1","0","1","0","1","1","4","回復自身{0}的HP","0","1","0","HP回復量+{0}","7","0","7.5","0","0","7.5","100700301","2"
"1","60","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","60","0","0","4.8","100701101","1"
"1","1","0","1","0","1","3","4","回復自身{0}的HP","0","1","0","HP回復量+{0}","7","0","12","0","0","12","100701102","2"
"1","1","0","50","1","1","2","10","使自己的迴避提高{0}  ","0","180","0","迴避上升+{0}","7","0","0.1","0","1","0.1","100701103","2"
"1","3","0","1","0","1","1","21","一段時間內成為無敵狀態","0","0","0","無敵時間+0.01秒","7","0","0.01","0","0","0","100701201","2"
"1","0","0","1","100701203","1","0","18","","0","0","0","","7","0","0","0","0","2.4","100701202","0"
"1","0","0","1","0","1","1","21","","0","0","0","","7","0","0","0","0","0","100701203","2"
"1","1","0","50","1","1","2","10","使自己的迴避提高{0}  ","0","12","0","迴避上升+{0}","7","0","0.1","0","1","0.1","100701204","2"
"1","1","0","20","1","1","2","10","提升自身{0}的物理防禦力","0","12","0","物理防禦力提升+{0}","7","0","1.2","0","1","1.2","100701205","2"
"1","6","0","1","0","1","1","21","一段時間內成為無敵狀態","0","0","0","","7","0","0","0","0","0","100720201","2"
"1","0","0","1","100720203","1","0","18","","0","0","0","","7","0","0","0","0","2.4","100720202","0"
"1","0","0","1","0","1","1","21","","0","0","0","","7","0","0","0","0","0","100720203","2"
"1","1","0","20","1","1","2","10","提升自身{0}的物理防禦力","0","12","0","物理防禦力提升+{0}","7","0","-60","0","1","0.2","100720204","2"
"1","60","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","60","0","0","5.2","100721101","1"
"1","1","0","1","0","1","3","4","回復自身{0}的HP","0","1","0","HP回復量+{0}","7","0","12","0","0","12","100721102","2"
"1","1","0","50","1","1","2","10","使自己的迴避提高{0}  ","0","180","0","","7","0","30.1","0","1","0","100721103","2"
"1","6","0","1","0","1","1","21","一段時間內成為無敵狀態","0","0","0","","7","0","0","0","0","0","100721201","2"
"1","0","0","1","100721203","1","0","18","","0","0","0","","7","0","0","0","0","2.4","100721202","0"
"1","0","0","1","0","1","1","21","","0","0","0","","7","0","0","0","0","0","100721203","2"
"1","1","0","50","1","1","2","10","使自己的迴避提高{0}  ","0","12","0","","7","0","30.1","0","1","0","100721204","2"
"1","1","0","20","1","1","2","10","提升自身{0}的物理防禦力","0","12","0","物理防禦力提升+{0}","7","0","-58.8","0","1","1.4","100721205","2"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","物理防禦力提升+{0}","0","0","2","0","0","2","100750101","0"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","物理防禦力提升+{0}","0","0","32","0","0","2","100751101","0"
"99","4.5","0","2","0","1","3","1","對敵方全體造成{0}的魔法傷害","0","0","2160","魔法傷害+{0}","3","0","4.5","0","0","0.405","100800101","1"
"99","1","0","21","1","1","3","10","降低敵方全體{0}的物理防禦力","0","18","2160","物理防禦力降低+{0}","3","0","0.345","0","1","0.345","100800102","1"
"1","15","1","2","0","1","3","1","對敵方單體造成{0}的魔法傷害","0","0","2160","魔法傷害+{0}","3","0","15","0","0","1.2","100800201","1"
"1","8","0","40","0","1","3","12","使一名敵人陷入黑暗狀態","0","0","2160","造成黑暗的成功Lv+1","1","0","0","0","0","100","100800202","1"
"1","75","0","1","0","1","3","16","回復我方單體{0}的TP","0","0","2160","TP回復量+{0}","12","0","2.5","0","0","0","100800301","2"
"99","20.25","0","2","1","1","3","1","對敵方全體造成{0}防禦力較低者可防禦的魔法傷害","0","0","2160","魔法傷害+{0}","3","0","20.25","0","0","1.62","100801101","1"
"99","1","0","21","1","1","3","10","降低敵方全體{0}的物理防禦力","0","18","2160","物理防禦力降低+{0}","3","0","0.7","0","1","0.7","100801102","1"
"99","4","0","0","0","1","3","11","魅惑全體敵人","0","0","2160","造成魅惑的成功Lv+1","3","0","0","0","0","100","100801103","1"
"1","15","1","2","0","1","3","1","對敵方單體造成{0}的魔法傷害","0","0","2160","魔法傷害+{0}","3","0","15","0","0","1.2","100801201","1"
"1","8","1","40","0","1","3","12","使一名敵人陷入黑暗狀態","0","0","2160","造成黑暗的成功Lv+1","3","0","0","0","0","100","100801202","1"
"1","8","1","0","0","1","3","11","誘惑敵單體","0","0","2160","造成魅惑的成功Lv+1","3","0","0","0","0","100","100801203","1"
"1","725","0","1","0","1","3","16","回復我方單體{0}的TP","0","0","2160","","12","0","0","0","0","0","100820301","2"
"0","1","0","10","1","1","3","10","讓一名同伴的物理攻擊力提升{0}","0","12","2160","物理攻擊力提升+{0}","1","0","-2080","0","0","8","100820302","2"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","15","0","0","15","100850101","0"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","15","0","0","15","100851101","0"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","","0","0","30","0","0","0","100851102","0"
"99","18","0","2","0","1","3","1","對敵方全體造成{0}的魔法傷害","0","0","2160","魔法傷害+{0}","3","0","18","0","0","1.44","100900101","1"
"1","2","0","21","1","1","1","10","將自身的物理防禦力降為0","0","99","0","","7","0","100","0","2","0","100900102","2"
"1","2","0","41","1","1","1","10","將自身的魔法防禦力降為0","0","99","0","","7","0","100","0","2","0","100900103","2"
"1","20","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","20","0","0","1.2","100900201","1"
"1","100","0","3","0","1","3","17","","0","0","0","","7","1","0","0","0","10","100900301","2"
"99","25","0","2","0","1","2","1","對範圍內的敵人造成{0}的魔法傷害","0","0","600","魔法傷害+{0}","3","0","25","0","0","2","100900302","1"
"1","0","0","0","0","1","3","30","","0","0","0","","7","0","0","0","0","0","100900303","2"
"1","1.9","0","1","0","1","3","21","","0","0","0","","7","0","0","0","0","0","100900304","2"
"1","1","0","30","1","1","1","10","提升自身{0}的魔法攻擊力","0","8","0","魔法攻擊力提升+{0}","7","0","50","0","1","50","100901101","2"
"99","81.25","0","2","0","1","3","1","對敵方全體造成{0}的魔法傷害","0","0","2160","魔法傷害+{0}","3","0","81.25","0","0","6.5","100901102","1"
"1","2","0","21","1","1","1","10","降低自身初期數值100％的物理防禦力","0","99","0","","7","0","100","0","2","0","100901103","2"
"1","2","0","41","1","1","1","10","降低自身初期數值100％的魔法防禦力","0","99","0","","7","0","100","0","2","0","100901104","2"
"1","20","0","2","0","1","1","1","對敵方單體造成{0}的魔法傷害","0","0","-1","魔法傷害+{0}","3","0","20","0","0","1.6","100901201","1"
"99","1","0","41","1","1","3","10","降低敵方單體{0}的魔法防禦力","0","12","2160","魔法防禦力降低+{0}","3","0","0.6","0","1","0.6","100901202","2"
"1","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","15","0","0","15","100950101","0"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","魔法攻擊力提升+{0}","0","0","240","0","0","15","100951101","0"
"99","1","0","30","1","1","3","10","提升我方全體{0}的魔法攻擊力","0","18","2160","魔法攻擊力提升+{0}","3","0","15","0","0","15","101000101","2"
"99","1","0","20","1","1","3","10","提升我方全體{0}的物理防禦力","0","18","2160","物理防禦力提升+{0}","3","0","0.6","0","0","0.6","101000102","2"
"99","50","0","4","1","1","3","16","使我方全體固定恢復{0}TP","0","18","2160","","3","0","0","0","0","0","101000103","2"
"1","1","0","2","0","1","2","4","回復我方單體{0}的HP","0","1","2160","HP回復量+{0}","5","0","7.5","0","0","7.5","101000201","2"
"1","8","1","40","0","1","1","12","使一名敵人陷入黑暗狀態","0","0","2160","造成黑暗的成功Lv+1","3","0","0","0","0","100","101000301","1"
"99","1","0","30","1","1","3","10","提升我方全體{0}的魔法攻擊力","0","18","2160","魔法攻擊力提升+{0}","3","0","30","0","0","30","101001101","2"
"99","1","0","70","1","1","3","10","使全體夥伴的魔法暴擊提升{0}","0","18","2160","","3","0","100","0","0","0","101001102","2"
"99","1","0","120","1","1","3","10","提升我方全體魔法攻擊暴擊時5％的傷害","0","18","2160","","3","0","5","0","0","0","101001103","2"
"99","1","0","20","1","1","3","10","提升我方全體{0}的物理防禦力","0","18","2160","物理防禦力提升+{0}","3","0","1.1","0","0","1.1","101001104","2"
"99","120","0","4","1","1","3","16","使我方全體固定恢復{0}TP","0","0","2160","","3","0","0","0","0","0","101001105","2"
"99","10","0","1","2","1","3","48","每秒恢復 10 TP","0","0","2160","","3","10","0","0","0","0","101001106","2"
"1","1","0","2","0","1","3","4","回復我方單體{0}的HP","0","1.2","2160","HP回復量+{0}","5","0","8.5","0","0","8.5","101001201","2"
"1","1","0","20","1","1","3","10","讓一名夥伴的物理防禦力提升{0}","0","12","2160","物理防禦力提升+{0}","5","0","1","0","1","1","101001202","2"
"1","0.5","0","2","1","1","2","48","每秒回復{0}的HP","0","0","2160","回復量+{0}","5","8.5","0.5","0","0","0.08","101001203","2"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","物理防禦力提升+{0}","0","0","2","0","0","2","101050101","0"
"0","1","0","3","0","1","0","90","提升自身{0}的物理防禦力","0","1","0","物理防禦力提升+{0}","0","0","2","0","0","2","101051101","0"
"0","1","0","4","0","1","0","90","提升自身{0}的魔法攻擊力","0","1","0","","0","0","225","0","0","0","101051102","0"
"99","20.4","0","1","0","1","1","1","對範圍內的敵人造成{0}的物理傷害","0","0","1150","物理傷害+{0}","3","0","20.4","0","0","1.62","101100101","1"
"1","1","0","60","1","1","1","10","自身物理暴擊提升{0}","0","99","0","","7","0","45","0","1","0","101100201","2"
"1","1","0","10","1","1","1","10","提升自身{0}的物理攻擊力","0","12","0","物理攻擊力提升+{0}","7","0","15","0","1","15","101100202","2"
"1","20","0","1","0","1","1","1","對敵方單體造成{0}的物理傷害","0","0","-1","物理傷害+{0}","3","0","20","0","0","1.6","101100301","1"
"99","28","0","1","0","1","1","1","對範圍內的敵人造成{0}的物理傷害","1.75","0","1300","物理傷害+{0}","3","0","28","0","0","2.16","101101101","1"
