ba1d6f35ee62f7353aee54bfdf81ba02ccd0918406f57d3bac8a9f18ac68520f,ece78e7985235f7f9ebbffdedacef40adabb3e89b9eb063388f2ba506bed6598,4125c8b1ba6d644801e42f8ae93b54558e166362b78ca0d0c6e336c20a28ed65,aa3249f16801de404b5de3b40e7f050040767b12d9cc423165f6c58b5597347f,e483b601487bd0636a5f931403eb12b469b9937816eaea515764912f63cc97e8,3dfa6fc90a83681aa3fff940e22cac429589365ef7caae1cb9600fb3951ef450,2141b595baf871daf85401ec2666a1b2b599fff1c60eed7bbb926c5ccd7aac1e,d964605bee484ebbfdb048a2e51d4cd6a252775a47e4008042946da027bbe66e,5ef780a6b15494b423af6bb8f1155948559521cf3bdecd0813ae3da62ed51031,ebe14df861a48f4a6e7e3a38729d64d5e991b299e5e12fa1b98a53e96e15a420
"1","烏爾姆","10","1","2","","骰子擲出{0}時，\n可以讓對手休息{1}個回合","127801","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1018"
"0","美冬","1","10001","1","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","104801","","1019"
"0","純","4","2","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","104701","重新擲{0}次骰子\n（還剩{1}次）","1020"
"0","美咲","6","7","1","","追加投擲骰子\n直到數字合計為{0}以上","105001","追加投擲骰子\n直到數字合計為{0}以上","1021"
"0","秋乃","2","10002","1","","取得最大2000里程","103201","","1022"
"0","庫露露","12","1","1","","取得{0}張抽獎券","130901","","1023"
"0","鈴莓","3","1","1","","取得{0}個料理","102501","","1024"
"0","雪","8","0","2","","可以選擇使用骰子的\n正面或背面","100801","可以選擇使用骰子的\n正面或背面","1025"
"0","涅婭","5","4","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","123301","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1026"
"0","珠希","1","10001","1","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","104601","","1027"
"0","蘭法","4","2","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","118101","重新擲{0}次骰子\n（還剩{1}次）","1028"
"0","優花梨","6","7","1","","追加投擲骰子\n直到數字合計為{0}以上","103401","追加投擲骰子\n直到數字合計為{0}以上","1029"
"0","克蕾琪塔","2","10002","1","","取得最大2000里程","118001","","1030"
"0","咲戀","12","1","1","","取得{0}張抽獎券","102801","","1031"
"0","優衣","3","1","1","","取得{0}個料理","100201","","1032"
"1","初音","13","1","3","","骰子擲出{0}時，\n前進+{1}","101201","骰子擲出{0}時，\n前進+{1}","1033"
"0","美空","4","1","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","118201","重新擲{0}次骰子\n（還剩{1}次）","1034"
"0","矛依未","6","7","1","","追加投擲骰子\n直到數字合計為{0}以上","106101","追加投擲骰子\n直到數字合計為{0}以上","1035"
"0","忍","5","4","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","103101","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1036"
"0","真陽","1","10001","1","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","103301","","1037"
"0","鏡華","2","10002","1","","取得最大2000里程","103601","","1038"
"0","格蕾斯","12","1","1","","取得{0}張抽獎券","133001","","1039"
"0","薇歐莉特","3","1","1","","取得{0}個料理","133101","","1040"
