cf993a99658e6c36895c30c3198280f597d5e0be19da3cd64ef41fc755c6befe,afc3e2869149dac42cc062f2342fb8176a19723f4693dcd30554c2f94fdace86,d09a186c1ac6f93142e0f22c3f06c526902ef342cd2e108fd3af095867ed7da3,9c728e25bbe9332d25183fea74a5a2732c6af71d5f5873007a61c8fc0bed2cba,4c7a3dafd5878ee0986c34f8641b5fa0ac754f2b5b3fa4e4975ee621a774b2ef
"10103006","300","2","4","150003"
"10103006","300","3","4","150002"
"10103007","120","1","2","31010"
"10103008","3","1","4","140000"
"10103008","50","2","2","31010"
"10103009","40000","1","5","0"
"10103009","100","2","2","20005"
"10103009","30000000","3","12","94002"
"10103010","120","1","2","31028"
"10103011","3","1","4","140000"
"10103011","50","2","2","31028"
"10103012","145","1","2","31011"
"10104001","120","1","2","31043"
"10104002","3","1","4","140000"
"10104002","50","2","2","31043"
"10104003","15000","1","5","0"
"10104003","100","2","2","20005"
"10104003","200","3","2","22003"
"10104004","200","1","4","150004"
"10104004","200","2","4","150003"
"10104004","200","3","4","150002"
"10104005","150","1","2","31058"
"10104006","200","1","2","20005"
"10104007","150","1","2","31059"
"10104008","3000","1","2","50003"
"10104009","40000","1","5","0"
"10104010","100","1","2","25001"
"10104011","100","1","2","90005"
"10104012","200","1","2","32058"
"10104012","50","2","2","31058"
"10104013","100","1","2","20005"
"10104013","200","2","2","22003"
"10104013","30000000","3","12","94002"
"10104014","145","1","2","31049"
"10105001","120","1","2","31049"
"10105002","3","1","4","140000"
"10105002","50","2","2","31049"
"10105003","300","1","4","150004"
"10105003","300","2","4","150003"
"10105003","300","3","4","150002"
"10105004","20000","1","5","0"
"10105005","150","1","2","31002"
"10105006","100","1","2","31002"
"10105006","50000000","2","12","94002"
"10105007","100","1","2","25001"
"10105008","20000","1","5","0"
"10105008","515","2","2","31001"
"10105008","515","3","2","31003"
"10105009","200","1","2","32059"
"10105009","50","2","2","31059"
"10105010","20000","1","5","0"
"10105011","145","1","2","31036"
"10106001","500","1","2","20005"
"10106002","500","1","4","150004"
"10106002","500","2","4","150003"
"10106002","500","3","4","150002"
"10106003","20000","1","5","0"
"10106003","420","2","2","31060"
"10106003","3","3","4","140000"
"10106004","200","1","2","32060"
"10106004","50","2","2","31060"
"10106004","100","3","2","25001"
"10106005","1000","1","4","150004"
"10106005","500","2","2","20005"
"10106005","1","3","2","21025"
"10106006","120","1","2","31011"
"10106007","3","1","4","140000"
"10106007","50","2","2","31011"
"10106008","1","1","2","21905"
"10106009","20000","1","5","0"
"10106010","145","1","2","31029"
"10107001","1","1","2","41058"
"10107002","1000","1","4","150004"
"10107002","1000","2","2","20005"
"10107003","1","1","2","21905"
"10107004","20000","1","5","24018"
"10107005","1","1","2","21905"
"10107006","1","1","2","21905"
"10107007","1","1","2","24027"
"10107008","20000","1","5","0"
"10107009","1","1","2","27022"
"10201001","1","1","2","24027"
"10201002","1","1","2","21905"
"10201003","20000","1","5","0"
"10201004","200","1","2","31011"
"10201004","200","2","2","31028"
"10201004","200","3","2","31043"
"10201005","200","1","2","31049"
"10201005","200","2","2","31010"
"10201005","9","3","4","140000"
"10201006","20000","1","5","0"
"10201007","1","1","2","21905"
"10201008","145","1","2","31009"
"10202001","1","1","2","24027"
"10202002","1","1","2","21905"
"10202003","195","1","2","31064"
"10202003","3","2","4","140000"
"10202004","20000","1","5","0"
"10202004","500","2","2","20005"
"10202004","30000000","3","12","94002"
"10202005","370","1","2","31009"
"10202005","370","2","2","31036"
"10202005","370","3","2","31029"
"10202006","1","1","2","21905"
"10202007","20000","1","5","0"
"10202008","9","1","4","140000"
"10202009","145","1","2","31018"
"10203001","1","1","2","24027"
"10203002","20000","1","5","0"
"10203003","1","1","2","21905"
"10203004","370","1","2","31018"
"10203005","20000","1","5","0"
"10203006","1","1","2","21905"
"10203007","3","1","4","140000"
"10203008","20000","1","5","0"
"10203009","145","1","2","31037"
"10204001","1","1","2","24027"
"10204002","1","1","2","21905"
"10204003","120","1","2","31064"
"10204004","20000","1","5","0"
"10204005","370","1","2","31037"
"10204006","150","1","2","31064"
"10204007","3","1","4","140000"
"10204008","1","1","2","21026"
"10204009","20000","1","5","0"
"10204010","145","1","2","31032"
"10205001","1","1","2","24027"
"10205002","1","1","2","21905"
"10205003","20000","1","5","0"
"10205004","370","1","2","31032"
"10205005","3","1","4","140000"
"10205006","20000","1","5","0"
"10205007","145","1","2","31014"
"10205008","1","1","2","21905"
"10205009","20000","1","5","0"
"10205010","370","1","2","31014"
"10205011","3","1","4","140000"
"10205012","20000","1","5","0"
"10205013","145","1","2","31012"
"10206001","1","1","2","24027"
"10206002","50","1","2","32064"
"10206002","50","2","2","31064"
"10206002","100","3","2","25001"
"10206003","50","1","2","32058"
"10206003","50","2","2","32060"
"10206003","50","3","2","32059"
"10206004","1000","1","2","20005"
"10206004","100000000","2","12","94002"
"10206005","2000","1","4","150005"
"10206005","2000","2","4","150004"
"10206005","2000","3","4","150003"
"10206006","2000","1","4","150008"
"10206006","2000","2","4","150007"
"10206006","2000","3","4","150006"
"10206007","370","1","2","31012"
"10206008","40000","1","5","0"
"10206009","1","1","2","21905"
"10206010","3","1","4","140000"
"10206011","1","1","2","24027"
"10206012","40000","1","5","0"
"10206013","2","1","2","21905"
"10207001","1","1","2","41000"
"10207001","40000","2","5","0"
"10207002","10000","1","2","25011"
"10207002","4000","2","2","25021"
"10207003","10000","1","2","25012"
"10207003","4000","2","2","25021"
"10207004","10000","1","2","25013"
"10207004","4000","2","2","25021"
"10207005","10000","1","2","25014"
"10207005","4000","2","2","25021"
"10207006","10000","1","2","25015"
"10207006","4000","2","2","25021"
"10207007","1","1","2","27023"
"20101001","1","1","2","24028"
"20101002","1","1","2","24028"
"20101003","1","1","2","24029"
"20101004","300","1","8","91002"
"20101005","1","1","2","28035"
"20101006","1","1","2","24028"
"20101007","2000","1","4","150008"
"20101007","2000","2","4","150009"
"20101008","100000","1","2","25011"
"20101008","100000","2","2","25012"
"20101008","100000","3","2","25013"
"20101008","100000","4","2","25014"
"20101008","100000","5","2","25015"
"20101008","50000","6","2","25021"
"20101009","3000000","1","2","26202"
"20101010","1000","1","2","23003"
"20101011","1","1","2","41000"
"20101012","1","1","2","24028"
"20101013","1","1","2","21953"
"20101014","1","1","2","24028"
"20101015","1","1","2","24029"
"20101016","1","1","2","24028"
"20101017","1","1","2","24028"
"20101018","1","1","2","24029"
