b6c4cfb4482a3e74b6f2e21a18dab695f7c7767342cb1813b7e51eabc8cab274,8ee82d1b7f0d59db59137c9e0da3ebadd13ca1ef8c8ca620858674171641d695,5eb1e63091935e6011e2d5defc18f5e95a0df84e0b80cece30f2cde7b6626000,8332488f60bce556797e7093f244b38edb1b5062cb8f61fe03aed1389b7b3b75,71f294c663fe7c3c5f63045ef9f1f2a7ef78cc2df07196fe2cc995ea6a5af2c4,34ef0fdd98ea615e843ff59124c9a8a0ccca4dfb89ae4261e0e93d72644f48be,8e3d800d956ebb02d99889f076108ae952121c82480f998e22d4524e545b9893,0409c3d1f6640d85e1ff838f6f8ca2d829c0ee89fc9e3112315c86ac25cc73a8,2803c6f087a9b39df18e987476c14c0cbd24d3993ec50c3258badf925c04a456,7621bbdbe0d621f290a527db0c5e0540bbda93fc86b65a4e386869c9b70c2827,52e4438aad3c35b3a0bdd0f0bbc52e6b4b3ac0d2cdfb711a507ea49db1f21ccf,8b6a06fc4f9b9e33762930b7428c8c9b40327239161e3bad5a6e8704faf06a1f
"3","4","0","0","0","11041","5301","53","104","53","52","0"
"4","1","0","0","0","10521","5401","54","52","54","53","0"
"3","3","0","0","0","11031","5501","55","103","55","54","0"
"4","4","0","0","0","11041","5601","56","104","56","55","0"
"2","1","0","0","0","11001","5701","57","100","57","56","0"
"3","3","0","0","0","11011","5801","58","101","58","57","0"
"4","2","0","0","0","11031","5901","59","103","59","58","0"
"3","4","0","0","0","11041","6001","60","104","60","59","0"
"1","1","0","0","0","11021","6101","61","102","61","60","0"
"2","3","0","0","0","10501","6201","62","50","62","61","0"
"1","4","0","0","0","11041","6301","63","104","63","62","0"
"2","2","0","0","0","11031","6401","64","103","64","63","0"
"3","1","0","0","0","11021","6501","65","102","65","64","0"
"2","4","0","0","0","11041","6601","66","104","66","65","0"
"3","1","0","0","0","10521","6701","67","52","67","66","0"
"2","2","0","0","0","11021","6801","68","102","68","67","0"
"4","4","0","0","0","11041","6901","69","104","69","68","0"
"3","2","0","0","0","11031","7001","70","103","70","69","0"
"2","3","0","0","0","11011","7101","71","101","71","70","0"
"3","2","0","0","0","11001","7201","72","100","72","71","0"
"1","4","0","0","0","11041","7301","73","104","73","72","0"
"1","1","0","0","0","11031","7401","74","103","74","73","0"
"3","3","0","0","0","11021","7501","75","102","75","74","0"
"4","1","0","0","0","10501","7601","76","50","76","75","0"
"3","4","0","0","0","11041","7701","77","104","77","76","0"
"2","2","0","0","0","11011","7801","78","101","78","77","0"
"3","3","0","0","0","11001","7901","79","100","79","78","0"
"2","4","0","0","0","11041","8001","80","104","80","79","0"
"1","3","0","0","0","10521","8101","81","52","81","80","0"
"2","1","0","0","0","11011","8201","82","101","82","81","0"
"4","3","0","0","0","10501","8301","83","50","83","82","0"
"3","1","0","0","0","11031","8401","84","103","84","83","0"
"2","4","0","0","0","11041","8501","85","104","85","84","0"
"3","2","0","0","0","11001","8601","86","100","86","85","0"
"2","2","0","0","0","11021","8701","87","102","87","86","0"
"1","2","0","0","0","11031","8801","88","103","88","87","0"
"3","4","0","0","0","11041","8901","89","104","89","88","0"
"2","1","0","0","0","11021","9001","90","102","90","89","0"
"3","4","0","0","0","11041","9101","91","104","91","90","0"
"4","3","0","0","0","10501","9201","92","50","92","91","0"
"3","4","0","0","0","11041","9301","93","104","93","92","0"
"2","1","0","0","0","11021","9401","94","102","94","93","0"
"2","2","0","0","0","11031","9501","95","103","95","94","0"
"3","4","0","0","0","11041","9601","96","104","96","95","0"
"2","4","0","0","0","11041","9701","97","104","97","96","0"
"2","2","0","0","0","11011","9801","98","101","98","97","0"
"3","4","0","0","0","11041","9901","99","104","99","98","0"
"1","1","0","0","0","11021","10001","100","102","100","99","0"
"3","3","0","0","0","11031","10101","101","103","101","100","0"
"4","4","0","0","0","11041","10201","102","104","102","101","0"
"2","3","0","0","0","10501","10301","103","50","103","102","0"
"3","1","0","0","0","11001","10401","104","100","104","103","0"
"4","4","0","0","0","11041","10501","105","104","105","104","0"
"2","2","0","0","0","11031","10601","106","103","106","105","0"
"1","4","0","0","0","11041","10701","107","104","107","106","0"
"3","2","0","0","0","11031","10801","108","103","108","107","0"
"3","3","0","0","0","11001","10901","109","100","109","108","0"
"1","4","0","0","0","11041","11001","110","104","110","109","0"
"2","3","0","0","0","11011","11101","111","101","111","110","0"
"4","4","0","0","0","11041","11201","112","104","112","111","0"
"3","1","0","0","0","11021","11301","113","102","113","112","0"
"2","4","0","0","0","11041","11401","114","104","114","113","0"
"4","2","0","0","0","11031","11501","115","103","115","114","0"
"3","4","0","0","0","11041","11601","116","104","116","115","0"
"2","2","0","0","0","11021","11701","117","102","117","116","0"
"2","4","0","0","0","11041","11801","118","104","118","117","0"
"1","3","0","0","0","10521","11901","119","52","119","118","0"
"3","4","0","0","0","11041","12001","120","104","120","119","0"
"3","1","0","0","0","11021","12101","121","102","121","120","0"
"4","3","0","0","0","11031","12201","122","103","122","121","0"
"2","2","0","0","0","11001","12301","123","100","123","122","0"
"1","1","0","0","0","11021","12401","124","102","124","123","0"
"3","4","0","0","0","11041","12501","125","104","125","124","0"
"2","2","0","0","0","11011","12601","126","101","126","125","0"
"1","3","0","0","0","11001","12701","127","100","127","126","0"
"2","2","0","0","0","10501","12801","128","50","128","127","0"
"3","4","0","0","0","11041","12901","129","104","129","128","0"
"1","1","0","0","0","11011","13001","130","101","130","129","0"
"3","3","0","0","0","11031","13101","131","103","131","130","0"
"4","4","0","0","0","11041","13201","132","104","132","131","0"
"3","3","0","0","0","11021","13301","133","102","133","132","0"
"3","1","0","0","0","11001","13401","134","100","134","133","0"
"2","4","0","0","0","11041","13501","135","104","135","134","0"
"1","4","0","0","0","11041","13601","136","104","136","135","0"
"1","1","0","0","0","11011","13701","137","101","137","136","0"
"3","2","0","0","0","11001","13801","138","100","138","137","0"
"4","4","0","0","0","11041","13901","139","104","139","138","0"
"2","3","0","0","0","11011","14001","140","101","140","139","0"
"1","4","0","0","0","11041","14101","141","104","141","140","0"
"2","3","0","0","0","10521","14201","142","52","142","141","0"
"3","2","0","0","0","11001","14301","143","100","143","142","0"
"4","1","0","0","0","11031","14401","144","103","144","143","0"
"2","4","0","0","0","11041","14501","145","104","145","144","0"
"3","4","0","0","0","11041","14601","146","104","146","145","0"
"2","2","0","0","0","11021","14701","147","102","147","146","0"
"1","2","0","0","0","11031","14801","148","103","148","147","0"
"3","4","0","0","0","11041","14901","149","104","149","148","0"
"3","3","0","0","0","11021","15001","150","102","150","149","0"
"4","1","0","0","0","11031","15101","151","103","151","150","0"
"2","4","0","0","0","11041","15201","152","104","152","151","0"
"1","2","0","0","0","11021","15301","153","102","153","152","0"
"3","4","0","0","0","11041","15401","154","104","154","153","0"
"2","3","0","0","0","11011","15501","155","101","155","154","0"
"4","4","0","0","0","11041","15601","156","104","156","155","0"
