08a7abd39f250ad7e0645e2e0e2db255b6460ededff5137bb477d3ee03d34bb9,a40f354b503385b4fe6e71ef05a16b73283a5c47c6d42b42fbb21540486961a0,eec86a7aa0dd77c7f584211e110fc486fa42f2339695935a8468f13b3ea6a0b0,12295f2c213482ff3dc49b5232370554ed0fb20ec77567e533acdb540b4106d3,2d306b707fa531f3fb7b61212c473f2f07b83ac726dc5ed217d744e362480353,0635b3e293411141fbac54f6b28cf8b55c6c6aa1d3a5f93f6e88373758753bec,4cce7736a8919875e7462f0a3a45056918785325ea832d3e4902b23422f6573a,f34981fb188c4d6f152070609e16e13b63fa87359bb0b5911bc73f618fd8fe49,d720eb017d3dc2f19acad374d9622940f3b074d7f15fbacf9893d987214cf101,c1cd41472f8553af9238b2d44073594a6901432fed6320e82b11b14451e09f76,b9d0d8add45ebc97eac82307e9372c1028bb7fdddba686ae7c987c25b3d1ef82
"6","0","pkb_talk_guts_l","3","1","","","1060006","3","pkb_idle_guts_l","0.2"
"6","","","91","","","","1060007","1060004","",""
"6","1","pkb_idle_normal_l","3","","","","1060008","3","","0.2"
"7","100","113411","1","-175","pkb_idle_normal","1","1070001","1","64","1.65"
"7","0","pkb_talk_fun","3","1","","0.2","1070002","113411","pkb_talk_joy1","0.2"
"7","0","vo_minigame_1006_top_201","21","","","","1070003","vo_minigame_1006","0",""
"7","8","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","11","0","0","0","1070004","113411","0","0"
"7","","","93","","","","1070005","3.4","",""
"7","0","pkb_talk_handsup","3","1","","0.2","1070006","113411","pkb_idle_normal","0.2"
"7","","","91","","","","1070007","1070004","",""
"7","1","pkb_idle_normal","3","","","","1070008","113411","","0.2"
"8","100","113411","1","-175","pkb_idle_normal","1","1080001","1","64","1.65"
"8","1","pkb_talk_joy2","3","","","","1080002","113411","","0.2"
"8","0","vo_minigame_1006_top_202","21","","","","1080003","vo_minigame_1006","0",""
"8","8","初音也要一起\n幫忙練習～！\n閃亮亮～☆","11","0","-1","0","1080004","113411","0","0"
"8","","","93","","","","1080005","3.6","",""
"8","0","pkb_hatsune_kiran","3","","","","1080006","113411","","0.2"
"8","","","91","","","","1080007","1080004","",""
"8","1","pkb_idle_normal","3","","","","1080008","113411","","0.2"
"9","100","113411","1","-175","pkb_idle_normal","1","1090001","1","64","1.65"
"9","1","pkb_talk_joy2","3","","","","1090002","113411","","0.2"
"9","0","vo_minigame_1006_top_203","21","","","","1090003","vo_minigame_1006","0",""
"9","6","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","11","0","0","0","1090004","113411","0","0"
"9","","","93","","","","1090005","3","",""
"9","0","pkb_surprise","3","1","","0.2","1090006","113411","pkb_idle_surprise1","0.2"
"9","","","93","","","","1090007","1","",""
"9","1","pkb_talk_joy3","3","","","","1090008","113411","","0.2"
"9","","","91","","","","1090009","1090004","",""
"9","1","pkb_idle_normal","3","","","","1090010","113411","","0.2"
"10","100","106531","1","-175","pkb_idle_normal","1","1100001","1","64","1.65"
"10","0","pkb_talk_arm_crossed","3","1","","","1100002","106531","pkb_idle_arm_crossed","0.2"
"10","0","vo_minigame_1006_top_301","21","","","","1100003","vo_minigame_1006","0",""
"10","8","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","11","0","0","0","1100004","106531","0","0"
"10","","","93","","","","1100005","2.8","",""
"10","1","pkb_talk_joy1","3","","","","1100006","106531","","0.2"
"10","","","91","","","","1100007","1100004","",""
"10","1","pkb_idle_normal","3","","","","1100008","106531","","0.2"
"11","100","106531","1","-175","pkb_idle_normal","1","1110001","1","64","1.65"
"11","1","pkb_talk_normal","3","","","","1110002","106531","","0.2"
"11","0","vo_minigame_1006_top_302","21","","","","1110003","vo_minigame_1006","0",""
"11","8","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","11","0","0","0","1110004","106531","0","0"
"11","","","93","","","","1110005","3.2","",""
"11","0","pkb_talk_arm_crossed","3","1","","0.2","1110006","106531","pkb_idle_arm_crossed","0.2"
"11","","","91","","","","1110007","1110004","",""
"11","1","pkb_idle_normal","3","","","","1110008","106531","","0.2"
"12","100","106531","1","-175","pkb_idle_normal","1","1120001","1","64","1.65"
"12","0","pkb_talk_arm_crossed","3","1","","0.2","1120002","106531","pkb_idle_arm_crossed","0.2"
"12","0","vo_minigame_1006_top_303","21","","","","1120003","vo_minigame_1006","0",""
"12","8","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","11","0","0.5","0","1120004","106531","0","0"
"12","","","93","","","","1120005","3.2","",""
"12","0","pkb_talk_doya","3","1","","","1120006","106531","pkb_idle_doya","0.2"
"12","","","91","","","","1120007","1120004","",""
"12","1","pkb_idle_normal","3","","","","1120008","106531","","0.2"
"13","100","102311","1","-175","pkb_idle_normal","1","1130001","1","64","1.65"
"13","0","pkb_talk_fun","3","1","","0.4","1130002","102311","pkb_talk_joy1","0.2"
"13","0","vo_minigame_1006_top_401","21","","","","1130003","vo_minigame_1006","0",""
"13","8","今天也要打很多球！\n一起加油吧，\n噗吉！","11","0","0","0","1130004","102311","0","0"
"13","","","91","","","","1130005","1130004","",""
"13","1","pkb_idle_normal","3","","","","1130006","102311","","0.2"
"14","100","102311","1","-175","pkb_idle_normal","1","1140001","1","64","1.65"
"14","1","pkb_talk_joy1","3","","","","1140002","102311","","0.2"
"14","0","vo_minigame_1006_top_402","21","","","","1140003","vo_minigame_1006","0",""
"14","8","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","11","0","0","0","1140004","102311","0","0"
"14","","","93","","","","1140005","3","",""
"14","0","pkb_talk_doya","3","1","","","1140006","102311","pkb_idle_doya","0.2"
"14","","","91","","","","1140007","1140004","",""
"14","1","pkb_idle_normal","3","","","","1140008","102311","","0.2"
"15","100","102311","1","-175","pkb_idle_normal","1","1150001","1","64","1.65"
"15","1","pkb_talk_wish","3","","","","1150002","102311","","0.2"
"15","0","vo_minigame_1006_top_403","21","","","","1150003","vo_minigame_1006","0",""
"15","8","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","11","0","-0.5","0","1150004","102311","0","0"
"15","","","93","","","","1150005","2.4","",""
"15","0","pkb_talk_fun","3","1","","0.4","1150006","102311","pkb_talk_joy1","0.2"
"15","","","91","","","","1150007","1150004","",""
"15","1","pkb_idle_normal","3","","","","1150008","102311","","0.2"
"16","100","1","5","-155","pkb_idle_normal_l","1","1160001","1","64","57"
"16","0","pkb_talk_arm_crossed_l","3","1","","0.2","1160002","1","pkb_idle_arm_crossed_l","0.2"
"16","0","vo_minigame_1006_top_701","21","","","","1160003","vo_minigame_1006","0",""
"16","8","以全國大賽為目標，\n今天也來努力練習吧！","11","0","0","0","1160004","1","0","0"
"16","","","93","","","","1160005","2.6","",""
"16","0","pkb_talk_doya_l","3","1","","0.2","1160006","1","pkb_idle_doya_l","0.2"
"16","","","91","","","","1160007","1160004","",""
"16","1","pkb_idle_normal_l","3","","","","1160008","1","","0.2"
"17","100","1","5","-155","pkb_idle_normal_l","1","1170001","1","64","57"
"17","0","pkb_talk_guts_l","3","1","","","1170002","1","pkb_idle_guts_l","0.2"
"17","0","vo_minigame_1006_top_702","21","","","","1170003","vo_minigame_1006","0",""
"17","8","為了實現夢想，\n大家來盡全力\n練習吧！","11","0","0","0","1170004","1","0","0"
"17","","","91","","","","1170005","0","",""
"17","1","pkb_idle_normal_l","3","","","","1170006","1","","0.2"
"18","100","1","5","-155","pkb_idle_normal_l","1","1180001","1","64","57"
"18","0","pkb_talk_arm_crossed_l","3","1","","0.2","1180002","1","pkb_idle_arm_crossed_l","0.2"
"18","0","vo_minigame_1006_top_703","21","","","","1180003","vo_minigame_1006","0",""
"18","8","社員們也都\n進步了好多……\n我可不能落後了！","11","0","0","0","1180004","1","0","0"
"18","","","93","","","","1180005","2.9","",""
"18","0","pkb_talk_guts_l","3","1","","","1180006","1","pkb_idle_guts_l","0.2"
"18","","","91","","","","1180007","1180004","",""
"18","1","pkb_idle_normal_l","3","","","","1180008","1","","0.2"
"19","100","2","5","-155","pkb_idle_normal_l","1","1190001","2","64","57"
"19","0","pkb_talk_arm_crossed_l","3","1","","0.2","1190002","2","pkb_idle_arm_crossed_l","0.2"
"19","0","vo_minigame_1006_top_801","21","","","","1190003","vo_minigame_1006","0",""
"19","8","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","11","0","0","0","1190004","2","0","0"
"19","","","93","","","","1190005","3.8","",""
"19","0","pkb_talk_guts_l","3","1","","","1190006","2","pkb_idle_guts_l","0.2"
"19","","","91","","","","1190007","1190004","",""
"19","1","pkb_idle_normal_l","3","","","","1190008","2","","0.2"
"20","100","2","5","-155","pkb_idle_normal_l","1","1200001","2","64","57"
"20","0","pkb_talk_guts_l","3","1","","","1200002","2","pkb_idle_guts_l","0.2"
"20","0","vo_minigame_1006_top_802","21","","","","1200003","vo_minigame_1006","0",""
"20","8","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","11","0","0","0","1200004","2","0","0"
"20","","","93","","","","1200005","3.2","",""
"20","0","pkb_talk_doya_l","3","1","","","1200006","2","pkb_idle_doya_l","0.2"
"20","","","91","","","","1200007","1200004","",""
"20","1","pkb_idle_normal_l","3","","","","1200008","2","","0.2"
"21","100","2","5","-155","pkb_idle_normal_l","1","1210001","2","64","57"
"21","0","pkb_talk_arm_crossed_l","3","1","","0.2","1210002","2","pkb_idle_arm_crossed_l","0.2"
"21","0","vo_minigame_1006_top_803","21","","","","1210003","vo_minigame_1006","0",""
"21","8","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","11","0","0","0","1210004","2","0","0"
"21","","","91","","","","1210005","0","",""
"21","1","pkb_idle_normal_l","3","","","","1210006","2","","0.2"
"22","100","113511","1","-150","pkb_idle_normal","0","1220001","1","-20","1.6"
"22","100","113411","1","-150","pkb_idle_normal","1","1220002","1","170","1.6"
"22","1","pkb_talk_joy1","3","","","","1220003","113511","","0.2"
"22","0","vo_minigame_1006_top_talk_1_101","21","","","","1220004","vo_minigame_1006","0",""
"22","6","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","11","0","-0.5","0","1220005","113511","0","0"
"22","","","91","","","","1220006","0","",""
"22","1","pkb_idle_normal","3","","","","1220007","113511","","0.2"
"22","1","pkb_talk_joy1","3","","","","1220008","113411","","0.2"
"22","0","vo_minigame_1006_top_talk_1_202","21","","","","1220009","vo_minigame_1006","0",""
"22","6","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","11","0","-0.5","0","1220010","113411","0","0"
"22","","","93","","","","1220011","4","",""
"22","0","pkb_talk_handsup","3","1","","0","1220012","113411","pkb_idle_normal","0.2"
"22","","","91","","","","1220013","1220010","",""
"22","1","pkb_idle_normal","3","","","","1220014","113411","","0.2"
"23","100","113411","1","-150","pkb_idle_normal","1","1230001","1","170","1.6"
"23","100","113511","1","-150","pkb_idle_normal","0","1230002","1","-20","1.6"
"23","1","pkb_talk_normal","3","","","","1230003","113411","","0.2"
"23","0","vo_minigame_1006_top_talk_2_201","21","","","","1230004","vo_minigame_1006","0",""
"23","8","美里老師也來一起\n幫忙加油嘛！","11","0","-1.5","0","1230005","113411","0","0"
"23","","","91","","","","1230006","0","",""
"23","1","pkb_idle_normal","3","","","","1230007","113411","","0.2"
"23","1","pkb_talk_normal","3","","","","1230008","113511","","0.2"
"23","0","vo_minigame_1006_top_talk_2_102","21","","","","1230009","vo_minigame_1006","0",""
"23","5","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","11","0","3","0","1230010","113511","0","0"
"23","","","93","","","","1230011","4","",""
"23","0","pkb_talk_fun","3","0","","0.2","1230012","113511","pkb_talk_fun","0.2"
"23","","","93","","","","1230013","2.7","",""
"23","0","pkb_idle_normal","3","1","","0.2","1230014","113511","pkb_talk_joy1","0.2"
"23","","","91","","","","1230015","1230010","",""
"23","1","pkb_idle_normal","3","","","","1230016","113511","","0.2"
"24","100","113511","1","-150","pkb_idle_normal","1","1240001","1","170","1.6"
"24","100","3","5","-130","pkb_idle_normal","0","1240002","3","-20","55"
"24","1","pkb_talk_joy3","3","","","","1240003","113511","","0.2"
"24","0","vo_minigame_1006_top_talk_3_101","21","","","","1240004","vo_minigame_1006","0",""
"24","6","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","11","0","-1","0","1240005","113511","0","0"
"24","","","93","","","","1240006","4","",""
"24","1","pkb_talk_wish","3","","","","1240007","113511","","0.2"
"24","","","91","","","","1240008","1240005","",""
"24","1","pkb_idle_normal","3","","","","1240009","113511","","0.2"
"24","1","pkb_talk_normal","3","","","","1240010","3","","0.2"
"24","0","vo_minigame_1006_top_talk_3_602","21","","","","1240011","vo_minigame_1006","0",""
"24","6","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","11","0","-1","0","1240012","3","0","0"
"24","","","93","","","","1240013","2","",""
"24","0","pkb_talk_doya","3","1","","","1240014","3","pkb_idle_doya","0.2"
"24","","","91","","","","1240015","1240012","",""
"24","1","pkb_idle_normal","3","","","","1240016","3","","0.2"
"25","100","3","5","-130","pkb_idle_normal","0","1250001","3","-20","55"
"25","100","113511","1","-150","pkb_idle_normal","1","1250002","1","170","1.6"
"25","0","pkb_talk_arm_crossed","3","1","","0.2","1250003","3","pkb_idle_arm_crossed","0.2"
"25","0","vo_minigame_1006_top_talk_4_601","21","","","","1250004","vo_minigame_1006","0",""
"25","8","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","11","0","-0.5","0","1250005","3","0","0"
"25","","","93","","","","1250006","3","",""
"25","0","pkb_talk_guts","3","1","","","1250007","3","pkb_idle_guts","0.2"
"25","","","91","","","","1250008","1250005","",""
"25","1","pkb_idle_normal","3","","","","1250009","3","","0.2"
"25","1","pkb_talk_wish","3","","","","1250010","113511","","0.2"
"25","0","vo_minigame_1006_top_talk_4_102","21","","","","1250011","vo_minigame_1006","0",""
"25","6","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","11","0","1","0","1250012","113511","0","0"
"25","","","93","","","","1250013","5.6","",""
"25","0","pkb_talk_handsup","3","1","","0.2","1250014","113511","pkb_idle_normal","0.2"
"25","","","91","","","","1250015","0","",""
"25","1","pkb_idle_normal","3","","","","1250016","113511","","0.2"
"26","100","113511","1","-150","pkb_idle_normal","1","1260001","1","170","1.6"
"26","100","1","5","-130","pkb_idle_normal","0","1260002","1","-20","55"
"26","1","pkb_talk_joy3","3","","","","1260003","113511","","0.2"
"26","0","vo_minigame_1006_top_talk_5_101","21","","","","1260004","vo_minigame_1006","0",""
"26","6","呵呵，老師也會\n一起協助你們練習的～","11","0","0","0","1260005","113511","0","0"
"26","","","91","","","","1260006","0","",""
"26","1","pkb_idle_normal","3","","","","1260007","113511","","0.2"
"26","0","pkb_talk_guts","3","1","","0.2","1260008","1","pkb_idle_guts","0.2"
"26","0","vo_minigame_1006_top_talk_5_702","21","","","","1260009","vo_minigame_1006","0",""
"26","8","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","11","0","-1","0","1260010","1","0","0"
"26","","","91","","","","1260011","0","",""
"26","1","pkb_idle_normal","3","","","","1260012","1","","0.2"
"27","100","1","5","-130","pkb_idle_normal","0","1270001","1","-20","55"
"27","100","113511","1","-150","pkb_idle_normal","1","1270002","1","170","1.6"
"27","0","pkb_talk_arm_crossed","3","1","","0.2","1270003","1","pkb_idle_arm_crossed","0.2"
"27","0","vo_minigame_1006_top_talk_6_701","21","","","","1270004","vo_minigame_1006","0",""
"27","8","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","11","0","-0.5","0","1270005","1","0","0"
"27","","","93","","","","1270006","2.6","",""
"27","0","pkb_talk_guts","3","1","","0.2","1270007","1","pkb_idle_guts","0.2"
"27","","","91","","","","1270008","1270005","",""
"27","1","pkb_idle_normal","3","","","","1270009","1","","0.2"
"27","1","pkb_talk_joy3","3","","","","1270010","113511","","0.2"
"27","0","vo_minigame_1006_top_talk_6_102","21","","","","1270011","vo_minigame_1006","0",""
"27","6","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","11","0","0.5","0","1270012","113511","0","0"
"27","","","93","","","","1270013","4","",""
"27","1","pkb_talk_wish","3","","","","1270014","113511","","0.2"
"27","","","91","","","","1270015","1270012","",""
"27","1","pkb_idle_normal","3","","","","1270016","113511","","0.2"
"28","100","113411","1","-150","pkb_idle_normal","1","1280001","1","170","1.6"
"28","100","3","5","-130","pkb_idle_normal","0","1280002","3","-20","55"
"28","0","pkb_talk_yell","3","1","","0.2","1280003","113411","pkb_talk_joy1","0.2"
"28","0","vo_minigame_1006_top_talk_7_201","21","","","","1280004","vo_minigame_1006","0",""
"28","8","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","11","0","-0.5","0","1280005","113411","0","0"
"28","","","93","","","","1280006","4.6","",""
"28","0","pkb_talk_fun","3","1","","0.2","1280007","113411","pkb_idle_normal","0.2"
"28","","","91","","","","1280008","1280005","",""
"28","1","pkb_idle_normal","3","","","","1280009","113411","","0.2"
"28","0","pkb_talk_guts","3","1","","","1280010","3","pkb_idle_guts","0.2"
"28","0","vo_minigame_1006_top_talk_7_602","21","","","","1280011","vo_minigame_1006","0",""
"28","8","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","11","0","0","0","1280012","3","0","0"
"28","","","93","","","","1280013","5","",""
"28","0","pkb_talk_handsup","3","1","","","1280014","3","pkb_idle_normal","0.2"
"28","","","91","","","","1280015","1280012","",""
"28","1","pkb_idle_normal","3","","","","1280016","3","","0.2"
"29","100","3","5","-130","pkb_idle_normal","0","1290001","3","-20","55"
"29","100","113411","1","-150","pkb_idle_normal","1","1290002","1","170","1.6"
"29","0","pkb_talk_arm_crossed","3","1","","0.2","1290003","3","pkb_idle_arm_crossed","0.2"
"29","0","vo_minigame_1006_top_talk_8_601","21","","","","1290004","vo_minigame_1006","0",""
"29","8","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","11","0","-1","0","1290005","3","0","0"
"29","","","93","","","","1290006","2.8","",""
"29","0","pkb_talk_guts","3","1","","","1290007","3","pkb_idle_guts","0.2"
"29","","","91","","","","1290008","1290005","",""
"29","1","pkb_idle_normal","3","","","","1290009","3","","0.2"
"29","1","pkb_talk_joy1","3","","","","1290010","113411","","0.2"
"29","0","vo_minigame_1006_top_talk_8_202","21","","","","1290011","vo_minigame_1006","0",""
"29","8","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","11","0","-0.5","0","1290012","113411","0","0"
"29","","","93","","","","1290013","2.2","",""
"29","0","pkb_talk_fun","3","0","","0.4","1290014","113411","pkb_smile","0.2"
"29","","","93","","","","1290015","2.2","",""
"29","1","pkb_idle_normal","3","","","","1290016","113411","","0.2"
"29","","","91","","","","1290017","1290012","",""
"29","1","pkb_idle_normal","3","","","","1290018","113411","","0.2"
"30","100","113411","1","-150","pkb_idle_normal","1","1300001","1","170","1.6"
"30","100","1","5","-130","pkb_idle_normal","0","1300002","1","-20","55"
"30","1","pkb_talk_joy1","3","","","","1300003","113411","","0.2"
"30","0","vo_minigame_1006_top_talk_9_201","21","","","","1300004","vo_minigame_1006","0",""
"30","8","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","11","0","1","0","1300005","113411","0","0"
"30","","","93","","","","1300006","5","",""
"30","0","pkb_talk_handsup","3","1","","","1300007","113411","pkb_idle_normal","0.2"
"30","","","91","","","","1300008","1300005","",""
"30","1","pkb_idle_normal","3","","","","1300009","113411","","0.2"
"30","1","pkb_talk_normal","3","","","","1300010","1","","0.2"
"30","0","vo_minigame_1006_top_talk_9_702","21","","","","1300011","vo_minigame_1006","0",""
"30","8","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","11","0","-1","0","1300012","1","0","0"
"30","","","93","","","","1300013","3.3","",""
"30","0","pkb_talk_guts","3","1","","","1300014","1","pkb_idle_guts","0.2"
"30","","","91","","","","1300015","1300012","",""
"30","1","pkb_idle_normal","3","","","","1300016","1","","0.2"
"31","100","1","5","-130","pkb_idle_normal","0","1310001","1","-20","55"
"31","100","113411","1","-150","pkb_idle_normal","1","1310002","1","170","1.6"
"31","0","pkb_talk_arm_crossed","3","1","","0.2","1310003","1","pkb_idle_arm_crossed","0.2"
"31","0","vo_minigame_1006_top_talk_10_701","21","","","","1310004","vo_minigame_1006","0",""
"31","8","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","11","0","-1.5","0","1310005","1","0","0"
"31","","","93","","","","1310006","3.6","",""
"31","0","pkb_talk_doya","3","1","","","1310007","1","pkb_idle_doya","0.2"
"31","","","91","","","","1310008","1310005","",""
"31","1","pkb_idle_normal","3","","","","1310009","1","","0.2"
"31","1","pkb_talk_joy1","3","","","","1310010","113411","","0.2"
"31","0","vo_minigame_1006_top_talk_10_202","21","","","","1310011","vo_minigame_1006","0",""
"31","8","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","11","0","-0.5","0","1310012","113411","0","0"
"31","","","93","","","","1310013","3.6","",""
"31","0","pkb_talk_fun","3","0","","","1310014","113411","pkb_talk_fun","0.2"
"31","","","93","","","","1310015","3","",""
"31","1","pkb_idle_normal","3","","","","1310016","113411","","0.2"
"31","","","91","","","","1310017","1310012","",""
"32","100","2","5","-130","pkb_idle_normal","0","1320001","2","-20","55"
"32","100","113411","1","-150","pkb_idle_normal","1","1320002","1","170","1.6"
"32","0","pkb_talk_guts","3","1","","","1320003","2","pkb_idle_guts","0.2"
"32","0","vo_minigame_1006_top_talk_11_801","21","","","","1320004","vo_minigame_1006","0",""
"32","8","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","11","0","0","0","1320005","2","0","0"
"32","","","93","","","","1320006","5","",""
"32","0","pkb_talk_doya","3","1","","","1320007","2","pkb_idle_doya","0.2"
"32","","","91","","","","1320008","1320005","",""
"32","1","pkb_idle_normal","3","","","","1320009","2","","0.2"
"32","1","pkb_talk_joy2","3","","","","1320010","113411","","0.2"
"32","0","vo_minigame_1006_top_talk_11_202","21","","","","1320011","vo_minigame_1006","0",""
"32","8","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","11","0","0","0","1320012","113411","0","0"
"32","","","93","","","","1320013","4.6","",""
"32","0","pkb_hatsune_kiran","3","1","","0.2","1320014","113411","pkb_idle_normal","0.2"
"32","","","91","","","","1320015","1320012","",""
"32","1","pkb_idle_normal","3","","","","1320016","113411","","0.2"
"33","100","102311","1","-150","pkb_idle_normal","1","1330001","1","170","1.6"
"33","100","2","5","-130","pkb_idle_normal","0","1330002","2","-20","55"
"33","1","pkb_talk_normal","3","","","","1330003","102311","","0.2"
"33","0","vo_minigame_1006_top_talk_12_401","21","","","","1330004","vo_minigame_1006","0",""
"33","8","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","11","0","-0.5","0","1330005","102311","0","0"
"33","","","93","","","","1330006","1.6","",""
"33","0","pkb_talk_yell","3","1","","0.2","1330007","102311","pkb_talk_joy1","0.2"
"33","","","91","","","","1330008","1330005","",""
"33","1","pkb_idle_normal","3","","","","1330009","102311","","0.2"
"33","0","vo_minigame_1006_top_talk_12_802","21","","","","1330010","vo_minigame_1006","0",""
"33","8","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","11","0","0","0","1330011","2","0","0"
"33","","","93","","","","1330012","0.5","",""
"33","0","pkb_talk_yell","3","","","","1330013","2","","0.2"
"33","","","93","","","","1330014","3","",""
"33","0","pkb_shock","3","1","","","1330015","2","pkb_idle_shock","0.2"
