3596a15351c1471df93232a5c83283ea00df25b2a0543a1274f7e405bfcfd207,b060fbf23c53fc8f98a69fb21a539826c5e884947010bcb586e2bf8e5ee114d5,28405f64bbdf75ce7fece9f771cd21e7ed7e0a61dc4626c85cc14fb82c747454,bbc3a88de6db95fbe605b37e1cc9795473ac76e2d503acf9ff331e20f0849add,1a15de4e59549bf53118a4589acb0e91598d90996088fe051a814020093f8eef,9004eb36e2856dd2c73a7465d9170e2a8c41077619f9351e5df2e1333296bbea,86b49abcc44fe06783bc015a9a968071213631669b6cbef022e0cfd5b1447114,92e5d49e5995879e3c83b28114711af7a9144f9604f45b503f95439bd56fd89b,1b8b93d8d9281d74de93f9f51fb10b435fba36a47e6ec1b1edb2385ca7c86a23,5e7d3b095662464185df811cf0b9f8564f10ab9011f7a8e91cab4e2ccc04922c,e9ae2bbe7a979a1f4d36e9dd5ac2497f76f907094333e451cf3be64e19e85ba1,c99b78409f18672af6565c72e9af46b3bdf39c8235d57df68518e4f1d62010f8
"戰鬥開始時，我方的TP提升150","1","-1","560000000000","3","TP提升150","0","1","300124","3001","300124","36000"
"戰鬥開始15秒內，我方進入無敵狀態","1","-1","440000000000","3","無敵15秒","0","1","300125","3001","300125","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","320000000000","3","降低物理攻擊90秒","0","1","300126","3001","300126","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","160000000000","3","降低物理防禦90秒","0","1","300127","3001","300127","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","40000000000","3","降低魔法防禦90秒","0","1","300128","3001","300128","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","4656000000000","3","降低魔法攻擊90秒","0","1","300201","3002","300201","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","4464000000000","3","降低魔法攻擊90秒","0","1","300202","3002","300202","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","4320000000000","3","降低物理防禦90秒","0","1","300203","3002","300203","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","4176000000000","3","降低魔法防禦90秒","0","1","300204","3002","300204","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","4032000000000","3","提升物理攻擊90秒","0","1","300205","3002","300205","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","3840000000000","3","提升魔法攻擊90秒","0","1","300206","3002","300206","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","3552000000000","3","降低魔法攻擊90秒","0","1","300207","3002","300207","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","3408000000000","3","提升物理攻擊90秒","0","1","300208","3002","300208","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","3216000000000","3","提升魔法攻擊90秒","0","1","300209","3002","300209","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","3072000000000","3","降低魔法攻擊90秒","0","1","300210","3002","300210","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","2880000000000","3","降低魔法攻擊90秒","0","1","300211","3002","300211","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","2736000000000","3","降低物理防禦90秒","0","1","300212","3002","300212","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","2592000000000","3","降低魔法防禦90秒","0","1","300213","3002","300213","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","2448000000000","3","提升物理攻擊90秒","0","1","300214","3002","300214","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","2256000000000","3","提升魔法攻擊90秒","0","1","300215","3002","300215","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","1968000000000","3","降低魔法攻擊90秒","0","1","300216","3002","300216","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","1776000000000","3","提升物理攻擊90秒","0","1","300217","3002","300217","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","1632000000000","3","提升魔法攻擊90秒","0","1","300218","3002","300218","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","1488000000000","3","降低魔法攻擊90秒","0","1","300219","3002","300219","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","1296000000000","3","降低魔法攻擊90秒","0","1","300220","3002","300220","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","1152000000000","3","降低物理防禦90秒","0","1","300221","3002","300221","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","1008000000000","3","降低魔法防禦90秒","0","1","300222","3002","300222","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","864000000000","3","降低魔法攻擊90秒","0","1","300223","3002","300223","36000"
"戰鬥開始時，我方的TP提升150","1","-1","672000000000","3","TP提升150","0","1","300224","3002","300224","36000"
"戰鬥開始15秒內，我方進入無敵狀態","1","-1","528000000000","3","無敵15秒","0","1","300225","3002","300225","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","384000000000","3","降低物理防禦90秒","0","1","300226","3002","300226","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","192000000000","3","降低魔法防禦90秒","0","1","300227","3002","300227","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","48000000000","3","降低魔法攻擊90秒","0","1","300228","3002","300228","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","3880000000000","3","降低物理攻擊90秒","0","1","300301","3003","300301","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","3720000000000","3","降低魔法攻擊90秒","0","1","300302","3003","300302","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","3480000000000","3","降低魔法攻擊90秒","0","1","300303","3003","300303","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","3360000000000","3","提升物理攻擊90秒","0","1","300304","3003","300304","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","3200000000000","3","提升魔法攻擊90秒","0","1","300305","3003","300305","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","3080000000000","3","降低物理攻擊90秒","0","1","300306","3003","300306","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","2960000000000","3","降低魔法攻擊90秒","0","1","300307","3003","300307","36000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","2840000000000","3","每秒HP恢復90秒","0","1","300308","3003","300308","36000"
"戰鬥開始90秒內，每秒提升我方的TP","1","-1","2680000000000","3","每秒TP提升90秒","0","1","300309","3003","300309","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","2560000000000","3","降低物理攻擊90秒","0","1","300310","3003","300310","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","2400000000000","3","降低魔法攻擊90秒","0","1","300311","3003","300311","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","2160000000000","3","降低魔法攻擊90秒","0","1","300312","3003","300312","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","2040000000000","3","提升物理攻擊90秒","0","1","300313","3003","300313","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","1880000000000","3","提升魔法攻擊90秒","0","1","300314","3003","300314","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","1760000000000","3","降低物理攻擊90秒","0","1","300315","3003","300315","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","1640000000000","3","降低魔法攻擊90秒","0","1","300316","3003","300316","36000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","1480000000000","3","每秒HP恢復90秒","0","1","300317","3003","300317","36000"
"戰鬥開始90秒內，每秒提升我方的TP","1","-1","1360000000000","3","每秒TP提升90秒","0","1","300318","3003","300318","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","1240000000000","3","降低物理攻擊90秒","0","1","300319","3003","300319","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","1080000000000","3","降低魔法攻擊90秒","0","1","300320","3003","300320","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","960000000000","3","降低物理攻擊90秒","0","1","300321","3003","300321","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","840000000000","3","降低魔法攻擊90秒","0","1","300322","3003","300322","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","720000000000","3","提升物理攻擊90秒","0","1","300323","3003","300323","36000"
"戰鬥開始時，我方的TP提升150","1","-1","560000000000","3","TP提升150","0","1","300324","3003","300324","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","440000000000","3","降低物理攻擊90秒","0","1","300325","3003","300325","36000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","320000000000","3","降低魔法攻擊90秒","0","1","300326","3003","300326","36000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","160000000000","3","每秒HP恢復90秒","0","1","300327","3003","300327","36000"
"戰鬥開始90秒內，每秒提升我方的TP","1","-1","40000000000","3","每秒TP提升90秒","0","1","300328","3003","300328","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","4656000000000","3","降低物理防禦90秒","0","1","300401","3004","300401","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","4464000000000","3","降低物理防禦90秒","0","1","300402","3004","300402","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","4320000000000","3","提升物理攻擊90秒","0","1","300403","3004","300403","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","4176000000000","3","提升魔法攻擊90秒","0","1","300404","3004","300404","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","4032000000000","3","降低物理防禦90秒","0","1","300405","3004","300405","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","3696000000000","3","提升物理攻擊90秒","0","1","300406","3004","300406","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","3552000000000","3","提升魔法攻擊90秒","0","1","300407","3004","300407","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","3408000000000","3","降低物理防禦90秒","0","1","300408","3004","300408","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","3216000000000","3","降低物理防禦90秒","0","1","300409","3004","300409","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","3072000000000","3","降低物理防禦90秒","0","1","300410","3004","300410","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","2880000000000","3","降低物理防禦90秒","0","1","300411","3004","300411","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","2736000000000","3","提升物理攻擊90秒","0","1","300412","3004","300412","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","2592000000000","3","提升魔法攻擊90秒","0","1","300413","3004","300413","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","2448000000000","3","降低物理防禦90秒","0","1","300414","3004","300414","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","2112000000000","3","提升物理攻擊90秒","0","1","300415","3004","300415","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","1968000000000","3","提升魔法攻擊90秒","0","1","300416","3004","300416","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","1776000000000","3","降低物理防禦90秒","0","1","300417","3004","300417","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","1632000000000","3","降低物理防禦90秒","0","1","300418","3004","300418","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","1488000000000","3","提升物理攻擊90秒","0","1","300419","3004","300419","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","1296000000000","3","提升物理攻擊90秒","0","1","300420","3004","300420","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","1152000000000","3","提升物理攻擊90秒","0","1","300421","3004","300421","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","1008000000000","3","提升魔法攻擊90秒","0","1","300422","3004","300422","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","864000000000","3","降低物理防禦90秒","0","1","300423","3004","300423","36000"
"戰鬥開始時，我方的TP提升150","1","-1","672000000000","3","TP提升150","0","1","300424","3004","300424","36000"
"戰鬥開始15秒內，我方進入無敵狀態","1","-1","528000000000","3","無敵15秒","0","1","300425","3004","300425","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","384000000000","3","提升物理攻擊90秒","0","1","300426","3004","300426","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","192000000000","3","提升物理攻擊90秒","0","1","300427","3004","300427","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","48000000000","3","降低物理防禦90秒","0","1","300428","3004","300428","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","17363000000000","3","降低物理攻擊90秒","0","1","300501","3005","300501","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","16647000000000","3","降低物理攻擊90秒","0","1","300502","3005","300502","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","16110000000000","3","降低物理攻擊90秒","0","1","300503","3005","300503","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","15573000000000","3","降低物理攻擊90秒","0","1","300504","3005","300504","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","15036000000000","3","降低物理防禦90秒","0","1","300505","3005","300505","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","14320000000000","3","降低魔法防禦90秒","0","1","300506","3005","300506","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","13783000000000","3","降低物理攻擊90秒","0","1","300507","3005","300507","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","13246000000000","3","降低物理攻擊90秒","0","1","300508","3005","300508","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","12709000000000","3","降低物理防禦90秒","0","1","300509","3005","300509","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","11993000000000","3","降低魔法防禦90秒","0","1","300510","3005","300510","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","11456000000000","3","降低物理攻擊90秒","0","1","300511","3005","300511","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","10740000000000","3","降低物理攻擊90秒","0","1","300512","3005","300512","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","10203000000000","3","降低物理攻擊90秒","0","1","300513","3005","300513","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","9666000000000","3","降低物理攻擊90秒","0","1","300514","3005","300514","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","9129000000000","3","降低物理防禦90秒","0","1","300515","3005","300515","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","8413000000000","3","降低魔法防禦90秒","0","1","300516","3005","300516","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","7876000000000","3","降低物理攻擊90秒","0","1","300517","3005","300517","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","7339000000000","3","降低物理攻擊90秒","0","1","300518","3005","300518","36000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","6623000000000","3","降低物理防禦90秒","0","1","300519","3005","300519","36000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","6086000000000","3","降低魔法防禦90秒","0","1","300520","3005","300520","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","5549000000000","3","降低物理攻擊90秒","0","1","300521","3005","300521","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","4833000000000","3","降低物理攻擊90秒","0","1","300522","3005","300522","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","4296000000000","3","提升物理攻擊90秒","0","1","300523","3005","300523","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","3759000000000","3","提升魔法攻擊90秒","0","1","300524","3005","300524","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","3222000000000","3","降低物理攻擊90秒","0","1","300525","3005","300525","36000"
"戰鬥開始時，我方的TP提升150","1","-1","2506000000000","3","TP提升150","0","1","300526","3005","300526","36000"
"戰鬥開始15秒內，我方進入無敵狀態","1","-1","1969000000000","3","無敵15秒","0","1","300527","3005","300527","36000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","1432000000000","3","提升物理攻擊90秒","0","1","300528","3005","300528","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","716000000000","3","提升魔法攻擊90秒","0","1","300529","3005","300529","36000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","179000000000","3","降低物理攻擊90秒","0","1","300530","3005","300530","36000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","7857000000000","3","提升魔法攻擊90秒","0","1","300601","3006","300601","54000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","7290000000000","3","提升物理攻擊90秒","0","1","300602","3006","300602","54000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","6804000000000","3","降低物理防禦90秒","0","1","300603","3006","300603","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","6237000000000","3","提升魔法攻擊90秒","0","1","300604","3006","300604","54000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","5751000000000","3","降低魔法防禦90秒","0","1","300605","3006","300605","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","5184000000000","3","提升魔法攻擊90秒","0","1","300606","3006","300606","54000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","4617000000000","3","每秒HP恢復90秒","0","1","300607","3006","300607","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","4131000000000","3","提升魔法攻擊90秒","0","1","300608","3006","300608","54000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","3564000000000","3","提升物理攻擊90秒","0","1","300609","3006","300609","54000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","2997000000000","3","降低物理防禦90秒","0","1","300610","3006","300610","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","2511000000000","3","提升魔法攻擊90秒","0","1","300611","3006","300611","54000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","2187000000000","3","降低魔法防禦90秒","0","1","300612","3006","300612","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","1701000000000","3","提升魔法攻擊90秒","0","1","300613","3006","300613","54000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","1134000000000","3","每秒HP恢復90秒","0","1","300614","3006","300614","54000"
"戰鬥開始15秒內，我方進入無敵狀態","1","-1","891000000000","3","無敵15秒","0","1","300615","3006","300615","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","648000000000","3","提升魔法攻擊90秒","0","1","300616","3006","300616","54000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","324000000000","3","降低物理防禦90秒","0","1","300617","3006","300617","54000"
"戰鬥開始90秒內，使敵人的魔法防禦力下降","1","-1","81000000000","3","降低魔法防禦90秒","0","1","300618","3006","300618","54000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","9409000000000","3","每秒HP恢復90秒","0","1","300701","3007","300701","54000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","8730000000000","3","降低物理攻擊90秒","0","1","300702","3007","300702","54000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","8148000000000","3","降低魔法攻擊90秒","0","1","300703","3007","300703","54000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","7469000000000","3","提升物理攻擊90秒","0","1","300704","3007","300704","54000"
"戰鬥開始90秒內，使我方的魔法攻擊力提升","1","-1","6887000000000","3","提升魔法攻擊90秒","0","1","300705","3007","300705","54000"
"戰鬥開始90秒內，使敵人的物理防禦力下降","1","-1","6208000000000","3","降低物理防禦90秒","0","1","300706","3007","300706","54000"
"戰鬥開始90秒內，每秒提升我方的TP","1","-1","5529000000000","3","每秒TP提升90秒","0","1","300707","3007","300707","54000"
"戰鬥開始90秒內，每秒恢復我方的HP","1","-1","4947000000000","3","每秒HP恢復90秒","0","1","300708","3007","300708","54000"
"戰鬥開始90秒內，使敵人的物理攻擊力下降","1","-1","4268000000000","3","降低物理攻擊90秒","0","1","300709","3007","300709","54000"
"戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","-1","3589000000000","3","降低魔法攻擊90秒","0","1","300710","3007","300710","54000"
"戰鬥開始90秒內，使我方的物理攻擊力提升。","1","-1","3007000000000","3","提升物理攻擊90秒","0","1","300711","3007","300711","54000"
