f9fb43ebc01c7d9b938d2adcefd0688f7a61c46021d177dae5b5eba525e864e8,559755466d4899c826d00b0409227b94eb8d6707697627bba2c009a4aa8661e6,47c2334e3196a285b575e2c2ca4042d0b2e4a15881e63ad4ba78ce73bdcf021e,89931d027b8406cd094f58ee4cc783e41f0026a8397398fb17806353a958b460,5aaff4346b69fdad54a88d0e75b308bb5192619db9c44cbbe9e597113e190faf,bc0321bbfbb8ff307f4e67608931c586f8df7c492b85e732f2de3063055f0e25,708cd3fd762e7387b5104923c65e563982068a5b2d351c419a1a7e5296eba77f,f441b546de08ff83565dfb7f25a1d5f1c0396ad619ce2cb319e49a6e1fb31cd4,b58d3e3ce0c40b53a49bc02210b457c42d2a01f03bb2eaef889bd47c0267b1b0,bde1ecffe248ee2cae784175398550fff5619711a5a2cb628e6eab70b62dec47,0be0a0ff41d5d3dc35c7de8f0fb8f222602524af4aced8433a4171473d1cd972
"【惡魔偽王國軍】通關難度4以上1次","2","4","7","5","1014","54","54","93","2","1"
"【惡魔偽王國軍】通關難度5 1次","2","5","7","5","1014","55","55","94","2","1"
"【伊麗莎白牧場】通關難度3以上1次","2","3","8","5","1014","56","56","100","2","1"
"【伊麗莎白牧場】通關難度4以上1次","2","4","8","5","1014","57","57","101","2","1"
"【伊麗莎白牧場】通關難度5 1次","2","5","8","5","1014","58","58","102","2","1"
"【墨丘利財團】通關難度3以上1次","2","3","9","5","1014","59","59","108","2","1"
"【墨丘利財團】通關難度4以上1次","2","4","9","5","1014","60","60","109","2","1"
"【墨丘利財團】通關難度5 1次","2","5","9","5","1014","61","61","110","2","1"
"【暮光流星群】通關難度3以上1次","2","3","10","5","1014","62","62","116","2","1"
"【暮光流星群】通關難度4以上1次","2","4","10","5","1014","63","63","117","2","1"
"【暮光流星群】通關難度5 1次","2","5","10","5","1014","64","64","118","2","1"
"通關難度6以上1次","1","6","0","5","1013","65","65","6","2","1"
"通關難度7以上1次","1","7","0","5","1013","66","66","7","2","1"
"通關難度8以上1次","1","8","0","5","1013","67","67","8","2","1"
"通關難度9以上1次","1","9","0","5","1013","68","68","9","2","1"
"通關難度10 1次","1","10","0","5","1013","69","69","10","2","1"
"以始源強化解放45個節點","1","0","0","0","1013","70","70","26","5","45"
"以始源強化解放50個節點","1","0","0","0","1013","71","71","27","5","50"
"以始源強化解放55個節點","1","0","0","0","1013","72","72","28","5","55"
"以始源強化解放60個節點","1","0","0","0","1013","73","73","29","5","60"
"【美食殿堂】通關難度6以上1次","2","6","1","5","1014","74","74","47","2","1"
"【美食殿堂】通關難度7以上1次","2","7","1","5","1014","75","75","48","2","1"
"【美食殿堂】通關難度8以上1次","2","8","1","5","1014","76","76","49","2","1"
"【美食殿堂】通關難度9以上1次","2","9","1","5","1014","77","77","50","2","1"
"【美食殿堂】通關難度10 1次","2","10","1","5","1014","78","78","51","2","1"
"【破曉之星】通關難度6以上1次","2","6","2","5","1014","79","79","55","2","1"
"【破曉之星】通關難度7以上1次","2","7","2","5","1014","80","80","56","2","1"
"【破曉之星】通關難度8以上1次","2","8","2","5","1014","81","81","57","2","1"
"【破曉之星】通關難度9以上1次","2","9","2","5","1014","82","82","58","2","1"
"【破曉之星】通關難度10 1次","2","10","2","5","1014","83","83","59","2","1"
"【咲戀育幼院】通關難度6以上1次","2","6","3","5","1014","84","84","63","2","1"
"【咲戀育幼院】通關難度7以上1次","2","7","3","5","1014","85","85","64","2","1"
"【咲戀育幼院】通關難度8以上1次","2","8","3","5","1014","86","86","65","2","1"
"【咲戀育幼院】通關難度9以上1次","2","9","3","5","1014","87","87","66","2","1"
"【咲戀育幼院】通關難度10 1次","2","10","3","5","1014","88","88","67","2","1"
"【王宮騎士團】通關難度6以上1次","2","6","4","5","1014","89","89","71","2","1"
"【王宮騎士團】通關難度7以上1次","2","7","4","5","1014","90","90","72","2","1"
"【王宮騎士團】通關難度8以上1次","2","8","4","5","1014","91","91","73","2","1"
"【王宮騎士團】通關難度9以上1次","2","9","4","5","1014","92","92","74","2","1"
"【王宮騎士團】通關難度10 1次","2","10","4","5","1014","93","93","75","2","1"
"【拉比林斯】通關難度6以上1次","2","6","5","5","1014","94","94","79","2","1"
"【拉比林斯】通關難度7以上1次","2","7","5","5","1014","95","95","80","2","1"
"【拉比林斯】通關難度8以上1次","2","8","5","5","1014","96","96","81","2","1"
"【拉比林斯】通關難度9以上1次","2","9","5","5","1014","97","97","82","2","1"
"【拉比林斯】通關難度10 1次","2","10","5","5","1014","98","98","83","2","1"
"【慈樂之音】通關難度6以上1次","2","6","6","5","1014","99","99","87","2","1"
"【慈樂之音】通關難度7以上1次","2","7","6","5","1014","100","100","88","2","1"
"【慈樂之音】通關難度8以上1次","2","8","6","5","1014","101","101","89","2","1"
"【慈樂之音】通關難度9以上1次","2","9","6","5","1014","102","102","90","2","1"
"【慈樂之音】通關難度10 1次","2","10","6","5","1014","103","103","91","2","1"
"【惡魔偽王國軍】通關難度6以上1次","2","6","7","5","1014","104","104","95","2","1"
"【惡魔偽王國軍】通關難度7以上1次","2","7","7","5","1014","105","105","96","2","1"
"【惡魔偽王國軍】通關難度8以上1次","2","8","7","5","1014","106","106","97","2","1"
"【惡魔偽王國軍】通關難度9以上1次","2","9","7","5","1014","107","107","98","2","1"
"【惡魔偽王國軍】通關難度10 1次","2","10","7","5","1014","108","108","99","2","1"
"【伊麗莎白牧場】通關難度6以上1次","2","6","8","5","1014","109","109","103","2","1"
"【伊麗莎白牧場】通關難度7以上1次","2","7","8","5","1014","110","110","104","2","1"
"【伊麗莎白牧場】通關難度8以上1次","2","8","8","5","1014","111","111","105","2","1"
"【伊麗莎白牧場】通關難度9以上1次","2","9","8","5","1014","112","112","106","2","1"
"【伊麗莎白牧場】通關難度10 1次","2","10","8","5","1014","113","113","107","2","1"
"【墨丘利財團】通關難度6以上1次","2","6","9","5","1014","114","114","111","2","1"
"【墨丘利財團】通關難度7以上1次","2","7","9","5","1014","115","115","112","2","1"
"【墨丘利財團】通關難度8以上1次","2","8","9","5","1014","116","116","113","2","1"
"【墨丘利財團】通關難度9以上1次","2","9","9","5","1014","117","117","114","2","1"
"【墨丘利財團】通關難度10 1次","2","10","9","5","1014","118","118","115","2","1"
"【暮光流星群】通關難度6以上1次","2","6","10","5","1014","119","119","119","2","1"
"【暮光流星群】通關難度7以上1次","2","7","10","5","1014","120","120","120","2","1"
"【暮光流星群】通關難度8以上1次","2","8","10","5","1014","121","121","121","2","1"
"【暮光流星群】通關難度9以上1次","2","9","10","5","1014","122","122","122","2","1"
"【暮光流星群】通關難度10 1次","2","10","10","5","1014","123","123","123","2","1"
"【小小甜心】通關難度3以上1次","2","3","11","5","1014","124","124","124","2","1"
"【小小甜心】通關難度4以上1次","2","4","11","5","1014","125","125","125","2","1"
"【小小甜心】通關難度5以上1次","2","5","11","5","1014","126","126","126","2","1"
"【小小甜心】通關難度6以上1次","2","6","11","5","1014","127","127","127","2","1"
"【小小甜心】通關難度7以上1次","2","7","11","5","1014","128","128","128","2","1"
"【小小甜心】通關難度8以上1次","2","8","11","5","1014","129","129","129","2","1"
"【小小甜心】通關難度9以上1次","2","9","11","5","1014","130","130","130","2","1"
"【小小甜心】通關難度10 1次","2","10","11","5","1014","131","131","131","2","1"
"【哞哞自衛隊】通關難度3以上1次","2","3","12","5","1014","132","132","132","2","1"
"【哞哞自衛隊】通關難度4以上1次","2","4","12","5","1014","133","133","133","2","1"
"【哞哞自衛隊】通關難度5以上1次","2","5","12","5","1014","134","134","134","2","1"
"【哞哞自衛隊】通關難度6以上1次","2","6","12","5","1014","135","135","135","2","1"
"【哞哞自衛隊】通關難度7以上1次","2","7","12","5","1014","136","136","136","2","1"
"【哞哞自衛隊】通關難度8以上1次","2","8","12","5","1014","137","137","137","2","1"
"【哞哞自衛隊】通關難度9以上1次","2","9","12","5","1014","138","138","138","2","1"
"【哞哞自衛隊】通關難度10以上1次","2","10","12","5","1014","139","139","139","2","1"
"【森林守衛】通關難度3以上1次","2","3","13","5","1014","140","140","140","2","1"
"【森林守衛】通關難度4以上1次","2","4","13","5","1014","141","141","141","2","1"
"【森林守衛】通關難度5以上1次","2","5","13","5","1014","142","142","142","2","1"
"【森林守衛】通關難度6以上1次","2","6","13","5","1014","143","143","143","2","1"
"【森林守衛】通關難度7以上1次","2","7","13","5","1014","144","144","144","2","1"
"【森林守衛】通關難度8以上1次","2","8","13","5","1014","145","145","145","2","1"
"【森林守衛】通關難度9以上1次","2","9","13","5","1014","146","146","146","2","1"
"【森林守衛】通關難度10以上1次","2","10","13","5","1014","147","147","147","2","1"
"【月光學院】通關難度3以上1次","2","3","14","5","1014","148","148","148","2","1"
"【月光學院】通關難度4以上1次","2","4","14","5","1014","149","149","149","2","1"
"【月光學院】通關難度5以上1次","2","5","14","5","1014","150","150","150","2","1"
"【月光學院】通關難度6以上1次","2","6","14","5","1014","151","151","151","2","1"
"【月光學院】通關難度7以上1次","2","7","14","5","1014","152","152","152","2","1"
"【月光學院】通關難度8以上1次","2","8","14","5","1014","153","153","153","2","1"
"【月光學院】通關難度9以上1次","2","9","14","5","1014","154","154","154","2","1"
"【月光學院】通關難度10以上1次","2","10","14","5","1014","155","155","155","2","1"
