696a423ece9b435f2effa484cb703bd7f3a3f57ceedc3dc16d7cad131e0cf665,c36f24d47067743d762aa2ac33f989d7b54c9729dc2c328be06bf468f9a60c37,106174e050707a16648d803d36394891489d4007fe421b5233e2fe15f2c221ff,907886a4809385368d71c9878f81a4cd797be7dad2ed45d285c54788366b1a73,a848f14f1224580a7b9e4a6153f68fa319e52aa0e56bfe9ab06a380549376cc9,5cd7401abfeeac2872299a0b6911b767766610f90ab1be243dda1f98492a9d00,f62c8674f174c78ec53ea45b41f1ea710737b811e666ed8a95a0380266634c71,984ffe35d2d50b786bc6867fec7b32159d433535d0feece88ce97584959befff,4119d278f8c2a937478309ebc682b7bb396a806bf8c8b05fb5e2bd38dcf2132e,451955ebc8975f4d2778cda7e201c3d57e363cbe0037db80a27f5418622332ee,8befdda3106fc7aa72eae6066881414452609f525dc45dfac100c6afe3ec5c2b,d3874766dfd5c2f7d8323f671394c1f2a4b39c6e06033113b5e836707de37000
"26","0","0","0","0","9","1","5154063","0","1.1","360","515406326"
"27","1.6","1","0","0","0","4","5154063","0","0","0","515406327"
"28","0","0","vo_abd_0209","0","0","2","5154063","vo_abd","0","0","515406328"
"29","0","0","0","0","10","1","5154063","0","0.5","280","515406329"
"30","0.5","1","0","0","0","4","5154063","0","0","0","515406330"
"31","0","0","vo_abd_0210","0","0","2","5154063","vo_abd","0","0","515406331"
"32","0","0","0","0","11","1","5154063","0","1","360","515406332"
"1","0.8","1","0","0","0","4","5154064","0","0","0","515406401"
"2","0","0","vo_abd_0301","0","0","2","5154064","vo_abd","0","0","515406402"
"3","0","0","0","0","1","1","5154064","0","2","400","515406403"
"4","2.8","1","0","0","0","4","5154064","0","0","0","515406404"
"5","0","0","vo_abd_0302","0","0","2","5154064","vo_abd","0","0","515406405"
"6","0","0","0","0","2","1","5154064","0","2","400","515406406"
"7","3.5","1","0","0","0","4","5154064","0","0","0","515406407"
"8","0","0","vo_abd_0303","0","0","2","5154064","vo_abd","0","0","515406408"
"9","0","0","0","0","3","1","5154064","0","2.8","425","515406409"
"10","3.5","1","0","0","0","4","5154064","0","0","0","515406410"
"11","0","0","vo_abd_0304","0","0","2","5154064","vo_abd","0","0","515406411"
"12","0","0","0","0","4","1","5154064","0","3","450","515406412"
"13","4","1","0","0","0","4","5154064","0","0","0","515406413"
"14","0","0","vo_abd_0305","0","0","2","5154064","vo_abd","0","0","515406414"
"15","0","0","0","0","5","1","5154064","0","0.2","63","515406415"
"16","1.05","1","0","0","0","4","5154064","0","0","0","515406416"
"17","0","0","0","63","5","1","5154064","0","2","420","515406417"
"18","3.5","1","0","0","0","4","5154064","0","0","0","515406418"
"19","0","0","vo_abd_0306","0","0","2","5154064","vo_abd","0","0","515406419"
"20","0","0","0","0","6","1","5154064","0","1","151","515406420"
"21","1.7","1","0","0","0","4","5154064","0","0","0","515406421"
"22","0","0","0","151","6","1","5154064","0","1","260","515406422"
"23","2.8","1","0","0","0","4","5154064","0","0","0","515406423"
"24","0","0","0","0","7","1","5154064","0","0.8","48","515406424"
"25","0.96","1","0","0","0","4","5154064","0","0","0","515406425"
"26","0","0","vo_abd_0307","0","0","2","5154064","vo_abd","0","0","515406426"
"27","0","0","0","48","7","1","5154064","0","1.5","360","515406427"
"28","1.7","1","0","0","0","4","5154064","0","0","0","515406428"
"29","0","0","0","360","7","1","5154064","0","0.8","360","515406429"
"30","2","1","0","0","0","4","5154064","0","0","0","515406430"
"31","0","0","vo_abd_0308","0","0","2","5154064","vo_abd","0","0","515406431"
"32","0","0","0","0","8","1","5154064","0","1","254","515406432"
"33","2","1","0","0","0","4","5154064","0","0","0","515406433"
"34","0","0","0","254","8","1","5154064","0","0.3","254","515406434"
"35","1.5","1","0","0","0","4","5154064","0","0","0","515406435"
"36","0","0","0","254","8","1","5154064","0","0.8","400","515406436"
"37","2","1","0","0","0","4","5154064","0","0","0","515406437"
"38","0","0","vo_abd_0309","0","0","2","5154064","vo_abd","0","0","515406438"
"39","0","0","0","0","9","1","5154064","0","2","96","515406439"
"40","2.65","1","0","0","0","4","5154064","0","0","0","515406440"
"41","0","0","0","96","9","1","5154064","0","1","425","515406441"
"42","2","1","0","0","0","4","5154064","0","0","0","515406442"
"43","0","0","vo_abd_0310","0","0","2","5154064","vo_abd","0","0","515406443"
"44","0","0","0","0","10","1","5154064","0","2.5","400","515406444"
"45","4","1","0","0","0","4","5154064","0","0","0","515406445"
"46","0","0","vo_abd_0311","0","0","2","5154064","vo_abd","0","0","515406446"
"47","0","0","0","0","11","1","5154064","0","1.2","115","515406447"
"48","2","1","0","0","0","4","5154064","0","0","0","515406448"
"49","0","0","0","115","11","1","5154064","0","1","295","515406449"
"50","2.5","1","0","0","0","4","5154064","0","0","0","515406450"
"51","0","0","0","295","11","1","5154064","0","0.5","430","515406451"
"1","0.8","1","0","0","0","4","5154065","0","0","0","515406501"
"2","0","0","vo_abd_0401","0","0","2","5154065","vo_abd","0","0","515406502"
"3","0","0","0","0","1","1","5154065","0","2","400","515406503"
"4","3.2","1","0","0","0","4","5154065","0","0","0","515406504"
"5","0","0","vo_abd_0402","0","0","2","5154065","vo_abd","0","0","515406505"
"6","0","0","0","0","2","1","5154065","0","2","420","515406506"
"7","3.7","1","0","0","0","4","5154065","0","0","0","515406507"
"8","0","0","vo_abd_0403","0","0","2","5154065","vo_abd","0","0","515406508"
"9","0","0","0","0","3","1","5154065","0","2","400","515406509"
"10","3","1","0","0","0","4","5154065","0","0","0","515406510"
"11","0","0","vo_abd_0404","0","0","2","5154065","vo_abd","0","0","515406511"
"12","0","0","0","0","4","1","5154065","0","1","188","515406512"
"13","1.15","1","0","0","0","4","5154065","0","0","0","515406513"
"14","0","0","0","188","4","1","5154065","0","1","425","515406514"
"15","2.5","1","0","0","0","4","5154065","0","0","0","515406515"
"16","0","0","vo_abd_0405","0","0","2","5154065","vo_abd","0","0","515406516"
"17","0","0","0","0","5","1","5154065","0","2.4","450","515406517"
"18","2.9","1","0","0","0","4","5154065","0","0","0","515406518"
"19","0","0","vo_abd_0407","0","0","2","5154065","vo_abd","0","0","515406519"
"20","0","0","0","0","6","1","5154065","0","1","300","515406520"
"21","1.5","1","0","0","0","4","5154065","0","0","0","515406521"
"22","0","0","vo_abd_0408","0","0","2","5154065","vo_abd","0","0","515406522"
"23","0","0","0","0","7","1","5154065","0","1","320","515406523"
"24","1","1","0","0","0","4","5154065","0","0","0","515406524"
"25","0","0","vo_abd_0409","0","0","2","5154065","vo_abd","0","0","515406525"
"26","0","0","0","320","7","1","5154065","0","1","320","515406526"
"27","2","1","0","0","0","4","5154065","0","0","0","515406527"
"28","0","0","vo_abd_0410","0","0","2","5154065","vo_abd","0","0","515406528"
"29","0","0","0","0","8","1","5154065","0","0.2","70","515406529"
"30","0.7","1","0","0","0","4","5154065","0","0","0","515406530"
"31","0","0","0","70","8","1","5154065","0","1.5","350","515406531"
"32","2.5","1","0","0","0","4","5154065","0","0","0","515406532"
"33","0","0","vo_abd_0411","0","0","2","5154065","vo_abd","0","0","515406533"
"34","0","0","0","0","9","1","5154065","0","0.2","75","515406534"
"35","1.08","1","0","0","0","4","5154065","0","0","0","515406535"
"36","0","0","0","75","9","1","5154065","0","0.3","340","515406536"
"37","0.9","1","0","0","0","4","5154065","0","0","0","515406537"
"38","0","0","0","0","10","1","5154065","0","1.5","200","515406538"
