ecb4a8f2367ab910c27dfce8ce822cbfac9efd05f5ba66e377a61a3a85907311,03f4999b5ddae110e2c1de276f32284acc3b7cc9c9e1ce7a8a9b16c3ef7a9316,4a1e6f75d2f166ab791ed1d1dc48fa55db542afb9e62c57ea6fcdf62541f8360,2d71e5b3cc5eef69cfcdf7085f555e671ca53619e4b56253f8128eb10953412d,4f7eff93512e75ab341f2d9fad577c99c7fef630fcc91e62c89bc399e6720ac2
"2","72","100308","1000","90008"
"2","73","100309","1","41000"
"2","74","100309","10","25001"
"12","75","100310","1000000","94002"
"2","76","100310","400","20004"
"2","77","100311","1500","90008"
"8","78","100312","40","91002"
"2","79","100312","9","25001"
"12","80","100313","1000000","94002"
"2","81","100313","400","20004"
"2","82","100314","1500","90008"
"2","83","100315","1","41000"
"12","84","100316","1000000","94002"
"2","85","100316","500","20004"
"8","86","100317","40","91002"
"2","87","100317","1500","90008"
"12","88","100318","2000000","94002"
"2","89","100318","2000","90008"
"12","90","100401","3000000","94002"
"2","91","100401","300","20004"
"2","92","100402","1000","90008"
"2","93","100403","12","25001"
"12","94","100404","1000000","94002"
"2","95","100404","300","20004"
"2","96","100405","1000","90008"
"2","97","100406","10","25001"
"8","98","100407","40","91002"
"12","99","100407","1000000","94002"
"2","100","100407","300","20004"
"2","101","100408","1000","90008"
"2","102","100409","1","41000"
"2","103","100409","10","25001"
"12","104","100410","1000000","94002"
"2","105","100410","400","20004"
"2","106","100411","1500","90008"
"8","107","100412","40","91002"
"2","108","100412","9","25001"
"12","109","100413","1000000","94002"
"2","110","100413","400","20004"
"2","111","100414","1500","90008"
"2","112","100415","1","41000"
"12","113","100416","1000000","94002"
"2","114","100416","500","20004"
"8","115","100417","40","91002"
"2","116","100417","1500","90008"
"12","117","100418","2000000","94002"
"2","118","100418","2000","90008"
"12","119","100501","3000000","94002"
"2","120","100501","300","20004"
"2","121","100502","1000","90008"
"2","122","100503","12","25001"
"12","123","100504","1000000","94002"
"2","124","100504","300","20004"
"2","125","100505","1000","90008"
"2","126","100506","10","25001"
"8","127","100507","40","91002"
"12","128","100507","1000000","94002"
"2","129","100507","300","20004"
"2","130","100508","1000","90008"
"2","131","100509","1","41000"
"2","132","100509","10","25001"
"12","133","100510","1000000","94002"
"2","134","100510","400","20004"
"2","135","100511","1500","90008"
"8","136","100512","40","91002"
"2","137","100512","9","25001"
"12","138","100513","1000000","94002"
"2","139","100513","400","20004"
"2","140","100514","1500","90008"
"2","141","100515","1","41000"
"12","142","100516","1000000","94002"
"2","143","100516","500","20004"
"8","144","100517","40","91002"
"2","145","100517","1500","90008"
"12","146","100518","2000000","94002"
"2","147","100518","2000","90008"
"12","148","100601","3000000","94002"
"2","149","100601","300","20004"
"2","150","100602","1000","90008"
"2","151","100603","12","25001"
"12","152","100604","1000000","94002"
"2","153","100604","300","20004"
"2","154","100605","1000","90008"
"2","155","100606","10","25001"
"8","156","100607","40","91002"
"12","157","100607","1000000","94002"
"2","158","100607","300","20004"
"2","159","100608","1000","90008"
"2","160","100609","1","41000"
"2","161","100609","10","25001"
"12","162","100610","1000000","94002"
"2","163","100610","400","20004"
"2","164","100611","1500","90008"
"8","165","100612","40","91002"
"2","166","100612","9","25001"
"12","167","100613","1000000","94002"
"2","168","100613","400","20004"
"2","169","100614","1500","90008"
"2","170","100615","1","41000"
"12","171","100616","1000000","94002"
"2","172","100616","500","20004"
"8","173","100617","40","91002"
"2","174","100617","1500","90008"
"12","175","100618","2000000","94002"
"2","176","100618","2000","90008"
"12","177","100701","3000000","94002"
"2","178","100701","300","20004"
"2","179","100702","1000","90008"
"2","180","100703","12","25001"
"12","181","100704","1000000","94002"
"2","182","100704","300","20004"
"2","183","100705","1000","90008"
"2","184","100706","10","25001"
"8","185","100707","40","91002"
"12","186","100707","1000000","94002"
"2","187","100707","300","20004"
"2","188","100708","1000","90008"
"2","189","100709","1","41000"
"2","190","100709","10","25001"
"12","191","100710","1000000","94002"
"2","192","100710","400","20004"
"2","193","100711","1500","90008"
"8","194","100712","40","91002"
"2","195","100712","9","25001"
"12","196","100713","1000000","94002"
"2","197","100713","400","20004"
"2","198","100714","1500","90008"
"2","199","100715","1","41000"
"12","200","100716","1000000","94002"
"2","201","100716","500","20004"
"8","202","100717","40","91002"
"2","203","100717","1500","90008"
"12","204","100718","2000000","94002"
"2","205","100718","2000","90008"
"12","206","100801","3000000","94002"
"2","207","100801","300","20004"
"2","208","100802","1000","90008"
"2","209","100803","12","25001"
"12","210","100804","1000000","94002"
"2","211","100804","300","20004"
"2","212","100805","1000","90008"
"2","213","100806","10","25001"
"8","214","100807","40","91002"
"12","215","100807","1000000","94002"
"2","216","100807","300","20004"
"2","217","100808","1000","90008"
"2","218","100809","1","41000"
"2","219","100809","10","25001"
"12","220","100810","1000000","94002"
"2","221","100810","400","20004"
"2","222","100811","1500","90008"
"8","223","100812","40","91002"
"2","224","100812","9","25001"
"12","225","100813","1000000","94002"
"2","226","100813","400","20004"
"2","227","100814","1500","90008"
"2","228","100815","1","41000"
"12","229","100816","1000000","94002"
"2","230","100816","500","20004"
"8","231","100817","40","91002"
"2","232","100817","1500","90008"
"12","233","100818","2000000","94002"
"2","234","100818","2000","90008"
"12","235","100901","3000000","94002"
"2","236","100901","300","20004"
"2","237","100902","1000","90008"
"2","238","100902","150","23003"
"2","239","100903","12","25001"
"12","240","100904","1000000","94002"
"2","241","100904","300","20004"
"2","242","100905","1000","90008"
"2","243","100905","150","23003"
"2","244","100906","10","25001"
"8","245","100907","40","91002"
"12","246","100907","1000000","94002"
"2","247","100907","300","20004"
"2","248","100908","1000","90008"
"2","249","100908","200","23003"
"2","250","100909","1","41000"
"2","251","100909","10","25001"
"12","252","100910","1000000","94002"
"2","253","100910","400","20004"
"2","254","100911","1500","90008"
"8","255","100912","40","91002"
"2","256","100912","9","25001"
"12","257","100913","1000000","94002"
"2","258","100913","400","20004"
"2","259","100914","1500","90008"
"2","260","100915","1","41000"
"12","261","100916","1000000","94002"
"2","262","100916","500","20004"
"8","263","100917","40","91002"
"2","264","100917","1500","90008"
"12","265","100918","2000000","94002"
"2","266","100918","2000","90008"
