d36c2847b75d2da6fd38231aaa9e927596aad3b572f9b29d0b1d27d1a29679f1,d483ed8795c4d48715f567cdeeecadb0ca4d4257b94c73a98a84a58effba32d3,df1c906a2ea34ea3f00e696ec6d04704c6377f781a55226e13f26cd4ae4404e8,3594e76c71b39064bf69781e1875d3def9c60133db5aae88f28a156389b8df56,75a4ac33c657ed44f0548b08d9dbf00f95317d90b079e0705a2754701e873239,469315bf7136d3d70c77c6660460dc99e19986d392e8a41cc7d9505c0f6e2d99,3b86f48cd1b0a3d5a5a84d1f47bc1cf98afe0296ff3807b3ad22eca6b6ef007f,b9a4c2a0d3b9093922aec821c74a9efaaa04063fa8b6357a34703935bd7adeac,5d8085c16f4426925c6dcd38b28d6669f156415503301353f78ec584c8d60a6a,a89109c4de10255901bd3a2a564aab8b113d83dc32708e8804f18032a49f5bae,5ebc2db31e05511c0868850f49222199e1ea708d3635d7a2d266408958985740
"1009801025","","0","91","","","","","","1009801",""
"1009801026","","122911","3","","1","","lsv_idle_normal_joyR","","1009801","0.2"
"1009801027","","122711","3","","1","","lsv_talk_normal","","1009801","0.2"
"1009801028","","vo_lsv","21","0","0","","vo_lsv_0122","","1009801",""
"1009801029","1","122711","11","1","10","0","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","0","1009801","0"
"1009801030","","0","91","","","","","","1009801",""
"1009801031","","122711","3","","1","","lsv_idle_normal","","1009801","0.2"
"1009801032","","122911","3","","1","","lsv_idle_normal","","1009801","0.2"
"1009801033","1","122811","3","lsv_talk_cool_loop","0","","lsv_talk_cool","0.2","1009801","0"
"1009801034","","vo_lsv","21","0","0","","vo_lsv_0123","","1009801",""
"1009801035","1","122811","11","1","10","0","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","0","1009801","0"
"1009801036","","0","91","","","","","","1009801",""
"1009801037","","122811","3","","1","","lsv_talk_bitter","","1009801","0.2"
"1009801038","","vo_lsv","21","0","0","","vo_lsv_0124","","1009801",""
"1009801039","1","122811","11","1","10","0","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","0","1009801","0"
"1009801040","","0","91","","","","","","1009801",""
"1009801041","","122811","3","","1","","lsv_idle_joy","","1009801","0.2"
"1009801042","","122711","3","","1","","lsv_talk_anger2","","1009801","0.2"
"1009801043","","vo_lsv","21","0","0","","vo_lsv_0125","","1009801",""
"1009801044","1","122711","11","1","10","0","寫、寫得隨興一點……！\n這我做不到。","0","1009801","0"
"1009801045","","0","91","","","","","","1009801",""
"1009801046","","122711","3","","1","","lsv_idle_anger2","","1009801","0.2"
"1009801047","","122911","3","","1","","lsv_talk_normal","","1009801","0.2"
"1009801048","","vo_lsv","21","0","0","","vo_lsv_0126","","1009801",""
"1009801049","1","122911","11","1","10","0","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","0","1009801","0"
"1009801050","","0","91","","","","","","1009801",""
"1009801051","","122911","3","","1","","lsv_idle_normal_joyR","","1009801","0.2"
"1009801052","1","122711","3","lsv_talk_guts2_anger_loop","0","","lsv_talk_guts2_anger","0.2","1009801","0"
"1009801053","","vo_lsv","21","0","0","","vo_lsv_0127","","1009801",""
"1009801054","1","122711","11","1","10","0","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","0","1009801","0"
"1009801055","","0","91","","","","","","1009801",""
"1009801056","","122711","3","","1","","lsv_talk_normal_worry","","1009801","0.2"
"1009801057","","vo_lsv","21","0","0","","vo_lsv_0128","","1009801",""
"1009801058","1","122711","11","1","10","0","因為如果不曉得是什麼生物，\n養起來會很辛苦……\n可別忘了這點喔？","0","1009801","0"
"1009801059","","0","91","","","","","","1009801",""
"1009801060","","122711","3","","1","","lsv_idle_normal","","1009801","0.2"
"1009801061","1","122811","3","lsv_idle_normal","0","","lsv_hello","0.2","1009801","0"
"1009801062","1","122911","3","lsv_idle_normal_joyR","0","","lsv_hello","0.2","1009801","0"
"1009801063","","vo_lsv","21","0","0","","vo_lsv_0129","","1009801",""
"1009801064","1","122811","11","1","10","0","好──！","0","1009801","0"
"1009801065","1","122911","11","1","10","0","好──！","0","1009801","0"
"1009801066","","0","91","","","","","","1009801",""
"1009801067","","122711","3","","1","","lsv_idle_normal","","1009801","0.2"
"1009801068","","122911","3","","1","","lsv_talk_surprise","","1009801","0.2"
"1009801069","","vo_lsv","21","0","0","","vo_lsv_0130","","1009801",""
"1009801070","1","122911","11","1","10","0","小繆好不可思議喔～\n第一次見到時\n真的嚇了一跳！","0","1009801","0"
"1009801071","","0","91","","","","","","1009801",""
"1009801072","","122911","3","","1","","lsv_idle_normal_suprise1","","1009801","0.2"
"1009801073","1","122811","3","lsv_talk_cool_loop","0","","lsv_talk_cool","0.2","1009801","0"
"1009801074","","vo_lsv","21","0","0","","vo_lsv_0131","","1009801",""
"1009801075","1","122811","11","1","10","0","畢竟蛋也跟石頭很像嘛！\n吶，哥哥覺得\n牠是什麼生物？","0","1009801","0"
"1009801076","","0","91","","","","","","1009801",""
"1009801077","1","122711","3","lsv_look_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801078","1","122811","3","lsv_look_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801079","1","122911","3","lsv_look_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801080","","0.1","93","","","","0","","1009801",""
"1009801081","2","122711","2","0.33","-235","","-452","0.2","1009801",""
"1009801082","2","122811","2","0.33","-220","","420","0.2","1009801",""
"1009801083","2","122911","2","0.33","-250","","545","0.2","1009801",""
"1009801084","","0","22","","1","","0","","1009801","0.2"
"1009801085","","怪獸的寶寶。","103","","0","","1009801088","","1009801",""
"1009801086","","大隻的蛞蝓。","103","","0","","1009801102","","1009801",""
"1009801087","","有毒的生物。","103","","0","","1009801115","","1009801",""
"1009801088","1","122711","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801089","1","122811","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801090","1","122911","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801091","","0.1","93","","","","0","","1009801",""
"1009801092","2","122711","2","0.33","-235","","-200","0.2","1009801",""
"1009801093","2","122811","2","0.33","-220","","100","0.2","1009801",""
"1009801094","2","122911","2","0.33","-250","","270","0.2","1009801",""
"1009801095","","0.7","93","","","","0","","1009801",""
"1009801096","","122911","3","","1","","lsv_talk_wish_joy","","1009801","0.2"
"1009801097","","vo_lsv","21","0","0","","vo_lsv_0132","","1009801",""
"1009801098","1","122911","11","1","10","0","怪獸先生？\n那一定會長很大吧～♪\n會長得比城堡還要大嗎？","0","1009801","0"
"1009801099","","0","91","","","","","","1009801",""
"1009801100","","122911","3","","1","","lsv_idle_normal","","1009801","0.2"
"1009801101","","1009801129","101","","","","","","1009801",""
"1009801102","1","122711","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801103","1","122811","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801104","1","122911","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801105","","0.1","93","","","","0","","1009801",""
"1009801106","2","122711","2","0.33","-235","","-200","0.2","1009801",""
"1009801107","2","122811","2","0.33","-220","","100","0.2","1009801",""
"1009801108","2","122911","2","0.33","-250","","270","0.2","1009801",""
"1009801109","","0.7","93","","","","0","","1009801",""
"1009801110","","122811","3","","1","","lsv_talk_bitter_sad","","1009801","0.2"
"1009801111","","vo_lsv","21","0","0","","vo_lsv_0133","","1009801",""
"1009801112","1","122811","11","1","10","0","咦──蛞蝓～？\n感覺不怎麼帥氣……\n那還是不要讓牠接近鹽好了？","0","1009801","0"
"1009801113","","0","91","","","","","","1009801",""
"1009801114","","1009801129","101","","","","","","1009801",""
"1009801115","1","122711","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801116","1","122811","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801117","1","122911","3","lsv_idle_normal","0","","lsv_choice","0.2","1009801","0"
"1009801118","","0.1","93","","","","0","","1009801",""
"1009801119","2","122711","2","0.33","-235","","-200","0.2","1009801",""
"1009801120","2","122811","2","0.33","-220","","100","0.2","1009801",""
"1009801121","2","122911","2","0.33","-250","","270","0.2","1009801",""
"1009801122","","0.7","93","","","","0","","1009801",""
"1009801123","","122711","3","","1","","lsv_talk_normal_worry","","1009801","0.2"
"1009801124","","vo_lsv","21","0","0","","vo_lsv_0134","","1009801",""
"1009801125","1","122711","11","1","10","0","大家都一起摸過牠了，\n這不可能啦。\n更何況……牠那麼可愛。","0","1009801","0"
"1009801126","","0","91","","","","","","1009801",""
"1009801127","","122711","3","","1","","lsv_idle_normal","","1009801","0.2"
"1009801128","","1009801129","101","","","","","","1009801",""
"1009801129","","0","91","","","","","","1009801",""
"1009801130","1","122811","3","lsv_talk_arm_crossed_loop_joy","0","","lsv_talk_arm_crossed_joy","0.2","1009801","0"
"1009801131","","vo_lsv","21","0","0","","vo_lsv_0135","","1009801",""
"1009801132","1","122811","11","1","10","0","哎，不管怎麼樣，\n養養看就知道啦！\n那麼，一起加油吧──！","0","1009801","0"
"1009801133","","0","91","","","","","","1009801",""
"1009801134","1","122811","3","lsv_idle_normal_joy","0","","lsv_handsup_joy","0.2","1009801","0"
"1009801135","1","122911","3","lsv_idle_normal_joy","0","","lsv_handsup_joy","0.2","1009801","0"
"1009801136","1","122711","3","lsv_idle_normal_joy","0","","lsv_handsup_joy2","0.2","1009801","0"
"1009801137","","vo_lsv","21","0","0","","vo_lsv_0136","","1009801",""
"1009801138","1","122811","11","1","10","0","喔──！","0","1009801","0"
"1009801139","1","122911","11","1","10","0","喔──！","0","1009801","0"
"1009801140","1","122711","11","1","10","0","喔──！","0","1009801","0"
"1009801141","","0","91","","","","","","1009801",""
"1009801142","","0","22","","","","0.2","","1009801",""
"1009801143","","0.2","93","","","","","","1009801",""
"1009801144","","","102","","","","","","1009801",""
"1009801145","0","122911","12","0","1","0","7","0","1009801","0"
"1009801146","","122911","3","","1","","lsv_talk_joy3","","1009801","0.2"
"1009801147","","3","93","","","","0","","1009801",""
"1009801148","","122911","3","","1","","lsv_idle_normal_joyR","","1009801","0.2"
"1009801149","0","122811","12","0","1","0","6","0","1009801","0"
"1009801150","1","122811","3","lsv_talk_guts1_loop","0","","lsv_talk_guts1","0.2","1009801","0"
"1009801151","","3","93","","","","0","","1009801",""
"1009801152","","122811","3","","1","","lsv_idle_joy","","1009801","0.2"
"1009801153","0","122711","12","0","1","0","10","0","1009801","0"
"1009801154","","122711","3","","1","","lsv_talk_joy1_normal","","1009801","0.2"
"1009801155","","3","93","","","","0","","1009801",""
"1009801156","","122711","3","","1","","lsv_idle_normal_joy","","1009801","0.2"
"1009801157","","1009801145","101","","","","","","1009801",""
"1009801158","0","333","6","1","1","","1","0","1009801","1"
"1009801159","","122711","4","","","","1","","1009801",""
"1009801160","","122711","3","","1","","lsv_run","","1009801","0.2"
"1009801161","0","122711","2","0.8","-235","","-750","","1009801",""
"1009801162","","122811","4","","","","0","","1009801",""
"1009801163","","122811","3","","1","","lsv_run","","1009801","0.2"
"1009801164","0","122811","2","0.8","-220","","750","","1009801",""
"1009801165","","122911","4","","","","0","","1009801",""
"1009801166","","122911","3","","1","","lsv_run","","1009801","0.2"
"1009801167","0","122911","2","0.8","-250","","850","","1009801",""
"1009801168","","0.6","93","","","","","","1009801",""
"1009801169","0","122711","6","1","1","","1","0","1009801","0.2"
"1009801170","0","122811","6","1","1","","1","0","1009801","0.2"
"1009801171","0","122911","6","1","1","","1","0","1009801","0.2"
"1009801172","","0","91","","","","","","1009801",""
"1009802001","-235","1","1","-650","102","lsv_idle_normal","122911","0","1009802","1.95"
"1009802002","-220","1","1","650","100","lsv_idle_normal","122811","1","1009802","1.95"
"1009802003","-250","1","1","750","101","lsv_idle_normal","122711","1","1009802","1.95"
"1009802004","0","1","5","0","0","lsv_white_loop","333","0","1009802","1"
"1009802005","0","333","6","1","1","","1","0","1009802","0"
"1009802006","0","122911","6","1","1","","1","0","1009802","0"
"1009802007","0","122811","6","1","1","","1","0","1009802","0"
"1009802008","0","122711","6","1","1","","1","0","1009802","0"
"1009802009","","1","93","","","","0","","1009802",""
"1009802010","0.4","333","6","1","1","","1","0","1009802","0.8"
"1009802011","","122911","3","","1","","lsv_walk","","1009802","0.2"
"1009802012","0","122911","2","2","-235","","-200","","1009802",""
"1009802013","1","122911","6","1","1","","1","0","1009802","0.4"
"1009802014","","122811","3","","1","","lsv_walk","","1009802","0.2"
"1009802015","0","122811","2","2","-220","","100","","1009802",""
"1009802016","1","122811","6","1","1","","1","0","1009802","0.4"
"1009802017","","122711","3","","1","","lsv_walk","","1009802","0.2"
"1009802018","0","122711","2","2","-250","","270","","1009802",""
"1009802019","1","122711","6","1","1","","1","0","1009802","0.4"
"1009802020","","2","93","","","","0","","1009802",""
"1009802021","","122911","3","","1","","lsv_idle_normal","","1009802","0.2"
"1009802022","","122811","3","","1","","lsv_idle_normal","","1009802","0.2"
"1009802023","","122711","3","","1","","lsv_idle_normal","","1009802","0.2"
"1009802024","","0.6","93","","","","0","","1009802",""
"1009802025","","122811","3","","1","","lsv_talk_sad_dead","","1009802","0.2"
"1009802026","","vo_lsv","21","0","0","","vo_lsv_0221","","1009802",""
"1009802027","1","122811","11","1","10","0","雖然又去了一次海邊，\n還是找不到\n小繆的家人耶。","0","1009802","0"
"1009802028","","0","91","","","","","","1009802",""
"1009802029","","122811","3","","1","","lsv_idle_sad_talk1","","1009802","0.2"
"1009802030","","122711","3","","1","","lsv_talk_thinking_sadR","","1009802","0.2"
"1009802031","","vo_lsv","21","0","0","","vo_lsv_0222","","1009802",""
"1009802032","1","122711","11","1","10","0","嗯，不僅如此，\n搞不懂的事\n又更多了呢。","0","1009802","0"
"1009802033","","0","91","","","","","","1009802",""
"1009802034","","122711","3","","1","","lsv_idle_normal_suprise1","","1009802","0.2"
"1009802035","","122811","3","","1","","lsv_idle_normal","","1009802","0.2"
"1009802036","","122911","3","","1","","lsv_talk_normal","","1009802","0.2"
"1009802037","","vo_lsv","21","0","0","","vo_lsv_0223","","1009802",""
"1009802038","1","122911","11","1","10","0","但知道小繆\n會吃什麼了呢～\n跟我們吃一樣的就行了♪","0","1009802","0"
"1009802039","","0","91","","","","","","1009802",""
"1009802040","","122911","3","","1","","lsv_idle_normal_joyR","","1009802","0.2"
"1009802041","","122711","3","","1","","lsv_talk_normal","","1009802","0.2"
"1009802042","","vo_lsv","21","0","0","","vo_lsv_0224","","1009802",""
"1009802043","1","122711","11","1","10","0","啊，確實如此。\n這件事有搞清楚\n真是太好了。","0","1009802","0"
"1009802044","","0","91","","","","","","1009802",""
"1009802045","","122711","3","","1","","lsv_idle_normal","","1009802","0.2"
"1009802046","","122911","3","","1","","lsv_talk_surprise","","1009802","0.2"
"1009802047","","vo_lsv","21","0","0","","vo_lsv_0225","","1009802",""
"1009802048","1","122911","11","1","10","0","小繆會喜歡\n哪種食物呢～？\n哥哥知道嗎？","0","1009802","0"
"1009802049","","0","91","","","","","","1009802",""
"1009802050","","122911","3","","1","","lsv_idle_surprise_talkjoy","","1009802","0.2"
"1009802051","1","122911","3","lsv_look_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802052","1","122811","3","lsv_look_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802053","1","122711","3","lsv_look_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802054","","0.1","93","","","","0","","1009802",""
"1009802055","2","122911","2","0.33","-235","","-452","0.2","1009802",""
"1009802056","2","122811","2","0.33","-220","","420","0.2","1009802",""
"1009802057","2","122711","2","0.33","-250","","545","0.2","1009802",""
"1009802058","","0","22","","1","","0","","1009802","0.2"
"1009802059","","蛋糕。","103","","0","","1009802062","","1009802",""
"1009802060","","蘋果。","103","","0","","1009802086","","1009802",""
"1009802061","","麵包。","103","","0","","1009802109","","1009802",""
"1009802062","1","122911","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802063","1","122811","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802064","1","122711","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802065","","0.1","93","","","","0","","1009802",""
"1009802066","2","122911","2","0.33","-235","","-200","0.2","1009802",""
"1009802067","2","122811","2","0.33","-220","","100","0.2","1009802",""
"1009802068","2","122711","2","0.33","-250","","270","0.2","1009802",""
"1009802069","","0.7","93","","","","0","","1009802",""
"1009802070","","122911","3","","1","","lsv_talk_joy3","","1009802","0.2"
"1009802071","","vo_lsv","21","0","0","","vo_lsv_0226","","1009802",""
"1009802072","1","122911","11","1","10","0","蛋糕很好吃嘛～\n美美也最～喜歡了♪","0","1009802","0"
"1009802073","","0","91","","","","","","1009802",""
"1009802074","","122911","3","","1","","lsv_idle_normal_joy","","1009802","0.2"
"1009802075","","122811","3","","1","","lsv_talk_wish_joy","","1009802","0.2"
"1009802076","","vo_lsv","21","0","0","","vo_lsv_0227","","1009802",""
"1009802077","1","122811","11","1","10","0","蛋糕……既然如此，\n也來調查牠喜歡哪種蛋糕吧！\n這樣一定更好！","0","1009802","0"
"1009802078","","0","91","","","","","","1009802",""
"1009802079","","122811","3","","1","","lsv_idle_wish_joy","","1009802","0.2"
"1009802080","1","122711","3","lsv_talk_doya_shy_loop","0","","lsv_talk_doya_shy","0.2","1009802","0"
"1009802081","","vo_lsv","21","0","0","","vo_lsv_0228","","1009802",""
"1009802082","1","122711","11","1","10","0","說是這麼說，其實只是\n妳自己想吃各種蛋糕吧……\n不過我也贊成♪","0","1009802","0"
"1009802083","","0","91","","","","","","1009802",""
"1009802084","","122711","3","","1","","lsv_idle_doya","","1009802","0.2"
"1009802085","","1009802133","101","","","","","","1009802",""
"1009802086","1","122911","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802087","1","122811","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802088","1","122711","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802089","","0.1","93","","","","0","","1009802",""
"1009802090","2","122911","2","0.33","-235","","-200","0.2","1009802",""
"1009802091","2","122811","2","0.33","-220","","100","0.2","1009802",""
"1009802092","2","122711","2","0.33","-250","","270","0.2","1009802",""
"1009802093","","0.7","93","","","","0","","1009802",""
"1009802094","","122711","3","","1","","lsv_talk_thinking_joyR","","1009802","0.2"
"1009802095","","vo_lsv","21","0","0","","vo_lsv_0229","","1009802",""
"1009802096","1","122711","11","1","10","0","蘋果……水果啊。\n很健康，我覺得很不錯。","0","1009802","0"
"1009802097","","0","91","","","","","","1009802",""
"1009802098","","122711","3","","1","","lsv_idle_normal_joy","","1009802","0.2"
"1009802099","1","122911","3","lsv_talk_guts2_joy_loop","0","","lsv_talk_guts2_joy","0.2","1009802","0"
"1009802100","","vo_lsv","21","0","0","","vo_lsv_0230","","1009802",""
"1009802101","1","122911","11","1","10","0","美美喜歡切成\n兔子形狀的蘋果～♪","0","1009802","0"
"1009802102","","0","91","","","","","","1009802",""
"1009802103","","122911","3","","1","","lsv_idle_normal_joyR","","1009802","0.2"
"1009802104","1","122811","3","lsv_talk_guts2_loop","0","","lsv_talk_guts2","0.2","1009802","0"
"1009802105","","vo_lsv","21","0","0","","vo_lsv_0231","","1009802",""
"1009802106","1","122811","11","1","10","0","我們也切給牠吃吧！\n雖然好像很難，\n但總會有辦法的！","0","1009802","0"
"1009802107","","0","91","","","","","","1009802",""
"1009802108","","1009802133","101","","","","","","1009802",""
"1009802109","1","122911","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802110","1","122811","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802111","1","122711","3","lsv_idle_normal","0","","lsv_choice","0.2","1009802","0"
"1009802112","","0.1","93","","","","0","","1009802",""
"1009802113","2","122911","2","0.33","-235","","-200","0.2","1009802",""
"1009802114","2","122811","2","0.33","-220","","100","0.2","1009802",""
"1009802115","2","122711","2","0.33","-250","","270","0.2","1009802",""
"1009802116","","0.7","93","","","","0","","1009802",""
"1009802117","","122811","3","","1","","lsv_talk_normal_worry","","1009802","0.2"
"1009802118","","vo_lsv","21","0","0","","vo_lsv_0232","","1009802",""
"1009802119","1","122811","11","1","10","0","麵包啊……感覺好普通喔──\n我們也每天都在吃。","0","1009802","0"
"1009802120","","0","91","","","","","","1009802",""
"1009802121","","122811","3","","1","","lsv_idle_normal_suprise1","","1009802","0.2"
"1009802122","","122711","3","","1","","lsv_talk_normal","","1009802","0.2"
"1009802123","","vo_lsv","21","0","0","","vo_lsv_0233","","1009802",""
"1009802124","1","122711","11","1","10","0","不過，如果真的討厭\n是沒辦法每天吃的。\n而且也能換換口味。","0","1009802","0"
"1009802125","","0","91","","","","","","1009802",""
"1009802126","","122711","3","","1","","lsv_idle_normal","","1009802","0.2"
"1009802127","","122911","3","","1","","lsv_talk_wish_joy","","1009802","0.2"
"1009802128","","vo_lsv","21","0","0","","vo_lsv_0234","","1009802",""
"1009802129","1","122911","11","1","10","0","如果是三明治，\n我們或許也做得出來！\n來做做看吧～♪","0","1009802","0"
"1009802130","","0","91","","","","","","1009802",""
"1009802131","","122911","3","","1","","lsv_idle_wish_joyR","","1009802","0.2"
"1009802132","","1009802133","101","","","","","","1009802",""
"1009802133","","0","91","","","","","","1009802",""
"1009802134","","","102","","","","","","1009802",""
"1009802135","","0","22","","","","0.2","","1009802",""
"1009802136","","0.2","93","","","","","","1009802",""
"1009802137","0","122811","12","0","1","0","11","0","1009802","0"
"1009802138","1","122811","3","lsv_surprise3_kira_loop","0","","lsv_surprise3_kira","0.2","1009802","0.2"
"1009802139","","3","93","","","","0","","1009802",""
"1009802140","","122811","3","","1","","lsv_idle_normal_joy","","1009802","0.2"
"1009802141","0","122711","12","0","1","0","10","0","1009802","0"
"1009802142","","122711","3","","1","","lsv_talk_joy3_dere","","1009802","0.2"
"1009802143","","3","93","","","","0","","1009802",""
"1009802144","","122711","3","","1","","lsv_idle_normal_joy","","1009802","0.2"
"1009802145","0","122911","12","0","1","0","7","0","1009802","0"
"1009802146","","122911","3","","1","","lsv_talk_memory","","1009802","0.2"
"1009802147","","3","93","","","","0","","1009802",""
"1009802148","","122911","3","","1","","lsv_idle_normal_joyR","","1009802","0.2"
"1009802149","","1009802137","101","","","","","","1009802",""
"1009802150","0","333","6","1","1","","1","0","1009802","1"
"1009802151","","122911","4","","","","1","","1009802",""
"1009802152","","122911","3","","1","","lsv_run","","1009802","0.2"
"1009802153","0","122911","2","0.8","-235","","-750","","1009802",""
"1009802154","","122811","4","","","","0","","1009802",""
"1009802155","","122811","3","","1","","lsv_run","","1009802","0.2"
"1009802156","0","122811","2","0.8","-220","","750","","1009802",""
"1009802157","","122711","4","","","","0","","1009802",""
"1009802158","","122711","3","","1","","lsv_run","","1009802","0.2"
"1009802159","0","122711","2","0.8","-250","","850","","1009802",""
"1009802160","","0.6","93","","","","","","1009802",""
"1009802161","0","122911","6","1","1","","1","0","1009802","0.2"
"1009802162","0","122811","6","1","1","","1","0","1009802","0.2"
"1009802163","0","122711","6","1","1","","1","0","1009802","0.2"
"1009802164","","0","91","","","","","","1009802",""
"1009803001","-220","1","1","-700","101","lsv_idle_normal","100411","0","1009803","1.95"
"1009803002","-235","1","1","-550","100","lsv_idle_normal","103611","0","1009803","1.95"
"1009803003","-250","1","1","-800","102","lsv_idle_normal","102011","0","1009803","1.95"
"1009803004","0","1","5","0","0","lsv_white_loop","333","0","1009803","1"
"1009803005","0","333","6","1","1","","1","0","1009803","0"
"1009803006","1.3","3","31","110","-630","","13","","1009803","0"
"1009803007","0","100411","6","1","1","","1","0","1009803","0"
"1009803008","0","103611","6","1","1","","1","0","1009803","0"
"1009803009","0","102011","6","1","1","","1","0","1009803","0"
"1009803010","","1","93","","","","0","","1009803",""
"1009803011","0.4","333","6","1","1","","1","0","1009803","0.8"
"1009803012","","100411","3","","1","","lsv_walk_glad","","1009803","0.2"
"1009803013","0","100411","2","2","-220","","-100","","1009803",""
"1009803014","1","100411","6","1","1","","1","0","1009803","0.4"
"1009803015","","103611","3","","1","","lsv_walk_glad2","","1009803","0.2"
"1009803016","0","103611","2","2.2","-235","","100","","1009803",""
"1009803017","1","103611","6","1","1","","1","0","1009803","0.4"
"1009803018","","102011","3","","1","","lsv_walk_glad","","1009803","0.2"
"1009803019","0","102011","2","2","-250","","-270","","1009803",""
"1009803020","1","102011","6","1","1","","1","0","1009803","0.4"
"1009803021","","13","32","","","","1","","1009803",""
"1009803022","0","13","33","2","110","","-180","","1009803",""
"1009803023","","2","93","","","","","","1009803",""
"1009803024","","13","32","","","","0","","1009803",""
"1009803025","","100411","3","","1","","lsv_idle_normal","","1009803","0.2"
"1009803026","","102011","3","","1","","lsv_idle_normal","","1009803","0.2"
"1009803027","","0.2","93","","","","","","1009803",""
"1009803028","","103611","4","","","","1","","1009803",""
"1009803029","","103611","3","","1","","lsv_idle_normal","","1009803","0.2"
"1009803030","","0.5","93","","","","","","1009803",""
"1009803031","","100411","12","","0.5","","10","0","1009803","0"
"1009803032","1","100411","3","lsv_idle_normal","0","","lsv_smile2","0.2","1009803","0"
