e6c5cc380e4e7c70adfedf86f56beecd82d40bc2cb0b7c1ab430c5d06a8b439c,29f9286c51d3ee8181b3c9a2cf57aab0d8a27005bfc01be7097b945e8bff2592,7f51e93c9840e757637ff1b5816884b2b581850e360368ae21bf36eef2e6c308,b7b10509a7ee7e13d5e5681c18ca166f3a0df45a8a92fc5c36ebf515e1a4d6ac,1b2259428ea35f005193b109df0eb5f926f5176b9fe53d6103bbb850137d26ea,7d8b88de8317cd1dc6a2716dfc3e813ad5704fde9ae48646c3886216d534dd2e
"208","99001111","30","91002","8","0"
"209","99001112","1","11001112","15","1001"
"210","99001112","30","91002","8","0"
"211","99001113","1","11001113","15","1002"
"212","99001113","30","91002","8","0"
"213","99001114","1","11001114","15","1003"
"214","99001114","30","91002","8","0"
"215","99001115","1","11001115","15","1001"
"216","99001115","30","91002","8","0"
"217","99001116","1","11001116","15","1001"
"218","99001116","30","91002","8","0"
"219","99001117","1","11001117","15","1002"
"220","99001117","30","91002","8","0"
"221","99001118","1","11001118","15","1003"
"222","99001118","30","91002","8","0"
"223","99001119","1","11001119","15","1001"
"224","99001119","30","91002","8","0"
"225","99001120","1","11001120","15","1001"
"226","99001120","30","91002","8","0"
"227","99001121","1","11001121","15","1002"
"228","99001121","30","91002","8","0"
"229","99001122","1","11001122","15","1003"
"230","99001122","30","91002","8","0"
"231","99001123","1","11001123","15","1001"
"232","99001123","30","91002","8","0"
"233","99001124","1","11001124","15","1001"
"234","99001124","30","91002","8","0"
"235","99001125","1","11001125","15","1002"
"236","99001125","30","91002","8","0"
"237","99001126","1","11001126","15","1003"
"238","99001126","30","91002","8","0"
"239","99001127","1","11001127","15","1001"
"240","99001127","30","91002","8","0"
"241","99001128","1","11001128","15","1001"
"242","99001128","30","91002","8","0"
"243","99001129","1","11001129","15","1002"
"244","99001129","30","91002","8","0"
"245","99001130","1","11001130","15","1003"
"246","99001130","30","91002","8","0"
"247","99001131","1","11001131","15","1003"
"248","99001132","1","11001132","15","1001"
"249","99001132","30","91002","8","0"
"250","99001133","1","11001133","15","1001"
"251","99001133","30","91002","8","0"
"252","99001134","1","11001134","15","1002"
"253","99001134","30","91002","8","0"
"254","99001135","1","11001135","15","1003"
"255","99001135","30","91002","8","0"
"256","99001136","1","11001136","15","1001"
"257","99001136","30","91002","8","0"
"258","99001137","1","11001137","15","1001"
"259","99001137","30","91002","8","0"
"260","99001138","1","11001138","15","1002"
"261","99001138","30","91002","8","0"
"262","99001139","1","11001139","15","1003"
"263","99001139","30","91002","8","0"
"264","99001140","1","11001140","15","1003"
"265","99001142","1","11001142","15","1001"
"266","99001142","30","91002","8","0"
"267","99001143","1","11001143","15","1001"
"268","99001143","30","91002","8","0"
"269","99001144","1","11001144","15","1002"
"270","99001144","30","91002","8","0"
"271","99001145","1","11001145","15","1003"
"272","99001145","30","91002","8","0"
"273","99001146","0","11001146","15","1001"
"274","99001147","0","11001147","15","1002"
"275","99001148","1","11001148","15","1001"
"276","99001148","30","91002","8","0"
"277","99001149","1","11001149","15","1001"
"278","99001149","30","91002","8","0"
"279","99001150","1","11001150","15","1002"
"280","99001150","30","91002","8","0"
"281","99001151","1","11001151","15","1003"
"282","99001151","30","91002","8","0"
"283","99001152","1","11001152","15","1001"
"284","99001152","30","91002","8","0"
"285","99001153","1","11001153","15","1001"
"286","99001153","30","91002","8","0"
"287","99001154","1","11001154","15","1002"
"288","99001154","30","91002","8","0"
"289","99001155","1","11001155","15","1003"
"290","99001155","30","91002","8","0"
"291","99001156","1","11001156","15","1001"
"292","99001156","30","91002","8","0"
"293","99001157","1","11001157","15","1001"
"294","99001157","30","91002","8","0"
"295","99001158","1","11001158","15","1002"
"296","99001158","30","91002","8","0"
"297","99001159","1","11001159","15","1003"
"298","99001159","30","91002","8","0"
"299","99001160","1","11001160","15","1001"
"300","99001160","30","91002","8","0"
"301","99001161","1","11001161","15","1001"
"302","99001161","30","91002","8","0"
"303","99001162","1","11001162","15","1002"
"304","99001162","30","91002","8","0"
"305","99001163","1","11001163","15","1003"
"306","99001163","30","91002","8","0"
"307","99001164","1","11001164","15","1002"
"308","99001165","1","11001165","15","1003"
"309","99001166","1","11001166","15","1001"
"310","99001166","30","91002","8","0"
"311","99001167","1","11001167","15","1001"
"312","99001167","30","91002","8","0"
"313","99001168","1","11001168","15","1002"
"314","99001168","30","91002","8","0"
"315","99001169","1","11001169","15","1003"
"316","99001169","30","91002","8","0"
"317","99001170","1","11001170","15","1001"
"318","99001170","30","91002","8","0"
"319","99001171","1","11001171","15","1001"
"320","99001171","30","91002","8","0"
"321","99001172","1","11001172","15","1002"
"322","99001172","30","91002","8","0"
"323","99001173","1","11001173","15","1003"
"324","99001173","30","91002","8","0"
"325","99001174","1","11001174","15","1001"
"326","99001174","30","91002","8","0"
"327","99001175","1","11001175","15","1001"
"328","99001175","30","91002","8","0"
"329","99001176","1","11001176","15","1002"
"330","99001176","30","91002","8","0"
"331","99001177","1","11001177","15","1003"
"332","99001177","30","91002","8","0"
"333","99001178","1","11001178","15","1001"
"334","99001178","30","91002","8","0"
"335","99001179","1","11001179","15","1001"
"336","99001179","30","91002","8","0"
"337","99001180","1","11001180","15","1002"
"338","99001180","30","91002","8","0"
"339","99001181","1","11001181","15","1003"
"340","99001181","30","91002","8","0"
"341","99001182","1","11001182","15","1001"
"342","99001182","30","91002","8","0"
"343","99001183","1","11001183","15","1001"
"344","99001183","30","91002","8","0"
"345","99001184","1","11001184","15","1002"
"346","99001184","30","91002","8","0"
"347","99001185","1","11001185","15","1003"
"348","99001185","30","91002","8","0"
"349","99001186","1","11001186","15","1001"
"350","99001186","30","91002","8","0"
"351","99001187","1","11001187","15","1001"
"352","99001187","30","91002","8","0"
"353","99001188","1","11001188","15","1002"
"354","99001188","30","91002","8","0"
"355","99001189","1","11001189","15","1003"
"356","99001189","30","91002","8","0"
"357","99001190","1","11001190","15","1001"
"358","99001190","30","91002","8","0"
"359","99001191","1","11001191","15","1001"
"360","99001191","30","91002","8","0"
"361","99001192","1","11001192","15","1002"
"362","99001192","30","91002","8","0"
"363","99001193","1","11001193","15","1003"
"364","99001193","30","91002","8","0"
"365","99001194","1","11001194","15","1001"
"366","99001194","30","91002","8","0"
"367","99001195","1","11001195","15","1001"
"368","99001195","30","91002","8","0"
"369","99001196","1","11001196","15","1002"
"370","99001196","30","91002","8","0"
"371","99001197","1","11001197","15","1003"
"372","99001197","30","91002","8","0"
"373","99001198","1","11001198","15","1002"
"374","99001199","1","11001199","15","1003"
"375","99001200","1","11001200","15","1001"
"376","99001200","30","91002","8","0"
"377","99001201","1","11001201","15","1001"
"378","99001201","30","91002","8","0"
"379","99001202","1","11001202","15","1002"
"380","99001202","30","91002","8","0"
"381","99001203","1","11001203","15","1003"
"382","99001203","30","91002","8","0"
"383","99001204","1","11001204","15","1003"
"384","99001205","1","11001205","15","1001"
"385","99001205","30","91002","8","0"
"386","99001206","1","11001206","15","1001"
"387","99001206","30","91002","8","0"
"388","99001207","1","11001207","15","1002"
"389","99001207","30","91002","8","0"
"390","99001208","1","11001208","15","1003"
"391","99001208","30","91002","8","0"
"392","99001209","1","11001209","15","1001"
"393","99001209","30","91002","8","0"
"394","99001210","1","11001210","15","1001"
"395","99001210","30","91002","8","0"
"396","99001211","1","11001211","15","1002"
"397","99001211","30","91002","8","0"
"398","99001212","1","11001212","15","1003"
"399","99001212","30","91002","8","0"
"400","99001213","1","11001213","15","1001"
"401","99001213","30","91002","8","0"
"402","99001214","1","11001214","15","1001"
"403","99001214","30","91002","8","0"
"404","99001215","1","11001215","15","1002"
"405","99001215","30","91002","8","0"
"406","99001216","1","11001216","15","1003"
"407","99001216","30","91002","8","0"
"408","99001217","1","11001217","15","1001"
"409","99001217","30","91002","8","0"
"410","99001218","1","11001218","15","1001"
"411","99001218","30","91002","8","0"
"412","99001219","1","11001219","15","1002"
"413","99001219","30","91002","8","0"
"414","99001220","1","11001220","15","1003"
"415","99001220","30","91002","8","0"
"416","99001221","1","11001221","15","1001"
"417","99001221","30","91002","8","0"
"418","99001222","1","11001222","15","1001"
"419","99001222","30","91002","8","0"
"420","99001223","1","11001223","15","1002"
"421","99001223","30","91002","8","0"
"422","99001224","1","11001224","15","1003"
"423","99001224","30","91002","8","0"
"424","99001225","1","11001225","15","1001"
"425","99001225","30","91002","8","0"
"426","99001226","1","11001226","15","1001"
"427","99001226","30","91002","8","0"
"428","99001227","1","11001227","15","1002"
"429","99001227","30","91002","8","0"
"430","99001228","1","11001228","15","1003"
"431","99001228","30","91002","8","0"
"432","99001229","1","11001229","15","1001"
"433","99001229","30","91002","8","0"
"434","99001230","1","11001230","15","1001"
"435","99001230","30","91002","8","0"
"436","99001231","1","11001231","15","1002"
"437","99001231","30","91002","8","0"
"438","99001232","1","11001232","15","1003"
"439","99001232","30","91002","8","0"
"440","99001233","1","11001233","15","1001"
"441","99001233","30","91002","8","0"
"442","99001234","1","11001234","15","1001"
"443","99001234","30","91002","8","0"
"444","99001235","1","11001235","15","1002"
"445","99001235","30","91002","8","0"
"446","99001236","1","11001236","15","1003"
"447","99001236","30","91002","8","0"
"448","99001237","1","11001237","15","1001"
"449","99001237","30","91002","8","0"
"450","99001238","1","11001238","15","1001"
"451","99001238","30","91002","8","0"
"452","99001239","1","11001239","15","1002"
"453","99001239","30","91002","8","0"
"454","99001240","1","11001240","15","1003"
"455","99001240","30","91002","8","0"
"456","99001241","1","11001241","15","1001"
"457","99001241","30","91002","8","0"
"458","99001242","1","11001242","15","1001"
"459","99001242","30","91002","8","0"
"460","99001243","1","11001243","15","1002"
"461","99001243","30","91002","8","0"
"462","99001244","1","11001244","15","1003"
"463","99001244","30","91002","8","0"
"464","99001245","1","11001245","15","1001"
"465","99001245","30","91002","8","0"
"466","99001246","1","11001246","15","1001"
"467","99001246","30","91002","8","0"
"468","99001247","1","11001247","15","1002"
"469","99001247","30","91002","8","0"
"470","99001248","1","11001248","15","1003"
"471","99001248","30","91002","8","0"
"472","99001249","1","11001249","15","1003"
"473","99001250","1","11001250","15","1001"
"474","99001250","30","91002","8","0"
"475","99001251","1","11001251","15","1001"
"476","99001251","30","91002","8","0"
"477","99001252","1","11001252","15","1002"
"478","99001252","30","91002","8","0"
"479","99001253","1","11001253","15","1003"
"480","99001253","30","91002","8","0"
"481","99001254","1","11001254","15","1001"
"482","99001254","30","91002","8","0"
"483","99001255","1","11001255","15","1001"
"484","99001255","30","91002","8","0"
"485","99001256","1","11001256","15","1002"
"486","99001256","30","91002","8","0"
"487","99001257","1","11001257","15","1003"
"488","99001257","30","91002","8","0"
"489","99001258","1","11001258","15","1001"
"490","99001258","30","91002","8","0"
"491","99001259","1","11001259","15","1001"
"492","99001259","30","91002","8","0"
"493","99001260","1","11001260","15","1002"
"494","99001260","30","91002","8","0"
"495","99001261","1","11001261","15","1003"
"496","99001261","30","91002","8","0"
"497","99001262","1","11001262","15","1001"
"498","99001263","1","11001263","15","1001"
"499","99001264","1","11001264","15","1001"
"500","99001265","1","11001265","15","1002"
"501","99001266","1","11001266","15","1003"
"502","99001267","1","11001267","15","1001"
"503","99001267","30","91002","8","0"
"504","99001268","1","11001268","15","1001"
"505","99001268","30","91002","8","0"
"506","99001269","1","11001269","15","1002"
"507","99001269","30","91002","8","0"
"508","99001270","1","11001270","15","1003"
"509","99001270","30","91002","8","0"
"510","99001271","1","11001271","15","1003"
"511","99001272","1","11001272","15","1001"
"512","99001272","30","91002","8","0"
"513","99001273","1","11001273","15","1001"
"514","99001273","30","91002","8","0"
"515","99001274","1","11001274","15","1002"
"516","99001274","30","91002","8","0"
"517","99001275","1","11001275","15","1003"
"518","99001275","30","91002","8","0"
"519","99001276","1","11001276","15","1003"
"520","99001277","1","11001277","15","1001"
"521","99001277","30","91002","8","0"
"522","99001278","1","11001278","15","1001"
"523","99001278","30","91002","8","0"
"524","99001279","1","11001279","15","1002"
"525","99001279","30","91002","8","0"
"526","99001280","1","11001280","15","1003"
"527","99001280","30","91002","8","0"
"528","99001281","1","11001281","15","1001"
"529","99001281","30","91002","8","0"
"530","99001282","1","11001282","15","1001"
"531","99001282","30","91002","8","0"
"532","99001283","1","11001283","15","1002"
"533","99001283","30","91002","8","0"
"534","99001284","1","11001284","15","1003"
"535","99001284","30","91002","8","0"
"536","99001285","1","11001285","15","1003"
"537","99001286","1","11001286","15","1001"
"538","99001286","30","91002","8","0"
"539","99001287","1","11001287","15","1001"
"540","99001287","30","91002","8","0"
"541","99001288","1","11001288","15","1002"
"542","99001288","30","91002","8","0"
"543","99001289","1","11001289","15","1003"
"544","99001289","30","91002","8","0"
"545","99001290","1","11001290","15","1001"
"546","99001290","30","91002","8","0"
"547","99001291","1","11001291","15","1001"
"548","99001291","30","91002","8","0"
"549","99001292","1","11001292","15","1002"
"550","99001292","30","91002","8","0"
"551","99001293","1","11001293","15","1003"
"552","99001293","30","91002","8","0"
"553","99001294","1","11001294","15","1001"
"554","99001294","30","91002","8","0"
"555","99001295","1","11001295","15","1001"
"556","99001295","30","91002","8","0"
"557","99001296","1","11001296","15","1002"
"558","99001296","30","91002","8","0"
"559","99001297","1","11001297","15","1003"
"560","99001297","30","91002","8","0"
"561","99001298","1","11001298","15","1001"
"562","99001298","30","91002","8","0"
"563","99001299","1","11001299","15","1001"
"564","99001299","30","91002","8","0"
"565","99001300","1","11001300","15","1002"
"566","99001300","30","91002","8","0"
"567","99001301","1","11001301","15","1003"
"568","99001301","30","91002","8","0"
"569","99001302","1","11001302","15","1003"
"570","99001303","1","11001303","15","1003"
"571","99001304","1","11001304","15","1003"
"572","99001305","1","11001305","15","1001"
"573","99001305","30","91002","8","0"
"574","99001306","1","11001306","15","1001"
"575","99001306","30","91002","8","0"
"576","99001307","1","11001307","15","1002"
"577","99001307","30","91002","8","0"
"578","99001308","1","11001308","15","1003"
"579","99001308","30","91002","8","0"
"580","99001309","1","11001309","15","1001"
"581","99001309","30","91002","8","0"
"582","99001310","1","11001310","15","1001"
"583","99001310","30","91002","8","0"
"584","99001311","1","11001311","15","1002"
"585","99001311","30","91002","8","0"
"586","99001312","1","11001312","15","1003"
"587","99001312","30","91002","8","0"
"588","99001313","1","11001313","15","1003"
"589","99001314","1","11001314","15","1001"
"590","99001314","30","91002","8","0"
"591","99001315","1","11001315","15","1001"
"592","99001315","30","91002","8","0"
"593","99001316","1","11001316","15","1002"
"594","99001316","30","91002","8","0"
"595","99001317","1","11001317","15","1003"
"596","99001317","30","91002","8","0"
"597","99001318","1","11001318","15","1003"
"598","99001319","1","11001319","15","1001"
"599","99001319","30","91002","8","0"
"600","99001320","1","11001320","15","1001"
"601","99001320","30","91002","8","0"
"602","99001321","1","11001321","15","1002"
"603","99001321","30","91002","8","0"
"604","99001322","1","11001322","15","1003"
"605","99001322","30","91002","8","0"
"606","99001323","1","11001323","15","1003"
