03af197746baccc89c2de41a4414c85684411e090cf0bd2275c669ff749be422,8cdea6cb878a47fd546a527552b90947e8cc4bd25a1b40eace4581b712aecaae,797eaf546e52cd104b0577e5a207bc9572b2e402e01058c3b7fdeadddba743fa,fa76d8f73b617a658ada3a11f710b18ec5cdabf54eb6f9f8b8ff3854707b981e,c6c41fdb7d21c6cc5be5934dfe1b90e0d61eb0de6578e8b13bd3189143c017c2,5e8256a5f4840724045cec6fa861994633c7c6dd492ebf18086b50f163861b80,c41ae08a492c727a63a243b4ef87b7992072c3855b53c68e14ea4bb03784d530,449356a3535b55e1396512a475ee4e12751f6c6081572ca30a5ff3b8e15c58b9,5dfe3cbc416a91d8a5ce139abb589e0eb52f67e414d2fa8100f01d0e0e885091,96872e68eedcfbbc7b3a44de24e14ad2e30ed44540c0f79992f19a4a95344bfe,a8e9afb18a31405ae15e7e53c39770ecc7b02ee9ad371526c18fcd361c978fa4
"60005","7","0","謹賀新年 新年登入獎勵","2024/05/01 05:00:00","500553","0","6","0","1","2024/05/11 04:59:59"
"70004","2","0","聖誕節登入獎勵","2021/04/23 05:00:00","500160","0","7","1","0","2021/04/25 04:59:59"
"70005","3","0","元旦紀念特別登入獎勵","2021/05/04 05:00:00","500160","0","7","2","0","2021/05/07 04:59:59"
"70006","2","0","聖誕節登入獎勵","2022/04/24 05:00:00","500160","0","7","1","0","2022/04/26 04:59:59"
"70007","3","0","元旦紀念特別登入獎勵","2022/05/03 05:00:00","500160","0","7","2","0","2022/05/06 04:59:59"
"70008","2","0","聖誕節登入獎勵","2023/04/24 05:00:00","500160","0","7","1","0","2023/04/26 04:59:59"
"70009","1","0","元旦紀念特別登入獎勵","2023/05/02 05:00:00","500160","0","7","2","0","2023/05/05 04:59:59"
"70010","1","0","連假快樂特別禮物1","2024/04/04 05:00:00","500160","2","4","0","0","2024/04/06 04:59:59"
"70011","1","0","勞動節限定特別登入獎勵","2024/05/01 05:00:00","500160","2","4","0","0","2024/05/04 04:59:59"
"70012","1","0","連假快樂特別禮物2","2024/04/06 05:00:00","500160","2","4","0","0","2024/04/08 04:59:59"
"80003","15","1","2.5周年倒數登入獎勵","2021/01/25 05:00:00","0","0","8","0","0","2021/02/09 04:59:59"
"80004","17","1","3周年倒數登入獎勵","2021/07/17 05:00:00","0","0","10","1","0","2021/08/03 04:59:59"
"80005","15","1","三周年半倒數登入獎勵","2022/01/18 05:00:00","0","0","8","0","0","2022/02/02 04:59:59"
"80006","17","1","4th Year Anniversary倒數登入獎勵","2022/07/16 05:00:00","0","0","10","1","0","2022/08/02 04:59:59"
"80007","15","1","四周年半倒數登入獎勵","2023/01/06 05:00:00","0","0","10","1","0","2023/01/21 04:59:59"
"80008","16","1","5周年倒數登入獎勵","2023/07/17 05:00:00","0","0","10","1","0","2023/08/02 04:59:59"
"80009","15","1","5.5 Year Anniversary 倒數登入獎勵","2024/01/24 05:00:00","0","0","10","1","0","2024/02/08 04:59:59"
"80010","16","1","6周年倒數登入獎勵","2024/07/17 05:00:00","0","0","10","1","0","2024/08/02 04:59:59"
